permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
,2026 CY21,000000IOw691,21.649,,Li,151.4432972,1.8524448,2026-02-19 04:21:27.526000+00:00,61090.18156858813
,2026 CY21,000000IOw691,21.643,,Li,151.4426991,1.8525775,2026-02-19 04:25:29.139000+00:00,61090.18436503457
,2026 CY21,000000IOw691,21.577,,Li,151.4425012,1.8526054,2026-02-19 04:26:49.860000+00:00,61090.18529930571
,2026 CY21,000000IOw691,22.264,,Lg,151.4419122,1.8527321,2026-02-19 04:30:50.424000+00:00,61090.18808361096
,2026 CY21,000000IOw691,22.284,,Lg,151.4417916,1.8527547,2026-02-19 04:31:44.403000+00:00,61090.18870836822
,2026 CY21,000000IOw691,22.389,,Lg,151.4414976,1.8528302,2026-02-19 04:33:44.655000+00:00,61090.190100173466
,2026 CY21,000000IOw691,22.336,,Lg,151.4413881,1.8528393,2026-02-19 04:34:24.791000+00:00,61090.19056471065
,2026 CY21,000000IOw691,22.321,,Lg,151.4410117,1.8529502,2026-02-19 04:37:05.536000+00:00,61090.19242518535
,2026 CY21,000000IOw691,22.336,,Lg,151.4409102,1.8529662,2026-02-19 04:37:45.897000+00:00,61090.19289232651
,2026 CY21,000000IOw691,22.31,,Lg,151.4408136,1.8529787,2026-02-19 04:38:26.227000+00:00,61090.19335910864
,2026 CY21,000000IOw691,22.309,,Lg,151.4407025,1.8530035,2026-02-19 04:39:06.122000+00:00,61090.19382085651
,2026 CY21,000000IOw691,21.431,,Lz,151.439688,1.8532642,2026-02-19 04:46:06.716000+00:00,61090.19868884282
,2026 CY21,000000IOw691,21.482,,Lz,151.4396118,1.8532588,2026-02-19 04:46:46.884000+00:00,61090.1991537502
,2026 CY21,000000IOw691,21.546,,Lz,151.4392376,1.8533714,2026-02-19 04:49:27.964000+00:00,61090.201018102
,2026 CY21,000000IOw691,21.623,,Lz,151.4390981,1.8533735,2026-02-19 04:50:08.193000+00:00,61090.201483715326
,2026 CY21,000000IOw691,21.531,,Lz,151.4389927,1.8533979,2026-02-19 04:50:48.365000+00:00,61090.20194866881
,2026 CY21,000000IOw691,21.543,,Lz,151.4388011,1.8533717,2026-02-19 04:52:08.410000+00:00,61090.20287511591
,2026 CY21,000000IOw691,21.931,,Lr,151.4381914,1.8535631,2026-02-19 04:56:17.732000+00:00,61090.20576078724
,2026 CY21,000000IOw691,21.882,,Lr,151.4378958,1.853611,2026-02-19 04:58:18.220000+00:00,61090.20715532405
,2026 CY21,000000IOw691,21.923,,Lr,151.4376003,1.8536796,2026-02-19 05:00:18.958000+00:00,61090.208552754484
,2026 CY21,000000IOw691,21.96,,Lr,151.4375153,1.8537127,2026-02-19 05:00:58.918000+00:00,61090.20901525486
,2026 CY21,000000IOw691,21.887,,Lr,151.4373177,1.8537503,2026-02-19 05:02:19.715000+00:00,61090.20995040517
,2026 CY21,000000IOw691,21.98,,Lr,151.4370202,1.8538133,2026-02-19 05:04:20.278000+00:00,61090.21134580998
,2026 CY21,000000IOw691,22.024,,Lr,151.4369197,1.8538336,2026-02-19 05:05:00.614000+00:00,61090.21181266196
,2026 CY21,000000IOw691,21.835,,Li,151.4363221,1.8539659,2026-02-19 05:09:12.213000+00:00,61090.214724687394
,2026 CY21,000000IOw691,21.836,,Li,151.4362174,1.8539887,2026-02-19 05:09:52.364000+00:00,61090.21518939827
,2026 CY21,000000IOw691,21.84,,Li,151.4361127,1.8540161,2026-02-19 05:10:32.625000+00:00,61090.21565538179
,2026 CY21,000000IOw691,21.805,,Li,151.4360151,1.8540411,2026-02-19 05:11:12.786000+00:00,61090.21612020815
,2026 CY21,000000IOw691,21.748,,Li,151.4355209,1.8541379,2026-02-19 05:14:33.996000+00:00,61090.21844902774
,2026 CY21,000000IOw691,21.792,,Li,151.4354276,1.8541731,2026-02-19 05:15:14.186000+00:00,61090.21891418984
,2026 CY21,000000IOw691,21.763,,Li,151.4351465,1.8542318,2026-02-19 05:17:15.176000+00:00,61090.220314537175
,2026 CY21,000000IOw691,22.419,,Lg,151.4346063,1.8543177,2026-02-19 05:20:35.246000+00:00,61090.22263016226
,2026 CY21,000000IOw691,22.339,,Lg,151.4345444,1.8543755,2026-02-19 05:21:15.629000+00:00,61090.22309755767
,2026 CY21,000000IOw691,22.321,,Lg,151.4344299,1.8543618,2026-02-19 05:21:55.910000+00:00,61090.22356377309
,2026 CY21,000000IOw691,22.23,,Lg,151.4343249,1.8543984,2026-02-19 05:22:36.570000+00:00,61090.224034375045
,2026 CY21,000000IOw691,22.349,,Lg,151.4342464,1.8544268,2026-02-19 05:23:16.817000+00:00,61090.224500196986
,2026 CY21,000000IOw691,22.322,,Lg,151.4341332,1.8544223,2026-02-19 05:23:57.224000+00:00,61090.224967870396
,2026 CY21,000000IOw691,22.209,,Lg,151.434055,1.8544417,2026-02-19 05:24:37.485000+00:00,61090.225433854386
