permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
,2026 DA42,000000IOw9V1,23.054,,Li,150.8320411,1.0666332,2026-02-19 04:20:47.241000+00:00,61090.181102326605
,2026 DA42,000000IOw9V1,23.063,,Li,150.8319739,1.0666867,2026-02-19 04:21:27.526000+00:00,61090.18156858813
,2026 DA42,000000IOw9V1,23.156,,Li,150.8318685,1.0667495,2026-02-19 04:22:07.864000+00:00,61090.18203546293
,2026 DA42,000000IOw9V1,23.149,,Li,150.8317257,1.0668195,2026-02-19 04:23:28.333000+00:00,61090.18296681717
,2026 DA42,000000IOw9V1,23.085,,Li,150.8310266,1.067182,2026-02-19 04:28:10.547000+00:00,61090.1862331829
,2026 DA42,000000IOw9V1,23.69,,Lg,150.8306619,1.0673482,2026-02-19 04:30:50.424000+00:00,61090.18808361096
,2026 DA42,000000IOw9V1,23.692,,Lg,150.8306018,1.067448,2026-02-19 04:31:44.403000+00:00,61090.18870836822
,2026 DA42,000000IOw9V1,23.887,,Lg,150.8304527,1.0673962,2026-02-19 04:32:24.797000+00:00,61090.189175891224
,2026 DA42,000000IOw9V1,23.868,,Lg,150.8303667,1.0674369,2026-02-19 04:33:04.726000+00:00,61090.18963803258
,2026 DA42,000000IOw9V1,23.975,,Lg,150.8302745,1.0674972,2026-02-19 04:33:44.655000+00:00,61090.190100173466
,2026 DA42,000000IOw9V1,23.79,,Lg,150.8299227,1.0676685,2026-02-19 04:35:45.250000+00:00,61090.19149594894
,2026 DA42,000000IOw9V1,23.671,,Lg,150.8299083,1.067687,2026-02-19 04:36:25.229000+00:00,61090.19195866911
,2026 DA42,000000IOw9V1,23.476,,Lg,150.82978,1.0677336,2026-02-19 04:37:05.536000+00:00,61090.19242518535
,2026 DA42,000000IOw9V1,23.564,,Lg,150.8295376,1.0678707,2026-02-19 04:39:06.122000+00:00,61090.19382085651
,2026 DA42,000000IOw9V1,23.709,,Lg,150.8293924,1.0679242,2026-02-19 04:39:46.355000+00:00,61090.1942865164
,2026 DA42,000000IOw9V1,22.96,,Lz,150.8287604,1.0682269,2026-02-19 04:44:05.873000+00:00,61090.19729019655
,2026 DA42,000000IOw9V1,23.228,,Lr,150.8270318,1.0690813,2026-02-19 04:56:58.137000+00:00,61090.20622843737
,2026 DA42,000000IOw9V1,23.141,,Lr,150.8266024,1.0693838,2026-02-19 04:59:38.828000+00:00,61090.20808828715
,2026 DA42,000000IOw9V1,23.293,,Lr,150.8265237,1.0693101,2026-02-19 05:00:18.958000+00:00,61090.208552754484
,2026 DA42,000000IOw9V1,23.175,,Lr,150.8264127,1.0694394,2026-02-19 05:01:39.326000+00:00,61090.209482939914
,2026 DA42,000000IOw9V1,23.097,,Lr,150.8262627,1.0694751,2026-02-19 05:02:19.715000+00:00,61090.20995040517
,2026 DA42,000000IOw9V1,23.357,,Lr,150.826198,1.0695562,2026-02-19 05:03:00.019000+00:00,61090.21041688649
,2026 DA42,000000IOw9V1,23.158,,Lr,150.8260881,1.0695769,2026-02-19 05:03:40.023000+00:00,61090.210879895836
,2026 DA42,000000IOw9V1,23.225,,Lr,150.8259211,1.0696815,2026-02-19 05:05:00.614000+00:00,61090.21181266196
,2026 DA42,000000IOw9V1,22.943,,Li,150.825522,1.0698752,2026-02-19 05:07:43.469000+00:00,61090.2136975578
,2026 DA42,000000IOw9V1,23.108,,Li,150.8254376,1.0699146,2026-02-19 05:08:32.093000+00:00,61090.214260335546
,2026 DA42,000000IOw9V1,23.183,,Li,150.8253415,1.0699319,2026-02-19 05:09:12.213000+00:00,61090.214724687394
,2026 DA42,000000IOw9V1,23.14,,Li,150.8252408,1.0700064,2026-02-19 05:09:52.364000+00:00,61090.21518939827
,2026 DA42,000000IOw9V1,23.214,,Li,150.8251557,1.0700664,2026-02-19 05:10:32.625000+00:00,61090.21565538179
,2026 DA42,000000IOw9V1,23.103,,Li,150.824971,1.0701443,2026-02-19 05:11:53.093000+00:00,61090.21658672439
,2026 DA42,000000IOw9V1,22.895,,Li,150.8248607,1.0701788,2026-02-19 05:12:33.326000+00:00,61090.21705238428
,2026 DA42,000000IOw9V1,23.285,,Li,150.8247572,1.0702232,2026-02-19 05:13:13.238000+00:00,61090.21751432866
,2026 DA42,000000IOw9V1,22.979,,Li,150.8246118,1.070332,2026-02-19 05:14:33.996000+00:00,61090.21844902774
,2026 DA42,000000IOw9V1,23.152,,Li,150.8244818,1.0703885,2026-02-19 05:15:14.186000+00:00,61090.21891418984
,2026 DA42,000000IOw9V1,22.946,,Li,150.824376,1.0704383,2026-02-19 05:15:54.536000+00:00,61090.219381203875
,2026 DA42,000000IOw9V1,23.588,,Lg,150.8238449,1.0707694,2026-02-19 05:19:54.526000+00:00,61090.22215886554
,2026 DA42,000000IOw9V1,23.729,,Lg,150.8237446,1.0707468,2026-02-19 05:20:35.246000+00:00,61090.22263016226
,2026 DA42,000000IOw9V1,23.673,,Lg,150.8236512,1.0708434,2026-02-19 05:21:15.629000+00:00,61090.22309755767
,2026 DA42,000000IOw9V1,23.555,,Lg,150.8235897,1.0708096,2026-02-19 05:21:55.910000+00:00,61090.22356377309
,2026 DA42,000000IOw9V1,23.901,,Lg,150.823199,1.070978,2026-02-19 05:24:37.485000+00:00,61090.225433854386
,2026 DA42,000000IOw9V1,23.877,,Lg,150.823072,1.0710932,2026-02-19 05:25:17.435000+00:00,61090.22589623835
,2026 DA42,000000IOw9V1,23.798,,Lg,150.823073,1.0711957,2026-02-19 05:25:57.880000+00:00,61090.22636435181
,2026 DA42,000000IOw9V1,23.86,,Lg,150.8227174,1.0712461,2026-02-19 05:27:58.637000+00:00,61090.2277620025
,2026 DA42,000000IOw9V1,23.738,,Lg,150.8226504,1.0712638,2026-02-19 05:28:38.854000+00:00,61090.228227477055
,2026 DA42,000000IOw9V1,23.41,,Lg,150.8225762,1.0714208,2026-02-19 05:29:19.223000+00:00,61090.22869471088
,2026 DA42,000000IOw9V1,22.716,,Lz,150.8218244,1.0716561,2026-02-19 05:33:58.133000+00:00,61090.23192283558
,2026 DA42,000000IOw9V1,22.648,,Lz,150.8214908,1.0718322,2026-02-19 05:36:39.575000+00:00,61090.233791377395
,2026 DA42,000000IOw9V1,23.417,,Lr,150.8204741,1.07236,2026-02-19 05:44:01.312000+00:00,61090.2389040743
,2026 DA42,000000IOw9V1,23.291,,Lr,150.8203476,1.0724198,2026-02-19 05:44:45.221000+00:00,61090.239412280265
,2026 DA42,000000IOw9V1,23.203,,Lr,150.820044,1.0726082,2026-02-19 05:47:26.636000+00:00,61090.24128050916
,2026 DA42,000000IOw9V1,23.301,,Lr,150.81992,1.0726931,2026-02-19 05:48:06.925000+00:00,61090.24174681725
,2026 DA42,000000IOw9V1,23.429,,Lr,150.8198754,1.0726386,2026-02-19 05:48:47.249000+00:00,61090.24221353
,2026 DA42,000000IOw9V1,23.178,,Lr,150.8196627,1.0728057,2026-02-19 05:50:07.849000+00:00,61090.24314640043
,2026 DA42,000000IOw9V1,23.215,,Lr,150.8194653,1.0728908,2026-02-19 05:51:28.309000+00:00,61090.244077650364
,2026 DA42,000000IOw9V1,23.23,,Lr,150.8192096,1.0730214,2026-02-19 05:53:29.326000+00:00,61090.24547831016
,2026 DA42,000000IOw9V2,23.019,,Li,150.0714626,1.4676848,2026-02-23 02:56:09.796000+00:00,61094.122335602064
,2026 DA42,000000IOw9V2,23.203,,Li,150.0713859,1.4677035,2026-02-23 02:56:50.064000+00:00,61094.122801666614
,2026 DA42,000000IOw9V2,23.179,,Li,150.0710134,1.4679016,2026-02-23 02:59:31.220000+00:00,61094.124666898046
,2026 DA42,000000IOw9V2,23.014,,Li,150.0708219,1.4679948,2026-02-23 03:00:52.154000+00:00,61094.1256036344
,2026 DA42,000000IOw9V2,23.609,,Lg,150.0700773,1.4684211,2026-02-23 03:06:28.947000+00:00,61094.12950170133
,2026 DA42,000000IOw9V2,23.849,,Lg,150.0685605,1.4692215,2026-02-23 03:17:38.272000+00:00,61094.13724851841
,2026 DA42,000000IOw9V2,23.742,,Lg,150.0684408,1.4693038,2026-02-23 03:18:19.868000+00:00,61094.13772995351
,2026 DA42,000000IOw9V2,23.718,,Lg,150.0682343,1.469362,2026-02-23 03:19:40.236000+00:00,61094.13866013894
,2026 DA42,000000IOw9V2,23.721,,Lg,150.0682034,1.4694097,2026-02-23 03:20:26.724000+00:00,61094.13919819426
,2026 DA42,000000IOw9V2,22.819,,Lz,150.0674852,1.4697922,2026-02-23 03:25:06.069000+00:00,61094.14243135415
,2026 DA42,000000IOw9V2,23.091,,Lz,150.067335,1.469803,2026-02-23 03:25:46.637000+00:00,61094.14290089114
,2026 DA42,000000IOw9V2,23.725,,Lg,150.0624601,1.4724171,2026-02-23 04:01:53.124000+00:00,61094.16797597241
,2026 DA42,000000IOw9V2,23.798,,Lg,150.0623484,1.4724312,2026-02-23 04:02:33.644000+00:00,61094.16844495386
