permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
,2026 DB41,000000IOw9J1,22.309,,Li,151.303563,3.3422259,2026-02-19 04:20:47.241000+00:00,61090.181102326605
,2026 DB41,000000IOw9J1,22.336,,Li,151.3031848,3.3423518,2026-02-19 04:23:28.333000+00:00,61090.18296681717
,2026 DB41,000000IOw9J1,22.922,,Lg,151.3020362,3.3425382,2026-02-19 04:30:50.424000+00:00,61090.18808361096
,2026 DB41,000000IOw9J1,22.895,,Lg,151.3016011,3.3426413,2026-02-19 04:33:44.655000+00:00,61090.190100173466
,2026 DB41,000000IOw9J1,22.967,,Lg,151.3010814,3.3427498,2026-02-19 04:37:05.536000+00:00,61090.19242518535
,2026 DB41,000000IOw9J1,22.179,,Lz,151.2999389,3.3429692,2026-02-19 04:44:46.352000+00:00,61090.19775870349
,2026 DB41,000000IOw9J1,22.379,,Lz,151.2997823,3.3429479,2026-02-19 04:45:26.546000+00:00,61090.19822391216
,2026 DB41,000000IOw9J1,22.058,,Lz,151.2996149,3.3430507,2026-02-19 04:46:46.884000+00:00,61090.1991537502
,2026 DB41,000000IOw9J1,22.471,,Lz,151.2995848,3.343068,2026-02-19 04:47:27.171000+00:00,61090.199620034546
,2026 DB41,000000IOw9J1,22.219,,Lz,151.2992478,3.3431061,2026-02-19 04:49:27.964000+00:00,61090.201018102
,2026 DB41,000000IOw9J1,22.309,,Lz,151.2991617,3.3430807,2026-02-19 04:50:08.193000+00:00,61090.201483715326
,2026 DB41,000000IOw9J1,22.304,,Lz,151.2986899,3.343242,2026-02-19 04:52:48.968000+00:00,61090.203344536945
,2026 DB41,000000IOw9J1,22.435,,Lr,151.2980866,3.3433142,2026-02-19 04:56:58.137000+00:00,61090.20622843737
,2026 DB41,000000IOw9J1,22.472,,Lr,151.2977722,3.343419,2026-02-19 04:58:58.583000+00:00,61090.207622488495
,2026 DB41,000000IOw9J1,22.443,,Lr,151.2976578,3.3434468,2026-02-19 04:59:38.828000+00:00,61090.20808828715
,2026 DB41,000000IOw9J1,22.522,,Lr,151.297558,3.3434431,2026-02-19 05:00:18.958000+00:00,61090.208552754484
,2026 DB41,000000IOw9J1,22.198,,Li,151.2958277,3.343799,2026-02-19 05:11:53.093000+00:00,61090.21658672439
,2026 DB41,000000IOw9J1,22.318,,Li,151.2957139,3.3438363,2026-02-19 05:12:33.326000+00:00,61090.21705238428
,2026 DB41,000000IOw9J1,22.259,,Li,151.2950539,3.3439574,2026-02-19 05:17:15.176000+00:00,61090.220314537175
,2026 DB41,000000IOw9J1,22.962,,Lg,151.2945693,3.3440314,2026-02-19 05:19:54.526000+00:00,61090.22215886554
,2026 DB41,000000IOw9J1,22.948,,Lg,151.2944105,3.3440819,2026-02-19 05:21:15.629000+00:00,61090.22309755767
,2026 DB41,000000IOw9J1,22.955,,Lg,151.2942076,3.3441298,2026-02-19 05:22:36.570000+00:00,61090.224034375045
,2026 DB41,000000IOw9J1,22.842,,Lg,151.2941028,3.3441254,2026-02-19 05:23:16.817000+00:00,61090.224500196986
,2026 DB41,000000IOw9J1,23.079,,Lg,151.2938682,3.3441776,2026-02-19 05:24:37.485000+00:00,61090.225433854386
,2026 DB41,000000IOw9J1,23.031,,Lg,151.293682,3.344242,2026-02-19 05:25:57.880000+00:00,61090.22636435181
,2026 DB41,000000IOw9J1,22.768,,Lg,151.2934739,3.3442685,2026-02-19 05:27:18.470000+00:00,61090.22729710629
,2026 DB41,000000IOw9J1,23.053,,Lg,151.2931444,3.3443015,2026-02-19 05:29:19.223000+00:00,61090.22869471088
,2026 DB41,000000IOw9J1,22.138,,Lz,151.2925811,3.3444556,2026-02-19 05:33:17.878000+00:00,61090.231456921436
,2026 DB41,000000IOw9J1,22.208,,Lz,151.2922331,3.3445022,2026-02-19 05:35:18.735000+00:00,61090.23285572929
,2026 DB41,000000IOw9J1,22.361,,Lz,151.292201,3.344531,2026-02-19 05:35:59.080000+00:00,61090.23332268512
