permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
,2026 DC39,000000IOw8m1,23.217,,Li,150.9046427,1.5562427,2026-02-19 04:19:26.648000+00:00,61090.1801695372
,2026 DC39,000000IOw8m1,22.985,,Li,150.9043822,1.5563391,2026-02-19 04:21:27.526000+00:00,61090.18156858813
,2026 DC39,000000IOw8m1,22.756,,Li,150.9041363,1.5564275,2026-02-19 04:23:28.333000+00:00,61090.18296681717
,2026 DC39,000000IOw8m1,22.877,,Li,150.9040135,1.5564588,2026-02-19 04:24:08.380000+00:00,61090.18343032431
,2026 DC39,000000IOw8m1,23.109,,Li,150.9039505,1.5564937,2026-02-19 04:24:48.936000+00:00,61090.18389972206
,2026 DC39,000000IOw8m1,23.098,,Li,150.9036713,1.5565953,2026-02-19 04:26:49.860000+00:00,61090.18529930571
,2026 DC39,000000IOw8m1,23.103,,Li,150.9034982,1.5566535,2026-02-19 04:28:10.547000+00:00,61090.1862331829
,2026 DC39,000000IOw8m1,23.752,,Lg,150.9029764,1.5568015,2026-02-19 04:31:44.403000+00:00,61090.18870836822
,2026 DC39,000000IOw8m1,23.613,,Lg,150.9028884,1.5568275,2026-02-19 04:32:24.797000+00:00,61090.189175891224
,2026 DC39,000000IOw8m1,23.725,,Lg,150.9024007,1.5569824,2026-02-19 04:35:45.250000+00:00,61090.19149594894
,2026 DC39,000000IOw8m1,23.785,,Lg,150.902272,1.557079,2026-02-19 04:37:05.536000+00:00,61090.19242518535
,2026 DC39,000000IOw8m1,23.582,,Lg,150.9021476,1.5570824,2026-02-19 04:37:45.897000+00:00,61090.19289232651
,2026 DC39,000000IOw8m1,23.643,,Lg,150.9017968,1.5572222,2026-02-19 04:40:27.052000+00:00,61090.1947575463
,2026 DC39,000000IOw8m1,22.819,,Lz,150.9012442,1.5574217,2026-02-19 04:44:05.873000+00:00,61090.19729019655
,2026 DC39,000000IOw8m1,22.648,,Lz,150.9010918,1.5574532,2026-02-19 04:45:26.546000+00:00,61090.19822391216
,2026 DC39,000000IOw8m1,22.889,,Lz,150.9010054,1.5574882,2026-02-19 04:46:06.716000+00:00,61090.19868884282
,2026 DC39,000000IOw8m1,22.418,,Lz,150.9006693,1.5576026,2026-02-19 04:48:07.630000+00:00,61090.200088310055
,2026 DC39,000000IOw8m1,23.354,,Lr,150.8994571,1.5579712,2026-02-19 04:56:58.137000+00:00,61090.20622843737
,2026 DC39,000000IOw8m1,23.193,,Lr,150.8993672,1.5580038,2026-02-19 04:57:38.177000+00:00,61090.20669186348
,2026 DC39,000000IOw8m1,23.41,,Lr,150.8991971,1.5580878,2026-02-19 04:58:58.583000+00:00,61090.207622488495
,2026 DC39,000000IOw8m1,23.159,,Lr,150.8988283,1.5582268,2026-02-19 05:01:39.326000+00:00,61090.209482939914
