permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
,2026 DD32,000000IOw5H1,22.038,,Li,151.1859822,3.3495515,2026-02-19 04:23:28.333000+00:00,61090.18296681717
,2026 DD32,000000IOw5H1,22.065,,Li,151.185879,3.3495795,2026-02-19 04:24:08.380000+00:00,61090.18343032431
,2026 DD32,000000IOw5H1,22.597,,Lg,151.1848228,3.3498067,2026-02-19 04:30:50.424000+00:00,61090.18808361096
,2026 DD32,000000IOw5H1,22.606,,Lg,151.1846832,3.3498442,2026-02-19 04:31:44.403000+00:00,61090.18870836822
,2026 DD32,000000IOw5H1,22.729,,Lg,151.1845477,3.3498564,2026-02-19 04:32:24.797000+00:00,61090.189175891224
,2026 DD32,000000IOw5H1,22.68,,Lg,151.1844123,3.3498931,2026-02-19 04:33:04.726000+00:00,61090.18963803258
,2026 DD32,000000IOw5H1,22.716,,Lg,151.1841052,3.3499294,2026-02-19 04:35:05.014000+00:00,61090.19103025459
,2026 DD32,000000IOw5H1,22.684,,Lg,151.1837983,3.3500284,2026-02-19 04:37:05.536000+00:00,61090.19242518535
,2026 DD32,000000IOw5H1,22.657,,Lg,151.1836845,3.3500435,2026-02-19 04:37:45.897000+00:00,61090.19289232651
,2026 DD32,000000IOw5H1,21.871,,Lz,151.182656,3.3502811,2026-02-19 04:44:05.873000+00:00,61090.19729019655
,2026 DD32,000000IOw5H1,22.125,,Lz,151.1825769,3.3502556,2026-02-19 04:44:46.352000+00:00,61090.19775870349
,2026 DD32,000000IOw5H1,21.901,,Lz,151.1824435,3.3503054,2026-02-19 04:45:26.546000+00:00,61090.19822391216
,2026 DD32,000000IOw5H1,22.221,,Lz,151.18233,3.3503286,2026-02-19 04:46:06.716000+00:00,61090.19868884282
,2026 DD32,000000IOw5H1,21.921,,Lz,151.1820615,3.3503925,2026-02-19 04:48:07.630000+00:00,61090.200088310055
,2026 DD32,000000IOw5H1,21.897,,Lz,151.1817735,3.3504441,2026-02-19 04:49:27.964000+00:00,61090.201018102
,2026 DD32,000000IOw5H1,22.054,,Lz,151.1812721,3.3505529,2026-02-19 04:52:48.968000+00:00,61090.203344536945
,2026 DD32,000000IOw5H1,22.205,,Lr,151.1799518,3.3508349,2026-02-19 05:00:58.918000+00:00,61090.20901525486
,2026 DD32,000000IOw5H1,22.147,,Lr,151.1798364,3.3508513,2026-02-19 05:01:39.326000+00:00,61090.209482939914
,2026 DD32,000000IOw5H1,21.88,,Li,151.1786172,3.3511282,2026-02-19 05:09:12.213000+00:00,61090.214724687394
,2026 DD32,000000IOw5H1,21.894,,Li,151.1780743,3.3512295,2026-02-19 05:12:33.326000+00:00,61090.21705238428
,2026 DD32,000000IOw5H1,21.94,,Li,151.1778723,3.3512787,2026-02-19 05:13:53.580000+00:00,61090.217981250025
,2026 DD32,000000IOw5H1,22.579,,Lg,151.1764689,3.3515795,2026-02-19 05:22:36.570000+00:00,61090.224034375045
,2026 DD32,000000IOw5H1,22.599,,Lg,151.1762104,3.3516156,2026-02-19 05:23:57.224000+00:00,61090.224967870396
,2026 DD32,000000IOw5H1,22.494,,Lg,151.1761075,3.3516284,2026-02-19 05:24:37.485000+00:00,61090.225433854386
,2026 DD32,000000IOw5H1,22.625,,Lg,151.1759247,3.3517104,2026-02-19 05:25:57.880000+00:00,61090.22636435181
,2026 DD32,000000IOw5H1,22.547,,Lg,151.1756961,3.3517206,2026-02-19 05:27:18.470000+00:00,61090.22729710629
,2026 DD32,000000IOw5H1,22.437,,Lg,151.1753901,3.351825,2026-02-19 05:29:19.223000+00:00,61090.22869471088
,2026 DD32,000000IOw5H1,21.535,,Lz,151.174543,3.3519646,2026-02-19 05:34:38.382000+00:00,61090.232388680335
,2026 DD32,000000IOw5H1,21.548,,Lz,151.1744076,3.3520404,2026-02-19 05:35:18.735000+00:00,61090.23285572929
,2026 DD32,000000IOw5H1,21.63,,Lz,151.1740759,3.352076,2026-02-19 05:37:19.580000+00:00,61090.23425439792
,2026 DD32,000000IOw5H1,21.708,,Lz,151.1738917,3.3521235,2026-02-19 05:38:40.559000+00:00,61090.23519165488
,2026 DD32,000000IOw5H1,22.133,,Lr,151.1720334,3.352512,2026-02-19 05:50:07.849000+00:00,61090.24314640043
,2026 DD32,000000IOw5H1,22.034,,Lr,151.1719466,3.3525331,2026-02-19 05:50:48.141000+00:00,61090.24361274298
,2026 DD32,000000IOw5H1,22.082,,Lr,151.1718234,3.3525641,2026-02-19 05:51:28.309000+00:00,61090.244077650364
,2026 DD32,000000IOw5H1,22.154,,Lr,151.1714862,3.3526173,2026-02-19 05:53:29.326000+00:00,61090.24547831016
,2026 DD32,000000IOw5H1,22.122,,Lr,151.1498636,3.357231,2026-02-19 08:08:35.288000+00:00,61090.33929731464
,2026 DD32,000000IOw5H1,21.933,,Lz,151.1493334,3.3573397,2026-02-19 08:12:01.968000+00:00,61090.34168944461
,2026 DD32,000000IOw5H2,21.918,,Li,150.9657078,3.3984426,2026-02-20 03:54:53.611000+00:00,61091.163120497484
,2026 DD32,000000IOw5H2,21.943,,Li,150.9655967,3.3984622,2026-02-20 03:55:33.842000+00:00,61091.16358613409
,2026 DD32,000000IOw5H2,22.066,,Li,150.9648172,3.3986346,2026-02-20 04:00:20.777000+00:00,61091.166907140985
,2026 DD32,000000IOw5H2,21.959,,Li,150.9647027,3.3986746,2026-02-20 04:01:00.920000+00:00,61091.16737175919
,2026 DD32,000000IOw5H2,22.688,,Lg,150.96382,3.3988371,2026-02-20 04:06:31.940000+00:00,61091.17120300932
,2026 DD32,000000IOw5H2,22.612,,Lg,150.9636006,3.398909,2026-02-20 04:07:52.288000+00:00,61091.17213296285
,2026 DD32,000000IOw5H2,22.668,,Lg,150.9635123,3.3989249,2026-02-20 04:08:32.488000+00:00,61091.1725982409
,2026 DD32,000000IOw5H2,22.621,,Lg,150.9633647,3.3989525,2026-02-20 04:09:19.249000+00:00,61091.173139456194
,2026 DD32,000000IOw5H2,22.642,,Lg,150.9629315,3.3990361,2026-02-20 04:12:00.057000+00:00,61091.175000659656
,2026 DD32,000000IOw5H2,22.675,,Lg,150.9627246,3.3990785,2026-02-20 04:13:20.930000+00:00,61091.1759366896
,2026 DD32,000000IOw5H2,22.648,,Lg,150.9626066,3.3991153,2026-02-20 04:14:01.007000+00:00,61091.17640054412
,2026 DD32,000000IOw5H2,22.679,,Lg,150.9625065,3.3991474,2026-02-20 04:14:41.293000+00:00,61091.17686681729
,2026 DD32,000000IOw5H2,22.67,,Lg,150.9624146,3.3991618,2026-02-20 04:15:21.395000+00:00,61091.17733096052
,2026 DD32,000000IOw5H2,22.03,,Lz,150.9618466,3.3992816,2026-02-20 04:18:48.471000+00:00,61091.17972767353
,2026 DD32,000000IOw5H2,22.015,,Lz,150.9606673,3.3995399,2026-02-20 04:26:09.659000+00:00,61091.18483401602
,2026 DD32,000000IOw5H2,22.038,,Lz,150.9605714,3.3995354,2026-02-20 04:26:50.019000+00:00,61091.185301146004
,2026 DD32,000000IOw5H2,22.099,,Lr,150.9599975,3.3996874,2026-02-20 04:30:16.256000+00:00,61091.187688148115
,2026 DD32,000000IOw5H2,22.106,,Lr,150.9596705,3.3997593,2026-02-20 04:32:16.938000+00:00,61091.189084930345
,2026 DD32,000000IOw5H2,22.102,,Lr,150.9595661,3.3997717,2026-02-20 04:32:57.181000+00:00,61091.189550706185
,2026 DD32,000000IOw5H2,22.196,,Lr,150.9592204,3.3998484,2026-02-20 04:35:06.661000+00:00,61091.1910493169
,2026 DD32,000000IOw5H2,22.232,,Lr,150.9591107,3.3998891,2026-02-20 04:35:46.905000+00:00,61091.19151510438
,2026 DD32,000000IOw5H2,22.001,,Li,150.9575954,3.4001906,2026-02-20 04:45:06.740000+00:00,61091.19799467595
,2026 DD32,000000IOw5H2,21.962,,Li,150.9574911,3.4002294,2026-02-20 04:45:49.602000+00:00,61091.198490764014
,2026 DD32,000000IOw5H2,22.033,,Li,150.957385,3.4002631,2026-02-20 04:46:29.548000+00:00,61091.19895310188
,2026 DD32,000000IOw5H2,21.978,,Li,150.9567363,3.4003935,2026-02-20 04:50:30.971000+00:00,61091.20174734946
,2026 DD32,000000IOw5H2,21.921,,Li,150.9565253,3.400449,2026-02-20 04:51:51.302000+00:00,61091.202677106485
,2026 DD32,000000IOw5H2,22.772,,Lg,150.9553811,3.4006846,2026-02-20 04:58:42.167000+00:00,61091.207432488445
,2026 DD32,000000IOw5H2,22.984,,Lg,150.9552996,3.4006778,2026-02-20 04:59:22.298000+00:00,61091.20789696742
,2026 DD32,000000IOw5H2,22.665,,Lg,150.9549538,3.4007611,2026-02-20 05:01:23.467000+00:00,61091.20929938648
,2026 DD32,000000IOw5H2,22.825,,Lg,150.9549046,3.4007364,2026-02-20 05:02:03.689000+00:00,61091.20976491878
,2026 DD32,000000IOw5H2,22.901,,Lg,150.9547692,3.4008145,2026-02-20 05:02:43.919000+00:00,61091.21023054421
,2026 DD32,000000IOw5H2,22.936,,Lg,150.9546795,3.4008528,2026-02-20 05:03:24.299000+00:00,61091.21069790516
,2026 DD32,000000IOw5H2,22.112,,Lz,150.9541465,3.4009735,2026-02-20 05:06:37.143000+00:00,61091.21292989561
,2026 DD32,000000IOw5H2,21.939,,Lz,150.9541169,3.4009918,2026-02-20 05:07:17.535000+00:00,61091.2133973958
,2026 DD32,000000IOw5H2,22.227,,Lz,150.9530542,3.4011091,2026-02-20 05:13:29.043000+00:00,61091.217697257176
,2026 DD32,000000IOw5H2,22.201,,Lr,150.9517258,3.4014679,2026-02-20 05:21:31.600000+00:00,61091.2232824075
,2026 DD32,000000IOw5H2,22.136,,Lr,150.9506279,3.4017162,2026-02-20 05:28:24.341000+00:00,61091.22805950232
,2026 DD32,000000IOw5H2,21.935,,Li,150.9375507,3.4045795,2026-02-20 06:49:51.129000+00:00,61091.284619548824
,2026 DD32,000000IOw5H3,22.005,,Li,150.3008638,3.552804,2026-02-23 02:56:09.796000+00:00,61094.122335602064
,2026 DD32,000000IOw5H3,21.964,,Li,150.3006521,3.5528623,2026-02-23 02:57:30.168000+00:00,61094.12326583313
,2026 DD32,000000IOw5H3,21.936,,Li,150.3005417,3.5528944,2026-02-23 02:58:10.721000+00:00,61094.12373519689
,2026 DD32,000000IOw5H3,22.68,,Lg,150.2992238,3.5531966,2026-02-23 03:06:28.947000+00:00,61094.12950170133
,2026 DD32,000000IOw5H3,22.695,,Lg,150.2991071,3.5532245,2026-02-23 03:07:09.243000+00:00,61094.12996809045
,2026 DD32,000000IOw5H3,22.775,,Lg,150.2980127,3.553487,2026-02-23 03:14:01.241000+00:00,61094.13473658543
,2026 DD32,000000IOw5H3,22.734,,Lg,150.2974173,3.5536009,2026-02-23 03:17:38.272000+00:00,61094.13724851841
,2026 DD32,000000IOw5H3,22.75,,Lg,150.2973097,3.5536312,2026-02-23 03:18:19.868000+00:00,61094.13772995351
,2026 DD32,000000IOw5H3,22.734,,Lg,150.2971971,3.5536579,2026-02-23 03:19:00.144000+00:00,61094.13819611119
,2026 DD32,000000IOw5H3,22.733,,Lg,150.2968733,3.5537356,2026-02-23 03:21:06.775000+00:00,61094.1396617475
,2026 DD32,000000IOw5H3,22.176,,Lz,150.2963167,3.5538382,2026-02-23 03:24:26.073000+00:00,61094.14196843747
,2026 DD32,000000IOw5H3,22.068,,Lz,150.2961097,3.553928,2026-02-23 03:25:46.637000+00:00,61094.14290089114
,2026 DD32,000000IOw5H3,22.205,,Lz,150.2960221,3.5539399,2026-02-23 03:26:27.333000+00:00,61094.14337190986
,2026 DD32,000000IOw5H3,22.09,,Lz,150.2958921,3.553982,2026-02-23 03:27:09.806000+00:00,61094.14386349544
,2026 DD32,000000IOw5H3,22.678,,Lg,150.2900039,3.5553345,2026-02-23 04:03:56.079000+00:00,61094.16939906264
,2026 DD32,000000IOw5H3,22.689,,Lg,150.2893316,3.5554894,2026-02-23 04:08:04.520000+00:00,61094.17227453692
,2026 DD32,000000IOw5H3,22.676,,Lg,150.2890339,3.5555614,2026-02-23 04:09:52.140000+00:00,61094.17352013895
,2026 DD32,000000IOw5H3,22.696,,Lg,150.288928,3.5555898,2026-02-23 04:10:32.107000+00:00,61094.17398271989
,2026 DD32,000000IOw5H3,22.639,,Lg,150.2888276,3.5556136,2026-02-23 04:11:12.310000+00:00,61094.1744480324
,2026 DD32,000000IOw5H3,21.946,,Lz,150.2882875,3.5557626,2026-02-23 04:14:41.671000+00:00,61094.176871192176
,2026 DD32,000000IOw5H3,22.15,,Lz,150.2881583,3.555771,2026-02-23 04:15:22.123000+00:00,61094.17733938666
,2026 DD32,000000IOw5H3,22.05,,Lz,150.2880646,3.5557899,2026-02-23 04:16:02.777000+00:00,61094.177809918765
,2026 DD32,000000IOw5H3,22.068,,Lz,150.2879257,3.5558268,2026-02-23 04:16:47.106000+00:00,61094.178322986234
,2026 DD32,000000IOw5H3,22.128,,Lz,150.2878341,3.5558592,2026-02-23 04:17:27.563000+00:00,61094.17879123846
,2026 DD32,000000IOw5H3,22.033,,Lz,150.2877341,3.5558852,2026-02-23 04:18:08.473000+00:00,61094.17926473357
,2026 DD32,000000IOw5H3,22.024,,Lz,150.2868091,3.5560926,2026-02-23 04:23:48.837000+00:00,61094.18320413213
