permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
,2026 DE32,000000IOw5I1,22.45,,Li,150.0887657,2.1926989,2026-02-19 04:19:26.648000+00:00,61090.1801695372
,2026 DE32,000000IOw5I1,22.576,,Li,150.0883684,2.1928108,2026-02-19 04:22:07.864000+00:00,61090.18203546293
,2026 DE32,000000IOw5I1,22.484,,Li,150.0882656,2.1928015,2026-02-19 04:22:48.017000+00:00,61090.18250019662
,2026 DE32,000000IOw5I1,22.593,,Li,150.0881692,2.192858,2026-02-19 04:23:28.333000+00:00,61090.18296681717
,2026 DE32,000000IOw5I1,22.38,,Li,150.0877622,2.1929274,2026-02-19 04:26:09.935000+00:00,61090.18483721046
,2026 DE32,000000IOw5I1,22.463,,Li,150.0874841,2.1929689,2026-02-19 04:28:10.547000+00:00,61090.1862331829
,2026 DE32,000000IOw5I1,23.299,,Lg,150.086872,2.193134,2026-02-19 04:32:24.797000+00:00,61090.189175891224
,2026 DE32,000000IOw5I1,23.364,,Lg,150.0861746,2.1933033,2026-02-19 04:37:05.536000+00:00,61090.19242518535
,2026 DE32,000000IOw5I1,23.262,,Lg,150.0861152,2.1933082,2026-02-19 04:37:45.897000+00:00,61090.19289232651
,2026 DE32,000000IOw5I1,23.356,,Lg,150.0860253,2.1933125,2026-02-19 04:38:26.227000+00:00,61090.19335910864
,2026 DE32,000000IOw5I1,23.313,,Lg,150.0858844,2.1933181,2026-02-19 04:39:06.122000+00:00,61090.19382085651
,2026 DE32,000000IOw5I1,22.367,,Lz,150.0846075,2.193584,2026-02-19 04:48:07.630000+00:00,61090.200088310055
,2026 DE32,000000IOw5I1,22.443,,Lz,150.0844967,2.1936855,2026-02-19 04:48:47.587000+00:00,61090.20055077551
,2026 DE32,000000IOw5I1,22.377,,Lz,150.0843025,2.1936882,2026-02-19 04:50:08.193000+00:00,61090.201483715326
,2026 DE32,000000IOw5I1,22.779,,Lr,150.0835323,2.1938906,2026-02-19 04:55:24.404000+00:00,61090.20514356485
,2026 DE32,000000IOw5I1,22.803,,Lr,150.0833787,2.193918,2026-02-19 04:56:17.732000+00:00,61090.20576078724
,2026 DE32,000000IOw5I1,22.861,,Lr,150.0833753,2.193893,2026-02-19 04:56:58.137000+00:00,61090.20622843737
,2026 DE32,000000IOw5I1,22.728,,Lr,150.0831286,2.1939456,2026-02-19 04:58:18.220000+00:00,61090.20715532405
,2026 DE32,000000IOw5I1,22.734,,Lr,150.0830102,2.1940129,2026-02-19 04:58:58.583000+00:00,61090.207622488495
,2026 DE32,000000IOw5I1,22.8,,Lr,150.0828061,2.1940336,2026-02-19 05:00:18.958000+00:00,61090.208552754484
,2026 DE32,000000IOw5I1,22.928,,Lr,150.0824325,2.1941179,2026-02-19 05:03:00.019000+00:00,61090.21041688649
,2026 DE32,000000IOw5I1,22.729,,Lr,150.0823246,2.194138,2026-02-19 05:03:40.023000+00:00,61090.210879895836
,2026 DE32,000000IOw5I1,22.887,,Lr,150.0822439,2.1941782,2026-02-19 05:04:20.278000+00:00,61090.21134580998
,2026 DE32,000000IOw5I1,22.699,,Lr,150.0821272,2.1941893,2026-02-19 05:05:00.614000+00:00,61090.21181266196
,2026 DE32,000000IOw5I1,22.535,,Li,150.0816221,2.1943061,2026-02-19 05:08:32.093000+00:00,61090.214260335546
,2026 DE32,000000IOw5I1,22.611,,Li,150.0815197,2.1943236,2026-02-19 05:09:12.213000+00:00,61090.214724687394
,2026 DE32,000000IOw5I1,22.585,,Li,150.0814247,2.1943522,2026-02-19 05:09:52.364000+00:00,61090.21518939827
,2026 DE32,000000IOw5I1,22.582,,Li,150.0813188,2.1943763,2026-02-19 05:10:32.625000+00:00,61090.21565538179
,2026 DE32,000000IOw5I1,22.535,,Li,150.081125,2.1943974,2026-02-19 05:11:53.093000+00:00,61090.21658672439
,2026 DE32,000000IOw5I1,22.569,,Li,150.080945,2.194455,2026-02-19 05:13:13.238000+00:00,61090.21751432866
,2026 DE32,000000IOw5I1,22.537,,Li,150.0805479,2.1945542,2026-02-19 05:15:54.536000+00:00,61090.219381203875
,2026 DE32,000000IOw5I1,22.483,,Li,150.0804592,2.1945778,2026-02-19 05:16:34.736000+00:00,61090.21984648146
,2026 DE32,000000IOw5I1,23.348,,Lg,150.0799968,2.1947537,2026-02-19 05:19:54.526000+00:00,61090.22215886554
,2026 DE32,000000IOw5I1,23.217,,Lg,150.0797367,2.194733,2026-02-19 05:21:15.629000+00:00,61090.22309755767
,2026 DE32,000000IOw5I1,23.309,,Lg,150.079665,2.1947569,2026-02-19 05:21:55.910000+00:00,61090.22356377309
,2026 DE32,000000IOw5I1,23.36,,Lg,150.0795825,2.1947502,2026-02-19 05:22:36.570000+00:00,61090.224034375045
,2026 DE32,000000IOw5I1,22.265,,Lz,150.0778868,2.1950975,2026-02-19 05:34:38.382000+00:00,61090.232388680335
,2026 DE32,000000IOw5I1,22.602,,Lz,150.0777165,2.1951392,2026-02-19 05:35:18.735000+00:00,61090.23285572929
,2026 DE32,000000IOw5I1,22.76,,Lz,150.0775541,2.1951796,2026-02-19 05:35:59.080000+00:00,61090.23332268512
,2026 DE32,000000IOw5I1,22.515,,Lz,150.0775145,2.1952602,2026-02-19 05:36:39.575000+00:00,61090.233791377395
,2026 DE32,000000IOw5I1,22.424,,Lz,150.0773955,2.1951881,2026-02-19 05:37:19.580000+00:00,61090.23425439792
,2026 DE32,000000IOw5I1,22.703,,Lr,150.0759902,2.1955552,2026-02-19 05:47:26.636000+00:00,61090.24128050916
,2026 DE32,000000IOw5I1,22.832,,Lr,150.0756676,2.1956664,2026-02-19 05:49:27.424000+00:00,61090.24267851841
,2026 DE32,000000IOw5I1,22.847,,Lr,150.0755155,2.1956645,2026-02-19 05:50:48.141000+00:00,61090.24361274298
,2026 DE32,000000IOw5I1,22.97,,Lr,150.0753731,2.1957285,2026-02-19 05:51:28.309000+00:00,61090.244077650364
,2026 DE32,000000IOw5I1,22.728,,Lr,150.0752889,2.1957436,2026-02-19 05:52:08.529000+00:00,61090.244543159846
,2026 DE32,000000IOw5I1,22.863,,Lr,150.0752039,2.1957687,2026-02-19 05:52:48.729000+00:00,61090.24500843743
,2026 DE32,000000IOw5I2,22.621,,Li,149.8886409,2.2394878,2026-02-20 03:54:53.611000+00:00,61091.163120497484
,2026 DE32,000000IOw5I2,22.622,,Li,149.8885562,2.2395311,2026-02-20 03:55:33.842000+00:00,61091.16358613409
,2026 DE32,000000IOw5I2,22.563,,Li,149.8884564,2.2395632,2026-02-20 03:56:13.964000+00:00,61091.16405050922
,2026 DE32,000000IOw5I2,22.651,,Li,149.8882369,2.2395878,2026-02-20 03:57:39.671000+00:00,61091.16504248837
,2026 DE32,000000IOw5I2,22.5,,Li,149.8879531,2.2396826,2026-02-20 03:59:40.297000+00:00,61091.166438622866
,2026 DE32,000000IOw5I2,22.566,,Li,149.8874833,2.2397733,2026-02-20 04:03:01.275000+00:00,61091.16876475699
,2026 DE32,000000IOw5I2,23.522,,Lg,149.886674,2.2399544,2026-02-20 04:08:32.488000+00:00,61091.1725982409
,2026 DE32,000000IOw5I2,23.305,,Lg,149.8864518,2.2400316,2026-02-20 04:09:59.136000+00:00,61091.17360111093
,2026 DE32,000000IOw5I2,23.438,,Lg,149.8862409,2.2400556,2026-02-20 04:11:19.885000+00:00,61091.17453570617
,2026 DE32,000000IOw5I2,23.245,,Lg,149.8861581,2.24009,2026-02-20 04:12:00.057000+00:00,61091.175000659656
,2026 DE32,000000IOw5I2,23.361,,Lg,149.8860529,2.2400839,2026-02-20 04:12:40.669000+00:00,61091.175470706075
,2026 DE32,000000IOw5I2,23.402,,Lg,149.885683,2.2401762,2026-02-20 04:15:21.395000+00:00,61091.17733096052
,2026 DE32,000000IOw5I2,22.376,,Lz,149.8852402,2.2402965,2026-02-20 04:18:08.118000+00:00,61091.17926062504
,2026 DE32,000000IOw5I2,22.684,,Lz,149.8848004,2.2403817,2026-02-20 04:21:26.973000+00:00,61091.181562187616
,2026 DE32,000000IOw5I2,22.516,,Lz,149.8844088,2.2404898,2026-02-20 04:24:08.656000+00:00,61091.183433518745
,2026 DE32,000000IOw5I2,22.724,,Lr,149.8834029,2.2407065,2026-02-20 04:30:56.501000+00:00,61091.18815394677
,2026 DE32,000000IOw5I2,22.697,,Lr,149.8833209,2.2407353,2026-02-20 04:31:36.791000+00:00,61091.18862026604
,2026 DE32,000000IOw5I2,22.737,,Lr,149.8832311,2.240768,2026-02-20 04:32:16.938000+00:00,61091.189084930345
,2026 DE32,000000IOw5I2,22.744,,Lr,149.8831219,2.2407794,2026-02-20 04:32:57.181000+00:00,61091.189550706185
,2026 DE32,000000IOw5I2,22.747,,Lr,149.8827084,2.240882,2026-02-20 04:35:46.905000+00:00,61091.19151510438
,2026 DE32,000000IOw5I2,22.735,,Lr,149.8825188,2.2409108,2026-02-20 04:37:07.847000+00:00,61091.19245193293
,2026 DE32,000000IOw5I2,22.671,,Lr,149.8823204,2.2409507,2026-02-20 04:38:27.887000+00:00,61091.19337832183
,2026 DE32,000000IOw5I2,22.524,,Li,149.8806664,2.2413537,2026-02-20 04:49:50.795000+00:00,61091.201282349415
,2026 DE32,000000IOw5I2,22.456,,Li,149.8803753,2.2414214,2026-02-20 04:51:51.302000+00:00,61091.202677106485
,2026 DE32,000000IOw5I2,23.359,,Lg,149.8796999,2.2415757,2026-02-20 04:56:30.261000+00:00,61091.20590579882
,2026 DE32,000000IOw5I2,23.161,,Lg,149.8796014,2.2416118,2026-02-20 04:57:10.377000+00:00,61091.206370104104
,2026 DE32,000000IOw5I2,23.197,,Lg,149.8793943,2.2416251,2026-02-20 04:58:42.167000+00:00,61091.207432488445
,2026 DE32,000000IOw5I2,23.302,,Lg,149.8790091,2.2417131,2026-02-20 05:01:23.467000+00:00,61091.20929938648
,2026 DE32,000000IOw5I2,23.302,,Lg,149.878861,2.2417794,2026-02-20 05:02:03.689000+00:00,61091.20976491878
,2026 DE32,000000IOw5I2,23.326,,Lg,149.8787868,2.2417861,2026-02-20 05:02:43.919000+00:00,61091.21023054421
,2026 DE32,000000IOw5I2,22.163,,Lz,149.8773572,2.2421222,2026-02-20 05:12:48.664000+00:00,61091.2172299074
,2026 DE32,000000IOw5I2,22.771,,Lz,149.87716,2.2421736,2026-02-20 05:14:09.302000+00:00,61091.21816321742
,2026 DE32,000000IOw5I2,22.711,,Lr,149.8763608,2.2423317,2026-02-20 05:19:30.932000+00:00,61091.22188578686
,2026 DE32,000000IOw5I2,22.519,,Lr,149.8760874,2.2424311,2026-02-20 05:21:31.600000+00:00,61091.2232824075
,2026 DE32,000000IOw5I2,22.892,,Lr,149.875856,2.2424666,2026-02-20 05:23:02.593000+00:00,61091.224335567094
,2026 DE32,000000IOw5I2,22.646,,Lr,149.8754436,2.2425396,2026-02-20 05:25:43.662000+00:00,61091.22619979177
,2026 DE32,000000IOw5I2,22.891,,Lr,149.875369,2.2425625,2026-02-20 05:26:24.081000+00:00,61091.22666760394
,2026 DE32,000000IOw5I2,22.704,,Lr,149.8751783,2.2426245,2026-02-20 05:27:44.383000+00:00,61091.22759702569
,2026 DE32,000000IOw5I3,22.534,,Lz,149.2574666,2.3939579,2026-02-23 06:30:35.281000+00:00,61094.27124167839
,2026 DE32,000000IOw5I3,22.43,,Lz,149.2572716,2.3940059,2026-02-23 06:31:54.172000+00:00,61094.27215476846
,2026 DE32,000000IOw5I4,22.426,,Li,149.0918343,2.4365003,2026-02-24 02:20:29.574000+00:00,61095.097564513795
,2026 DE32,000000IOw5I4,22.66,,Li,149.0917103,2.4365353,2026-02-24 02:21:09.863000+00:00,61095.098030821886
,2026 DE32,000000IOw5I4,22.68,,Li,149.0911491,2.4366603,2026-02-24 02:25:12.130000+00:00,61095.100834838115
,2026 DE32,000000IOw5I4,22.561,,Li,149.091053,2.4366843,2026-02-24 02:25:53.066000+00:00,61095.10130863404
,2026 DE32,000000IOw5I4,22.499,,Li,149.0909517,2.4367084,2026-02-24 02:26:33.282000+00:00,61095.10177409742
,2026 DE32,000000IOw5I4,22.666,,Li,149.0907645,2.4367511,2026-02-24 02:27:54.281000+00:00,61095.102711585816
,2026 DE32,000000IOw5I4,22.538,,Li,149.0905345,2.4368657,2026-02-24 02:29:23.359000+00:00,61095.10374258086
,2026 DE32,000000IOw5I4,22.538,,Li,149.0904495,2.4368305,2026-02-24 02:30:03.668000+00:00,61095.104209120385
,2026 DE32,000000IOw5I4,23.527,,Lg,149.0900965,2.4369277,2026-02-24 02:32:49.105000+00:00,61095.10612390051
,2026 DE32,000000IOw5I4,23.519,,Lg,149.0899711,2.436988,2026-02-24 02:33:29.574000+00:00,61095.1065922915
,2026 DE32,000000IOw5I4,23.291,,Lg,149.0894694,2.4370929,2026-02-24 02:36:51.800000+00:00,61095.10893287044
,2026 DE32,000000IOw5I4,23.32,,Lg,149.0891275,2.4371972,2026-02-24 02:39:33.456000+00:00,61095.11080388911
,2026 DE32,000000IOw5I4,23.521,,Lg,149.089013,2.4371909,2026-02-24 02:40:13.654000+00:00,61095.11126914341
,2026 DE32,000000IOw5I4,23.308,,Lg,149.0888988,2.4372125,2026-02-24 02:40:54.158000+00:00,61095.111737939995
,2026 DE32,000000IOw5I4,22.656,,Lz,149.0879065,2.4374584,2026-02-24 02:47:38.097000+00:00,61095.11641315976
,2026 DE32,000000IOw5I4,22.526,,Lz,149.0877559,2.4375505,2026-02-24 02:48:59.066000+00:00,61095.117350300774
,2026 DE32,000000IOw5I4,22.661,,Lz,149.087569,2.4375832,2026-02-24 02:50:19.860000+00:00,61095.118285416625
,2026 DE32,000000IOw5I4,22.655,,Lz,149.0874611,2.4376296,2026-02-24 02:51:00.515000+00:00,61095.11875596084
,2026 DE32,000000IOw5I4,22.599,,Lz,149.0872691,2.4376271,2026-02-24 02:52:21.363000+00:00,61095.119691701606
,2026 DE32,000000IOw5I4,22.501,,Lz,149.0869648,2.4377087,2026-02-24 02:54:21.474000+00:00,61095.12108187517
