permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
,2026 DF30,000000IOw4e1,22.174,,Lr,151.5799432,2.3035026,2026-02-17 05:04:38.017000+00:00,61088.21155112283
,2026 DF30,000000IOw4e1,22.073,,Lz,151.5787806,2.3037425,2026-02-17 05:10:50.763000+00:00,61088.21586531261
,2026 DF30,000000IOw4e1,22.1,,Lz,151.5783549,2.3038055,2026-02-17 05:13:06.058000+00:00,61088.217431226745
,2026 DF30,000000IOw4e2,21.657,,Li,151.0670164,2.4126793,2026-02-19 04:21:27.526000+00:00,61090.18156858813
,2026 DF30,000000IOw4e2,21.737,,Li,151.0663831,2.4128128,2026-02-19 04:24:48.936000+00:00,61090.18389972206
,2026 DF30,000000IOw4e2,22.47,,Lg,151.0650776,2.4130856,2026-02-19 04:31:44.403000+00:00,61090.18870836822
,2026 DF30,000000IOw4e2,22.533,,Lg,151.0648313,2.4131458,2026-02-19 04:33:04.726000+00:00,61090.18963803258
,2026 DF30,000000IOw4e2,22.486,,Lg,151.0645838,2.4131844,2026-02-19 04:34:24.791000+00:00,61090.19056471065
,2026 DF30,000000IOw4e2,22.504,,Lg,151.0644501,2.413213,2026-02-19 04:35:05.014000+00:00,61090.19103025459
,2026 DF30,000000IOw4e2,22.533,,Lg,151.0640536,2.4132837,2026-02-19 04:37:05.536000+00:00,61090.19242518535
,2026 DF30,000000IOw4e2,22.61,,Lg,151.0639372,2.4133195,2026-02-19 04:37:45.897000+00:00,61090.19289232651
,2026 DF30,000000IOw4e2,22.568,,Lg,151.0638182,2.4133605,2026-02-19 04:38:26.227000+00:00,61090.19335910864
,2026 DF30,000000IOw4e2,22.55,,Lg,151.0636778,2.4133923,2026-02-19 04:39:06.122000+00:00,61090.19382085651
,2026 DF30,000000IOw4e2,22.652,,Lg,151.0635647,2.4134175,2026-02-19 04:39:46.355000+00:00,61090.1942865164
,2026 DF30,000000IOw4e2,22.004,,Lz,151.0626097,2.413611,2026-02-19 04:44:46.352000+00:00,61090.19775870349
,2026 DF30,000000IOw4e2,21.981,,Lz,151.062519,2.4136679,2026-02-19 04:45:26.546000+00:00,61090.19822391216
,2026 DF30,000000IOw4e2,22.028,,Lz,151.0622245,2.4136963,2026-02-19 04:46:46.884000+00:00,61090.1991537502
,2026 DF30,000000IOw4e2,21.915,,Lz,151.0618524,2.4137389,2026-02-19 04:48:47.587000+00:00,61090.20055077551
,2026 DF30,000000IOw4e2,22.07,,Lz,151.0615938,2.4137858,2026-02-19 04:50:08.193000+00:00,61090.201483715326
,2026 DF30,000000IOw4e2,22.107,,Lz,151.0613327,2.413888,2026-02-19 04:51:28.132000+00:00,61090.20240893541
,2026 DF30,000000IOw4e2,21.987,,Lz,151.0612614,2.4139997,2026-02-19 04:52:08.410000+00:00,61090.20287511591
,2026 DF30,000000IOw4e2,22.248,,Lr,151.0604344,2.4140821,2026-02-19 04:56:17.732000+00:00,61090.20576078724
,2026 DF30,000000IOw4e2,22.243,,Lr,151.0601872,2.414128,2026-02-19 04:57:38.177000+00:00,61090.20669186348
,2026 DF30,000000IOw4e2,22.228,,Lr,151.0600726,2.4141531,2026-02-19 04:58:18.220000+00:00,61090.20715532405
,2026 DF30,000000IOw4e2,22.285,,Lr,151.0599261,2.4141918,2026-02-19 04:58:58.583000+00:00,61090.207622488495
,2026 DF30,000000IOw4e2,22.325,,Lr,151.0596738,2.4142392,2026-02-19 05:00:18.958000+00:00,61090.208552754484
,2026 DF30,000000IOw4e2,22.368,,Lr,151.0591665,2.4143348,2026-02-19 05:03:00.019000+00:00,61090.21041688649
,2026 DF30,000000IOw4e2,22.236,,Lr,151.0589342,2.4143941,2026-02-19 05:04:20.278000+00:00,61090.21134580998
,2026 DF30,000000IOw4e2,22.027,,Li,151.0580034,2.4145823,2026-02-19 05:09:12.213000+00:00,61090.214724687394
,2026 DF30,000000IOw4e2,21.988,,Li,151.0573812,2.4147193,2026-02-19 05:12:33.326000+00:00,61090.21705238428
,2026 DF30,000000IOw4e2,22.044,,Li,151.0571236,2.4147825,2026-02-19 05:13:53.580000+00:00,61090.217981250025
,2026 DF30,000000IOw4e2,21.948,,Li,151.0568313,2.4148256,2026-02-19 05:15:14.186000+00:00,61090.21891418984
,2026 DF30,000000IOw4e2,21.962,,Li,151.056748,2.4148306,2026-02-19 05:15:54.536000+00:00,61090.219381203875
,2026 DF30,000000IOw4e2,22.123,,Li,151.0565975,2.4148892,2026-02-19 05:16:34.736000+00:00,61090.21984648146
,2026 DF30,000000IOw4e2,21.989,,Li,151.0564672,2.4149023,2026-02-19 05:17:15.176000+00:00,61090.220314537175
,2026 DF30,000000IOw4e2,22.732,,Lg,151.0559648,2.4149704,2026-02-19 05:19:54.526000+00:00,61090.22215886554
,2026 DF30,000000IOw4e2,22.885,,Lg,151.0554697,2.4150931,2026-02-19 05:22:36.570000+00:00,61090.224034375045
,2026 DF30,000000IOw4e2,22.73,,Lg,151.0550805,2.4152124,2026-02-19 05:24:37.485000+00:00,61090.225433854386
,2026 DF30,000000IOw4e2,22.748,,Lg,151.0549978,2.4152486,2026-02-19 05:25:17.435000+00:00,61090.22589623835
,2026 DF30,000000IOw4e2,22.812,,Lg,151.0546001,2.4152836,2026-02-19 05:27:18.470000+00:00,61090.22729710629
,2026 DF30,000000IOw4e2,22.923,,Lg,151.0544584,2.4153479,2026-02-19 05:27:58.637000+00:00,61090.2277620025
,2026 DF30,000000IOw4e2,22.821,,Lg,151.0543267,2.4153702,2026-02-19 05:28:38.854000+00:00,61090.228227477055
,2026 DF30,000000IOw4e2,22.873,,Lg,151.0541936,2.4153891,2026-02-19 05:29:19.223000+00:00,61090.22869471088
,2026 DF30,000000IOw4e2,22.043,,Lz,151.0535538,2.4155151,2026-02-19 05:32:37.606000+00:00,61090.23099081032
,2026 DF30,000000IOw4e2,22.097,,Lz,151.0528171,2.4156398,2026-02-19 05:36:39.575000+00:00,61090.233791377395
,2026 DF30,000000IOw4e2,22.164,,Lz,151.0525918,2.4157402,2026-02-19 05:37:59.889000+00:00,61090.23472093744
,2026 DF30,000000IOw4e2,21.932,,Lz,151.0520647,2.4158488,2026-02-19 05:40:40.888000+00:00,61090.236584351864
,2026 DF30,000000IOw4e2,22.047,,Lz,151.051936,2.4158832,2026-02-19 05:41:21.268000+00:00,61090.237051712815
,2026 DF30,000000IOw4e2,22.048,,Lr,151.0510339,2.4160578,2026-02-19 05:46:05.912000+00:00,61090.24034620356
,2026 DF30,000000IOw4e2,21.927,,Lr,151.0501452,2.4162457,2026-02-19 05:50:48.141000+00:00,61090.24361274298
,2026 DF30,000000IOw4e3,21.661,,Li,150.8106989,2.4702525,2026-02-20 03:58:19.854000+00:00,61091.16550756944
,2026 DF30,000000IOw4e3,21.725,,Li,150.8101821,2.4703533,2026-02-20 04:01:00.920000+00:00,61091.16737175919
