permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
,2026 DH42,000000IOw9Y1,23.402,,Lr,151.0734996,2.5830423,2026-02-17 05:05:18.134000+00:00,61088.212015439756
,2026 DH42,000000IOw9Y1,22.873,,Lz,151.0730318,2.5831547,2026-02-17 05:08:35.589000+00:00,61088.21430079872
,2026 DH42,000000IOw9Y1,22.853,,Lz,151.0723613,2.5832455,2026-02-17 05:13:06.058000+00:00,61088.217431226745
,2026 DH42,000000IOw9Y2,23.248,,Li,150.6684237,2.6685785,2026-02-19 04:21:27.526000+00:00,61090.18156858813
,2026 DH42,000000IOw9Y2,23.307,,Li,150.6680308,2.6687165,2026-02-19 04:24:08.380000+00:00,61090.18343032431
,2026 DH42,000000IOw9Y2,23.451,,Li,150.6677219,2.6687326,2026-02-19 04:26:09.935000+00:00,61090.18483721046
,2026 DH42,000000IOw9Y2,23.187,,Li,150.6676001,2.6687878,2026-02-19 04:26:49.860000+00:00,61090.18529930571
,2026 DH42,000000IOw9Y2,23.754,,Lg,150.6670714,2.6688927,2026-02-19 04:30:50.424000+00:00,61090.18808361096
,2026 DH42,000000IOw9Y2,23.758,,Lg,150.6668729,2.6688627,2026-02-19 04:31:44.403000+00:00,61090.18870836822
,2026 DH42,000000IOw9Y2,23.768,,Lg,150.6666943,2.6689779,2026-02-19 04:33:04.726000+00:00,61090.18963803258
,2026 DH42,000000IOw9Y2,23.761,,Lg,150.6665878,2.6689266,2026-02-19 04:33:44.655000+00:00,61090.190100173466
,2026 DH42,000000IOw9Y2,23.639,,Lg,150.666176,2.6690849,2026-02-19 04:36:25.229000+00:00,61090.19195866911
,2026 DH42,000000IOw9Y2,23.705,,Lg,150.6660031,2.6690597,2026-02-19 04:37:45.897000+00:00,61090.19289232651
,2026 DH42,000000IOw9Y2,23.842,,Lg,150.6659461,2.6691305,2026-02-19 04:38:26.227000+00:00,61090.19335910864
,2026 DH42,000000IOw9Y2,22.876,,Lz,150.6650679,2.6693179,2026-02-19 04:44:05.873000+00:00,61090.19729019655
,2026 DH42,000000IOw9Y2,22.758,,Lz,150.6638176,2.6696174,2026-02-19 04:52:48.968000+00:00,61090.203344536945
,2026 DH42,000000IOw9Y2,22.945,,Lr,150.6633109,2.6696841,2026-02-19 04:56:17.732000+00:00,61090.20576078724
,2026 DH42,000000IOw9Y2,23.208,,Lr,150.6629071,2.6697215,2026-02-19 04:58:58.583000+00:00,61090.207622488495
,2026 DH42,000000IOw9Y2,23.33,,Lr,150.6626814,2.6698093,2026-02-19 05:00:18.958000+00:00,61090.208552754484
,2026 DH42,000000IOw9Y2,23.274,,Lr,150.6625881,2.669774,2026-02-19 05:00:58.918000+00:00,61090.20901525486
,2026 DH42,000000IOw9Y2,23.416,,Lr,150.66247,2.6698374,2026-02-19 05:01:39.326000+00:00,61090.209482939914
,2026 DH42,000000IOw9Y2,23.291,,Lr,150.6620927,2.6698965,2026-02-19 05:04:20.278000+00:00,61090.21134580998
,2026 DH42,000000IOw9Y2,23.521,,Li,150.6614942,2.6700331,2026-02-19 05:08:32.093000+00:00,61090.214260335546
,2026 DH42,000000IOw9Y2,23.241,,Li,150.6611874,2.6701074,2026-02-19 05:10:32.625000+00:00,61090.21565538179
,2026 DH42,000000IOw9Y2,24.127,,Lg,150.6596976,2.6703858,2026-02-19 05:21:15.629000+00:00,61090.22309755767
,2026 DH42,000000IOw9Y2,23.747,,Lg,150.6595045,2.6703811,2026-02-19 05:21:55.910000+00:00,61090.22356377309
,2026 DH42,000000IOw9Y2,23.857,,Lg,150.6593417,2.6705023,2026-02-19 05:23:16.817000+00:00,61090.224500196986
,2026 DH42,000000IOw9Y2,23.769,,Lg,150.6589433,2.6705395,2026-02-19 05:25:17.435000+00:00,61090.22589623835
,2026 DH42,000000IOw9Y2,23.679,,Lg,150.6589365,2.67063,2026-02-19 05:25:57.880000+00:00,61090.22636435181
,2026 DH42,000000IOw9Y2,22.751,,Lz,150.6573056,2.6709293,2026-02-19 05:36:39.575000+00:00,61090.233791377395
,2026 DH42,000000IOw9Y2,23.378,,Lr,150.6560949,2.6711982,2026-02-19 05:45:25.639000+00:00,61090.2398800808
,2026 DH42,000000IOw9Y2,23.272,,Lr,150.6559435,2.671226,2026-02-19 05:46:05.912000+00:00,61090.24034620356
,2026 DH42,000000IOw9Y2,23.352,,Lr,150.6558673,2.6712542,2026-02-19 05:46:46.204000+00:00,61090.24081254611
,2026 DH42,000000IOw9Y2,23.383,,Lr,150.655596,2.6712756,2026-02-19 05:48:47.249000+00:00,61090.24221353
,2026 DH42,000000IOw9Y2,23.491,,Lr,150.6554402,2.6713755,2026-02-19 05:50:07.849000+00:00,61090.24314640043
,2026 DH42,000000IOw9Y2,23.353,,Lr,150.6552909,2.6713556,2026-02-19 05:50:48.141000+00:00,61090.24361274298
,2026 DH42,000000IOw9Y2,23.545,,Lr,150.6551639,2.6714188,2026-02-19 05:51:28.309000+00:00,61090.244077650364
,2026 DH42,000000IOw9Y2,23.377,,Lr,150.6549697,2.6713755,2026-02-19 05:52:48.729000+00:00,61090.24500843743
,2026 DH42,000000IOw9Y2,23.441,,Lr,150.6549071,2.6714196,2026-02-19 05:53:29.326000+00:00,61090.24547831016
,2026 DH42,000000IOw9Y3,23.82,,Lg,149.8583694,2.852169,2026-02-23 03:06:28.947000+00:00,61094.12950170133
,2026 DH42,000000IOw9Y3,23.849,,Lg,149.8581276,2.8521852,2026-02-23 03:07:49.285000+00:00,61094.13043153938
,2026 DH42,000000IOw9Y3,23.928,,Lg,149.8572092,2.8523909,2026-02-23 03:14:01.241000+00:00,61094.13473658543
,2026 DH42,000000IOw9Y3,23.885,,Lg,149.8567055,2.8525407,2026-02-23 03:17:38.272000+00:00,61094.13724851841
,2026 DH42,000000IOw9Y3,23.899,,Lg,149.8563879,2.8525891,2026-02-23 03:19:40.236000+00:00,61094.13866013894
,2026 DH42,000000IOw9Y3,23.908,,Lg,149.8562611,2.8526358,2026-02-23 03:20:26.724000+00:00,61094.13919819426
