permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
,2026 DJ40,000000IOw941,22.599,,Li,151.776623,1.833322,2026-02-19 04:22:07.864000+00:00,61090.18203546293
,2026 DJ40,000000IOw941,22.397,,Li,151.7764724,1.8333679,2026-02-19 04:22:48.017000+00:00,61090.18250019662
,2026 DJ40,000000IOw941,22.458,,Li,151.7760283,1.8336069,2026-02-19 04:25:29.139000+00:00,61090.18436503457
,2026 DJ40,000000IOw941,23.276,,Lg,151.7749238,1.8341679,2026-02-19 04:31:44.403000+00:00,61090.18870836822
,2026 DJ40,000000IOw941,23.181,,Lg,151.7748424,1.8342211,2026-02-19 04:32:24.797000+00:00,61090.189175891224
,2026 DJ40,000000IOw941,23.236,,Lg,151.774382,1.8345109,2026-02-19 04:35:05.014000+00:00,61090.19103025459
,2026 DJ40,000000IOw941,23.264,,Lg,151.7738164,1.8347987,2026-02-19 04:38:26.227000+00:00,61090.19335910864
,2026 DJ40,000000IOw941,23.41,,Lg,151.7734593,1.8349369,2026-02-19 04:40:27.052000+00:00,61090.1947575463
,2026 DJ40,000000IOw941,22.662,,Lz,151.7727691,1.8353276,2026-02-19 04:44:46.352000+00:00,61090.19775870349
,2026 DJ40,000000IOw941,22.552,,Lz,151.7726005,1.8353938,2026-02-19 04:45:26.546000+00:00,61090.19822391216
,2026 DJ40,000000IOw941,22.56,,Lz,151.7722375,1.8355802,2026-02-19 04:47:27.171000+00:00,61090.199620034546
,2026 DJ40,000000IOw941,22.612,,Lz,151.7715733,1.8358717,2026-02-19 04:50:48.365000+00:00,61090.20194866881
,2026 DJ40,000000IOw941,22.742,,Lz,151.7713446,1.8360569,2026-02-19 04:52:48.968000+00:00,61090.203344536945
,2026 DJ40,000000IOw941,22.568,,Lr,151.7705923,1.8364273,2026-02-19 04:56:58.137000+00:00,61090.20622843737
,2026 DJ40,000000IOw941,22.656,,Lr,151.7702721,1.8366347,2026-02-19 04:58:58.583000+00:00,61090.207622488495
,2026 DJ40,000000IOw941,22.517,,Lr,151.7701734,1.8366859,2026-02-19 04:59:38.828000+00:00,61090.20808828715
,2026 DJ40,000000IOw941,22.557,,Lr,151.7692279,1.8371772,2026-02-19 05:05:00.614000+00:00,61090.21181266196
,2026 DJ40,000000IOw941,22.652,,Li,151.7684009,1.83759,2026-02-19 05:09:52.364000+00:00,61090.21518939827
,2026 DJ40,000000IOw941,22.417,,Li,151.7682943,1.8376572,2026-02-19 05:10:32.625000+00:00,61090.21565538179
,2026 DJ40,000000IOw941,22.625,,Li,151.7675014,1.8380888,2026-02-19 05:15:14.186000+00:00,61090.21891418984
,2026 DJ40,000000IOw941,22.517,,Li,151.7671304,1.8382648,2026-02-19 05:17:15.176000+00:00,61090.220314537175
,2026 DJ40,000000IOw941,23.286,,Lg,151.7666981,1.8384983,2026-02-19 05:19:54.526000+00:00,61090.22215886554
,2026 DJ40,000000IOw941,23.324,,Lg,151.7664592,1.8386059,2026-02-19 05:21:15.629000+00:00,61090.22309755767
,2026 DJ40,000000IOw941,23.171,,Lg,151.7662784,1.8386012,2026-02-19 05:21:55.910000+00:00,61090.22356377309
,2026 DJ40,000000IOw941,23.279,,Lg,151.7661173,1.8387865,2026-02-19 05:23:16.817000+00:00,61090.224500196986
,2026 DJ40,000000IOw941,23.13,,Lg,151.7659691,1.8388124,2026-02-19 05:23:57.224000+00:00,61090.224967870396
,2026 DJ40,000000IOw941,23.394,,Lg,151.7659131,1.8389032,2026-02-19 05:24:37.485000+00:00,61090.225433854386
,2026 DJ40,000000IOw941,23.222,,Lg,151.7656751,1.8390165,2026-02-19 05:25:57.880000+00:00,61090.22636435181
,2026 DJ40,000000IOw941,23.333,,Lg,151.7655171,1.8390901,2026-02-19 05:26:38.112000+00:00,61090.22683000006
,2026 DJ40,000000IOw941,23.184,,Lg,151.7650727,1.83936,2026-02-19 05:29:19.223000+00:00,61090.22869471088
,2026 DJ40,000000IOw941,22.283,,Lz,151.7646381,1.8395323,2026-02-19 05:31:59.965000+00:00,61090.23055515066
,2026 DJ40,000000IOw941,22.479,,Lz,151.764208,1.8396955,2026-02-19 05:33:58.133000+00:00,61090.23192283558
