permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
,2026 DK42,000000IOw9Z1,23.115,,Li,151.1399951,2.4383039,2026-02-19 04:19:26.648000+00:00,61090.1801695372
,2026 DK42,000000IOw9Z1,23.114,,Li,151.1395018,2.4384653,2026-02-19 04:22:07.864000+00:00,61090.18203546293
,2026 DK42,000000IOw9Z1,22.833,,Li,151.1393044,2.4385094,2026-02-19 04:23:28.333000+00:00,61090.18296681717
,2026 DK42,000000IOw9Z1,23.343,,Li,151.1387583,2.4386916,2026-02-19 04:26:49.860000+00:00,61090.18529930571
,2026 DK42,000000IOw9Z1,23.835,,Lg,151.1380177,2.4389067,2026-02-19 04:30:50.424000+00:00,61090.18808361096
,2026 DK42,000000IOw9Z1,23.446,,Lg,151.1370862,2.4392466,2026-02-19 04:37:05.536000+00:00,61090.19242518535
,2026 DK42,000000IOw9Z1,23.681,,Lg,151.1368321,2.4393291,2026-02-19 04:38:26.227000+00:00,61090.19335910864
,2026 DK42,000000IOw9Z1,23.54,,Lg,151.1364854,2.4393842,2026-02-19 04:40:27.052000+00:00,61090.1947575463
,2026 DK42,000000IOw9Z1,22.795,,Lz,151.135912,2.4395882,2026-02-19 04:44:05.873000+00:00,61090.19729019655
,2026 DK42,000000IOw9Z1,23.274,,Lr,151.1340306,2.4402142,2026-02-19 04:55:24.404000+00:00,61090.20514356485
,2026 DK42,000000IOw9Z1,23.127,,Lr,151.1338333,2.4402569,2026-02-19 04:56:17.732000+00:00,61090.20576078724
,2026 DK42,000000IOw9Z1,23.378,,Lr,151.1336771,2.4403243,2026-02-19 04:56:58.137000+00:00,61090.20622843737
,2026 DK42,000000IOw9Z1,23.261,,Lr,151.133528,2.4403241,2026-02-19 04:58:18.220000+00:00,61090.20715532405
,2026 DK42,000000IOw9Z1,23.274,,Lr,151.1330955,2.4405232,2026-02-19 05:00:58.918000+00:00,61090.20901525486
,2026 DK42,000000IOw9Z1,23.244,,Lr,151.1327383,2.4406494,2026-02-19 05:03:00.019000+00:00,61090.21041688649
,2026 DK42,000000IOw9Z1,23.12,,Lr,151.132644,2.4406633,2026-02-19 05:03:40.023000+00:00,61090.210879895836
,2026 DK42,000000IOw9Z1,23.05,,Li,151.1314973,2.4410392,2026-02-19 05:10:32.625000+00:00,61090.21565538179
,2026 DK42,000000IOw9Z1,22.849,,Li,151.1311709,2.441135,2026-02-19 05:12:33.326000+00:00,61090.21705238428
,2026 DK42,000000IOw9Z1,23.184,,Li,151.1308533,2.4412515,2026-02-19 05:14:33.996000+00:00,61090.21844902774
,2026 DK42,000000IOw9Z1,23.578,,Lg,151.1299053,2.4415351,2026-02-19 05:19:54.526000+00:00,61090.22215886554
,2026 DK42,000000IOw9Z1,23.461,,Lg,151.1298743,2.4416298,2026-02-19 05:20:35.246000+00:00,61090.22263016226
,2026 DK42,000000IOw9Z1,23.726,,Lg,151.1297156,2.4415779,2026-02-19 05:21:15.629000+00:00,61090.22309755767
,2026 DK42,000000IOw9Z1,23.727,,Lg,151.1295152,2.4417177,2026-02-19 05:22:36.570000+00:00,61090.224034375045
,2026 DK42,000000IOw9Z1,23.487,,Lg,151.1293421,2.4417199,2026-02-19 05:23:57.224000+00:00,61090.224967870396
,2026 DK42,000000IOw9Z1,23.618,,Lg,151.129171,2.4418643,2026-02-19 05:24:37.485000+00:00,61090.225433854386
,2026 DK42,000000IOw9Z1,23.495,,Lg,151.1291141,2.4418208,2026-02-19 05:25:17.435000+00:00,61090.22589623835
,2026 DK42,000000IOw9Z1,23.534,,Lg,151.1289656,2.4418905,2026-02-19 05:25:57.880000+00:00,61090.22636435181
,2026 DK42,000000IOw9Z1,23.708,,Lg,151.1288469,2.4419103,2026-02-19 05:26:38.112000+00:00,61090.22683000006
,2026 DK42,000000IOw9Z1,23.66,,Lg,151.1287838,2.4419291,2026-02-19 05:27:18.470000+00:00,61090.22729710629
,2026 DK42,000000IOw9Z1,23.622,,Lg,151.1283536,2.4420196,2026-02-19 05:29:19.223000+00:00,61090.22869471088
,2026 DK42,000000IOw9Z1,22.683,,Lz,151.126832,2.442582,2026-02-19 05:38:40.559000+00:00,61090.23519165488
,2026 DK42,000000IOw9Z1,22.974,,Lz,151.1267272,2.4426119,2026-02-19 05:39:20.779000+00:00,61090.23565716436
,2026 DK42,000000IOw9Z1,23.137,,Lr,151.1259647,2.4428599,2026-02-19 05:44:01.312000+00:00,61090.2389040743
,2026 DK42,000000IOw9Z1,23.441,,Lr,151.1254989,2.4430495,2026-02-19 05:46:46.204000+00:00,61090.24081254611
,2026 DK42,000000IOw9Z1,23.178,,Lr,151.1254131,2.4430407,2026-02-19 05:47:26.636000+00:00,61090.24128050916
,2026 DK42,000000IOw9Z1,23.302,,Lr,151.1253399,2.4431235,2026-02-19 05:48:06.925000+00:00,61090.24174681725
,2026 DK42,000000IOw9Z1,23.13,,Lr,151.1251445,2.4431071,2026-02-19 05:48:47.249000+00:00,61090.24221353
,2026 DK42,000000IOw9Z1,23.157,,Lr,151.1250918,2.4431413,2026-02-19 05:49:27.424000+00:00,61090.24267851841
,2026 DK42,000000IOw9Z1,23.371,,Lr,151.1248681,2.4432628,2026-02-19 05:50:48.141000+00:00,61090.24361274298
,2026 DK42,000000IOw9Z1,23.299,,Lr,151.1246401,2.4433236,2026-02-19 05:52:08.529000+00:00,61090.244543159846
,2026 DK42,000000IOw9Z1,23.345,,Lr,151.1245235,2.4433341,2026-02-19 05:52:48.729000+00:00,61090.24500843743
,2026 DK42,000000IOw9Z1,23.269,,Lr,151.1244118,2.4433674,2026-02-19 05:53:29.326000+00:00,61090.24547831016
,2026 DK42,000000IOw9Z2,22.975,,Li,150.91366,2.5155008,2026-02-20 03:54:13.158000+00:00,61091.16265229182
,2026 DK42,000000IOw9Z2,23.169,,Li,150.913339,2.5155711,2026-02-20 03:56:13.964000+00:00,61091.16405050922
,2026 DK42,000000IOw9Z2,23.157,,Li,150.91301,2.5157106,2026-02-20 03:58:19.854000+00:00,61091.16550756944
,2026 DK42,000000IOw9Z2,23.159,,Li,150.9128742,2.5157571,2026-02-20 03:59:00.216000+00:00,61091.165974722244
,2026 DK42,000000IOw9Z2,23.062,,Li,150.9125726,2.5158505,2026-02-20 04:01:00.920000+00:00,61091.16737175919
,2026 DK42,000000IOw9Z2,23.124,,Li,150.9122177,2.515995,2026-02-20 04:03:01.275000+00:00,61091.16876475699
,2026 DK42,000000IOw9Z2,23.756,,Lg,150.9117177,2.5161212,2026-02-20 04:05:51.604000+00:00,61091.170736157335
,2026 DK42,000000IOw9Z2,23.413,,Lg,150.9116149,2.5161552,2026-02-20 04:06:31.940000+00:00,61091.17120300932
,2026 DK42,000000IOw9Z2,23.391,,Lg,150.9113109,2.5162738,2026-02-20 04:08:32.488000+00:00,61091.1725982409
,2026 DK42,000000IOw9Z2,23.53,,Lg,150.9111836,2.5163089,2026-02-20 04:09:19.249000+00:00,61091.173139456194
,2026 DK42,000000IOw9Z2,23.521,,Lg,150.9110545,2.516346,2026-02-20 04:09:59.136000+00:00,61091.17360111093
,2026 DK42,000000IOw9Z2,23.833,,Lg,150.9109191,2.5164174,2026-02-20 04:10:39.462000+00:00,61091.17406784743
,2026 DK42,000000IOw9Z2,23.497,,Lg,150.9107392,2.5164337,2026-02-20 04:12:00.057000+00:00,61091.175000659656
,2026 DK42,000000IOw9Z2,23.58,,Lg,150.9105935,2.5164963,2026-02-20 04:12:40.669000+00:00,61091.175470706075
,2026 DK42,000000IOw9Z2,23.781,,Lg,150.910494,2.5165057,2026-02-20 04:13:20.930000+00:00,61091.1759366896
,2026 DK42,000000IOw9Z2,23.533,,Lg,150.9103731,2.5165633,2026-02-20 04:14:01.007000+00:00,61091.17640054412
