permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
,2026 DL31,000000IOw4Y1,22.676,,Lr,150.8654519,1.5813721,2026-02-17 05:04:38.017000+00:00,61088.21155112283
,2026 DL31,000000IOw4Y1,22.626,,Lz,150.8649609,1.5815628,2026-02-17 05:08:01.225000+00:00,61088.21390306717
,2026 DL31,000000IOw4Y1,22.537,,Lz,150.864657,1.5816557,2026-02-17 05:10:16.373000+00:00,61088.21546728024
,2026 DL31,000000IOw4Y2,22.354,,Li,150.4781003,1.7288314,2026-02-19 04:20:07.066000+00:00,61090.18063733773
,2026 DL31,000000IOw4Y2,23.146,,Lg,150.4765839,1.7293815,2026-02-19 04:30:50.424000+00:00,61090.18808361096
,2026 DL31,000000IOw4Y2,23.18,,Lg,150.476479,1.7294613,2026-02-19 04:31:44.403000+00:00,61090.18870836822
,2026 DL31,000000IOw4Y2,23.153,,Lg,150.4763769,1.7294611,2026-02-19 04:32:24.797000+00:00,61090.189175891224
,2026 DL31,000000IOw4Y2,23.242,,Lg,150.4762147,1.7295736,2026-02-19 04:33:44.655000+00:00,61090.190100173466
,2026 DL31,000000IOw4Y2,23.156,,Lg,150.4761031,1.7296088,2026-02-19 04:34:24.791000+00:00,61090.19056471065
,2026 DL31,000000IOw4Y2,23.041,,Lg,150.4758111,1.7297141,2026-02-19 04:36:25.229000+00:00,61090.19195866911
,2026 DL31,000000IOw4Y2,23.268,,Lg,150.475633,1.7297502,2026-02-19 04:37:45.897000+00:00,61090.19289232651
,2026 DL31,000000IOw4Y2,23.335,,Lg,150.4754524,1.7298413,2026-02-19 04:39:06.122000+00:00,61090.19382085651
,2026 DL31,000000IOw4Y2,23.339,,Lg,150.4753377,1.7298731,2026-02-19 04:39:46.355000+00:00,61090.1942865164
,2026 DL31,000000IOw4Y2,23.395,,Lg,150.4752445,1.729911,2026-02-19 04:40:27.052000+00:00,61090.1947575463
,2026 DL31,000000IOw4Y2,22.623,,Lz,150.4747656,1.7301329,2026-02-19 04:44:05.873000+00:00,61090.19729019655
,2026 DL31,000000IOw4Y2,22.41,,Lz,150.4744861,1.7301972,2026-02-19 04:46:06.716000+00:00,61090.19868884282
,2026 DL31,000000IOw4Y2,22.175,,Lz,150.474354,1.7302666,2026-02-19 04:46:46.884000+00:00,61090.1991537502
,2026 DL31,000000IOw4Y2,22.367,,Lz,150.4740393,1.7303666,2026-02-19 04:49:27.964000+00:00,61090.201018102
,2026 DL31,000000IOw4Y2,22.534,,Lz,150.4738085,1.7304174,2026-02-19 04:50:08.193000+00:00,61090.201483715326
,2026 DL31,000000IOw4Y2,22.533,,Lz,150.4737194,1.7304798,2026-02-19 04:50:48.365000+00:00,61090.20194866881
,2026 DL31,000000IOw4Y2,22.598,,Lr,150.473129,1.7307071,2026-02-19 04:55:24.404000+00:00,61090.20514356485
,2026 DL31,000000IOw4Y2,22.661,,Lr,150.4729612,1.7307724,2026-02-19 04:56:17.732000+00:00,61090.20576078724
,2026 DL31,000000IOw4Y2,22.712,,Lr,150.4727226,1.730798,2026-02-19 04:58:18.220000+00:00,61090.20715532405
,2026 DL31,000000IOw4Y2,22.76,,Lr,150.4726336,1.7308744,2026-02-19 04:58:58.583000+00:00,61090.207622488495
,2026 DL31,000000IOw4Y2,22.733,,Lr,150.4725191,1.7309189,2026-02-19 04:59:38.828000+00:00,61090.20808828715
,2026 DL31,000000IOw4Y2,22.595,,Lr,150.4724509,1.7309588,2026-02-19 05:00:18.958000+00:00,61090.208552754484
,2026 DL31,000000IOw4Y2,22.647,,Lr,150.4721425,1.7310527,2026-02-19 05:02:19.715000+00:00,61090.20995040517
,2026 DL31,000000IOw4Y2,22.726,,Lr,150.4720386,1.7311067,2026-02-19 05:03:00.019000+00:00,61090.21041688649
,2026 DL31,000000IOw4Y2,22.447,,Li,150.4713618,1.7313807,2026-02-19 05:07:43.469000+00:00,61090.2136975578
,2026 DL31,000000IOw4Y2,22.502,,Li,150.4707107,1.73161,2026-02-19 05:12:33.326000+00:00,61090.21705238428
,2026 DL31,000000IOw4Y2,22.516,,Li,150.4703233,1.7317324,2026-02-19 05:15:14.186000+00:00,61090.21891418984
,2026 DL31,000000IOw4Y2,22.398,,Li,150.4701277,1.7317867,2026-02-19 05:16:34.736000+00:00,61090.21984648146
,2026 DL31,000000IOw4Y2,22.376,,Li,150.4700612,1.731861,2026-02-19 05:17:15.176000+00:00,61090.220314537175
,2026 DL31,000000IOw4Y2,23.339,,Lg,150.4695663,1.7320212,2026-02-19 05:20:35.246000+00:00,61090.22263016226
,2026 DL31,000000IOw4Y2,23.22,,Lg,150.4694577,1.7320564,2026-02-19 05:21:15.629000+00:00,61090.22309755767
,2026 DL31,000000IOw4Y2,23.048,,Lg,150.469273,1.7321187,2026-02-19 05:22:36.570000+00:00,61090.224034375045
,2026 DL31,000000IOw4Y2,23.211,,Lg,150.4691017,1.7322046,2026-02-19 05:23:57.224000+00:00,61090.224967870396
,2026 DL31,000000IOw4Y2,23.135,,Lg,150.4689743,1.7322588,2026-02-19 05:24:37.485000+00:00,61090.225433854386
,2026 DL31,000000IOw4Y2,23.355,,Lg,150.4688876,1.7322689,2026-02-19 05:25:17.435000+00:00,61090.22589623835
,2026 DL31,000000IOw4Y2,23.12,,Lg,150.468742,1.7323698,2026-02-19 05:26:38.112000+00:00,61090.22683000006
,2026 DL31,000000IOw4Y2,23.396,,Lg,150.4686309,1.732414,2026-02-19 05:27:18.470000+00:00,61090.22729710629
,2026 DL31,000000IOw4Y2,23.312,,Lg,150.4685374,1.7324292,2026-02-19 05:27:58.637000+00:00,61090.2277620025
,2026 DL31,000000IOw4Y2,23.451,,Lg,150.4683313,1.7324768,2026-02-19 05:29:19.223000+00:00,61090.22869471088
,2026 DL31,000000IOw4Y2,22.253,,Lz,150.4679088,1.7326033,2026-02-19 05:31:59.965000+00:00,61090.23055515066
,2026 DL31,000000IOw4Y2,22.731,,Lz,150.4678593,1.7327263,2026-02-19 05:32:37.606000+00:00,61090.23099081032
,2026 DL31,000000IOw4Y2,22.49,,Lz,150.4677322,1.732646,2026-02-19 05:33:17.878000+00:00,61090.231456921436
,2026 DL31,000000IOw4Y2,22.289,,Lz,150.4676685,1.7327111,2026-02-19 05:33:58.133000+00:00,61090.23192283558
,2026 DL31,000000IOw4Y2,22.73,,Lz,150.4672602,1.7329197,2026-02-19 05:36:39.575000+00:00,61090.233791377395
,2026 DL31,000000IOw4Y2,22.5,,Lz,150.4670917,1.7329374,2026-02-19 05:37:59.889000+00:00,61090.23472093744
,2026 DL31,000000IOw4Y2,22.652,,Lz,150.466905,1.7330186,2026-02-19 05:39:20.779000+00:00,61090.23565716436
,2026 DL31,000000IOw4Y2,22.502,,Lz,150.4668281,1.7330609,2026-02-19 05:40:00.612000+00:00,61090.23611819465
,2026 DL31,000000IOw4Y2,22.837,,Lz,150.4666947,1.7331093,2026-02-19 05:40:40.888000+00:00,61090.236584351864
,2026 DL31,000000IOw4Y2,22.669,,Lr,150.4661432,1.7333139,2026-02-19 05:44:45.221000+00:00,61090.239412280265
,2026 DL31,000000IOw4Y2,22.685,,Lr,150.4658643,1.733445,2026-02-19 05:46:46.204000+00:00,61090.24081254611
,2026 DL31,000000IOw4Y2,22.762,,Lr,150.4657708,1.7334515,2026-02-19 05:47:26.636000+00:00,61090.24128050916
,2026 DL31,000000IOw4Y2,22.7,,Lr,150.4657014,1.7334708,2026-02-19 05:48:06.925000+00:00,61090.24174681725
,2026 DL31,000000IOw4Y2,22.616,,Lr,150.4656315,1.7335553,2026-02-19 05:48:47.249000+00:00,61090.24221353
,2026 DL31,000000IOw4Y2,22.816,,Lr,150.4651949,1.7336776,2026-02-19 05:51:28.309000+00:00,61090.244077650364
,2026 DL31,000000IOw4Y2,22.649,,Lr,150.4651087,1.7337146,2026-02-19 05:52:08.529000+00:00,61090.244543159846
,2026 DL31,000000IOw4Y2,22.805,,Lr,150.4650214,1.7337444,2026-02-19 05:52:48.729000+00:00,61090.24500843743
,2026 DL31,000000IOw4Y3,22.611,,Lr,150.2723461,1.8092686,2026-02-20 05:20:11.281000+00:00,61091.22235278925
,2026 DL31,000000IOw4Y3,22.706,,Lr,150.2720331,1.8093842,2026-02-20 05:22:22.511000+00:00,61091.2238716553
,2026 DL31,000000IOw4Y3,22.753,,Lr,150.2717581,1.8094856,2026-02-20 05:24:23.068000+00:00,61091.22526699072
,2026 DL31,000000IOw4Y3,22.651,,Lr,150.2716277,1.8095233,2026-02-20 05:25:03.343000+00:00,61091.22573313676
,2026 DL31,000000IOw4Y3,22.689,,Lr,150.2715616,1.8095799,2026-02-20 05:25:43.662000+00:00,61091.22619979177
,2026 DL31,000000IOw4Y3,22.878,,Lr,150.2713629,1.8096239,2026-02-20 05:27:04.137000+00:00,61091.22713121539
,2026 DL31,000000IOw4Y3,22.431,,Li,150.2597798,1.8140919,2026-02-20 06:49:10.786000+00:00,61091.284152615815
,2026 DL31,000000IOw4Y4,22.552,,Li,149.7018961,2.041,2026-02-23 02:54:09.099000+00:00,61094.120938645676
,2026 DL31,000000IOw4Y4,22.561,,Li,149.7017909,2.0410508,2026-02-23 02:54:49.350000+00:00,61094.12140451372
,2026 DL31,000000IOw4Y4,22.487,,Li,149.7017066,2.0410884,2026-02-23 02:55:29.705000+00:00,61094.12187158549
,2026 DL31,000000IOw4Y4,22.599,,Li,149.7015938,2.0411375,2026-02-23 02:56:09.796000+00:00,61094.122335602064
,2026 DL31,000000IOw4Y4,22.545,,Li,149.7014275,2.0411979,2026-02-23 02:57:30.168000+00:00,61094.12326583313
,2026 DL31,000000IOw4Y4,22.481,,Li,149.7013074,2.0412366,2026-02-23 02:58:10.721000+00:00,61094.12373519689
,2026 DL31,000000IOw4Y4,22.53,,Li,149.7011278,2.0413253,2026-02-23 02:59:31.220000+00:00,61094.124666898046
,2026 DL31,000000IOw4Y4,22.513,,Li,149.7009402,2.0414149,2026-02-23 03:00:52.154000+00:00,61094.1256036344
,2026 DL31,000000IOw4Y4,23.202,,Lg,149.6990128,2.0421961,2026-02-23 03:14:41.651000+00:00,61094.135204293765
,2026 DL31,000000IOw4Y4,23.319,,Lg,149.6986022,2.042348,2026-02-23 03:17:38.272000+00:00,61094.13724851841
,2026 DL31,000000IOw4Y4,23.158,,Lg,149.698308,2.0424626,2026-02-23 03:19:40.236000+00:00,61094.13866013894
,2026 DL31,000000IOw4Y4,22.422,,Lz,149.6975332,2.0427887,2026-02-23 03:25:06.069000+00:00,61094.14243135415
,2026 DL31,000000IOw4Y4,22.434,,Lz,149.6974261,2.0428163,2026-02-23 03:25:46.637000+00:00,61094.14290089114
,2026 DL31,000000IOw4Y4,22.519,,Lz,149.697356,2.0428342,2026-02-23 03:26:27.333000+00:00,61094.14337190986
,2026 DL31,000000IOw4Y4,23.172,,Lg,149.6924776,2.0448195,2026-02-23 04:01:13.058000+00:00,61094.167512245476
,2026 DL31,000000IOw4Y4,23.15,,Lg,149.6920525,2.0449778,2026-02-23 04:03:56.079000+00:00,61094.16939906264
,2026 DL31,000000IOw4Y4,23.205,,Lg,149.6918809,2.0450569,2026-02-23 04:05:17.256000+00:00,61094.17033861112
,2026 DL31,000000IOw4Y4,23.132,,Lg,149.6916992,2.045146,2026-02-23 04:06:41.209000+00:00,61094.1713102893
,2026 DL31,000000IOw4Y4,23.218,,Lg,149.6915977,2.0451636,2026-02-23 04:07:21.428000+00:00,61094.17177578714
,2026 DL31,000000IOw4Y4,23.057,,Lg,149.6914066,2.0452391,2026-02-23 04:08:44.599000+00:00,61094.17273841426
,2026 DL31,000000IOw4Y4,23.251,,Lg,149.6912314,2.0453068,2026-02-23 04:09:52.140000+00:00,61094.17352013895
,2026 DL31,000000IOw4Y4,22.368,,Lz,149.6906231,2.0455812,2026-02-23 04:14:01.702000+00:00,61094.176408587955
,2026 DL31,000000IOw4Y4,22.309,,Lz,149.6905585,2.0455631,2026-02-23 04:14:41.671000+00:00,61094.176871192176
,2026 DL31,000000IOw4Y4,22.33,,Lz,149.6903567,2.0456278,2026-02-23 04:16:02.777000+00:00,61094.177809918765
,2026 DL31,000000IOw4Y4,22.327,,Lz,149.6902431,2.0457205,2026-02-23 04:16:47.106000+00:00,61094.178322986234
,2026 DL31,000000IOw4Y4,22.214,,Lz,149.6900776,2.0457553,2026-02-23 04:18:08.473000+00:00,61094.17926473357
,2026 DL31,000000IOw4Y4,22.585,,Lr,149.6727404,2.0527864,2026-02-23 06:21:19.525000+00:00,61094.264809316956
,2026 DL31,000000IOw4Y4,22.682,,Lr,149.6725675,2.0528554,2026-02-23 06:22:38.615000+00:00,61094.265724710654
,2026 DL31,000000IOw4Y5,22.552,,Li,149.5098905,2.1217344,2026-02-24 02:25:12.130000+00:00,61095.100834838115
,2026 DL31,000000IOw4Y5,22.495,,Li,149.5097887,2.1217624,2026-02-24 02:25:53.066000+00:00,61095.10130863404
,2026 DL31,000000IOw4Y5,22.574,,Li,149.5092873,2.1219827,2026-02-24 02:29:23.359000+00:00,61095.10374258086
