permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
,2026 DM31,000000IOw531,22.32,,Lr,150.9279212,2.3355482,2026-02-17 05:04:38.017000+00:00,61088.21155112283
,2026 DM31,000000IOw531,22.11,,Lz,150.9271693,2.3356314,2026-02-17 05:08:35.589000+00:00,61088.21430079872
,2026 DM31,000000IOw532,22.027,,Li,150.4115917,2.3967889,2026-02-19 04:21:27.526000+00:00,61090.18156858813
,2026 DM31,000000IOw532,22.171,,Li,150.4112148,2.3968337,2026-02-19 04:23:28.333000+00:00,61090.18296681717
,2026 DM31,000000IOw532,22.163,,Li,150.4110988,2.3968554,2026-02-19 04:24:08.380000+00:00,61090.18343032431
,2026 DM31,000000IOw532,22.247,,Li,150.4107066,2.3969034,2026-02-19 04:26:09.935000+00:00,61090.18483721046
,2026 DM31,000000IOw532,22.16,,Li,150.4104476,2.3969439,2026-02-19 04:27:30.290000+00:00,61090.18576724548
,2026 DM31,000000IOw532,22.798,,Lg,150.4095099,2.3970267,2026-02-19 04:32:24.797000+00:00,61090.189175891224
,2026 DM31,000000IOw532,22.789,,Lg,150.4089916,2.3971044,2026-02-19 04:35:05.014000+00:00,61090.19103025459
,2026 DM31,000000IOw532,22.847,,Lg,150.4086415,2.397135,2026-02-19 04:37:05.536000+00:00,61090.19242518535
,2026 DM31,000000IOw532,22.797,,Lg,150.4083504,2.3971549,2026-02-19 04:38:26.227000+00:00,61090.19335910864
,2026 DM31,000000IOw532,22.151,,Lz,150.4072895,2.3972864,2026-02-19 04:44:05.873000+00:00,61090.19729019655
,2026 DM31,000000IOw532,22.209,,Lz,150.4067682,2.3973935,2026-02-19 04:46:46.884000+00:00,61090.1991537502
,2026 DM31,000000IOw532,22.14,,Lz,150.4062714,2.397419,2026-02-19 04:49:27.964000+00:00,61090.201018102
,2026 DM31,000000IOw532,22.353,,Lz,150.4060151,2.3974083,2026-02-19 04:50:08.193000+00:00,61090.201483715326
,2026 DM31,000000IOw532,22.283,,Lz,150.4060317,2.3974801,2026-02-19 04:50:48.365000+00:00,61090.20194866881
,2026 DM31,000000IOw532,22.047,,Lz,150.4057287,2.3973995,2026-02-19 04:52:08.410000+00:00,61090.20287511591
,2026 DM31,000000IOw532,22.254,,Lz,150.4056258,2.3975158,2026-02-19 04:52:48.968000+00:00,61090.203344536945
,2026 DM31,000000IOw532,22.326,,Lr,150.4048265,2.3975907,2026-02-19 04:56:58.137000+00:00,61090.20622843737
,2026 DM31,000000IOw532,22.333,,Lr,150.4045678,2.397629,2026-02-19 04:58:18.220000+00:00,61090.20715532405
,2026 DM31,000000IOw532,22.301,,Lr,150.4044299,2.3976652,2026-02-19 04:58:58.583000+00:00,61090.207622488495
,2026 DM31,000000IOw532,22.363,,Lr,150.4036693,2.3977351,2026-02-19 05:03:00.019000+00:00,61090.21041688649
,2026 DM31,000000IOw532,22.431,,Lr,150.4032685,2.3978106,2026-02-19 05:05:00.614000+00:00,61090.21181266196
,2026 DM31,000000IOw532,22.161,,Li,150.4024852,2.397895,2026-02-19 05:09:12.213000+00:00,61090.214724687394
,2026 DM31,000000IOw532,22.201,,Li,150.4014513,2.3980155,2026-02-19 05:14:33.996000+00:00,61090.21844902774
,2026 DM31,000000IOw532,22.719,,Lg,150.4002909,2.39816,2026-02-19 05:20:35.246000+00:00,61090.22263016226
,2026 DM31,000000IOw532,22.784,,Lg,150.4000513,2.3981701,2026-02-19 05:21:55.910000+00:00,61090.22356377309
,2026 DM31,000000IOw532,22.789,,Lg,150.3996385,2.3982365,2026-02-19 05:23:57.224000+00:00,61090.224967870396
,2026 DM31,000000IOw532,22.808,,Lg,150.3995098,2.3982824,2026-02-19 05:24:37.485000+00:00,61090.225433854386
,2026 DM31,000000IOw532,22.785,,Lg,150.3993924,2.3982443,2026-02-19 05:25:17.435000+00:00,61090.22589623835
,2026 DM31,000000IOw532,22.925,,Lg,150.3992765,2.3982923,2026-02-19 05:25:57.880000+00:00,61090.22636435181
,2026 DM31,000000IOw532,22.709,,Lg,150.3991692,2.398294,2026-02-19 05:26:38.112000+00:00,61090.22683000006
,2026 DM31,000000IOw532,22.911,,Lg,150.398792,2.3983519,2026-02-19 05:28:38.854000+00:00,61090.228227477055
,2026 DM31,000000IOw532,22.733,,Lg,150.3986186,2.3983403,2026-02-19 05:29:19.223000+00:00,61090.22869471088
,2026 DM31,000000IOw532,22.117,,Lz,150.3967177,2.3985567,2026-02-19 05:39:20.779000+00:00,61090.23565716436
,2026 DM31,000000IOw532,22.142,,Lz,150.3966025,2.3986146,2026-02-19 05:40:00.612000+00:00,61090.23611819465
,2026 DM31,000000IOw532,22.227,,Lz,150.3964705,2.3986129,2026-02-19 05:40:40.888000+00:00,61090.236584351864
,2026 DM31,000000IOw532,22.172,,Lz,150.3963503,2.3986683,2026-02-19 05:41:21.268000+00:00,61090.237051712815
,2026 DM31,000000IOw532,22.41,,Lr,150.395687,2.3987185,2026-02-19 05:44:45.221000+00:00,61090.239412280265
,2026 DM31,000000IOw532,22.272,,Lr,150.3955614,2.3987215,2026-02-19 05:45:25.639000+00:00,61090.2398800808
,2026 DM31,000000IOw532,22.294,,Lr,150.394665,2.3988454,2026-02-19 05:50:07.849000+00:00,61090.24314640043
,2026 DM31,000000IOw532,22.344,,Lr,150.3942874,2.3988938,2026-02-19 05:52:08.529000+00:00,61090.244543159846
,2026 DM31,000000IOw532,22.321,,Lr,150.3941517,2.3988966,2026-02-19 05:52:48.729000+00:00,61090.24500843743
,2026 DM31,000000IOw533,22.086,,Li,150.1548185,2.430836,2026-02-20 04:00:20.777000+00:00,61091.166907140985
,2026 DM31,000000IOw533,22.061,,Li,150.1546943,2.4308594,2026-02-20 04:01:00.920000+00:00,61091.16737175919
