permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
,2026 DO34,000000IOw6M1,23.046,,Li,151.0036039,1.1173335,2026-02-19 04:19:26.648000+00:00,61090.1801695372
,2026 DO34,000000IOw6M1,23.042,,Li,151.0033958,1.117515,2026-02-19 04:21:27.526000+00:00,61090.18156858813
,2026 DO34,000000IOw6M1,22.828,,Li,151.0031688,1.1176432,2026-02-19 04:22:48.017000+00:00,61090.18250019662
,2026 DO34,000000IOw6M1,23.732,,Lg,151.002102,1.118322,2026-02-19 04:30:50.424000+00:00,61090.18808361096
,2026 DO34,000000IOw6M1,23.697,,Lg,151.0018829,1.1184546,2026-02-19 04:32:24.797000+00:00,61090.189175891224
,2026 DO34,000000IOw6M1,23.724,,Lg,151.0017187,1.11854,2026-02-19 04:33:44.655000+00:00,61090.190100173466
,2026 DO34,000000IOw6M1,23.747,,Lg,151.0016178,1.1185822,2026-02-19 04:34:24.791000+00:00,61090.19056471065
,2026 DO34,000000IOw6M1,23.694,,Lg,151.0015509,1.1186199,2026-02-19 04:35:05.014000+00:00,61090.19103025459
,2026 DO34,000000IOw6M1,23.592,,Lg,151.0011632,1.1188727,2026-02-19 04:37:45.897000+00:00,61090.19289232651
,2026 DO34,000000IOw6M1,23.695,,Lg,151.0009201,1.1190381,2026-02-19 04:39:46.355000+00:00,61090.1942865164
,2026 DO34,000000IOw6M1,23.626,,Lg,151.0008078,1.1191116,2026-02-19 04:40:27.052000+00:00,61090.1947575463
,2026 DO34,000000IOw6M1,23.001,,Lz,151.0004595,1.1192879,2026-02-19 04:43:05.523000+00:00,61090.19659170136
,2026 DO34,000000IOw6M1,22.732,,Lz,151.0001313,1.1194682,2026-02-19 04:45:26.546000+00:00,61090.19822391216
,2026 DO34,000000IOw6M1,22.588,,Lz,150.9998032,1.1197397,2026-02-19 04:48:07.630000+00:00,61090.200088310055
,2026 DO34,000000IOw6M1,22.837,,Lz,150.9991521,1.1201637,2026-02-19 04:52:48.968000+00:00,61090.203344536945
,2026 DO34,000000IOw6M1,23.277,,Lr,150.998792,1.1203584,2026-02-19 04:55:24.404000+00:00,61090.20514356485
,2026 DO34,000000IOw6M1,23.199,,Lr,150.9987111,1.1204249,2026-02-19 04:56:17.732000+00:00,61090.20576078724
,2026 DO34,000000IOw6M1,22.987,,Lr,150.9985176,1.120516,2026-02-19 04:57:38.177000+00:00,61090.20669186348
,2026 DO34,000000IOw6M1,22.983,,Lr,150.9984164,1.120571,2026-02-19 04:58:18.220000+00:00,61090.20715532405
,2026 DO34,000000IOw6M1,23.21,,Lr,150.9981612,1.1207724,2026-02-19 05:00:18.958000+00:00,61090.208552754484
,2026 DO34,000000IOw6M1,23.057,,Lr,150.9980449,1.1208029,2026-02-19 05:00:58.918000+00:00,61090.20901525486
,2026 DO34,000000IOw6M1,23.146,,Lr,150.9979825,1.120852,2026-02-19 05:01:39.326000+00:00,61090.209482939914
,2026 DO34,000000IOw6M1,22.876,,Li,150.9965699,1.121715,2026-02-19 05:11:53.093000+00:00,61090.21658672439
,2026 DO34,000000IOw6M1,22.878,,Li,150.996529,1.1217651,2026-02-19 05:12:33.326000+00:00,61090.21705238428
,2026 DO34,000000IOw6M1,22.928,,Li,150.9963972,1.1218175,2026-02-19 05:13:13.238000+00:00,61090.21751432866
,2026 DO34,000000IOw6M1,22.929,,Li,150.996244,1.1219334,2026-02-19 05:14:33.996000+00:00,61090.21844902774
,2026 DO34,000000IOw6M1,23.078,,Li,150.9960671,1.1220211,2026-02-19 05:15:54.536000+00:00,61090.219381203875
,2026 DO34,000000IOw6M1,22.875,,Li,150.9959095,1.1222268,2026-02-19 05:17:15.176000+00:00,61090.220314537175
,2026 DO34,000000IOw6M1,23.705,,Lg,150.9955341,1.1223836,2026-02-19 05:19:54.526000+00:00,61090.22215886554
,2026 DO34,000000IOw6M1,23.565,,Lg,150.9954144,1.1224671,2026-02-19 05:20:35.246000+00:00,61090.22263016226
,2026 DO34,000000IOw6M1,23.599,,Lg,150.9953341,1.1224637,2026-02-19 05:21:15.629000+00:00,61090.22309755767
,2026 DO34,000000IOw6M1,23.431,,Lg,150.9952122,1.1225089,2026-02-19 05:21:55.910000+00:00,61090.22356377309
,2026 DO34,000000IOw6M1,23.61,,Lg,150.995069,1.1225997,2026-02-19 05:22:36.570000+00:00,61090.224034375045
,2026 DO34,000000IOw6M1,23.671,,Lg,150.9950201,1.1226882,2026-02-19 05:23:57.224000+00:00,61090.224967870396
,2026 DO34,000000IOw6M1,23.442,,Lg,150.9948075,1.1228172,2026-02-19 05:25:17.435000+00:00,61090.22589623835
,2026 DO34,000000IOw6M1,23.812,,Lg,150.9946969,1.1228964,2026-02-19 05:25:57.880000+00:00,61090.22636435181
,2026 DO34,000000IOw6M1,23.648,,Lg,150.9946874,1.122922,2026-02-19 05:26:38.112000+00:00,61090.22683000006
,2026 DO34,000000IOw6M1,23.825,,Lg,150.9944324,1.1229695,2026-02-19 05:27:18.470000+00:00,61090.22729710629
,2026 DO34,000000IOw6M1,23.716,,Lg,150.9941288,1.1231468,2026-02-19 05:29:19.223000+00:00,61090.22869471088
,2026 DO34,000000IOw6M1,22.691,,Lz,150.9938215,1.1234574,2026-02-19 05:33:17.878000+00:00,61090.231456921436
,2026 DO34,000000IOw6M1,22.773,,Lz,150.9934203,1.1236146,2026-02-19 05:35:18.735000+00:00,61090.23285572929
,2026 DO34,000000IOw6M1,22.855,,Lz,150.9926822,1.1241044,2026-02-19 05:40:40.888000+00:00,61090.236584351864
,2026 DO34,000000IOw6M1,23.399,,Lr,150.9919489,1.1246243,2026-02-19 05:46:46.204000+00:00,61090.24081254611
,2026 DO34,000000IOw6M1,23.176,,Lr,150.991668,1.1247314,2026-02-19 05:48:06.925000+00:00,61090.24174681725
,2026 DO34,000000IOw6M1,23.187,,Lr,150.9916708,1.1248441,2026-02-19 05:48:47.249000+00:00,61090.24221353
,2026 DO34,000000IOw6M1,23.153,,Lr,150.9915428,1.1248458,2026-02-19 05:49:27.424000+00:00,61090.24267851841
,2026 DO34,000000IOw6M1,23.122,,Lr,150.9914602,1.1248841,2026-02-19 05:50:07.849000+00:00,61090.24314640043
,2026 DO34,000000IOw6M1,23.266,,Lr,150.9913791,1.1249431,2026-02-19 05:50:48.141000+00:00,61090.24361274298
,2026 DO34,000000IOw6M1,23.042,,Lr,150.9911911,1.1250553,2026-02-19 05:52:08.529000+00:00,61090.244543159846
,2026 DO34,000000IOw6M1,23.136,,Lr,150.9910206,1.1251892,2026-02-19 05:53:29.326000+00:00,61090.24547831016
,2026 DO34,000000IOw6M2,23.151,,Li,150.8215947,1.2358328,2026-02-20 03:54:53.611000+00:00,61091.163120497484
,2026 DO34,000000IOw6M2,23.076,,Li,150.8215426,1.2358884,2026-02-20 03:55:33.842000+00:00,61091.16358613409
,2026 DO34,000000IOw6M2,22.889,,Li,150.8214352,1.2359742,2026-02-20 03:56:13.964000+00:00,61091.16405050922
,2026 DO34,000000IOw6M2,23.045,,Li,150.8213389,1.236016,2026-02-20 03:56:59.657000+00:00,61091.16457936354
,2026 DO34,000000IOw6M2,22.754,,Li,150.8212363,1.2360586,2026-02-20 03:57:39.671000+00:00,61091.16504248837
,2026 DO34,000000IOw6M2,23.674,,Lg,150.8200634,1.2368429,2026-02-20 04:06:31.940000+00:00,61091.17120300932
,2026 DO34,000000IOw6M2,23.585,,Lg,150.8198663,1.236954,2026-02-20 04:07:52.288000+00:00,61091.17213296285
,2026 DO34,000000IOw6M2,23.617,,Lg,150.8197874,1.2370059,2026-02-20 04:08:32.488000+00:00,61091.1725982409
,2026 DO34,000000IOw6M2,23.809,,Lg,150.8196729,1.2370387,2026-02-20 04:09:19.249000+00:00,61091.173139456194
,2026 DO34,000000IOw6M2,23.583,,Lg,150.8196224,1.2371077,2026-02-20 04:09:59.136000+00:00,61091.17360111093
,2026 DO34,000000IOw6M2,23.679,,Lg,150.8188826,1.2375799,2026-02-20 04:15:21.395000+00:00,61091.17733096052
,2026 DO34,000000IOw6M2,23.134,,Lz,150.8178093,1.2382116,2026-02-20 04:23:28.208000+00:00,61091.18296537036
,2026 DO34,000000IOw6M2,22.991,,Lz,150.817646,1.23839,2026-02-20 04:24:49.014000+00:00,61091.18390062498
,2026 DO34,000000IOw6M2,22.796,,Lz,150.8175308,1.2384398,2026-02-20 04:25:29.224000+00:00,61091.18436601851
