permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
,2026 DP33,000000IOw651,22.859,,Li,150.3067805,2.3695273,2026-02-19 04:20:07.066000+00:00,61090.18063733773
,2026 DP33,000000IOw651,22.839,,Li,150.306364,2.3695237,2026-02-19 04:22:48.017000+00:00,61090.18250019662
,2026 DP33,000000IOw651,22.996,,Li,150.3061342,2.3695439,2026-02-19 04:24:08.380000+00:00,61090.18343032431
,2026 DP33,000000IOw651,22.697,,Li,150.3060242,2.369559,2026-02-19 04:24:48.936000+00:00,61090.18389972206
,2026 DP33,000000IOw651,22.942,,Li,150.305921,2.3695607,2026-02-19 04:25:29.139000+00:00,61090.18436503457
,2026 DP33,000000IOw651,22.956,,Li,150.3055945,2.3696011,2026-02-19 04:27:30.290000+00:00,61090.18576724548
,2026 DP33,000000IOw651,23.609,,Lg,150.3050575,2.3696026,2026-02-19 04:30:50.424000+00:00,61090.18808361096
,2026 DP33,000000IOw651,23.507,,Lg,150.3049316,2.3696054,2026-02-19 04:31:44.403000+00:00,61090.18870836822
,2026 DP33,000000IOw651,23.593,,Lg,150.3047277,2.3696051,2026-02-19 04:33:04.726000+00:00,61090.18963803258
,2026 DP33,000000IOw651,22.82,,Lz,150.3029066,2.3697409,2026-02-19 04:44:46.352000+00:00,61090.19775870349
,2026 DP33,000000IOw651,22.724,,Lz,150.3025823,2.3697493,2026-02-19 04:46:46.884000+00:00,61090.1991537502
,2026 DP33,000000IOw651,22.963,,Lr,150.3009661,2.3698653,2026-02-19 04:56:58.137000+00:00,61090.20622843737
,2026 DP33,000000IOw651,23.099,,Lr,150.3006698,2.3698805,2026-02-19 04:58:18.220000+00:00,61090.20715532405
,2026 DP33,000000IOw651,23.284,,Lr,150.3005699,2.3698848,2026-02-19 04:59:38.828000+00:00,61090.20808828715
,2026 DP33,000000IOw651,23.239,,Lr,150.2996413,2.3699285,2026-02-19 05:05:00.614000+00:00,61090.21181266196
,2026 DP33,000000IOw651,23.228,,Li,150.2992925,2.369945,2026-02-19 05:07:43.469000+00:00,61090.2136975578
,2026 DP33,000000IOw651,22.975,,Li,150.2991059,2.369954,2026-02-19 05:08:32.093000+00:00,61090.214260335546
,2026 DP33,000000IOw651,23.186,,Li,150.2990314,2.3699549,2026-02-19 05:09:12.213000+00:00,61090.214724687394
,2026 DP33,000000IOw651,22.771,,Li,150.298692,2.3699881,2026-02-19 05:11:12.786000+00:00,61090.21612020815
,2026 DP33,000000IOw651,23.143,,Li,150.2981248,2.3700322,2026-02-19 05:14:33.996000+00:00,61090.21844902774
,2026 DP33,000000IOw651,23.023,,Li,150.298038,2.3700042,2026-02-19 05:15:14.186000+00:00,61090.21891418984
,2026 DP33,000000IOw651,23.026,,Li,150.2979672,2.3700391,2026-02-19 05:15:54.536000+00:00,61090.219381203875
,2026 DP33,000000IOw651,22.989,,Li,150.2977025,2.3700407,2026-02-19 05:17:15.176000+00:00,61090.220314537175
,2026 DP33,000000IOw651,23.467,,Lg,150.2971929,2.370089,2026-02-19 05:20:35.246000+00:00,61090.22263016226
,2026 DP33,000000IOw651,23.666,,Lg,150.2971552,2.3700528,2026-02-19 05:21:15.629000+00:00,61090.22309755767
