permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
,2026 DQ39,000000IOw8v1,23.005,,Li,150.6998491,1.9467667,2026-02-19 04:21:27.526000+00:00,61090.18156858813
,2026 DQ39,000000IOw8v1,23.164,,Li,150.6997205,1.9468147,2026-02-19 04:22:07.864000+00:00,61090.18203546293
,2026 DQ39,000000IOw8v1,23.245,,Li,150.6996129,1.9470186,2026-02-19 04:23:28.333000+00:00,61090.18296681717
,2026 DQ39,000000IOw8v1,23.304,,Li,150.6994442,1.9471039,2026-02-19 04:24:48.936000+00:00,61090.18389972206
,2026 DQ39,000000IOw8v1,23.224,,Li,150.6993496,1.9471542,2026-02-19 04:25:29.139000+00:00,61090.18436503457
,2026 DQ39,000000IOw8v1,23.131,,Li,150.6989974,1.9474051,2026-02-19 04:28:10.547000+00:00,61090.1862331829
,2026 DQ39,000000IOw8v1,23.862,,Lg,150.6985531,1.9477605,2026-02-19 04:31:44.403000+00:00,61090.18870836822
,2026 DQ39,000000IOw8v1,23.731,,Lg,150.6982275,1.9479332,2026-02-19 04:34:24.791000+00:00,61090.19056471065
,2026 DQ39,000000IOw8v1,23.724,,Lg,150.6979044,1.9481279,2026-02-19 04:36:25.229000+00:00,61090.19195866911
,2026 DQ39,000000IOw8v1,23.885,,Lg,150.6978676,1.9481772,2026-02-19 04:37:05.536000+00:00,61090.19242518535
,2026 DQ39,000000IOw8v1,24.053,,Lg,150.6976037,1.9483811,2026-02-19 04:39:06.122000+00:00,61090.19382085651
,2026 DQ39,000000IOw8v1,23.815,,Lg,150.6975417,1.9484368,2026-02-19 04:39:46.355000+00:00,61090.1942865164
,2026 DQ39,000000IOw8v1,23.397,,Lr,150.6953681,1.9499874,2026-02-19 04:56:58.137000+00:00,61090.20622843737
,2026 DQ39,000000IOw8v1,23.543,,Lr,150.6951278,1.9501329,2026-02-19 04:58:18.220000+00:00,61090.20715532405
,2026 DQ39,000000IOw8v1,23.347,,Lr,150.6946742,1.9504811,2026-02-19 05:02:19.715000+00:00,61090.20995040517
,2026 DQ39,000000IOw8v1,23.229,,Lr,150.6945402,1.9505479,2026-02-19 05:03:00.019000+00:00,61090.21041688649
,2026 DQ39,000000IOw8v1,23.543,,Lr,150.6943214,1.9506812,2026-02-19 05:05:00.614000+00:00,61090.21181266196
,2026 DQ39,000000IOw8v1,23.305,,Li,150.693816,1.951059,2026-02-19 05:08:32.093000+00:00,61090.214260335546
,2026 DQ39,000000IOw8v1,23.18,,Li,150.6937796,1.9511328,2026-02-19 05:09:12.213000+00:00,61090.214724687394
,2026 DQ39,000000IOw8v1,23.238,,Li,150.6933695,1.9514147,2026-02-19 05:12:33.326000+00:00,61090.21705238428
