permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
,2026 DS39,000000IOw8w1,22.623,,Li,150.5044719,2.6023185,2026-02-19 04:20:07.066000+00:00,61090.18063733773
,2026 DS39,000000IOw8w1,22.549,,Li,150.5042459,2.6023287,2026-02-19 04:21:27.526000+00:00,61090.18156858813
,2026 DS39,000000IOw8w1,22.692,,Li,150.5041782,2.6023787,2026-02-19 04:22:07.864000+00:00,61090.18203546293
,2026 DS39,000000IOw8w1,22.811,,Li,150.5035584,2.6024703,2026-02-19 04:26:09.935000+00:00,61090.18483721046
,2026 DS39,000000IOw8w1,23.049,,Lg,150.5020622,2.6027396,2026-02-19 04:36:25.229000+00:00,61090.19195866911
,2026 DS39,000000IOw8w1,23.254,,Lg,150.5019132,2.602791,2026-02-19 04:37:05.536000+00:00,61090.19242518535
,2026 DS39,000000IOw8w1,23.302,,Lg,150.5017353,2.6028054,2026-02-19 04:38:26.227000+00:00,61090.19335910864
,2026 DS39,000000IOw8w1,23.364,,Lg,150.5016064,2.6028629,2026-02-19 04:39:06.122000+00:00,61090.19382085651
,2026 DS39,000000IOw8w1,23.275,,Lg,150.5015055,2.6028586,2026-02-19 04:39:46.355000+00:00,61090.1942865164
,2026 DS39,000000IOw8w1,23.392,,Lg,150.501421,2.6028843,2026-02-19 04:40:27.052000+00:00,61090.1947575463
,2026 DS39,000000IOw8w1,22.784,,Lr,150.4987319,2.6033753,2026-02-19 04:58:18.220000+00:00,61090.20715532405
,2026 DS39,000000IOw8w1,22.835,,Lr,150.4986246,2.6034259,2026-02-19 04:58:58.583000+00:00,61090.207622488495
,2026 DS39,000000IOw8w1,22.711,,Lr,150.4985381,2.6034279,2026-02-19 04:59:38.828000+00:00,61090.20808828715
,2026 DS39,000000IOw8w1,22.765,,Lr,150.4982097,2.6034684,2026-02-19 05:01:39.326000+00:00,61090.209482939914
,2026 DS39,000000IOw8w1,22.712,,Lr,150.4977013,2.6035659,2026-02-19 05:05:00.614000+00:00,61090.21181266196
,2026 DS39,000000IOw8w1,22.734,,Li,150.4972836,2.6036576,2026-02-19 05:07:43.469000+00:00,61090.2136975578
,2026 DS39,000000IOw8w1,22.675,,Li,150.4968867,2.6037216,2026-02-19 05:10:32.625000+00:00,61090.21565538179
,2026 DS39,000000IOw8w1,22.674,,Li,150.4964861,2.6038215,2026-02-19 05:13:13.238000+00:00,61090.21751432866
,2026 DS39,000000IOw8w1,22.503,,Li,150.4962435,2.6038454,2026-02-19 05:14:33.996000+00:00,61090.21844902774
,2026 DS39,000000IOw8w1,22.8,,Li,150.4960243,2.6039043,2026-02-19 05:15:54.536000+00:00,61090.219381203875
,2026 DS39,000000IOw8w1,23.146,,Lg,150.4954633,2.6039304,2026-02-19 05:19:54.526000+00:00,61090.22215886554
,2026 DS39,000000IOw8w1,23.075,,Lg,150.4953534,2.6039904,2026-02-19 05:20:35.246000+00:00,61090.22263016226
,2026 DS39,000000IOw8w1,23.26,,Lg,150.4952686,2.6039797,2026-02-19 05:21:15.629000+00:00,61090.22309755767
,2026 DS39,000000IOw8w1,23.111,,Lg,150.4948365,2.6040928,2026-02-19 05:23:57.224000+00:00,61090.224967870396
,2026 DS39,000000IOw8w1,23.267,,Lg,150.4947316,2.6041164,2026-02-19 05:24:37.485000+00:00,61090.225433854386
,2026 DS39,000000IOw8w1,23.182,,Lg,150.494555,2.6041481,2026-02-19 05:25:57.880000+00:00,61090.22636435181
,2026 DS39,000000IOw8w1,23.188,,Lg,150.4944751,2.6042014,2026-02-19 05:26:38.112000+00:00,61090.22683000006
,2026 DS39,000000IOw8w1,23.112,,Lg,150.4940578,2.6042108,2026-02-19 05:29:19.223000+00:00,61090.22869471088
,2026 DS39,000000IOw8w1,22.64,,Lz,150.4936503,2.6043562,2026-02-19 05:31:59.965000+00:00,61090.23055515066
,2026 DS39,000000IOw8w1,22.349,,Lz,150.4929611,2.6044044,2026-02-19 05:36:39.575000+00:00,61090.233791377395
,2026 DS39,000000IOw8w1,22.543,,Lz,150.4928186,2.6045096,2026-02-19 05:37:19.580000+00:00,61090.23425439792
,2026 DS39,000000IOw8w1,22.714,,Lz,150.4926641,2.6045456,2026-02-19 05:38:40.559000+00:00,61090.23519165488
,2026 DS39,000000IOw8w1,22.656,,Lz,150.4923732,2.6045532,2026-02-19 05:40:40.888000+00:00,61090.236584351864
,2026 DS39,000000IOw8w1,22.887,,Lr,150.4918342,2.6046557,2026-02-19 05:44:01.312000+00:00,61090.2389040743
,2026 DS39,000000IOw8w1,22.775,,Lr,150.4917174,2.60469,2026-02-19 05:44:45.221000+00:00,61090.239412280265
,2026 DS39,000000IOw8w1,22.76,,Lr,150.4914116,2.6047532,2026-02-19 05:46:46.204000+00:00,61090.24081254611
,2026 DS39,000000IOw8w1,23.0,,Lr,150.4912296,2.6047892,2026-02-19 05:48:06.925000+00:00,61090.24174681725
,2026 DS39,000000IOw8w1,22.789,,Lr,150.491134,2.6048015,2026-02-19 05:48:47.249000+00:00,61090.24221353
,2026 DS39,000000IOw8w1,22.767,,Lr,150.4908148,2.6048559,2026-02-19 05:50:48.141000+00:00,61090.24361274298
,2026 DS39,000000IOw8w1,22.857,,Lr,150.4907289,2.6049091,2026-02-19 05:51:28.309000+00:00,61090.244077650364
,2026 DS39,000000IOw8w1,22.651,,Lr,150.4905369,2.6049254,2026-02-19 05:52:48.729000+00:00,61090.24500843743
,2026 DS39,000000IOw8w2,22.836,,Li,149.6870687,2.7736975,2026-02-23 02:54:49.350000+00:00,61094.12140451372
,2026 DS39,000000IOw8w2,22.629,,Li,149.6866579,2.7737976,2026-02-23 02:57:30.168000+00:00,61094.12326583313
,2026 DS39,000000IOw8w2,22.66,,Li,149.6863602,2.773874,2026-02-23 02:59:31.220000+00:00,61094.124666898046
,2026 DS39,000000IOw8w2,22.75,,Li,149.6862595,2.7738994,2026-02-23 03:00:11.660000+00:00,61094.12513495376
,2026 DS39,000000IOw8w2,23.142,,Lg,149.6853038,2.7741085,2026-02-23 03:06:28.947000+00:00,61094.12950170133
,2026 DS39,000000IOw8w2,23.066,,Lg,149.685217,2.7741021,2026-02-23 03:07:09.243000+00:00,61094.12996809045
,2026 DS39,000000IOw8w2,23.182,,Lg,149.6851185,2.7741513,2026-02-23 03:07:49.285000+00:00,61094.13043153938
,2026 DS39,000000IOw8w2,23.159,,Lg,149.6841906,2.7743071,2026-02-23 03:14:01.241000+00:00,61094.13473658543
,2026 DS39,000000IOw8w2,23.225,,Lg,149.6841168,2.7743388,2026-02-23 03:14:41.651000+00:00,61094.135204293765
,2026 DS39,000000IOw8w2,23.222,,Lg,149.6836713,2.7744364,2026-02-23 03:17:38.272000+00:00,61094.13724851841
,2026 DS39,000000IOw8w2,23.096,,Lg,149.6835613,2.7744508,2026-02-23 03:18:19.868000+00:00,61094.13772995351
,2026 DS39,000000IOw8w2,23.183,,Lg,149.6833598,2.7744923,2026-02-23 03:19:40.236000+00:00,61094.13866013894
,2026 DS39,000000IOw8w2,23.21,,Lg,149.6832554,2.7745115,2026-02-23 03:20:26.724000+00:00,61094.13919819426
,2026 DS39,000000IOw8w2,23.155,,Lg,149.6830561,2.774568,2026-02-23 03:21:47.823000+00:00,61094.14013684029
,2026 DS39,000000IOw8w2,22.505,,Lz,149.6825773,2.7746843,2026-02-23 03:25:06.069000+00:00,61094.14243135415
,2026 DS39,000000IOw8w2,22.405,,Lz,149.6824453,2.7746955,2026-02-23 03:25:46.637000+00:00,61094.14290089114
,2026 DS39,000000IOw8w2,22.569,,Lz,149.6822489,2.7747588,2026-02-23 03:27:09.806000+00:00,61094.14386349544
,2026 DS39,000000IOw8w2,23.212,,Lg,149.6771091,2.7758524,2026-02-23 04:01:53.124000+00:00,61094.16797597241
,2026 DS39,000000IOw8w2,23.329,,Lg,149.6768942,2.7758795,2026-02-23 04:03:13.586000+00:00,61094.168907245155
,2026 DS39,000000IOw8w2,23.283,,Lg,149.6768035,2.7759285,2026-02-23 04:03:56.079000+00:00,61094.16939906264
,2026 DS39,000000IOw8w2,23.267,,Lg,149.6766846,2.7759447,2026-02-23 04:04:36.388000+00:00,61094.169865601696
,2026 DS39,000000IOw8w2,23.296,,Lg,149.676585,2.7759722,2026-02-23 04:05:17.256000+00:00,61094.17033861112
,2026 DS39,000000IOw8w2,22.842,,Lz,149.6753416,2.7762838,2026-02-23 04:14:01.702000+00:00,61094.176408587955
,2026 DS39,000000IOw8w2,22.596,,Lz,149.675205,2.7762397,2026-02-23 04:14:41.671000+00:00,61094.176871192176
,2026 DS39,000000IOw8w2,22.781,,Lz,149.6750117,2.7762841,2026-02-23 04:16:02.777000+00:00,61094.177809918765
,2026 DS39,000000IOw8w2,22.772,,Lz,149.6746539,2.7763794,2026-02-23 04:18:08.473000+00:00,61094.17926473357
,2026 DS39,000000IOw8w2,22.836,,Lz,149.6746536,2.7763885,2026-02-23 04:18:48.663000+00:00,61094.179729895666
,2026 DS39,000000IOw8w2,22.702,,Lz,149.6744827,2.7764637,2026-02-23 04:19:31.060000+00:00,61094.18022060208
,2026 DS39,000000IOw8w2,22.669,,Lz,149.6740434,2.7765122,2026-02-23 04:22:27.010000+00:00,61094.18225705996
,2026 DS39,000000IOw8w2,22.685,,Lz,149.6738271,2.7765572,2026-02-23 04:23:48.837000+00:00,61094.18320413213
,2026 DS39,000000IOw8w2,22.701,,Lr,149.6734595,2.7766443,2026-02-23 04:26:28.599000+00:00,61094.18505322933
,2026 DS39,000000IOw8w2,22.677,,Lr,149.6733417,2.7766675,2026-02-23 04:27:08.932000+00:00,61094.18552004639
,2026 DS39,000000IOw8w2,22.775,,Lr,149.6725318,2.7768514,2026-02-23 04:32:35.980000+00:00,61094.18930532411
,2026 DS39,000000IOw8w3,22.722,,Li,149.4868116,2.8192664,2026-02-24 02:20:29.574000+00:00,61095.097564513795
,2026 DS39,000000IOw8w3,22.65,,Li,149.4866908,2.8192899,2026-02-24 02:21:09.863000+00:00,61095.098030821886
,2026 DS39,000000IOw8w3,22.728,,Li,149.4864741,2.819324,2026-02-24 02:22:30.487000+00:00,61095.09896396985
