permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
,2026 DT39,000000IOw8y1,22.054,,Li,151.2211632,3.253559,2026-02-19 04:19:26.648000+00:00,61090.1801695372
,2026 DT39,000000IOw8y1,22.129,,Li,151.2205979,3.2535662,2026-02-19 04:22:48.017000+00:00,61090.18250019662
,2026 DT39,000000IOw8y1,22.015,,Li,151.2205005,3.2535632,2026-02-19 04:23:28.333000+00:00,61090.18296681717
,2026 DT39,000000IOw8y1,21.979,,Li,151.2201503,3.2535724,2026-02-19 04:25:29.139000+00:00,61090.18436503457
,2026 DT39,000000IOw8y1,22.564,,Lg,151.2192714,3.2535671,2026-02-19 04:30:50.424000+00:00,61090.18808361096
,2026 DT39,000000IOw8y1,22.556,,Lg,151.2189061,3.2535796,2026-02-19 04:33:04.726000+00:00,61090.18963803258
,2026 DT39,000000IOw8y1,22.607,,Lg,151.2187936,3.2535901,2026-02-19 04:33:44.655000+00:00,61090.190100173466
,2026 DT39,000000IOw8y1,22.572,,Lg,151.2182552,3.2535887,2026-02-19 04:37:05.536000+00:00,61090.19242518535
,2026 DT39,000000IOw8y1,22.551,,Lg,151.2180119,3.2535534,2026-02-19 04:38:26.227000+00:00,61090.19335910864
,2026 DT39,000000IOw8y1,22.007,,Lz,151.2170918,3.2536112,2026-02-19 04:44:05.873000+00:00,61090.19729019655
,2026 DT39,000000IOw8y1,22.036,,Lz,151.2170178,3.2535734,2026-02-19 04:44:46.352000+00:00,61090.19775870349
,2026 DT39,000000IOw8y1,21.976,,Lz,151.2167679,3.2535759,2026-02-19 04:46:06.716000+00:00,61090.19868884282
,2026 DT39,000000IOw8y1,21.994,,Lz,151.2166315,3.253582,2026-02-19 04:46:46.884000+00:00,61090.1991537502
,2026 DT39,000000IOw8y1,21.851,,Lz,151.2163895,3.2536144,2026-02-19 04:48:07.630000+00:00,61090.200088310055
,2026 DT39,000000IOw8y1,21.938,,Lz,151.2160996,3.253598,2026-02-19 04:50:08.193000+00:00,61090.201483715326
,2026 DT39,000000IOw8y1,21.797,,Lz,151.215945,3.25363,2026-02-19 04:50:48.365000+00:00,61090.20194866881
,2026 DT39,000000IOw8y1,21.639,,Lz,151.2158211,3.2535691,2026-02-19 04:51:28.132000+00:00,61090.20240893541
,2026 DT39,000000IOw8y1,21.973,,Lz,151.2156716,3.2536048,2026-02-19 04:52:48.968000+00:00,61090.203344536945
,2026 DT39,000000IOw8y1,22.109,,Lr,151.214977,3.2536112,2026-02-19 04:56:58.137000+00:00,61090.20622843737
,2026 DT39,000000IOw8y1,22.226,,Lr,151.2147369,3.2535995,2026-02-19 04:58:18.220000+00:00,61090.20715532405
,2026 DT39,000000IOw8y1,22.177,,Lr,151.2144998,3.253603,2026-02-19 04:59:38.828000+00:00,61090.20808828715
,2026 DT39,000000IOw8y1,22.222,,Lr,151.2144098,3.253619,2026-02-19 05:00:18.958000+00:00,61090.208552754484
,2026 DT39,000000IOw8y1,22.205,,Lr,151.2141764,3.2535985,2026-02-19 05:01:39.326000+00:00,61090.209482939914
,2026 DT39,000000IOw8y1,22.135,,Lr,151.2136201,3.2536177,2026-02-19 05:05:00.614000+00:00,61090.21181266196
,2026 DT39,000000IOw8y1,22.022,,Li,151.2131657,3.2536032,2026-02-19 05:07:43.469000+00:00,61090.2136975578
,2026 DT39,000000IOw8y1,22.017,,Li,151.2130351,3.2536098,2026-02-19 05:08:32.093000+00:00,61090.214260335546
,2026 DT39,000000IOw8y1,22.074,,Li,151.2128343,3.2536194,2026-02-19 05:09:52.364000+00:00,61090.21518939827
,2026 DT39,000000IOw8y1,22.086,,Li,151.2127135,3.2536195,2026-02-19 05:10:32.625000+00:00,61090.21565538179
,2026 DT39,000000IOw8y1,22.112,,Li,151.2125884,3.2536189,2026-02-19 05:11:12.786000+00:00,61090.21612020815
,2026 DT39,000000IOw8y1,22.106,,Li,151.2124875,3.2536318,2026-02-19 05:11:53.093000+00:00,61090.21658672439
,2026 DT39,000000IOw8y1,21.974,,Li,151.2121597,3.2536362,2026-02-19 05:13:53.580000+00:00,61090.217981250025
,2026 DT39,000000IOw8y1,22.01,,Li,151.2120573,3.2536231,2026-02-19 05:14:33.996000+00:00,61090.21844902774
,2026 DT39,000000IOw8y1,21.962,,Li,151.2116004,3.2536063,2026-02-19 05:17:15.176000+00:00,61090.220314537175
,2026 DT39,000000IOw8y1,22.543,,Lg,151.2109211,3.2536223,2026-02-19 05:21:15.629000+00:00,61090.22309755767
