permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
,2026 DU35,000000IOw771,22.489,,Li,149.7986997,1.8695785,2026-02-19 04:22:07.864000+00:00,61090.18203546293
,2026 DU35,000000IOw771,22.558,,Li,149.798609,1.8696111,2026-02-19 04:22:48.017000+00:00,61090.18250019662
,2026 DU35,000000IOw771,22.592,,Li,149.7984066,1.869664,2026-02-19 04:24:08.380000+00:00,61090.18343032431
,2026 DU35,000000IOw771,22.447,,Li,149.7983242,1.8696943,2026-02-19 04:24:48.936000+00:00,61090.18389972206
,2026 DU35,000000IOw771,22.627,,Li,149.7982102,1.8697332,2026-02-19 04:25:29.139000+00:00,61090.18436503457
,2026 DU35,000000IOw771,23.224,,Lg,149.7974512,1.8699759,2026-02-19 04:30:50.424000+00:00,61090.18808361096
,2026 DU35,000000IOw771,23.268,,Lg,149.7971399,1.8700722,2026-02-19 04:33:04.726000+00:00,61090.18963803258
,2026 DU35,000000IOw771,23.25,,Lg,149.7969685,1.8701442,2026-02-19 04:34:24.791000+00:00,61090.19056471065
,2026 DU35,000000IOw771,23.32,,Lg,149.7964868,1.8703083,2026-02-19 04:37:45.897000+00:00,61090.19289232651
,2026 DU35,000000IOw771,23.428,,Lg,149.796198,1.8704,2026-02-19 04:39:46.355000+00:00,61090.1942865164
,2026 DU35,000000IOw771,22.539,,Lz,149.7957738,1.870513,2026-02-19 04:43:05.523000+00:00,61090.19659170136
,2026 DU35,000000IOw771,22.517,,Lz,149.7954043,1.870665,2026-02-19 04:45:26.546000+00:00,61090.19822391216
,2026 DU35,000000IOw771,22.71,,Lz,149.7951177,1.8707836,2026-02-19 04:47:27.171000+00:00,61090.199620034546
,2026 DU35,000000IOw771,22.509,,Lz,149.7948698,1.8707554,2026-02-19 04:49:27.964000+00:00,61090.201018102
,2026 DU35,000000IOw771,22.529,,Lz,149.7946574,1.8708759,2026-02-19 04:50:48.365000+00:00,61090.20194866881
,2026 DU35,000000IOw771,22.36,,Lz,149.7944772,1.8709168,2026-02-19 04:51:28.132000+00:00,61090.20240893541
,2026 DU35,000000IOw771,22.516,,Lz,149.7943448,1.8710071,2026-02-19 04:52:48.968000+00:00,61090.203344536945
,2026 DU35,000000IOw771,22.816,,Lr,149.7935881,1.8712212,2026-02-19 04:58:18.220000+00:00,61090.20715532405
,2026 DU35,000000IOw771,22.693,,Lr,149.7934797,1.8712963,2026-02-19 04:58:58.583000+00:00,61090.207622488495
,2026 DU35,000000IOw771,22.792,,Lr,149.7933623,1.871285,2026-02-19 04:59:38.828000+00:00,61090.20808828715
,2026 DU35,000000IOw771,22.748,,Lr,149.7933027,1.8713383,2026-02-19 05:00:18.958000+00:00,61090.208552754484
,2026 DU35,000000IOw771,22.735,,Lr,149.7930123,1.8714359,2026-02-19 05:02:19.715000+00:00,61090.20995040517
,2026 DU35,000000IOw771,22.833,,Lr,149.7928315,1.8715117,2026-02-19 05:03:40.023000+00:00,61090.210879895836
,2026 DU35,000000IOw771,22.684,,Lr,149.7926522,1.8715594,2026-02-19 05:05:00.614000+00:00,61090.21181266196
,2026 DU35,000000IOw771,22.433,,Li,149.7922697,1.8716735,2026-02-19 05:07:43.469000+00:00,61090.2136975578
,2026 DU35,000000IOw771,22.614,,Li,149.7921435,1.8717122,2026-02-19 05:08:32.093000+00:00,61090.214260335546
,2026 DU35,000000IOw771,22.322,,Li,149.7915981,1.8719436,2026-02-19 05:12:33.326000+00:00,61090.21705238428
,2026 DU35,000000IOw771,22.42,,Li,149.7915029,1.8719359,2026-02-19 05:13:13.238000+00:00,61090.21751432866
,2026 DU35,000000IOw771,22.433,,Li,149.7911882,1.8720432,2026-02-19 05:15:14.186000+00:00,61090.21891418984
,2026 DU35,000000IOw771,22.384,,Li,149.7911125,1.8720385,2026-02-19 05:15:54.536000+00:00,61090.219381203875
,2026 DU35,000000IOw771,22.421,,Li,149.7910062,1.8721054,2026-02-19 05:16:34.736000+00:00,61090.21984648146
,2026 DU35,000000IOw771,22.27,,Li,149.7908948,1.8721236,2026-02-19 05:17:15.176000+00:00,61090.220314537175
