permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
,2026 DV62,000000IOw471,21.913,,Lz,150.8600786,1.8945302,2026-02-17 05:08:01.225000+00:00,61088.21390306717
,2026 DV62,000000IOw471,21.967,,Lz,150.8597294,1.8945965,2026-02-17 05:10:16.373000+00:00,61088.21546728024
,2026 DV62,000000IOw472,21.786,,Li,150.4346605,1.9696285,2026-02-19 04:22:07.864000+00:00,61090.18203546293
,2026 DV62,000000IOw472,21.959,,Li,150.4342334,1.9697028,2026-02-19 04:24:48.936000+00:00,61090.18389972206
,2026 DV62,000000IOw472,22.577,,Lg,150.4333009,1.9698576,2026-02-19 04:30:50.424000+00:00,61090.18808361096
,2026 DV62,000000IOw472,22.54,,Lg,150.4330517,1.9698935,2026-02-19 04:32:24.797000+00:00,61090.189175891224
,2026 DV62,000000IOw472,22.618,,Lg,150.4329633,1.9699164,2026-02-19 04:33:04.726000+00:00,61090.18963803258
,2026 DV62,000000IOw472,22.55,,Lg,150.4328414,1.9699398,2026-02-19 04:33:44.655000+00:00,61090.190100173466
,2026 DV62,000000IOw472,22.649,,Lg,150.4327514,1.9699557,2026-02-19 04:34:24.791000+00:00,61090.19056471065
,2026 DV62,000000IOw472,22.653,,Lg,150.4325428,1.9699947,2026-02-19 04:35:45.250000+00:00,61090.19149594894
,2026 DV62,000000IOw472,22.64,,Lg,150.4323323,1.9700182,2026-02-19 04:37:05.536000+00:00,61090.19242518535
,2026 DV62,000000IOw472,22.657,,Lg,150.4322358,1.9700484,2026-02-19 04:37:45.897000+00:00,61090.19289232651
,2026 DV62,000000IOw472,22.537,,Lg,150.4321215,1.970068,2026-02-19 04:38:26.227000+00:00,61090.19335910864
,2026 DV62,000000IOw472,22.506,,Lg,150.431794,1.9701379,2026-02-19 04:40:27.052000+00:00,61090.1947575463
,2026 DV62,000000IOw472,21.723,,Lz,150.4311641,1.9702479,2026-02-19 04:44:46.352000+00:00,61090.19775870349
,2026 DV62,000000IOw472,21.907,,Lz,150.4309646,1.9702843,2026-02-19 04:46:06.716000+00:00,61090.19868884282
,2026 DV62,000000IOw472,22.223,,Lz,150.4307008,1.9703509,2026-02-19 04:48:07.630000+00:00,61090.200088310055
,2026 DV62,000000IOw472,22.062,,Lz,150.4302195,1.9704627,2026-02-19 04:50:48.365000+00:00,61090.20194866881
,2026 DV62,000000IOw472,21.812,,Lz,150.4301333,1.9704138,2026-02-19 04:51:28.132000+00:00,61090.20240893541
,2026 DV62,000000IOw472,21.817,,Lz,150.4300052,1.9704861,2026-02-19 04:52:08.410000+00:00,61090.20287511591
,2026 DV62,000000IOw472,22.134,,Lr,150.42938,1.9705658,2026-02-19 04:56:17.732000+00:00,61090.20576078724
,2026 DV62,000000IOw472,22.138,,Lr,150.429256,1.9705611,2026-02-19 04:56:58.137000+00:00,61090.20622843737
,2026 DV62,000000IOw472,22.177,,Lr,150.4291584,1.9705913,2026-02-19 04:57:38.177000+00:00,61090.20669186348
,2026 DV62,000000IOw472,22.062,,Lr,150.4289606,1.9706405,2026-02-19 04:58:58.583000+00:00,61090.207622488495
,2026 DV62,000000IOw472,22.217,,Lr,150.4283189,1.9707438,2026-02-19 05:03:00.019000+00:00,61090.21041688649
,2026 DV62,000000IOw472,22.112,,Li,150.4272832,1.9709373,2026-02-19 05:09:52.364000+00:00,61090.21518939827
,2026 DV62,000000IOw472,21.987,,Li,150.4264211,1.9710711,2026-02-19 05:15:14.186000+00:00,61090.21891418984
,2026 DV62,000000IOw472,22.017,,Li,150.4263248,1.9711066,2026-02-19 05:15:54.536000+00:00,61090.219381203875
,2026 DV62,000000IOw472,22.081,,Li,150.4261224,1.9711293,2026-02-19 05:17:15.176000+00:00,61090.220314537175
,2026 DV62,000000IOw472,22.512,,Lg,150.4257027,1.9712198,2026-02-19 05:19:54.526000+00:00,61090.22215886554
,2026 DV62,000000IOw472,22.604,,Lg,150.4251404,1.9713307,2026-02-19 05:23:57.224000+00:00,61090.224967870396
,2026 DV62,000000IOw472,22.579,,Lg,150.4250013,1.9713416,2026-02-19 05:24:37.485000+00:00,61090.225433854386
,2026 DV62,000000IOw472,22.511,,Lg,150.4248875,1.9713458,2026-02-19 05:25:17.435000+00:00,61090.22589623835
,2026 DV62,000000IOw472,22.611,,Lg,150.424553,1.9713907,2026-02-19 05:27:18.470000+00:00,61090.22729710629
,2026 DV62,000000IOw472,22.681,,Lg,150.4243748,1.971453,2026-02-19 05:28:38.854000+00:00,61090.228227477055
,2026 DV62,000000IOw472,22.641,,Lg,150.4242824,1.9714574,2026-02-19 05:29:19.223000+00:00,61090.22869471088
,2026 DV62,000000IOw472,22.125,,Lz,150.4238478,1.9715237,2026-02-19 05:31:59.965000+00:00,61090.23055515066
,2026 DV62,000000IOw472,21.985,,Lz,150.4237659,1.9715471,2026-02-19 05:32:37.606000+00:00,61090.23099081032
,2026 DV62,000000IOw472,21.893,,Lz,150.4236512,1.9715539,2026-02-19 05:33:17.878000+00:00,61090.231456921436
,2026 DV62,000000IOw472,22.041,,Lz,150.4235523,1.9715791,2026-02-19 05:33:58.133000+00:00,61090.23192283558
,2026 DV62,000000IOw472,22.036,,Lz,150.4234202,1.9715701,2026-02-19 05:34:38.382000+00:00,61090.232388680335
,2026 DV62,000000IOw472,21.933,,Lz,150.4230284,1.9716894,2026-02-19 05:37:19.580000+00:00,61090.23425439792
,2026 DV62,000000IOw472,21.958,,Lz,150.4228283,1.9717349,2026-02-19 05:38:40.559000+00:00,61090.23519165488
,2026 DV62,000000IOw472,21.867,,Lz,150.4226211,1.9717442,2026-02-19 05:40:00.612000+00:00,61090.23611819465
,2026 DV62,000000IOw472,22.033,,Lz,150.4224133,1.9718017,2026-02-19 05:41:21.268000+00:00,61090.237051712815
,2026 DV62,000000IOw472,22.107,,Lr,150.4219982,1.9718627,2026-02-19 05:44:01.312000+00:00,61090.2389040743
,2026 DV62,000000IOw472,22.119,,Lr,150.4218902,1.9718903,2026-02-19 05:44:45.221000+00:00,61090.239412280265
,2026 DV62,000000IOw472,22.106,,Lr,150.4217809,1.9719042,2026-02-19 05:45:25.639000+00:00,61090.2398800808
,2026 DV62,000000IOw472,22.146,,Lr,150.4214607,1.9719664,2026-02-19 05:47:26.636000+00:00,61090.24128050916
,2026 DV62,000000IOw472,22.064,,Lr,150.4213643,1.9719671,2026-02-19 05:48:06.925000+00:00,61090.24174681725
,2026 DV62,000000IOw472,21.938,,Lr,150.4205355,1.9721352,2026-02-19 05:53:29.326000+00:00,61090.24547831016
,2026 DV62,000000IOw473,22.009,,Li,150.2230815,2.0089332,2026-02-20 03:55:33.842000+00:00,61091.16358613409
,2026 DV62,000000IOw473,22.003,,Li,150.2229911,2.0089433,2026-02-20 03:56:13.964000+00:00,61091.16405050922
,2026 DV62,000000IOw473,22.039,,Li,150.2224735,2.0090484,2026-02-20 03:59:40.297000+00:00,61091.166438622866
,2026 DV62,000000IOw473,22.01,,Li,150.2223513,2.0090646,2026-02-20 04:00:20.777000+00:00,61091.166907140985
,2026 DV62,000000IOw473,21.972,,Li,150.222255,2.0090835,2026-02-20 04:01:00.920000+00:00,61091.16737175919
,2026 DV62,000000IOw473,22.049,,Li,150.2220414,2.0091289,2026-02-20 04:02:21.356000+00:00,61091.16830273159
