permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
,2026 DW39,000000IOw8Y1,22.856,,Li,151.5818132,2.8969892,2026-02-23 02:54:09.099000+00:00,61094.120938645676
,2026 DW39,000000IOw8Y1,22.882,,Li,151.5814283,2.8971649,2026-02-23 02:56:50.064000+00:00,61094.122801666614
,2026 DW39,000000IOw8Y1,22.846,,Li,151.5811257,2.8972952,2026-02-23 02:58:51.102000+00:00,61094.12420256948
,2026 DW39,000000IOw8Y1,23.055,,Li,151.5810719,2.8973426,2026-02-23 02:59:31.220000+00:00,61094.124666898046
,2026 DW39,000000IOw8Y1,23.34,,Lg,151.5799297,2.8978413,2026-02-23 03:07:49.285000+00:00,61094.13043153938
,2026 DW39,000000IOw8Y1,23.391,,Lg,151.5789788,2.8982963,2026-02-23 03:14:41.651000+00:00,61094.135204293765
,2026 DW39,000000IOw8Y1,23.474,,Lg,151.5789067,2.8983246,2026-02-23 03:15:21.897000+00:00,61094.135670104064
,2026 DW39,000000IOw8Y1,23.386,,Lg,151.578617,2.8984451,2026-02-23 03:17:38.272000+00:00,61094.13724851841
,2026 DW39,000000IOw8Y1,23.621,,Lg,151.5784601,2.8985339,2026-02-23 03:18:19.868000+00:00,61094.13772995351
,2026 DW39,000000IOw8Y1,23.406,,Lg,151.5784256,2.8985618,2026-02-23 03:19:00.144000+00:00,61094.13819611119
,2026 DW39,000000IOw8Y1,23.827,,Lg,151.5781138,2.8987075,2026-02-23 03:21:06.775000+00:00,61094.1396617475
,2026 DW39,000000IOw8Y1,23.638,,Lg,151.5780259,2.8987355,2026-02-23 03:21:47.823000+00:00,61094.14013684029
,2026 DW39,000000IOw8Y1,22.608,,Lz,151.5774482,2.8990091,2026-02-23 03:25:46.637000+00:00,61094.14290089114
,2026 DW39,000000IOw8Y1,23.574,,Lg,151.5719277,2.9016156,2026-02-23 04:06:41.209000+00:00,61094.1713102893
,2026 DW39,000000IOw8Y1,23.51,,Lg,151.571829,2.901642,2026-02-23 04:07:21.428000+00:00,61094.17177578714
,2026 DW39,000000IOw8Y1,23.377,,Lg,151.5716333,2.9017326,2026-02-23 04:08:44.599000+00:00,61094.17273841426
