permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
,2026 DX62,000000IOw6A1,21.848,,Li,151.3473908,1.4866355,2026-02-19 04:20:07.066000+00:00,61090.18063733773
,2026 DX62,000000IOw6A1,21.908,,Li,151.3471986,1.4868304,2026-02-19 04:21:27.526000+00:00,61090.18156858813
,2026 DX62,000000IOw6A1,21.932,,Li,151.3468207,1.48721,2026-02-19 04:24:08.380000+00:00,61090.18343032431
,2026 DX62,000000IOw6A1,21.867,,Li,151.346717,1.4873104,2026-02-19 04:24:48.936000+00:00,61090.18389972206
,2026 DX62,000000IOw6A1,21.797,,Li,151.3464304,1.4875977,2026-02-19 04:26:49.860000+00:00,61090.18529930571
,2026 DX62,000000IOw6A1,22.577,,Lg,151.3456445,1.4883687,2026-02-19 04:32:24.797000+00:00,61090.189175891224
,2026 DX62,000000IOw6A1,22.54,,Lg,151.3454549,1.4885872,2026-02-19 04:33:44.655000+00:00,61090.190100173466
,2026 DX62,000000IOw6A1,22.51,,Lg,151.3453627,1.4886798,2026-02-19 04:34:24.791000+00:00,61090.19056471065
,2026 DX62,000000IOw6A1,22.589,,Lg,151.3452791,1.4887817,2026-02-19 04:35:05.014000+00:00,61090.19103025459
,2026 DX62,000000IOw6A1,22.572,,Lg,151.3450906,1.4889826,2026-02-19 04:36:25.229000+00:00,61090.19195866911
,2026 DX62,000000IOw6A1,21.867,,Lz,151.3441369,1.4899187,2026-02-19 04:43:05.523000+00:00,61090.19659170136
,2026 DX62,000000IOw6A1,21.841,,Lz,151.3439891,1.4900681,2026-02-19 04:44:05.873000+00:00,61090.19729019655
,2026 DX62,000000IOw6A1,21.807,,Lz,151.3439133,1.4901461,2026-02-19 04:44:46.352000+00:00,61090.19775870349
,2026 DX62,000000IOw6A1,21.851,,Lz,151.3438047,1.4902406,2026-02-19 04:45:26.546000+00:00,61090.19822391216
,2026 DX62,000000IOw6A1,21.859,,Lz,151.3437147,1.4903538,2026-02-19 04:46:06.716000+00:00,61090.19868884282
,2026 DX62,000000IOw6A1,21.706,,Lz,151.3435347,1.490541,2026-02-19 04:47:27.171000+00:00,61090.199620034546
,2026 DX62,000000IOw6A1,21.735,,Lz,151.3434207,1.4907021,2026-02-19 04:48:07.630000+00:00,61090.200088310055
,2026 DX62,000000IOw6A1,21.79,,Lz,151.3433235,1.4907304,2026-02-19 04:48:47.587000+00:00,61090.20055077551
,2026 DX62,000000IOw6A1,21.693,,Lz,151.3432007,1.4908403,2026-02-19 04:49:27.964000+00:00,61090.201018102
,2026 DX62,000000IOw6A1,21.732,,Lz,151.3431368,1.4909257,2026-02-19 04:50:08.193000+00:00,61090.201483715326
,2026 DX62,000000IOw6A1,21.674,,Lz,151.3429463,1.4911219,2026-02-19 04:51:28.132000+00:00,61090.20240893541
,2026 DX62,000000IOw6A1,21.662,,Lz,151.3428641,1.4912201,2026-02-19 04:52:08.410000+00:00,61090.20287511591
,2026 DX62,000000IOw6A1,21.997,,Lr,151.3424022,1.4916774,2026-02-19 04:55:24.404000+00:00,61090.20514356485
,2026 DX62,000000IOw6A1,22.069,,Lr,151.3418764,1.4921763,2026-02-19 04:58:58.583000+00:00,61090.207622488495
,2026 DX62,000000IOw6A1,22.009,,Lr,151.3412232,1.4928523,2026-02-19 05:03:40.023000+00:00,61090.210879895836
,2026 DX62,000000IOw6A1,22.04,,Lr,151.3411282,1.492948,2026-02-19 05:04:20.278000+00:00,61090.21134580998
,2026 DX62,000000IOw6A1,21.973,,Lr,151.3410171,1.4930491,2026-02-19 05:05:00.614000+00:00,61090.21181266196
,2026 DX62,000000IOw6A1,21.73,,Li,151.3400655,1.4940249,2026-02-19 05:11:53.093000+00:00,61090.21658672439
,2026 DX62,000000IOw6A1,21.787,,Li,151.3392974,1.4947835,2026-02-19 05:17:15.176000+00:00,61090.220314537175
,2026 DX62,000000IOw6A1,22.561,,Lg,151.3389411,1.4951768,2026-02-19 05:19:54.526000+00:00,61090.22215886554
,2026 DX62,000000IOw6A1,22.641,,Lg,151.3386508,1.4954753,2026-02-19 05:21:55.910000+00:00,61090.22356377309
,2026 DX62,000000IOw6A1,22.618,,Lg,151.3384521,1.4956801,2026-02-19 05:23:16.817000+00:00,61090.224500196986
,2026 DX62,000000IOw6A1,22.534,,Lg,151.338091,1.4960241,2026-02-19 05:25:57.880000+00:00,61090.22636435181
,2026 DX62,000000IOw6A1,22.57,,Lg,151.3378857,1.4962158,2026-02-19 05:27:18.470000+00:00,61090.22729710629
