permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
,2026 DY38,000000IOw8K1,23.366,,Lr,150.6211107,2.1196109,2026-02-17 05:05:18.134000+00:00,61088.212015439756
,2026 DY38,000000IOw8K1,23.062,,Lz,150.6205529,2.1196578,2026-02-17 05:08:35.589000+00:00,61088.21430079872
,2026 DY38,000000IOw8K2,23.207,,Li,150.1752602,2.1670204,2026-02-19 04:19:26.648000+00:00,61090.1801695372
,2026 DY38,000000IOw8K2,23.23,,Li,150.1751023,2.1670658,2026-02-19 04:20:47.241000+00:00,61090.181102326605
,2026 DY38,000000IOw8K2,23.055,,Li,150.1747083,2.1670965,2026-02-19 04:22:48.017000+00:00,61090.18250019662
,2026 DY38,000000IOw8K2,22.946,,Li,150.1745848,2.1670496,2026-02-19 04:23:28.333000+00:00,61090.18296681717
,2026 DY38,000000IOw8K2,22.988,,Li,150.1743861,2.1671088,2026-02-19 04:24:48.936000+00:00,61090.18389972206
,2026 DY38,000000IOw8K2,23.778,,Lg,150.1734283,2.167194,2026-02-19 04:30:50.424000+00:00,61090.18808361096
,2026 DY38,000000IOw8K2,23.488,,Lg,150.1730522,2.1672242,2026-02-19 04:33:04.726000+00:00,61090.18963803258
,2026 DY38,000000IOw8K2,23.5,,Lg,150.1724923,2.1672934,2026-02-19 04:36:25.229000+00:00,61090.19195866911
,2026 DY38,000000IOw8K2,23.421,,Lg,150.1720642,2.1673773,2026-02-19 04:39:06.122000+00:00,61090.19382085651
,2026 DY38,000000IOw8K2,23.48,,Lg,150.1719737,2.1673631,2026-02-19 04:39:46.355000+00:00,61090.1942865164
,2026 DY38,000000IOw8K2,22.914,,Lz,150.1712723,2.167422,2026-02-19 04:44:05.873000+00:00,61090.19729019655
,2026 DY38,000000IOw8K2,22.819,,Lz,150.1707408,2.167455,2026-02-19 04:47:27.171000+00:00,61090.199620034546
,2026 DY38,000000IOw8K2,22.576,,Lz,150.1704283,2.1675477,2026-02-19 04:50:08.193000+00:00,61090.201483715326
,2026 DY38,000000IOw8K2,22.594,,Lz,150.1698451,2.1676042,2026-02-19 04:52:48.968000+00:00,61090.203344536945
,2026 DY38,000000IOw8K2,22.92,,Lr,150.1694144,2.1676264,2026-02-19 04:55:24.404000+00:00,61090.20514356485
,2026 DY38,000000IOw8K2,23.084,,Lr,150.1692036,2.1676503,2026-02-19 04:56:58.137000+00:00,61090.20622843737
,2026 DY38,000000IOw8K2,23.047,,Lr,150.1690063,2.1677159,2026-02-19 04:58:18.220000+00:00,61090.20715532405
