permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
,2017 PK70,000000IPCab1,21.929,,Li,289.9865363,-20.1436866,2025-05-28 07:27:03.161000+00:00,60823.3104532524
,2017 PK70,000000IPCab1,22.059,,Li,289.9865222,-20.1437061,2025-05-28 07:27:45.537000+00:00,60823.310943715274
,2017 PK70,000000IPCab1,22.037,,Li,289.9865628,-20.1437264,2025-05-28 07:28:30.445000+00:00,60823.31146348361
,2017 PK70,000000IPCab1,22.023,,Li,289.9865167,-20.1437769,2025-05-28 07:30:02.516000+00:00,60823.312529120594
,2017 PK70,000000IPCab1,21.814,,Li,289.9862453,-20.1442269,2025-05-28 07:52:22.530000+00:00,60823.3280385416
,2017 PK70,000000IPCab1,21.655,,Li,289.9861916,-20.1442413,2025-05-28 07:53:07.617000+00:00,60823.32856038213
,2017 PK70,000000IPCab1,21.776,,Li,289.986238,-20.1442769,2025-05-28 07:53:52.704000+00:00,60823.32908222219
,2017 PK70,000000IPCab1,21.789,,Li,289.9862191,-20.1443004,2025-05-28 07:54:37.615000+00:00,60823.32960202545
,2017 PK70,000000IPCab1,21.791,,Li,289.9862231,-20.1443047,2025-05-28 07:55:22.814000+00:00,60823.33012516191
,2017 PK70,000000IPCab1,21.801,,Li,289.9862177,-20.1443423,2025-05-28 07:56:09.533000+00:00,60823.33066589106
,2017 PK70,000000IPCab1,21.72,,Li,289.9861926,-20.1443383,2025-05-28 07:56:54.923000+00:00,60823.33119123848
,2017 PK70,000000IPCab1,21.716,,Li,289.9861748,-20.1443574,2025-05-28 07:57:40.027000+00:00,60823.33171327552
,2017 PK70,000000IPCab1,21.624,,Li,289.9861733,-20.1443819,2025-05-28 07:58:24.354000+00:00,60823.33222631924
,2017 PK70,000000IPCab1,21.619,,Li,289.9861652,-20.1443932,2025-05-28 07:59:09.834000+00:00,60823.332752708346
,2017 PK70,000000IPCab1,21.669,,Lr,289.9859342,-20.1447953,2025-05-28 08:17:51.157000+00:00,60823.34573098365
,2017 PK70,000000IPCab1,21.691,,Lr,289.9858803,-20.1448821,2025-05-28 08:21:35.990000+00:00,60823.34833321767
,2017 PK70,000000IPCab1,21.674,,Lr,289.9858842,-20.1448871,2025-05-28 08:22:21.099000+00:00,60823.34885531245
,2017 PK70,000000IPCab1,21.653,,Lr,289.98586,-20.1449071,2025-05-28 08:23:06.110000+00:00,60823.34937627334
,2017 PK70,000000IPCab1,21.691,,Lr,289.9858558,-20.1449212,2025-05-28 08:23:51.120000+00:00,60823.34989722213
,2017 PK70,000000IPCab1,21.664,,Lr,289.9858222,-20.1449797,2025-05-28 08:26:53.589000+00:00,60823.35200913204
,2017 PK70,000000IPCab1,21.726,,Lr,289.985811,-20.1449991,2025-05-28 08:27:38.315000+00:00,60823.35252679419
,2017 PK70,000000IPCab1,21.699,,Lr,289.9857993,-20.145018,2025-05-28 08:28:24.089000+00:00,60823.353056585416
,2017 PK70,000000IPCab1,21.706,,Lr,289.9857718,-20.1450367,2025-05-28 08:29:56.175000+00:00,60823.35412239563
,2017 PK70,000000IPCab1,21.644,,Lr,289.9857767,-20.1450683,2025-05-28 08:30:41.382000+00:00,60823.35464562522
,2017 PK70,000000IPCab2,22.45,,Lg,289.9756682,-20.1765624,2025-05-29 07:50:07.088000+00:00,60824.32647092594
,2017 PK70,000000IPCab2,22.507,,Lg,289.9756493,-20.1765874,2025-05-29 07:50:52.414000+00:00,60824.326995532494
,2017 PK70,000000IPCab2,22.503,,Lg,289.9756116,-20.1766254,2025-05-29 07:52:22.399000+00:00,60824.32803702541
,2017 PK70,000000IPCab2,22.54,,Lg,289.9755881,-20.176634,2025-05-29 07:53:08.641000+00:00,60824.32857223367
,2017 PK70,000000IPCab2,22.486,,Lg,289.9755758,-20.1766749,2025-05-29 07:53:55.252000+00:00,60824.329111712985
,2017 PK70,000000IPCab2,22.5,,Lg,289.9755891,-20.1766798,2025-05-29 07:54:40.712000+00:00,60824.32963787019
,2017 PK70,000000IPCab2,22.452,,Lg,289.9755465,-20.1767011,2025-05-29 07:55:25.779000+00:00,60824.33015947929
,2017 PK70,000000IPCab2,22.412,,Lg,289.975543,-20.1767065,2025-05-29 07:56:09.747000+00:00,60824.33066836791
,2017 PK70,000000IPCab2,22.399,,Lg,289.9755002,-20.1767347,2025-05-29 07:56:55.053000+00:00,60824.33119274303
,2017 PK70,000000IPCab2,22.378,,Lg,289.9754925,-20.1767758,2025-05-29 07:57:40.416000+00:00,60824.331717778
,2017 PK70,000000IPCab2,22.364,,Lg,289.9754706,-20.1767875,2025-05-29 07:59:10.121000+00:00,60824.33275602991
,2017 PK70,000000IPCab2,22.308,,Lg,289.9754761,-20.1768018,2025-05-29 07:59:59.188000+00:00,60824.33332393505
,2017 PK70,000000IPCab2,22.283,,Lg,289.9754611,-20.1768221,2025-05-29 08:00:44.377000+00:00,60824.333846956026
,2017 PK70,000000IPCab2,22.33,,Lg,289.9754372,-20.1768499,2025-05-29 08:01:29.769000+00:00,60824.334372326266
,2017 PK70,000000IPCab2,22.265,,Lg,289.9754202,-20.1768713,2025-05-29 08:02:14.975000+00:00,60824.334895543754
,2017 PK70,000000IPCab2,22.317,,Lg,289.9754099,-20.176866,2025-05-29 08:02:58.464000+00:00,60824.33539888868
,2017 PK70,000000IPCab2,22.263,,Lg,289.9753825,-20.1768983,2025-05-29 08:03:45.054000+00:00,60824.33593812492
,2017 PK70,000000IPCab2,22.242,,Lg,289.9753685,-20.1769256,2025-05-29 08:05:18.854000+00:00,60824.33702377323
,2017 PK70,000000IPCab3,22.294,,Lg,289.9609122,-20.2061648,2025-05-30 04:47:19.322000+00:00,60825.19952918962
,2017 PK70,000000IPCab3,22.191,,Lg,289.9608736,-20.2061749,2025-05-30 04:48:04.711000+00:00,60825.2000545254
,2017 PK70,000000IPCab3,22.2,,Lg,289.960865,-20.2062067,2025-05-30 04:48:50.281000+00:00,60825.20058195619
,2017 PK70,000000IPCab3,22.234,,Lg,289.9608441,-20.206222,2025-05-30 04:49:36.169000+00:00,60825.2011130671
,2017 PK70,000000IPCab4,21.66,,Lz,289.9292241,-20.2468778,2025-05-31 07:56:23.368000+00:00,60826.33082601847
,2017 PK70,000000IPCab4,21.554,,Lz,289.9291781,-20.2468816,2025-05-31 07:57:04.120000+00:00,60826.33129768539
,2017 PK70,000000IPCab4,21.571,,Lz,289.9291555,-20.2468932,2025-05-31 07:57:44.878000+00:00,60826.33176942123
,2017 PK70,000000IPCab4,21.804,,Lz,289.9291375,-20.2469023,2025-05-31 07:58:25.721000+00:00,60826.33224214101
,2017 PK70,000000IPCab4,21.664,,Lz,289.9290915,-20.2469468,2025-05-31 07:59:09.214000+00:00,60826.332745532505
