permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
,2018 AJ69,000000IPCcE1,22.291,,Li,225.3958722,-37.9673106,2025-05-21 06:33:40.069000+00:00,60816.27338042809
,2018 AJ69,000000IPCcE1,22.266,,Li,225.3957631,-37.9672641,2025-05-21 06:34:26.956000+00:00,60816.273923101835
,2018 AJ69,000000IPCcE1,22.254,,Li,225.393863,-37.9664341,2025-05-21 06:47:15.376000+00:00,60816.28281685198
,2018 AJ69,000000IPCcE1,22.264,,Li,225.3934135,-37.9662337,2025-05-21 06:50:08.403000+00:00,60816.2848194791
,2018 AJ69,000000IPCcE1,22.191,,Li,225.3933193,-37.9661989,2025-05-21 06:50:51.548000+00:00,60816.28531884262
,2018 AJ69,000000IPCcE1,22.495,,Lr,225.3918956,-37.9655856,2025-05-21 07:00:23.368000+00:00,60816.29193712957
,2018 AJ69,000000IPCcE1,22.148,,Lr,225.3917644,-37.9655254,2025-05-21 07:01:05.650000+00:00,60816.29242650466
,2018 AJ69,000000IPCcE1,22.356,,Lr,225.3914255,-37.965391,2025-05-21 07:03:17.544000+00:00,60816.293953055516
,2018 AJ69,000000IPCcE1,22.502,,Lr,225.3912806,-37.9653462,2025-05-21 07:04:04.530000+00:00,60816.29449687479
,2018 AJ69,000000IPCcE1,22.378,,Lr,225.3909428,-37.9652261,2025-05-21 07:06:11.674000+00:00,60816.29596844921
,2018 AJ69,000000IPCcE1,22.432,,Lr,225.3908786,-37.9651825,2025-05-21 07:06:54.686000+00:00,60816.296466273256
,2018 AJ69,000000IPCcE1,22.397,,Lr,225.3907913,-37.9651233,2025-05-21 07:07:37.797000+00:00,60816.29696524283
,2018 AJ69,000000IPCcE1,22.403,,Lr,225.3906931,-37.965079,2025-05-21 07:08:21.047000+00:00,60816.29746582173
,2018 AJ69,000000IPCcE1,22.456,,Lr,225.3904825,-37.964969,2025-05-21 07:09:43.658000+00:00,60816.298421967775
,2018 AJ69,000000IPCcE1,22.298,,Lr,225.3896832,-37.9646937,2025-05-21 07:14:42.330000+00:00,60816.30187881924
,2018 AJ69,000000IPCcE1,22.078,,Lz,225.3889703,-37.964357,2025-05-21 07:19:33.500000+00:00,60816.305248842575
,2018 AJ69,000000IPCcE1,22.181,,Lz,225.3864932,-37.9632771,2025-05-21 07:36:06.562000+00:00,60816.316742615774
,2018 AJ69,000000IPCcE1,21.964,,Lz,225.3862389,-37.9631732,2025-05-21 07:37:35.565000+00:00,60816.31777274283
,2018 AJ69,000000IPCcE1,22.066,,Lz,225.3858718,-37.9630166,2025-05-21 07:39:46.374000+00:00,60816.319286736194
,2018 AJ69,000000IPCcE1,21.978,,Lz,225.3855311,-37.9628556,2025-05-21 07:42:36.616000+00:00,60816.32125712978
,2018 AJ69,000000IPCcE1,22.347,,Lz,225.3852847,-37.9628142,2025-05-21 07:44:00.466000+00:00,60816.32222761586
,2018 AJ69,000000IPCcE2,22.88,,Lg,225.1950635,-37.8807999,2025-05-22 05:20:25.337000+00:00,60817.22251547454
,2018 AJ69,000000IPCcE2,22.918,,Lg,225.1947675,-37.8806466,2025-05-22 05:22:23.784000+00:00,60817.22388638882
,2018 AJ69,000000IPCcE2,23.013,,Lg,225.1944997,-37.8805523,2025-05-22 05:24:17.666000+00:00,60817.22520446777
,2018 AJ69,000000IPCcE2,22.878,,Lg,225.1943662,-37.8805041,2025-05-22 05:24:59.750000+00:00,60817.22569155088
,2018 AJ69,000000IPCcE2,22.798,,Lg,225.1942156,-37.8804218,2025-05-22 05:26:11.343000+00:00,60817.22652017372
,2018 AJ69,000000IPCcE2,23.012,,Lg,225.1940286,-37.8803426,2025-05-22 05:27:23.382000+00:00,60817.22735395841
,2018 AJ69,000000IPCcE2,22.946,,Lg,225.1937524,-37.8802873,2025-05-22 05:28:56.420000+00:00,60817.2284307871
,2018 AJ69,000000IPCcE2,22.805,,Lg,225.1936709,-37.880191,2025-05-22 05:29:43.402000+00:00,60817.228974560276
,2018 AJ69,000000IPCcE2,22.81,,Lg,225.193273,-37.8800768,2025-05-22 05:32:04.564000+00:00,60817.23060837947
,2018 AJ69,000000IPCcE2,22.911,,Lg,225.1931763,-37.8799802,2025-05-22 05:33:01.673000+00:00,60817.231269363314
,2018 AJ69,000000IPCcE2,23.012,,Lg,225.1930261,-37.8799213,2025-05-22 05:33:54.608000+00:00,60817.23188203713
,2018 AJ69,000000IPCcE2,22.912,,Lg,225.1928934,-37.87986,2025-05-22 05:34:35.647000+00:00,60817.23235702561
,2018 AJ69,000000IPCcE2,22.996,,Lg,225.1926581,-37.8797886,2025-05-22 05:36:18.448000+00:00,60817.23354685167
,2018 AJ69,000000IPCcE2,22.921,,Lg,225.1923977,-37.8796209,2025-05-22 05:38:11.340000+00:00,60817.234853472095
,2018 AJ69,000000IPCcE2,22.398,,Lr,225.1895558,-37.8784408,2025-05-22 05:56:57.790000+00:00,60817.247891088016
,2018 AJ69,000000IPCcE2,22.42,,Lr,225.1894395,-37.8783839,2025-05-22 05:57:44.701000+00:00,60817.2484340393
,2018 AJ69,000000IPCcE2,22.342,,Lr,225.1893448,-37.878361,2025-05-22 05:58:26.674000+00:00,60817.24891983811
,2018 AJ69,000000IPCcE2,22.272,,Lr,225.1891022,-37.8782378,2025-05-22 06:00:15.327000+00:00,60817.250177395996
,2018 AJ69,000000IPCcE2,22.439,,Lr,225.1889847,-37.8781487,2025-05-22 06:00:57.744000+00:00,60817.25066833338
,2018 AJ69,000000IPCcE2,22.352,,Lr,225.188858,-37.8781364,2025-05-22 06:01:39.830000+00:00,60817.251155439764
,2018 AJ69,000000IPCcE2,22.465,,Lr,225.1886549,-37.8780234,2025-05-22 06:02:56.967000+00:00,60817.25204822933
,2018 AJ69,000000IPCcE2,22.439,,Lr,225.1883566,-37.877931,2025-05-22 06:05:00.845000+00:00,60817.2534820023
,2018 AJ69,000000IPCcE2,22.444,,Lr,225.1882398,-37.8778283,2025-05-22 06:05:47.757000+00:00,60817.25402496522
,2018 AJ69,000000IPCcE2,22.372,,Lr,225.1878407,-37.8776701,2025-05-22 06:08:29.720000+00:00,60817.25589953689
,2018 AJ69,000000IPCcE2,22.325,,Lr,225.1877429,-37.8776319,2025-05-22 06:09:12.460000+00:00,60817.256394213066
,2018 AJ69,000000IPCcE2,22.491,,Lr,225.1872927,-37.8774218,2025-05-22 06:12:14.634000+00:00,60817.25850270828
,2018 AJ69,000000IPCcE2,22.392,,Lr,225.1870324,-37.8773227,2025-05-22 06:13:48.161000+00:00,60817.25958519662
,2018 AJ69,000000IPCcE2,22.456,,Lr,225.1865422,-37.8770836,2025-05-22 06:17:19.217000+00:00,60817.262027974706
,2018 AJ69,000000IPCcE2,22.46,,Li,225.1854772,-37.8766355,2025-05-22 06:24:27.631000+00:00,60817.26698646974
,2018 AJ69,000000IPCcE2,22.396,,Li,225.1852142,-37.876512,2025-05-22 06:25:56.764000+00:00,60817.26801810181
,2018 AJ69,000000IPCcE2,22.147,,Li,225.1847121,-37.8762843,2025-05-22 06:29:32.371000+00:00,60817.27051355317
,2018 AJ69,000000IPCcE2,22.327,,Li,225.1843133,-37.8761087,2025-05-22 06:31:54.697000+00:00,60817.27216084488
,2018 AJ69,000000IPCcE2,22.333,,Li,225.1840195,-37.8759797,2025-05-22 06:34:11.948000+00:00,60817.27374939807
,2018 AJ69,000000IPCcE2,22.14,,Li,225.1839295,-37.8759344,2025-05-22 06:34:55.098000+00:00,60817.27424881933
,2018 AJ69,000000IPCcE2,22.258,,Li,225.1836593,-37.8758746,2025-05-22 06:36:20.012000+00:00,60817.2752316203
,2018 AJ69,000000IPCcE2,22.119,,Li,225.1834354,-37.8757223,2025-05-22 06:37:45.040000+00:00,60817.276215740945
,2018 AJ69,000000IPCcE2,22.331,,Li,225.1832792,-37.8756792,2025-05-22 06:39:14.417000+00:00,60817.277250196785
,2018 AJ69,000000IPCcE2,22.452,,Li,225.1830413,-37.8755883,2025-05-22 06:40:49.711000+00:00,60817.2783531365
,2018 AJ69,000000IPCcE2,22.073,,Lz,225.1808288,-37.8746099,2025-05-22 06:55:17.111000+00:00,60817.28839248838
,2018 AJ69,000000IPCcE2,21.855,,Lz,225.1797883,-37.8741684,2025-05-22 07:02:03.339000+00:00,60817.29309420148
,2018 AJ69,000000IPCcE3,22.272,,Li,224.809557,-37.7061838,2025-05-24 01:54:17.226000+00:00,60819.07936604181
,2018 AJ69,000000IPCcE3,22.33,,Li,224.8091417,-37.7059977,2025-05-24 01:57:06.636000+00:00,60819.08132680552
,2018 AJ69,000000IPCcE3,22.278,,Li,224.8089306,-37.7058936,2025-05-24 01:58:31.366000+00:00,60819.082307477016
