permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
,2018 MK12,000000IPCdJ1,21.749,,Li,289.3901791,-20.8145891,2025-05-28 07:27:03.161000+00:00,60823.3104532524
,2018 MK12,000000IPCdJ1,21.721,,Li,289.3901837,-20.8145639,2025-05-28 07:27:45.537000+00:00,60823.310943715274
,2018 MK12,000000IPCdJ1,21.755,,Li,289.3901774,-20.8145578,2025-05-28 07:29:15.344000+00:00,60823.3119831481
,2018 MK12,000000IPCdJ1,25.125,,Li,289.3900591,-20.8142151,2025-05-28 07:53:07.617000+00:00,60823.32856038213
,2018 MK12,000000IPCdJ1,21.769,,Li,289.3900835,-20.8141964,2025-05-28 07:54:37.615000+00:00,60823.32960202545
,2018 MK12,000000IPCdJ1,21.759,,Li,289.3900626,-20.8141915,2025-05-28 07:55:22.814000+00:00,60823.33012516191
,2018 MK12,000000IPCdJ1,21.848,,Li,289.3900688,-20.8141823,2025-05-28 07:56:09.533000+00:00,60823.33066589106
,2018 MK12,000000IPCdJ1,21.665,,Li,289.3900549,-20.8141646,2025-05-28 07:56:54.923000+00:00,60823.33119123848
,2018 MK12,000000IPCdJ1,21.758,,Li,289.3900634,-20.8141472,2025-05-28 07:58:24.354000+00:00,60823.33222631924
,2018 MK12,000000IPCdJ1,21.73,,Li,289.3900581,-20.8141435,2025-05-28 07:59:09.834000+00:00,60823.332752708346
,2018 MK12,000000IPCdJ1,21.823,,Li,289.3900486,-20.8141343,2025-05-28 07:59:52.364000+00:00,60823.33324495377
,2018 MK12,000000IPCdJ1,21.804,,Li,289.390038,-20.814128,2025-05-28 08:00:37.522000+00:00,60823.333767615724
,2018 MK12,000000IPCdJ1,21.777,,Li,289.3900272,-20.8141198,2025-05-28 08:01:22.468000+00:00,60823.33428782411
,2018 MK12,000000IPCdJ1,21.813,,Li,289.3900454,-20.8141055,2025-05-28 08:02:11.524000+00:00,60823.33485560166
,2018 MK12,000000IPCdJ1,21.768,,Li,289.3900353,-20.8140687,2025-05-28 08:03:42.307000+00:00,60823.33590633096
,2018 MK12,000000IPCdJ1,21.652,,Li,289.3900448,-20.8140812,2025-05-28 08:04:26.929000+00:00,60823.336422789376
,2018 MK12,000000IPCdJ1,21.771,,Li,289.3900339,-20.814055,2025-05-28 08:05:10.694000+00:00,60823.33692932874
,2018 MK12,000000IPCdJ1,21.739,,Li,289.3900151,-20.8140385,2025-05-28 08:05:57.888000+00:00,60823.33747555548
,2018 MK12,000000IPCdJ1,21.822,,Li,289.3900212,-20.8140275,2025-05-28 08:06:42.802000+00:00,60823.33799539367
,2018 MK12,000000IPCdJ1,21.727,,Li,289.3900111,-20.8140245,2025-05-28 08:07:31.773000+00:00,60823.33856218727
,2018 MK12,000000IPCdJ1,21.941,,Lr,289.3899696,-20.8139274,2025-05-28 08:14:49.575000+00:00,60823.343629340176
,2018 MK12,000000IPCdJ1,21.914,,Lr,289.389985,-20.8139297,2025-05-28 08:15:34.900000+00:00,60823.34415393509
,2018 MK12,000000IPCdJ1,21.959,,Lr,289.3899815,-20.8138834,2025-05-28 08:17:04.930000+00:00,60823.34519594908
,2018 MK12,000000IPCdJ1,21.963,,Lr,289.3899724,-20.8138764,2025-05-28 08:17:51.157000+00:00,60823.34573098365
,2018 MK12,000000IPCdJ1,21.876,,Lr,289.3899754,-20.8138694,2025-05-28 08:18:35.695000+00:00,60823.346246469766
,2018 MK12,000000IPCdJ1,21.99,,Lr,289.3899934,-20.8138615,2025-05-28 08:19:20.815000+00:00,60823.346768692136
,2018 MK12,000000IPCdJ1,21.925,,Lr,289.3899569,-20.8138301,2025-05-28 08:20:05.737000+00:00,60823.34728862252
,2018 MK12,000000IPCdJ1,21.996,,Lr,289.3899455,-20.8138377,2025-05-28 08:20:50.492000+00:00,60823.34780662041
,2018 MK12,000000IPCdJ1,22.053,,Lr,289.389962,-20.8138236,2025-05-28 08:21:35.990000+00:00,60823.34833321767
,2018 MK12,000000IPCdJ1,21.919,,Lr,289.3899554,-20.8137814,2025-05-28 08:23:51.120000+00:00,60823.34989722213
,2018 MK12,000000IPCdJ1,22.027,,Lr,289.3899489,-20.813785,2025-05-28 08:24:38.327000+00:00,60823.350443599746
,2018 MK12,000000IPCdJ1,21.971,,Lr,289.3899364,-20.8137704,2025-05-28 08:25:23.612000+00:00,60823.35096773133
,2018 MK12,000000IPCdJ1,21.923,,Lr,289.389931,-20.8137608,2025-05-28 08:26:53.589000+00:00,60823.35200913204
,2018 MK12,000000IPCdJ1,21.931,,Lr,289.3899474,-20.8137155,2025-05-28 08:27:38.315000+00:00,60823.35252679419
,2018 MK12,000000IPCdJ1,21.955,,Lr,289.3899407,-20.813722,2025-05-28 08:28:24.089000+00:00,60823.353056585416
,2018 MK12,000000IPCdJ1,21.937,,Lr,289.3899328,-20.8136833,2025-05-28 08:29:10.609000+00:00,60823.3535950114
,2018 MK12,000000IPCdJ1,21.968,,Lr,289.3899115,-20.8137067,2025-05-28 08:29:56.175000+00:00,60823.35412239563
,2018 MK12,000000IPCdJ1,21.924,,Lr,289.3899292,-20.813674,2025-05-28 08:30:41.382000+00:00,60823.35464562522
,2018 MK12,000000IPCdJ2,22.532,,Lg,289.3897906,-20.7791841,2025-05-30 04:47:19.322000+00:00,60825.19952918962
,2018 MK12,000000IPCdJ2,22.536,,Lg,289.3897844,-20.7791745,2025-05-30 04:48:04.711000+00:00,60825.2000545254
,2018 MK12,000000IPCdJ2,22.465,,Lg,289.3897805,-20.7791565,2025-05-30 04:48:50.281000+00:00,60825.20058195619
,2018 MK12,000000IPCdJ2,22.539,,Lg,289.3897661,-20.7791436,2025-05-30 04:49:36.169000+00:00,60825.2011130671
,2018 MK12,000000IPCdJ3,21.673,,Lz,289.371353,-20.760223,2025-05-31 07:56:23.368000+00:00,60826.33082601847
,2018 MK12,000000IPCdJ3,21.53,,Lz,289.3713398,-20.7602062,2025-05-31 07:57:04.120000+00:00,60826.33129768539
,2018 MK12,000000IPCdJ3,21.703,,Lz,289.371336,-20.760194,2025-05-31 07:57:44.878000+00:00,60826.33176942123
,2018 MK12,000000IPCdJ3,21.591,,Lz,289.3712601,-20.7601442,2025-05-31 07:59:49.981000+00:00,60826.33321737265
,2018 MK12,000000IPCdJ3,21.731,,Lz,289.3712692,-20.7601452,2025-05-31 08:00:31.324000+00:00,60826.33369587967
,2018 MK12,000000IPCdJ3,21.808,,Lz,289.371228,-20.7601584,2025-05-31 08:01:12.174000+00:00,60826.33416868048
,2018 MK12,000000IPCdJ3,21.94,,Lz,289.371199,-20.7601237,2025-05-31 08:03:14.741000+00:00,60826.33558727987
,2018 MK12,000000IPCdJ3,21.538,,Lz,289.3711756,-20.7600994,2025-05-31 08:03:55.477000+00:00,60826.33605876146
,2018 MK12,000000IPCdJ3,21.472,,Lz,289.3709645,-20.7600275,2025-05-31 08:10:46.764000+00:00,60826.34081902774
,2018 MK12,000000IPCdJ4,21.623,,Li,289.3460585,-20.7442721,2025-06-01 08:19:49.255000+00:00,60827.34709785879
,2018 MK12,000000IPCdJ4,21.64,,Li,289.3460174,-20.7442427,2025-06-01 08:21:14.643000+00:00,60827.34808614571
,2018 MK12,000000IPCdJ4,21.747,,Li,289.3459911,-20.7442408,2025-06-01 08:21:55.388000+00:00,60827.3485577316
,2018 MK12,000000IPCdJ4,21.664,,Li,289.3459624,-20.7442268,2025-06-01 08:22:36.337000+00:00,60827.3490316784
,2018 MK12,000000IPCdJ4,21.635,,Li,289.3459457,-20.7442244,2025-06-01 08:23:17.304000+00:00,60827.34950583335
,2018 MK12,000000IPCdJ4,21.599,,Li,289.3459306,-20.7442225,2025-06-01 08:23:58.067000+00:00,60827.3499776274
,2018 MK12,000000IPCdJ4,21.703,,Li,289.3458897,-20.7441965,2025-06-01 08:25:20.058000+00:00,60827.35092659714
,2018 MK12,000000IPCdJ4,21.642,,Li,289.3458684,-20.7441916,2025-06-01 08:26:00.808000+00:00,60827.351398240775
,2018 MK12,000000IPCdJ4,21.632,,Li,289.3458489,-20.7441855,2025-06-01 08:26:41.838000+00:00,60827.35187312495
,2018 MK12,000000IPCdJ4,21.69,,Li,289.3458281,-20.7441817,2025-06-01 08:27:23.051000+00:00,60827.35235012742
,2018 MK12,000000IPCdJ4,21.724,,Li,289.3458072,-20.7441668,2025-06-01 08:28:03.988000+00:00,60827.35282393498
