permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
,2021 SG63,000000IPCUK1,22.718,,Li,226.4556823,-38.4509644,2025-05-21 06:33:40.069000+00:00,60816.27338042809
,2021 SG63,000000IPCUK1,23.0,,Li,226.4555504,-38.4508791,2025-05-21 06:34:26.956000+00:00,60816.273923101835
,2021 SG63,000000IPCUK1,22.807,,Li,226.4550745,-38.4507315,2025-05-21 06:37:36.414000+00:00,60816.2761159027
,2021 SG63,000000IPCUK1,22.617,,Li,226.4541641,-38.4503776,2025-05-21 06:43:32.671000+00:00,60816.28023924772
,2021 SG63,000000IPCUK1,22.558,,Li,226.453889,-38.4502574,2025-05-21 06:45:02.476000+00:00,60816.28127865726
,2021 SG63,000000IPCUK1,22.771,,Li,226.4531986,-38.4500181,2025-05-21 06:49:25.563000+00:00,60816.284323645756
,2021 SG63,000000IPCUK1,22.767,,Li,226.4529838,-38.4499688,2025-05-21 06:50:51.548000+00:00,60816.28531884262
,2021 SG63,000000IPCUK1,22.804,,Lr,226.4508812,-38.4492483,2025-05-21 07:04:04.530000+00:00,60816.29449687479
,2021 SG63,000000IPCUK1,22.922,,Lr,226.4505719,-38.449112,2025-05-21 07:06:11.674000+00:00,60816.29596844921
,2021 SG63,000000IPCUK1,22.853,,Lr,226.4504732,-38.4490571,2025-05-21 07:06:54.686000+00:00,60816.296466273256
,2021 SG63,000000IPCUK1,23.018,,Lr,226.450345,-38.4490188,2025-05-21 07:07:37.797000+00:00,60816.29696524283
,2021 SG63,000000IPCUK1,23.044,,Lr,226.450233,-38.4489627,2025-05-21 07:08:21.047000+00:00,60816.29746582173
,2021 SG63,000000IPCUK1,22.553,,Lr,226.4494961,-38.4486932,2025-05-21 07:12:34.960000+00:00,60816.30040462967
,2021 SG63,000000IPCUK2,22.575,,Li,225.8452108,-38.2223914,2025-05-24 01:54:17.226000+00:00,60819.07936604181
,2021 SG63,000000IPCUK2,22.809,,Li,225.8451271,-38.222379,2025-05-24 01:54:59.144000+00:00,60819.0798512036
,2021 SG63,000000IPCUK2,22.585,,Li,225.8449713,-38.2223285,2025-05-24 01:55:41.899000+00:00,60819.080346053466
,2021 SG63,000000IPCUK2,22.668,,Li,225.8447655,-38.2222243,2025-05-24 01:57:06.636000+00:00,60819.08132680552
,2021 SG63,000000IPCUK2,22.651,,Li,225.8446452,-38.2221804,2025-05-24 01:57:48.911000+00:00,60819.081816099584
,2021 SG63,000000IPCUK2,22.725,,Li,225.8445701,-38.2221515,2025-05-24 01:58:31.366000+00:00,60819.082307477016
,2021 SG63,000000IPCUK2,22.642,,Li,225.8444659,-38.2221081,2025-05-24 01:59:13.726000+00:00,60819.082797754556
,2021 SG63,000000IPCUK2,22.706,,Li,225.8442402,-38.2220117,2025-05-24 02:00:38.627000+00:00,60819.08378040511
,2021 SG63,000000IPCUK2,22.589,,Li,225.8441218,-38.2219663,2025-05-24 02:01:20.621000+00:00,60819.08426644653
,2021 SG63,000000IPCUK2,22.835,,Li,225.8437794,-38.2218407,2025-05-24 02:03:28.548000+00:00,60819.08574708318
,2021 SG63,000000IPCUK2,22.68,,Li,225.843672,-38.221812,2025-05-24 02:04:10.821000+00:00,60819.08623635396
,2021 SG63,000000IPCUK2,22.571,,Li,225.8435739,-38.2217711,2025-05-24 02:04:53.177000+00:00,60819.08672658587
,2021 SG63,000000IPCUK2,22.62,,Li,225.8434614,-38.2217371,2025-05-24 02:05:35.423000+00:00,60819.08721554419
,2021 SG63,000000IPCUK2,22.582,,Li,225.8432763,-38.2216657,2025-05-24 02:06:59.621000+00:00,60819.08819005778
,2021 SG63,000000IPCUK2,22.593,,Li,225.843024,-38.2215774,2025-05-24 02:08:24.842000+00:00,60819.089176412206
,2021 SG63,000000IPCUK2,22.617,,Li,225.842816,-38.2214984,2025-05-24 02:09:49.650000+00:00,60819.09015798615
,2021 SG63,000000IPCUK2,22.496,,Li,225.8427252,-38.2214629,2025-05-24 02:10:31.542000+00:00,60819.09064284712
,2021 SG63,000000IPCUK2,22.506,,Li,225.8425761,-38.2214292,2025-05-24 02:11:13.809000+00:00,60819.09113204852
,2021 SG63,000000IPCUK2,22.785,,Li,225.8424867,-38.22137,2025-05-24 02:11:55.406000+00:00,60819.09161349526
,2021 SG63,000000IPCUK2,22.487,,Li,225.8423691,-38.2213328,2025-05-24 02:12:37.758000+00:00,60819.092103680596
,2021 SG63,000000IPCUK2,22.602,,Li,225.8422725,-38.2212919,2025-05-24 02:13:19.651000+00:00,60819.092588553205
,2021 SG63,000000IPCUK2,22.438,,Lz,225.8405081,-38.2206419,2025-05-24 02:24:41.282000+00:00,60819.100477800705
,2021 SG63,000000IPCUK2,22.484,,Lz,225.840336,-38.2205566,2025-05-24 02:26:05.838000+00:00,60819.101456458215
,2021 SG63,000000IPCUK2,22.325,,Lz,225.8401974,-38.2204941,2025-05-24 02:26:47.164000+00:00,60819.101934768725
,2021 SG63,000000IPCUK2,22.57,,Lz,225.8400186,-38.2204194,2025-05-24 02:28:11.605000+00:00,60819.10291209491
,2021 SG63,000000IPCUK2,22.557,,Lz,225.8396615,-38.2202839,2025-05-24 02:30:18.646000+00:00,60819.10438247677
,2021 SG63,000000IPCUK2,22.432,,Lz,225.8393301,-38.2201807,2025-05-24 02:32:33.656000+00:00,60819.105945092626
,2021 SG63,000000IPCUK2,22.843,,Lz,225.8389803,-38.2200307,2025-05-24 02:34:44.315000+00:00,60819.10745734954
,2021 SG63,000000IPCUK2,22.516,,Lz,225.8385337,-38.2198652,2025-05-24 02:37:37.569000+00:00,60819.10946260439
,2021 SG63,000000IPCUK2,22.641,,Lz,225.8383161,-38.2197933,2025-05-24 02:39:03.635000+00:00,60819.110458738636
,2021 SG63,000000IPCUK2,22.666,,Lz,225.8382201,-38.2197399,2025-05-24 02:39:45.898000+00:00,60819.11094789347
,2021 SG63,000000IPCUK2,22.691,,Lz,225.8381078,-38.2196951,2025-05-24 02:40:30.147000+00:00,60819.111460034736
,2021 SG63,000000IPCUK2,22.664,,Lz,225.8380204,-38.2196619,2025-05-24 02:41:13.079000+00:00,60819.11195693305
,2021 SG63,000000IPCUK2,22.642,,Lz,225.8378994,-38.2196193,2025-05-24 02:41:56.664000+00:00,60819.11246138904
,2021 SG63,000000IPCUK2,22.666,,Lr,225.8371566,-38.2193443,2025-05-24 02:46:38.071000+00:00,60819.11571841454
,2021 SG63,000000IPCUK2,22.749,,Lr,225.8370689,-38.2193279,2025-05-24 02:47:20.372000+00:00,60819.11620800942
,2021 SG63,000000IPCUK2,22.676,,Lr,225.8369314,-38.2192794,2025-05-24 02:48:02.738000+00:00,60819.116698356345
,2021 SG63,000000IPCUK2,22.707,,Lr,225.8367472,-38.2191943,2025-05-24 02:49:27.365000+00:00,60819.11767783575
,2021 SG63,000000IPCUK2,22.765,,Lr,225.8327176,-38.2176556,2025-05-24 03:15:37.055000+00:00,60819.13584554382
,2021 SG63,000000IPCUK2,22.74,,Lr,225.8326009,-38.2176218,2025-05-24 03:16:20.858000+00:00,60819.13635252323
,2021 SG63,000000IPCUK2,22.812,,Lr,225.8322632,-38.2174892,2025-05-24 03:18:30.050000+00:00,60819.13784780074
,2021 SG63,000000IPCUK2,22.715,,Lr,225.8320866,-38.2174106,2025-05-24 03:19:47.932000+00:00,60819.13874921296
,2021 SG63,000000IPCUK2,23.305,,Lg,225.8314356,-38.2171824,2025-05-24 03:23:59.568000+00:00,60819.1416616668
,2021 SG63,000000IPCUK3,22.363,,Li,224.991479,-37.8581144,2025-05-28 04:11:48.602000+00:00,60823.1748680789
,2021 SG63,000000IPCUK3,22.325,,Li,224.9911853,-37.8580077,2025-05-28 04:13:56.900000+00:00,60823.17635300942
,2021 SG63,000000IPCUK3,22.4,,Li,224.9911187,-37.8579808,2025-05-28 04:14:39.190000+00:00,60823.17684247671
,2021 SG63,000000IPCUK3,22.503,,Li,224.9910235,-37.8579072,2025-05-28 04:15:23.160000+00:00,60823.17735138908
,2021 SG63,000000IPCUK3,22.35,,Li,224.9908898,-37.8578693,2025-05-28 04:16:09.659000+00:00,60823.17788957199
,2021 SG63,000000IPCUK3,22.329,,Li,224.990598,-37.857714,2025-05-28 04:17:40.444000+00:00,60823.17894032411
,2021 SG63,000000IPCUK3,22.225,,Li,224.9905233,-37.8577205,2025-05-28 04:18:22.359000+00:00,60823.17942545144
,2021 SG63,000000IPCUK3,22.513,,Li,224.9902437,-37.8575933,2025-05-28 04:20:29.402000+00:00,60823.18089585658
,2021 SG63,000000IPCUK3,22.366,,Li,224.9901903,-37.8575512,2025-05-28 04:21:11.285000+00:00,60823.18138061324
,2021 SG63,000000IPCUK3,22.369,,Li,224.9900583,-37.8574882,2025-05-28 04:21:53.170000+00:00,60823.18186539365
,2021 SG63,000000IPCUK3,22.416,,Li,224.9899192,-37.8574148,2025-05-28 04:22:35.529000+00:00,60823.18235565955
,2021 SG63,000000IPCUK3,22.297,,Li,224.9896433,-37.8572953,2025-05-28 04:24:49.922000+00:00,60823.18391113449
,2021 SG63,000000IPCUK3,22.351,,Li,224.9894908,-37.8572426,2025-05-28 04:25:33.227000+00:00,60823.18441234948
,2021 SG63,000000IPCUK3,22.348,,Li,224.9892953,-37.8571688,2025-05-28 04:26:59.371000+00:00,60823.18540938664
,2021 SG63,000000IPCUK3,22.421,,Li,224.9890372,-37.857003,2025-05-28 04:29:06.976000+00:00,60823.18688629614
