permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
,2025 KB35,000000IPCgS1,21.743,,Li,226.3757239,-38.1218025,2025-05-21 06:34:26.956000+00:00,60816.273923101835
,2025 KB35,000000IPCgS1,21.686,,Li,226.3755478,-38.1217213,2025-05-21 06:35:24.958000+00:00,60816.2745944215
,2025 KB35,000000IPCgS1,21.718,,Li,226.3751925,-38.1215046,2025-05-21 06:37:36.414000+00:00,60816.2761159027
,2025 KB35,000000IPCgS1,21.846,,Li,226.3741799,-38.1209567,2025-05-21 06:43:32.671000+00:00,60816.28023924772
,2025 KB35,000000IPCgS1,21.721,,Li,226.374063,-38.120884,2025-05-21 06:44:14.732000+00:00,60816.28072606493
,2025 KB35,000000IPCgS1,21.76,,Li,226.3739454,-38.120814,2025-05-21 06:45:02.476000+00:00,60816.28127865726
,2025 KB35,000000IPCgS1,21.694,,Li,226.3738211,-38.1207411,2025-05-21 06:45:46.050000+00:00,60816.28178298613
,2025 KB35,000000IPCgS1,21.782,,Li,226.373301,-38.1204721,2025-05-21 06:48:43.405000+00:00,60816.283835705835
,2025 KB35,000000IPCgS1,21.813,,Li,226.3729648,-38.1202804,2025-05-21 06:50:51.548000+00:00,60816.28531884262
,2025 KB35,000000IPCgS1,21.701,,Lr,226.3718577,-38.1197053,2025-05-21 06:57:20.705000+00:00,60816.28982297471
,2025 KB35,000000IPCgS1,21.903,,Lr,226.3716882,-38.1195838,2025-05-21 06:58:12.782000+00:00,60816.290425717365
,2025 KB35,000000IPCgS1,21.992,,Lr,226.3713359,-38.1194049,2025-05-21 07:00:23.368000+00:00,60816.29193712957
,2025 KB35,000000IPCgS1,21.949,,Lr,226.3708668,-38.1191276,2025-05-21 07:03:17.544000+00:00,60816.293953055516
,2025 KB35,000000IPCgS1,21.869,,Lr,226.3703707,-38.1188504,2025-05-21 07:06:11.674000+00:00,60816.29596844921
