permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
,2025 KD34,000000IPCe91,22.9,,Li,226.6354236,-38.6388276,2025-05-21 06:34:26.956000+00:00,60816.273923101835
,2025 KD34,000000IPCe91,22.903,,Li,226.634848,-38.6386138,2025-05-21 06:37:36.414000+00:00,60816.2761159027
,2025 KD34,000000IPCe91,22.978,,Li,226.6343921,-38.6383976,2025-05-21 06:40:37.761000+00:00,60816.27821482625
,2025 KD34,000000IPCe91,22.755,,Li,226.6336831,-38.6380631,2025-05-21 06:45:02.476000+00:00,60816.28127865726
,2025 KD34,000000IPCe91,22.682,,Li,226.6329084,-38.63777,2025-05-21 06:49:25.563000+00:00,60816.284323645756
,2025 KD34,000000IPCe91,22.706,,Li,226.6327257,-38.6376772,2025-05-21 06:50:08.403000+00:00,60816.2848194791
,2025 KD34,000000IPCe91,22.673,,Li,226.6326315,-38.6376495,2025-05-21 06:50:51.548000+00:00,60816.28531884262
,2025 KD34,000000IPCe91,22.658,,Li,226.6324957,-38.6376029,2025-05-21 06:51:34.477000+00:00,60816.28581570601
,2025 KD34,000000IPCe91,22.803,,Lr,226.6305676,-38.6367038,2025-05-21 07:03:17.544000+00:00,60816.293953055516
,2025 KD34,000000IPCe91,22.772,,Lr,226.6304501,-38.6366395,2025-05-21 07:04:04.530000+00:00,60816.29449687479
,2025 KD34,000000IPCe91,22.735,,Lr,226.6300594,-38.6364877,2025-05-21 07:06:11.674000+00:00,60816.29596844921
,2025 KD34,000000IPCe91,22.946,,Lr,226.6299708,-38.6364413,2025-05-21 07:06:54.686000+00:00,60816.296466273256
,2025 KD34,000000IPCe91,22.736,,Lr,226.6298159,-38.6363712,2025-05-21 07:07:37.797000+00:00,60816.29696524283
,2025 KD34,000000IPCe91,22.871,,Lr,226.6296978,-38.6363061,2025-05-21 07:08:21.047000+00:00,60816.29746582173
,2025 KD34,000000IPCe91,23.027,,Lr,226.6295852,-38.6362785,2025-05-21 07:09:02.155000+00:00,60816.29794160882
,2025 KD34,000000IPCe91,22.458,,Lr,226.629266,-38.6361277,2025-05-21 07:11:08.802000+00:00,60816.29940743046
,2025 KD34,000000IPCe92,22.984,,Lg,226.4144431,-38.5397172,2025-05-22 05:20:25.337000+00:00,60817.22251547454
,2025 KD34,000000IPCe92,23.035,,Lg,226.4142252,-38.5396036,2025-05-22 05:21:42.085000+00:00,60817.22340376163
,2025 KD34,000000IPCe92,23.094,,Lg,226.4140732,-38.5395359,2025-05-22 05:22:23.784000+00:00,60817.22388638882
,2025 KD34,000000IPCe92,23.02,,Lg,226.4139178,-38.5394957,2025-05-22 05:23:35.722000+00:00,60817.224719004706
,2025 KD34,000000IPCe92,23.086,,Lg,226.412853,-38.5390001,2025-05-22 05:29:43.402000+00:00,60817.228974560276
,2025 KD34,000000IPCe92,23.156,,Lg,226.4123208,-38.5387815,2025-05-22 05:33:01.673000+00:00,60817.231269363314
,2025 KD34,000000IPCe92,23.239,,Lg,226.4121655,-38.5387001,2025-05-22 05:33:54.608000+00:00,60817.23188203713
,2025 KD34,000000IPCe92,23.227,,Lg,226.4119484,-38.538632,2025-05-22 05:35:22.302000+00:00,60817.23289701389
,2025 KD34,000000IPCe92,23.087,,Lg,226.4114658,-38.5383713,2025-05-22 05:38:11.340000+00:00,60817.234853472095
,2025 KD34,000000IPCe92,22.843,,Lr,226.4083525,-38.5369541,2025-05-22 05:56:57.790000+00:00,60817.247891088016
,2025 KD34,000000IPCe92,22.85,,Lr,226.4076437,-38.5366366,2025-05-22 06:00:57.744000+00:00,60817.25066833338
,2025 KD34,000000IPCe92,22.963,,Lr,226.4071475,-38.5364972,2025-05-22 06:03:53.987000+00:00,60817.25270818267
,2025 KD34,000000IPCe92,22.887,,Lr,226.4052509,-38.5355823,2025-05-22 06:15:13.363000+00:00,60817.260571330786
,2025 KD34,000000IPCe92,22.904,,Lr,226.4051458,-38.5355197,2025-05-22 06:15:55.500000+00:00,60817.26105902763
,2025 KD34,000000IPCe92,22.939,,Lr,226.4051114,-38.5354206,2025-05-22 06:16:37.597000+00:00,60817.26154626161
,2025 KD34,000000IPCe92,22.517,,Li,226.4026425,-38.5344385,2025-05-22 06:31:07.411000+00:00,60817.27161355317
,2025 KD34,000000IPCe92,22.717,,Li,226.402055,-38.534103,2025-05-22 06:34:11.948000+00:00,60817.27374939807
,2025 KD34,000000IPCe92,22.663,,Li,226.4016201,-38.5339073,2025-05-22 06:37:03.509000+00:00,60817.27573505789
,2025 KD34,000000IPCe92,22.654,,Li,226.4011164,-38.5336964,2025-05-22 06:39:57.625000+00:00,60817.27775028953
,2025 KD34,000000IPCe92,22.15,,Lz,226.3981533,-38.5322587,2025-05-22 06:58:21.486000+00:00,60817.29052645853
,2025 KD34,000000IPCe93,22.444,,Li,225.9907976,-38.3369853,2025-05-24 01:54:17.226000+00:00,60819.07936604181
,2025 KD34,000000IPCe93,22.54,,Li,225.9907068,-38.3369354,2025-05-24 01:54:59.144000+00:00,60819.0798512036
,2025 KD34,000000IPCe93,22.486,,Li,225.9905813,-38.3368825,2025-05-24 01:55:41.899000+00:00,60819.080346053466
,2025 KD34,000000IPCe93,22.442,,Li,225.990338,-38.3367776,2025-05-24 01:57:06.636000+00:00,60819.08132680552
,2025 KD34,000000IPCe93,22.41,,Li,225.9902314,-38.3367319,2025-05-24 01:57:48.911000+00:00,60819.081816099584
,2025 KD34,000000IPCe93,22.466,,Li,225.9901066,-38.3366551,2025-05-24 01:58:31.366000+00:00,60819.082307477016
,2025 KD34,000000IPCe93,22.518,,Li,225.9900093,-38.3366027,2025-05-24 01:59:13.726000+00:00,60819.082797754556
,2025 KD34,000000IPCe93,22.552,,Li,225.9897826,-38.3364982,2025-05-24 02:00:38.627000+00:00,60819.08378040511
,2025 KD34,000000IPCe93,22.426,,Li,225.9896507,-38.3364484,2025-05-24 02:01:20.621000+00:00,60819.08426644653
,2025 KD34,000000IPCe93,22.451,,Li,225.9893121,-38.3362963,2025-05-24 02:03:28.548000+00:00,60819.08574708318
,2025 KD34,000000IPCe93,22.412,,Li,225.9892117,-38.3362395,2025-05-24 02:04:10.821000+00:00,60819.08623635396
,2025 KD34,000000IPCe93,22.553,,Li,225.9890928,-38.3361842,2025-05-24 02:04:53.177000+00:00,60819.08672658587
,2025 KD34,000000IPCe93,22.409,,Li,225.9889793,-38.336133,2025-05-24 02:05:35.423000+00:00,60819.08721554419
,2025 KD34,000000IPCe93,22.537,,Li,225.988497,-38.3358976,2025-05-24 02:08:24.842000+00:00,60819.089176412206
,2025 KD34,000000IPCe93,22.493,,Li,225.9883829,-38.3358533,2025-05-24 02:09:07.586000+00:00,60819.08967113448
,2025 KD34,000000IPCe93,22.429,,Li,225.9882589,-38.3358034,2025-05-24 02:09:49.650000+00:00,60819.09015798615
,2025 KD34,000000IPCe93,22.457,,Li,225.9880288,-38.3356655,2025-05-24 02:11:13.809000+00:00,60819.09113204852
,2025 KD34,000000IPCe93,22.522,,Li,225.9879382,-38.3356219,2025-05-24 02:11:55.406000+00:00,60819.09161349526
,2025 KD34,000000IPCe93,22.595,,Li,225.9878396,-38.3355958,2025-05-24 02:12:37.758000+00:00,60819.092103680596
,2025 KD34,000000IPCe93,22.536,,Li,225.9876878,-38.335518,2025-05-24 02:13:19.651000+00:00,60819.092588553205
,2025 KD34,000000IPCe93,22.73,,Lz,225.9860441,-38.33477,2025-05-24 02:23:16.917000+00:00,60819.099501354154
,2025 KD34,000000IPCe93,22.48,,Lz,225.9859818,-38.3347191,2025-05-24 02:23:59.296000+00:00,60819.09999185195
,2025 KD34,000000IPCe93,22.673,,Lz,225.9855192,-38.3345071,2025-05-24 02:26:47.164000+00:00,60819.101934768725
,2025 KD34,000000IPCe93,22.509,,Lz,225.9853716,-38.3344729,2025-05-24 02:27:29.535000+00:00,60819.10242517339
,2025 KD34,000000IPCe93,22.696,,Lz,225.9852955,-38.3344059,2025-05-24 02:28:11.605000+00:00,60819.10291209491
,2025 KD34,000000IPCe93,22.485,,Lz,225.9849378,-38.3342201,2025-05-24 02:30:18.646000+00:00,60819.10438247677
,2025 KD34,000000IPCe93,22.758,,Lz,225.9845795,-38.3340748,2025-05-24 02:32:33.656000+00:00,60819.105945092626
,2025 KD34,000000IPCe93,22.68,,Lz,225.9842254,-38.3338857,2025-05-24 02:34:44.315000+00:00,60819.10745734954
,2025 KD34,000000IPCe93,22.637,,Lz,225.9837594,-38.3336636,2025-05-24 02:37:37.569000+00:00,60819.10946260439
,2025 KD34,000000IPCe93,22.807,,Lz,225.9833748,-38.3334928,2025-05-24 02:39:45.898000+00:00,60819.11094789347
,2025 KD34,000000IPCe93,22.848,,Lz,225.9832471,-38.3334458,2025-05-24 02:40:30.147000+00:00,60819.111460034736
,2025 KD34,000000IPCe93,22.958,,Lr,225.9822534,-38.3329787,2025-05-24 02:46:38.071000+00:00,60819.11571841454
,2025 KD34,000000IPCe93,22.776,,Lr,225.9821461,-38.3329225,2025-05-24 02:47:20.372000+00:00,60819.11620800942
,2025 KD34,000000IPCe93,22.832,,Lr,225.982033,-38.3328847,2025-05-24 02:48:02.738000+00:00,60819.116698356345
,2025 KD34,000000IPCe93,22.849,,Lr,225.9817772,-38.3327679,2025-05-24 02:49:27.365000+00:00,60819.11767783575
,2025 KD34,000000IPCe93,22.79,,Lr,225.9816743,-38.3326956,2025-05-24 02:50:10.106000+00:00,60819.1181725231
,2025 KD34,000000IPCe93,23.052,,Lr,225.9788329,-38.331368,2025-05-24 03:07:32.266000+00:00,60819.13023456
,2025 KD34,000000IPCe93,23.139,,Lr,225.9787133,-38.3313039,2025-05-24 03:08:14.905000+00:00,60819.1307280669
,2025 KD34,000000IPCe93,23.043,,Lr,225.9786032,-38.3312361,2025-05-24 03:08:57.573000+00:00,60819.13122190954
,2025 KD34,000000IPCe93,23.011,,Lr,225.9770311,-38.3305075,2025-05-24 03:18:30.050000+00:00,60819.13784780074
,2025 KD34,000000IPCe93,22.984,,Lr,225.9768255,-38.3304006,2025-05-24 03:19:47.932000+00:00,60819.13874921296
,2025 KD34,000000IPCe93,23.55,,Lg,225.9761528,-38.3301049,2025-05-24 03:23:59.568000+00:00,60819.1416616668
,2025 KD34,000000IPCe93,23.576,,Lg,225.9760482,-38.3300182,2025-05-24 03:24:41.442000+00:00,60819.14214631962
,2025 KD34,000000IPCe93,23.692,,Lg,225.9759226,-38.3299573,2025-05-24 03:25:23.921000+00:00,60819.14263797458
,2025 KD34,000000IPCe93,23.581,,Lg,225.9756902,-38.3298387,2025-05-24 03:26:53.076000+00:00,60819.1436698609
,2025 KD34,000000IPCe93,23.47,,Lg,225.9755412,-38.3298032,2025-05-24 03:27:41.117000+00:00,60819.144225891214
