permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
,2025 KE33,000000IPCbf1,20.952,,Li,225.1545387,-37.8769081,2025-05-21 06:33:40.069000+00:00,60816.27338042809
,2025 KE33,000000IPCbf1,20.949,,Li,225.1543836,-37.8768921,2025-05-21 06:34:26.956000+00:00,60816.273923101835
,2025 KE33,000000IPCbf1,20.937,,Li,225.1542012,-37.8768731,2025-05-21 06:35:24.958000+00:00,60816.2745944215
,2025 KE33,000000IPCbf1,20.931,,Li,225.1538977,-37.8768437,2025-05-21 06:36:54.211000+00:00,60816.27562744217
,2025 KE33,000000IPCbf1,20.882,,Li,225.1536149,-37.8768226,2025-05-21 06:38:18.502000+00:00,60816.27660303237
,2025 KE33,000000IPCbf1,20.893,,Li,225.1534969,-37.8768015,2025-05-21 06:39:01.549000+00:00,60816.27710126154
,2025 KE33,000000IPCbf1,20.908,,Li,225.1530215,-37.876763,2025-05-21 06:41:19.820000+00:00,60816.27870162018
,2025 KE33,000000IPCbf1,20.95,,Li,225.1525948,-37.8767167,2025-05-21 06:43:32.671000+00:00,60816.28023924772
,2025 KE33,000000IPCbf1,20.976,,Li,225.1521642,-37.8766706,2025-05-21 06:45:46.050000+00:00,60816.28178298613
,2025 KE33,000000IPCbf1,20.872,,Li,225.1515812,-37.8766316,2025-05-21 06:48:43.405000+00:00,60816.283835705835
,2025 KE33,000000IPCbf1,20.91,,Li,225.1513079,-37.8765874,2025-05-21 06:50:08.403000+00:00,60816.2848194791
,2025 KE33,000000IPCbf1,20.959,,Li,225.1511603,-37.8765738,2025-05-21 06:50:51.548000+00:00,60816.28531884262
,2025 KE33,000000IPCbf1,21.075,,Lr,225.1498624,-37.8764294,2025-05-21 06:57:20.705000+00:00,60816.28982297471
,2025 KE33,000000IPCbf1,21.219,,Lr,225.149728,-37.8764396,2025-05-21 06:58:12.782000+00:00,60816.290425717365
,2025 KE33,000000IPCbf1,20.99,,Lr,225.149424,-37.8764034,2025-05-21 06:59:41.023000+00:00,60816.29144702526
,2025 KE33,000000IPCbf1,21.066,,Lr,225.1490263,-37.8763711,2025-05-21 07:01:47.826000+00:00,60816.29291465273
,2025 KE33,000000IPCbf1,21.111,,Lr,225.1487271,-37.8763431,2025-05-21 07:03:17.544000+00:00,60816.293953055516
,2025 KE33,000000IPCbf1,21.069,,Lr,225.1485759,-37.8763274,2025-05-21 07:04:04.530000+00:00,60816.29449687479
,2025 KE33,000000IPCbf1,21.096,,Lr,225.1481577,-37.8762879,2025-05-21 07:06:11.674000+00:00,60816.29596844921
,2025 KE33,000000IPCbf1,21.067,,Lr,225.1480165,-37.8762672,2025-05-21 07:06:54.686000+00:00,60816.296466273256
