permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
,2025 KJ33,000000IPCcI1,22.332,,Li,226.290822,-39.0206246,2025-05-21 06:33:40.069000+00:00,60816.27338042809
,2025 KJ33,000000IPCcI1,22.194,,Li,226.2906564,-39.0205384,2025-05-21 06:34:26.956000+00:00,60816.273923101835
,2025 KJ33,000000IPCcI1,22.268,,Li,226.2904682,-39.0204734,2025-05-21 06:35:24.958000+00:00,60816.2745944215
,2025 KJ33,000000IPCcI1,22.306,,Li,226.2903583,-39.0204053,2025-05-21 06:36:12.031000+00:00,60816.27513924753
,2025 KJ33,000000IPCcI1,22.374,,Li,226.2901848,-39.0203439,2025-05-21 06:36:54.211000+00:00,60816.27562744217
,2025 KJ33,000000IPCcI1,22.391,,Li,226.2901317,-39.020301,2025-05-21 06:37:36.414000+00:00,60816.2761159027
,2025 KJ33,000000IPCcI1,22.338,,Li,226.2900158,-39.0202508,2025-05-21 06:38:18.502000+00:00,60816.27660303237
,2025 KJ33,000000IPCcI1,22.192,,Li,226.2897163,-39.0201294,2025-05-21 06:39:44.659000+00:00,60816.27760021994
,2025 KJ33,000000IPCcI1,22.311,,Li,226.2895651,-39.0200544,2025-05-21 06:40:37.761000+00:00,60816.27821482625
,2025 KJ33,000000IPCcI1,22.4,,Li,226.2894116,-39.0200061,2025-05-21 06:41:19.820000+00:00,60816.27870162018
,2025 KJ33,000000IPCcI1,22.345,,Li,226.289065,-39.0198344,2025-05-21 06:43:32.671000+00:00,60816.28023924772
,2025 KJ33,000000IPCcI1,22.169,,Li,226.2887461,-39.0197085,2025-05-21 06:45:02.476000+00:00,60816.28127865726
,2025 KJ33,000000IPCcI1,22.236,,Li,226.2886968,-39.0196673,2025-05-21 06:45:46.050000+00:00,60816.28178298613
,2025 KJ33,000000IPCcI1,22.311,,Li,226.2880094,-39.0193774,2025-05-21 06:49:25.563000+00:00,60816.284323645756
,2025 KJ33,000000IPCcI1,22.421,,Li,226.2878486,-39.0193188,2025-05-21 06:50:08.403000+00:00,60816.2848194791
,2025 KJ33,000000IPCcI1,22.317,,Li,226.287775,-39.0192992,2025-05-21 06:50:51.548000+00:00,60816.28531884262
,2025 KJ33,000000IPCcI1,22.296,,Li,226.2876286,-39.0192035,2025-05-21 06:51:34.477000+00:00,60816.28581570601
,2025 KJ33,000000IPCcI1,22.479,,Lr,226.2859344,-39.0184604,2025-05-21 07:01:05.650000+00:00,60816.29242650466
,2025 KJ33,000000IPCcI1,22.511,,Lr,226.2856963,-39.0183544,2025-05-21 07:02:29.901000+00:00,60816.29340163199
,2025 KJ33,000000IPCcI1,22.548,,Lr,226.2855563,-39.018272,2025-05-21 07:03:17.544000+00:00,60816.293953055516
,2025 KJ33,000000IPCcI1,22.486,,Lr,226.285405,-39.0182118,2025-05-21 07:04:04.530000+00:00,60816.29449687479
,2025 KJ33,000000IPCcI1,22.595,,Lr,226.2850383,-39.0180724,2025-05-21 07:06:11.674000+00:00,60816.29596844921
,2025 KJ33,000000IPCcI1,22.628,,Lr,226.2849013,-39.0179861,2025-05-21 07:06:54.686000+00:00,60816.296466273256
,2025 KJ33,000000IPCcI1,22.672,,Lr,226.2847738,-39.0179542,2025-05-21 07:07:37.797000+00:00,60816.29696524283
,2025 KJ33,000000IPCcI1,22.536,,Lr,226.2845081,-39.0178293,2025-05-21 07:09:02.155000+00:00,60816.29794160882
,2025 KJ33,000000IPCcI1,22.615,,Lz,226.2798685,-39.0157528,2025-05-21 07:35:23.879000+00:00,60816.31624859944
,2025 KJ33,000000IPCcI2,23.101,,Lg,226.0564626,-38.9149332,2025-05-22 05:33:01.673000+00:00,60817.231269363314
,2025 KJ33,000000IPCcI2,23.045,,Lg,226.0562849,-38.9148161,2025-05-22 05:33:54.608000+00:00,60817.23188203713
,2025 KJ33,000000IPCcI2,22.982,,Lg,226.0561685,-38.9147875,2025-05-22 05:34:35.647000+00:00,60817.23235702561
,2025 KJ33,000000IPCcI2,23.083,,Lg,226.0560279,-38.9147816,2025-05-22 05:35:22.302000+00:00,60817.23289701389
,2025 KJ33,000000IPCcI2,23.271,,Lg,226.0554751,-38.9145098,2025-05-22 05:38:11.340000+00:00,60817.234853472095
,2025 KJ33,000000IPCcI2,23.033,,Lg,226.0552775,-38.9144094,2025-05-22 05:39:38.021000+00:00,60817.23585672444
,2025 KJ33,000000IPCcI2,22.528,,Lr,226.0522098,-38.9130395,2025-05-22 05:56:57.790000+00:00,60817.247891088016
,2025 KJ33,000000IPCcI2,22.462,,Lr,226.0521179,-38.9129872,2025-05-22 05:57:44.701000+00:00,60817.2484340393
