permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
,2025 KL34,000000IPCez1,21.221,,Li,289.64209,-19.4607277,2025-05-28 07:27:45.537000+00:00,60823.310943715274
,2025 KL34,000000IPCez1,21.225,,Li,289.6421486,-19.4607152,2025-05-28 07:28:30.445000+00:00,60823.31146348361
,2025 KL34,000000IPCez1,21.179,,Li,289.6421582,-19.4607172,2025-05-28 07:29:15.344000+00:00,60823.3119831481
,2025 KL34,000000IPCez1,21.15,,Li,289.6422223,-19.460702,2025-05-28 07:30:02.516000+00:00,60823.312529120594
,2025 KL34,000000IPCez1,21.041,,Li,289.6440852,-19.4604935,2025-05-28 08:02:56.832000+00:00,60823.33538000006
,2025 KL34,000000IPCez1,21.106,,Li,289.6441277,-19.4604877,2025-05-28 08:03:42.307000+00:00,60823.33590633096
,2025 KL34,000000IPCez1,21.069,,Li,289.6441718,-19.460482,2025-05-28 08:04:26.929000+00:00,60823.336422789376
,2025 KL34,000000IPCez1,21.062,,Li,289.6442507,-19.4604679,2025-05-28 08:05:57.888000+00:00,60823.33747555548
,2025 KL34,000000IPCez1,21.094,,Li,289.644291,-19.4604617,2025-05-28 08:06:42.802000+00:00,60823.33799539367
,2025 KL34,000000IPCez1,21.141,,Li,289.6443323,-19.460457,2025-05-28 08:07:31.773000+00:00,60823.33856218727
,2025 KL34,000000IPCez1,21.363,,Lr,289.6447514,-19.4604078,2025-05-28 08:14:49.575000+00:00,60823.343629340176
,2025 KL34,000000IPCez1,21.369,,Lr,289.6447909,-19.4603921,2025-05-28 08:15:34.900000+00:00,60823.34415393509
,2025 KL34,000000IPCez1,21.393,,Lr,289.6448381,-19.4603978,2025-05-28 08:16:19.806000+00:00,60823.34467368061
,2025 KL34,000000IPCez1,21.358,,Lr,289.6449495,-19.4603831,2025-05-28 08:18:35.695000+00:00,60823.346246469766
,2025 KL34,000000IPCez1,21.331,,Lr,289.6449992,-19.4603747,2025-05-28 08:19:20.815000+00:00,60823.346768692136
,2025 KL34,000000IPCez1,21.419,,Lr,289.6450539,-19.4603717,2025-05-28 08:20:05.737000+00:00,60823.34728862252
,2025 KL34,000000IPCez1,21.423,,Lr,289.6451655,-19.460362,2025-05-28 08:22:21.099000+00:00,60823.34885531245
,2025 KL34,000000IPCez1,21.35,,Lr,289.6453119,-19.4603308,2025-05-28 08:24:38.327000+00:00,60823.350443599746
,2025 KL34,000000IPCez1,21.446,,Lr,289.645347,-19.4603352,2025-05-28 08:25:23.612000+00:00,60823.35096773133
,2025 KL34,000000IPCez1,21.359,,Lr,289.6453898,-19.4603225,2025-05-28 08:26:08.751000+00:00,60823.35149017349
,2025 KL34,000000IPCez1,21.347,,Lr,289.6454433,-19.4603239,2025-05-28 08:26:53.589000+00:00,60823.35200913204
,2025 KL34,000000IPCez1,21.395,,Lr,289.6455676,-19.4603075,2025-05-28 08:29:10.609000+00:00,60823.3535950114
,2025 KL34,000000IPCez1,21.383,,Lr,289.6456169,-19.4603133,2025-05-28 08:29:56.175000+00:00,60823.35412239563
,2025 KL34,000000IPCez2,21.036,,Lz,289.8958754,-19.4407794,2025-05-31 07:56:23.368000+00:00,60826.33082601847
,2025 KL34,000000IPCez2,20.976,,Lz,289.8958887,-19.4407808,2025-05-31 07:57:04.120000+00:00,60826.33129768539
,2025 KL34,000000IPCez2,21.124,,Lz,289.8959322,-19.4407847,2025-05-31 07:57:44.878000+00:00,60826.33176942123
,2025 KL34,000000IPCez2,21.005,,Lz,289.8959492,-19.4407786,2025-05-31 07:58:25.721000+00:00,60826.33224214101
,2025 KL34,000000IPCez2,21.032,,Lz,289.895974,-19.4407726,2025-05-31 07:59:09.214000+00:00,60826.332745532505
,2025 KL34,000000IPCez2,21.048,,Lz,289.8960131,-19.4407716,2025-05-31 07:59:49.981000+00:00,60826.33321737265
,2025 KL34,000000IPCez2,21.074,,Lz,289.8960305,-19.4407675,2025-05-31 08:00:31.324000+00:00,60826.33369587967
,2025 KL34,000000IPCez2,21.063,,Lz,289.8960617,-19.4407677,2025-05-31 08:01:12.174000+00:00,60826.33416868048
,2025 KL34,000000IPCez2,21.079,,Lz,289.896093,-19.4407622,2025-05-31 08:02:33.704000+00:00,60826.33511231467
,2025 KL34,000000IPCez2,21.148,,Lz,289.8961948,-19.4407293,2025-05-31 08:05:19.353000+00:00,60826.33702954883
,2025 KL34,000000IPCez2,21.138,,Lz,289.8962312,-19.4407448,2025-05-31 08:06:00.192000+00:00,60826.33750222204
,2025 KL34,000000IPCez2,21.028,,Lz,289.8962418,-19.4407274,2025-05-31 08:06:41.231000+00:00,60826.337977210525
,2025 KL34,000000IPCez2,21.22,,Lz,289.8963057,-19.4407714,2025-05-31 08:07:22.160000+00:00,60826.33845092589
,2025 KL34,000000IPCez2,21.187,,Lz,289.8963234,-19.4407481,2025-05-31 08:08:02.816000+00:00,60826.33892148128
,2025 KL34,000000IPCez2,20.916,,Lz,289.896328,-19.4407227,2025-05-31 08:09:25.071000+00:00,60826.33987350715
,2025 KL34,000000IPCez2,21.071,,Lz,289.8963663,-19.4407138,2025-05-31 08:10:06.305000+00:00,60826.34035075223
,2025 KL34,000000IPCez2,21.269,,Lz,289.8963902,-19.4407366,2025-05-31 08:10:46.764000+00:00,60826.34081902774
,2025 KL34,000000IPCez3,20.953,,Li,289.9614593,-19.4379342,2025-06-01 08:19:49.255000+00:00,60827.34709785879
,2025 KL34,000000IPCez3,20.952,,Li,289.9614991,-19.4379277,2025-06-01 08:21:14.643000+00:00,60827.34808614571
,2025 KL34,000000IPCez3,20.939,,Li,289.9615218,-19.4379277,2025-06-01 08:21:55.388000+00:00,60827.3485577316
,2025 KL34,000000IPCez3,20.958,,Li,289.9615438,-19.4379275,2025-06-01 08:22:36.337000+00:00,60827.3490316784
,2025 KL34,000000IPCez3,20.922,,Li,289.9615691,-19.4379289,2025-06-01 08:23:17.304000+00:00,60827.34950583335
,2025 KL34,000000IPCez3,20.973,,Li,289.9615831,-19.4379208,2025-06-01 08:23:58.067000+00:00,60827.3499776274
,2025 KL34,000000IPCez3,20.961,,Li,289.9616098,-19.4379215,2025-06-01 08:24:39.115000+00:00,60827.35045271972
,2025 KL34,000000IPCez3,20.95,,Li,289.9616252,-19.437922,2025-06-01 08:25:20.058000+00:00,60827.35092659714
,2025 KL34,000000IPCez3,20.96,,Li,289.9616662,-19.437915,2025-06-01 08:26:41.838000+00:00,60827.35187312495
,2025 KL34,000000IPCez3,21.0,,Li,289.961745,-19.4379114,2025-06-01 08:29:26.052000+00:00,60827.3537737499
,2025 KL34,000000IPCez3,20.971,,Li,289.9617674,-19.4379099,2025-06-01 08:30:06.900000+00:00,60827.35424652789
,2025 KL34,000000IPCez3,21.002,,Li,289.9617898,-19.4379106,2025-06-01 08:30:47.747000+00:00,60827.35471929377
,2025 KL34,000000IPCez3,20.967,,Li,289.9618104,-19.4379049,2025-06-01 08:31:28.789000+00:00,60827.35519431718
,2025 KL34,000000IPCez3,20.997,,Li,289.9618283,-19.4379047,2025-06-01 08:32:09.912000+00:00,60827.35567027796
,2025 KL34,000000IPCez3,21.036,,Li,289.9618468,-19.4379061,2025-06-01 08:32:51.220000+00:00,60827.356148379855
,2025 KL34,000000IPCez3,21.018,,Li,289.9618685,-19.4378986,2025-06-01 08:33:32.059000+00:00,60827.35662105307
,2025 KL34,000000IPCez3,21.073,,Li,289.9618832,-19.4378956,2025-06-01 08:34:11.783000+00:00,60827.35708082188
,2025 KL34,000000IPCez3,21.022,,Li,289.9619292,-19.4378941,2025-06-01 08:35:33.341000+00:00,60827.35802478017
,2025 KL34,000000IPCez3,21.03,,Li,289.9619503,-19.4378967,2025-06-01 08:36:14.356000+00:00,60827.358499490656
,2025 KL34,000000IPCez3,21.083,,Li,289.961986,-19.4378938,2025-06-01 08:37:37.158000+00:00,60827.3594578472
,2025 KL34,000000IPCez3,21.095,,Li,289.9620634,-19.4378832,2025-06-01 08:40:20.917000+00:00,60827.36135320598
