permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
,2025 KR33,000000IPCdi1,23.492,,Lg,149.7582407,3.4414117,2025-05-24 00:39:02.266000+00:00,60819.02710956009
,2025 KR33,000000IPCdi1,23.617,,Lg,149.7583508,3.4413695,2025-05-24 00:39:47.645000+00:00,60819.02763477992
,2025 KR33,000000IPCdi1,23.423,,Lg,149.7584663,3.4413078,2025-05-24 00:40:32.849000+00:00,60819.02815797459
,2025 KR33,000000IPCdi1,23.457,,Lg,149.7586124,3.4412963,2025-05-24 00:41:18.062000+00:00,60819.02868127311
,2025 KR33,000000IPCdi1,23.53,,Lg,149.7586975,3.4412688,2025-05-24 00:42:03.159000+00:00,60819.02920322912
,2025 KR33,000000IPCdi1,23.614,,Lg,149.7588327,3.4412321,2025-05-24 00:42:48.544000+00:00,60819.02972851833
,2025 KR33,000000IPCdi1,23.422,,Lg,149.7589577,3.4412157,2025-05-24 00:43:33.849000+00:00,60819.030252881814
,2025 KR33,000000IPCdi1,23.281,,Lg,149.7592166,3.4411535,2025-05-24 00:45:04.239000+00:00,60819.03129906254
,2025 KR33,000000IPCdi1,23.487,,Lg,149.759326,3.4411214,2025-05-24 00:45:49.587000+00:00,60819.03182392381
,2025 KR33,000000IPCdi1,23.734,,Lg,149.7595842,3.441042,2025-05-24 00:47:20.071000+00:00,60819.03287119232
,2025 KR33,000000IPCdi1,23.5,,Lg,149.7597171,3.44102,2025-05-24 00:48:05.263000+00:00,60819.03339424776
,2025 KR33,000000IPCdi1,23.476,,Lg,149.7597986,3.4410093,2025-05-24 00:48:50.262000+00:00,60819.03391506942
,2025 KR33,000000IPCdi1,23.728,,Lg,149.7599243,3.4409767,2025-05-24 00:49:35.470000+00:00,60819.03443831019
,2025 KR33,000000IPCdi1,23.333,,Lg,149.7602114,3.4409304,2025-05-24 00:51:06.063000+00:00,60819.03548684018
,2025 KR33,000000IPCdi1,23.389,,Lg,149.7602744,3.4408726,2025-05-24 00:51:51.748000+00:00,60819.03601560183
,2025 KR33,000000IPCdi1,23.499,,Lg,149.7604546,3.4408308,2025-05-24 00:52:36.950000+00:00,60819.036538773216
,2025 KR33,000000IPCdi1,23.443,,Lg,149.7605511,3.4407729,2025-05-24 00:53:22.182000+00:00,60819.03706229152
,2025 KR33,000000IPCdi1,23.372,,Lg,149.7606726,3.4408,2025-05-24 00:54:07.406000+00:00,60819.037585717626
