permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
,2025 KW33,000000IPCdw1,23.12,,Lg,149.7664338,3.2915021,2025-05-20 23:56:09.639000+00:00,60815.99733378459
,2025 KW33,000000IPCdw1,23.295,,Lg,149.7665205,3.2914331,2025-05-20 23:57:15.858000+00:00,60815.99810020812
,2025 KW33,000000IPCdw1,23.508,,Lg,149.7668124,3.2915069,2025-05-20 23:58:43.039000+00:00,60815.9991092477
,2025 KW33,000000IPCdw1,23.492,,Lg,149.767062,3.2915003,2025-05-21 00:00:35.154000+00:00,60816.00040687481
,2025 KW33,000000IPCdw1,23.43,,Lg,149.7672322,3.291463,2025-05-21 00:01:35.967000+00:00,60816.001110729296
,2025 KW33,000000IPCdw1,23.569,,Lg,149.7676253,3.2914852,2025-05-21 00:04:04.332000+00:00,60816.00282791676
,2025 KW33,000000IPCdw1,23.546,,Lg,149.7677157,3.2914474,2025-05-21 00:04:50.561000+00:00,60816.00336297462
,2025 KW33,000000IPCdw1,23.512,,Lg,149.7678481,3.2914837,2025-05-21 00:05:32.042000+00:00,60816.003843078855
,2025 KW33,000000IPCdw1,23.584,,Lg,149.7679657,3.2914511,2025-05-21 00:06:13.197000+00:00,60816.00431940984
,2025 KW33,000000IPCdw1,23.307,,Lg,149.7680738,3.2915002,2025-05-21 00:06:54.505000+00:00,60816.004797511734
,2025 KW33,000000IPCdw1,23.443,,Lg,149.7682192,3.2914246,2025-05-21 00:08:10.606000+00:00,60816.00567831006
,2025 KW33,000000IPCdw1,23.529,,Lg,149.7685007,3.2914582,2025-05-21 00:09:57.882000+00:00,60816.00691993069
,2025 KW33,000000IPCdw1,23.463,,Lg,149.7686857,3.2915071,2025-05-21 00:10:53.968000+00:00,60816.007569074165
,2025 KW33,000000IPCdw1,23.393,,Lg,149.7687846,3.2914559,2025-05-21 00:11:35.217000+00:00,60816.008046492934
,2025 KW33,000000IPCdw1,23.418,,Lg,149.76901,3.2914269,2025-05-21 00:13:07.337000+00:00,60816.00911269663
,2025 KW33,000000IPCdw1,23.458,,Lg,149.7693831,3.2914696,2025-05-21 00:15:35.565000+00:00,60816.01082829852
,2025 KW33,000000IPCdw1,23.53,,Lg,149.7694731,3.2914542,2025-05-21 00:16:16.404000+00:00,60816.0113009722
,2025 KW33,000000IPCdw1,23.432,,Lg,149.7695947,3.2914525,2025-05-21 00:16:57.245000+00:00,60816.01177366916
,2025 KW33,000000IPCdw1,23.461,,Lg,149.7698974,3.2914222,2025-05-21 00:18:38.907000+00:00,60816.012950312346
,2025 KW33,000000IPCdw1,23.458,,Lg,149.769987,3.2913849,2025-05-21 00:19:19.777000+00:00,60816.01342334505
,2025 KW33,000000IPCdw1,23.303,,Lg,149.7701251,3.2914084,2025-05-21 00:20:14.133000+00:00,60816.01405246509
,2025 KW33,000000IPCdw1,23.469,,Lg,149.7702211,3.2914293,2025-05-21 00:20:55.345000+00:00,60816.01452945592
,2025 KW33,000000IPCdw1,22.865,,Lr,149.78111,3.2912978,2025-05-21 01:30:43.647000+00:00,60816.06300517358
,2025 KW33,000000IPCdw1,22.809,,Lr,149.7812055,3.291295,2025-05-21 01:31:24.889000+00:00,60816.06348251179
,2025 KW33,000000IPCdw1,22.961,,Lr,149.7825315,3.2913115,2025-05-21 01:40:09.105000+00:00,60816.06954982644
,2025 KW33,000000IPCdw1,22.915,,Lr,149.7827718,3.2912742,2025-05-21 01:41:34.336000+00:00,60816.07053629635
,2025 KW33,000000IPCdw1,22.909,,Lr,149.7829443,3.2912154,2025-05-21 01:42:18.409000+00:00,60816.07104640035
,2025 KW33,000000IPCdw1,22.953,,Lr,149.7839763,3.2912641,2025-05-21 01:49:05.647000+00:00,60816.07575980341
