permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
,2025 KZ33,000000IPCdy1,22.822,,Li,225.2503722,-40.2405549,2025-05-21 06:33:40.069000+00:00,60816.27338042809
,2025 KZ33,000000IPCdy1,22.66,,Li,225.2501554,-40.2405751,2025-05-21 06:34:26.956000+00:00,60816.273923101835
,2025 KZ33,000000IPCdy1,22.663,,Li,225.2485839,-40.2406731,2025-05-21 06:41:19.820000+00:00,60816.27870162018
,2025 KZ33,000000IPCdy1,22.543,,Li,225.2483554,-40.2406616,2025-05-21 06:42:02.933000+00:00,60816.2792006135
,2025 KZ33,000000IPCdy1,22.721,,Li,225.2482048,-40.2406747,2025-05-21 06:42:45.864000+00:00,60816.27969750017
,2025 KZ33,000000IPCdy1,22.648,,Li,225.2479835,-40.2406709,2025-05-21 06:43:32.671000+00:00,60816.28023924772
,2025 KZ33,000000IPCdy1,22.519,,Li,225.2461252,-40.2407843,2025-05-21 06:51:34.477000+00:00,60816.28581570601
,2025 KZ33,000000IPCdy1,22.869,,Lr,225.243817,-40.2408613,2025-05-21 07:01:05.650000+00:00,60816.29242650466
,2025 KZ33,000000IPCdy1,23.044,,Lr,225.2428844,-40.2409413,2025-05-21 07:05:28.472000+00:00,60816.295468425844
,2025 KZ33,000000IPCdy1,22.943,,Lr,225.2427182,-40.2409594,2025-05-21 07:06:11.674000+00:00,60816.29596844921
,2025 KZ33,000000IPCdy1,23.125,,Lr,225.241986,-40.2409394,2025-05-21 07:09:02.155000+00:00,60816.29794160882
,2025 KZ33,000000IPCdy1,22.602,,Lr,225.2407751,-40.2410385,2025-05-21 07:14:00.332000+00:00,60816.30139273126
,2025 KZ33,000000IPCdy2,22.936,,Lg,224.9403362,-40.2575213,2025-05-22 05:20:25.337000+00:00,60817.22251547454
,2025 KZ33,000000IPCdy2,22.795,,Lg,224.9395915,-40.2575511,2025-05-22 05:23:35.722000+00:00,60817.224719004706
,2025 KZ33,000000IPCdy2,22.99,,Lg,224.9394637,-40.2575483,2025-05-22 05:24:17.666000+00:00,60817.22520446777
,2025 KZ33,000000IPCdy2,23.053,,Lg,224.9392711,-40.2575682,2025-05-22 05:24:59.750000+00:00,60817.22569155088
,2025 KZ33,000000IPCdy2,22.883,,Lg,224.9389881,-40.2575533,2025-05-22 05:26:11.343000+00:00,60817.22652017372
,2025 KZ33,000000IPCdy2,23.047,,Lg,224.9385213,-40.2575988,2025-05-22 05:28:14.990000+00:00,60817.22795127332
,2025 KZ33,000000IPCdy2,22.835,,Lg,224.9384361,-40.2576017,2025-05-22 05:28:56.420000+00:00,60817.2284307871
,2025 KZ33,000000IPCdy2,22.882,,Lg,224.9381867,-40.2575927,2025-05-22 05:29:43.402000+00:00,60817.228974560276
,2025 KZ33,000000IPCdy2,22.999,,Lg,224.9378037,-40.257606,2025-05-22 05:31:22.186000+00:00,60817.23011789331
,2025 KZ33,000000IPCdy2,23.072,,Lg,224.9368387,-40.2576372,2025-05-22 05:35:22.302000+00:00,60817.23289701389
,2025 KZ33,000000IPCdy2,22.969,,Lg,224.9364556,-40.2576346,2025-05-22 05:37:10.069000+00:00,60817.234144316986
,2025 KZ33,000000IPCdy2,22.872,,Lg,224.9358428,-40.2576711,2025-05-22 05:39:38.021000+00:00,60817.23585672444
,2025 KZ33,000000IPCdy2,23.256,,Lr,224.9317461,-40.2578388,2025-05-22 05:56:57.790000+00:00,60817.247891088016
,2025 KZ33,000000IPCdy2,22.406,,Lr,224.931604,-40.2578502,2025-05-22 05:57:44.701000+00:00,60817.2484340393
,2025 KZ33,000000IPCdy2,22.318,,Lr,224.9312751,-40.2578608,2025-05-22 05:59:23.512000+00:00,60817.24957768526
,2025 KZ33,000000IPCdy2,22.394,,Lr,224.9310198,-40.2578734,2025-05-22 06:00:15.327000+00:00,60817.250177395996
,2025 KZ33,000000IPCdy2,22.341,,Lr,224.9308986,-40.2578772,2025-05-22 06:00:57.744000+00:00,60817.25066833338
,2025 KZ33,000000IPCdy2,22.321,,Lr,224.9306861,-40.2578749,2025-05-22 06:01:39.830000+00:00,60817.251155439764
,2025 KZ33,000000IPCdy2,22.295,,Lr,224.9301999,-40.2578928,2025-05-22 06:03:53.987000+00:00,60817.25270818267
,2025 KZ33,000000IPCdy2,22.343,,Lr,224.9299139,-40.2579002,2025-05-22 06:05:00.845000+00:00,60817.2534820023
,2025 KZ33,000000IPCdy2,22.375,,Lr,224.929729,-40.2579083,2025-05-22 06:05:47.757000+00:00,60817.25402496522
,2025 KZ33,000000IPCdy2,22.497,,Lr,224.9295033,-40.2579112,2025-05-22 06:06:34.744000+00:00,60817.25456879614
,2025 KZ33,000000IPCdy2,22.39,,Lr,224.9292802,-40.2579029,2025-05-22 06:07:41.777000+00:00,60817.255344641395
,2025 KZ33,000000IPCdy2,22.216,,Lr,224.9283348,-40.2579632,2025-05-22 06:11:32.749000+00:00,60817.25801792834
,2025 KZ33,000000IPCdy2,22.374,,Lr,224.9279855,-40.2579398,2025-05-22 06:13:06.847000+00:00,60817.25910702534
,2025 KZ33,000000IPCdy2,22.38,,Lr,224.9275553,-40.2579745,2025-05-22 06:15:13.363000+00:00,60817.260571330786
,2025 KZ33,000000IPCdy2,22.473,,Lr,224.9271987,-40.2579522,2025-05-22 06:16:37.597000+00:00,60817.26154626161
,2025 KZ33,000000IPCdy2,22.193,,Li,224.9252351,-40.2580999,2025-05-22 06:25:14.359000+00:00,60817.26752730319
,2025 KZ33,000000IPCdy2,22.253,,Li,224.9250765,-40.2580974,2025-05-22 06:25:56.764000+00:00,60817.26801810181
,2025 KZ33,000000IPCdy2,22.223,,Li,224.9248638,-40.2580782,2025-05-22 06:26:38.765000+00:00,60817.26850422472
,2025 KZ33,000000IPCdy2,22.079,,Li,224.924711,-40.2580962,2025-05-22 06:27:25.956000+00:00,60817.26905041654
,2025 KZ33,000000IPCdy2,22.316,,Li,224.9245218,-40.2580528,2025-05-22 06:28:08.133000+00:00,60817.26953857625
,2025 KZ33,000000IPCdy2,22.153,,Li,224.924354,-40.2581005,2025-05-22 06:28:50.397000+00:00,60817.27002774319
,2025 KZ33,000000IPCdy2,22.065,,Li,224.9239624,-40.2580906,2025-05-22 06:30:25.357000+00:00,60817.27112681698
,2025 KZ33,000000IPCdy2,22.103,,Li,224.9238477,-40.2580695,2025-05-22 06:31:07.411000+00:00,60817.27161355317
,2025 KZ33,000000IPCdy2,22.425,,Li,224.9237085,-40.2580929,2025-05-22 06:31:54.697000+00:00,60817.27216084488
,2025 KZ33,000000IPCdy2,22.137,,Li,224.9235279,-40.2580767,2025-05-22 06:32:36.890000+00:00,60817.27264918992
,2025 KZ33,000000IPCdy2,22.215,,Li,224.9233351,-40.258114,2025-05-22 06:33:19.959000+00:00,60817.27314767381
,2025 KZ33,000000IPCdy2,22.07,,Li,224.9217776,-40.2581613,2025-05-22 06:39:57.625000+00:00,60817.27775028953
,2025 KZ33,000000IPCdy2,22.381,,Li,224.9214322,-40.2581545,2025-05-22 06:40:49.711000+00:00,60817.2783531365
,2025 KZ33,000000IPCdy3,22.699,,Li,224.3430225,-40.2781929,2025-05-24 01:56:24.185000+00:00,60819.080835474655
,2025 KZ33,000000IPCdy3,22.751,,Li,224.3428664,-40.2781717,2025-05-24 01:57:06.636000+00:00,60819.08132680552
,2025 KZ33,000000IPCdy3,22.911,,Li,224.3426702,-40.2781629,2025-05-24 01:57:48.911000+00:00,60819.081816099584
,2025 KZ33,000000IPCdy3,22.881,,Li,224.3425599,-40.2782094,2025-05-24 01:58:31.366000+00:00,60819.082307477016
,2025 KZ33,000000IPCdy3,22.731,,Li,224.3421999,-40.2782068,2025-05-24 01:59:56.085000+00:00,60819.08328802092
,2025 KZ33,000000IPCdy3,22.689,,Li,224.3420709,-40.2781978,2025-05-24 02:00:38.627000+00:00,60819.08378040511
,2025 KZ33,000000IPCdy3,22.864,,Li,224.3418921,-40.2782028,2025-05-24 02:01:20.621000+00:00,60819.08426644653
,2025 KZ33,000000IPCdy3,22.815,,Li,224.3417156,-40.2782095,2025-05-24 02:02:02.873000+00:00,60819.0847554747
,2025 KZ33,000000IPCdy3,22.928,,Li,224.3415511,-40.2782188,2025-05-24 02:02:45.038000+00:00,60819.08524349518
,2025 KZ33,000000IPCdy3,22.731,,Li,224.3407434,-40.278231,2025-05-24 02:06:17.710000+00:00,60819.08770497702
,2025 KZ33,000000IPCdy3,22.606,,Li,224.3404259,-40.2782633,2025-05-24 02:07:42.277000+00:00,60819.088683761656
,2025 KZ33,000000IPCdy3,22.571,,Lz,224.3361908,-40.2783821,2025-05-24 02:26:05.838000+00:00,60819.101456458215
,2025 KZ33,000000IPCdy3,22.587,,Lz,224.3355677,-40.2783904,2025-05-24 02:28:53.806000+00:00,60819.10340053262
,2025 KZ33,000000IPCdy3,22.548,,Lz,224.335195,-40.2784046,2025-05-24 02:30:18.646000+00:00,60819.10438247677
,2025 KZ33,000000IPCdy3,22.704,,Lz,224.3350262,-40.278422,2025-05-24 02:31:05.264000+00:00,60819.104922037106
,2025 KZ33,000000IPCdy3,22.604,,Lz,224.3348761,-40.2783956,2025-05-24 02:31:47.904000+00:00,60819.10541555565
,2025 KZ33,000000IPCdy3,22.606,,Lz,224.3340808,-40.2784132,2025-05-24 02:35:27.702000+00:00,60819.10795951402
,2025 KZ33,000000IPCdy3,22.573,,Lz,224.3336792,-40.2784327,2025-05-24 02:36:52.911000+00:00,60819.10894572921
,2025 KZ33,000000IPCdy3,22.685,,Lz,224.3332004,-40.2784541,2025-05-24 02:39:03.635000+00:00,60819.110458738636
,2025 KZ33,000000IPCdy3,22.669,,Lr,224.3312828,-40.278495,2025-05-24 02:47:20.372000+00:00,60819.11620800942
