permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
,2025 NE202,000000IPCbk1,22.329,,Lg,227.1383604,-39.8989852,2025-07-01 05:13:15.417000+00:00,60857.21753954841
,2025 NE202,000000IPCbk1,22.3,,Lg,227.1382986,-39.8989071,2025-07-01 05:14:30.437000+00:00,60857.21840783581
,2025 NE202,000000IPCbk1,22.288,,Lg,227.138259,-39.8988625,2025-07-01 05:15:08.044000+00:00,60857.21884310199
,2025 NE202,000000IPCbk1,22.34,,Lg,227.1382474,-39.8988242,2025-07-01 05:16:24.900000+00:00,60857.219732638914
,2025 NE202,000000IPCbk1,22.363,,Lg,227.1380235,-39.8985384,2025-07-01 05:21:28.398000+00:00,60857.223245347384
,2025 NE202,000000IPCbk1,22.292,,Lg,227.1379845,-39.8984812,2025-07-01 05:22:43.521000+00:00,60857.224114826415
,2025 NE202,000000IPCbk1,22.262,,Lg,227.1379163,-39.8983978,2025-07-01 05:23:58.741000+00:00,60857.224985428154
,2025 NE202,000000IPCbk1,22.44,,Lg,227.1378266,-39.8982707,2025-07-01 05:26:33.134000+00:00,60857.22677238425
,2025 NE202,000000IPCbk1,22.311,,Lg,227.1377639,-39.8982189,2025-07-01 05:27:11.972000+00:00,60857.22722189827
,2025 NE202,000000IPCbk1,22.289,,Lg,227.1377368,-39.8981348,2025-07-01 05:28:27.852000+00:00,60857.22810013872
,2025 NE202,000000IPCbk1,22.368,,Lg,227.137684,-39.8980868,2025-07-01 05:29:44.493000+00:00,60857.22898718761
,2025 NE202,000000IPCbk1,22.401,,Lg,227.1376123,-39.8980018,2025-07-01 05:30:59.781000+00:00,60857.22985857632
,2025 NE202,000000IPCbk2,21.515,,Li,227.1037156,-39.8423812,2025-07-01 23:41:17.531000+00:00,60857.9870084608
,2025 NE202,000000IPCbk2,21.51,,Li,227.1036693,-39.8423538,2025-07-01 23:41:57.305000+00:00,60857.98746880796
,2025 NE202,000000IPCbk2,21.513,,Li,227.1036119,-39.8422954,2025-07-01 23:43:14.592000+00:00,60857.98836333351
,2025 NE202,000000IPCbk2,21.492,,Li,227.1035647,-39.8421981,2025-07-01 23:45:08.817000+00:00,60857.98968538176
,2025 NE202,000000IPCbk2,21.547,,Li,227.1035136,-39.8421662,2025-07-01 23:45:48.060000+00:00,60857.990139583126
