permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
,2025 NF202,000000IPCdO1,22.0,,Li,224.5977418,-41.1711716,2025-07-02 23:55:43.252000+00:00,60858.9970283797
,2025 NF202,000000IPCdO1,21.98,,Li,224.5977371,-41.1710438,2025-07-02 23:57:41.285000+00:00,60858.99839450233
,2025 NF202,000000IPCdO1,21.946,,Li,224.5977446,-41.1709544,2025-07-02 23:58:59.922000+00:00,60858.99930465268
,2025 NF202,000000IPCdO1,21.867,,Li,224.5977967,-41.1708785,2025-07-03 00:00:17.884000+00:00,60859.00020699063
,2025 NF202,000000IPCdO1,22.441,,Lg,224.59781,-41.1698557,2025-07-03 00:17:28.156000+00:00,60859.01213143533
,2025 NF202,000000IPCdO1,22.597,,Lg,224.5978686,-41.1697823,2025-07-03 00:18:09.728000+00:00,60859.01261259243
,2025 NF202,000000IPCdO1,22.571,,Lg,224.5977957,-41.1697151,2025-07-03 00:19:30.247000+00:00,60859.013544525485
,2025 NF202,000000IPCdO1,22.564,,Lg,224.5978316,-41.169611,2025-07-03 00:20:56.014000+00:00,60859.014537198935
,2025 NF202,000000IPCdO1,22.458,,Lg,224.5978801,-41.1694558,2025-07-03 00:23:37.052000+00:00,60859.01640106458
,2025 NF202,000000IPCdO1,22.35,,Lg,224.597803,-41.169432,2025-07-03 00:24:17.708000+00:00,60859.016871620435
,2025 NF202,000000IPCdO1,22.694,,Lg,224.5978353,-41.1693989,2025-07-03 00:24:58.342000+00:00,60859.017341921106
,2025 NF202,000000IPCdO1,22.522,,Lg,224.5978234,-41.1690344,2025-07-03 00:30:34.004000+00:00,60859.0212268983
,2025 NF202,000000IPCdO1,22.454,,Lg,224.5978461,-41.1689797,2025-07-03 00:31:49.975000+00:00,60859.022106192075
,2025 NF202,000000IPCdO2,21.903,,Li,224.6184842,-41.0840708,2025-07-03 23:36:18.257000+00:00,60859.983544641174
,2025 NF202,000000IPCdO2,21.869,,Li,224.6184804,-41.0839034,2025-07-03 23:38:56.293000+00:00,60859.985373761505
,2025 NF202,000000IPCdO2,21.954,,Li,224.6185089,-41.0838946,2025-07-03 23:39:35.893000+00:00,60859.98583209468
,2025 NF202,000000IPCdO2,22.1,,Li,224.6185024,-41.0837993,2025-07-03 23:40:15.421000+00:00,60859.98628959479
,2025 NF202,000000IPCdO2,21.942,,Li,224.6185013,-41.0837441,2025-07-03 23:40:55.034000+00:00,60859.98674807884
,2025 NF202,000000IPCdO2,22.087,,Li,224.618502,-41.0837712,2025-07-03 23:41:34.436000+00:00,60859.987204120494
,2025 NF202,000000IPCdO2,22.149,,Li,224.6185697,-41.0835457,2025-07-03 23:44:55.671000+00:00,60859.989533229265
,2025 NF202,000000IPCdO2,21.76,,Li,224.6185705,-41.0833795,2025-07-03 23:47:35.285000+00:00,60859.9913806133
,2025 NF202,000000IPCdO2,21.928,,Li,224.6186063,-41.0832646,2025-07-03 23:49:35.655000+00:00,60859.99277378479
,2025 NF202,000000IPCdO2,21.86,,Li,224.6185916,-41.0832025,2025-07-03 23:50:55.369000+00:00,60859.99369640043
,2025 NF202,000000IPCdO2,22.338,,Lg,224.6187171,-41.0828311,2025-07-03 23:57:17.635000+00:00,60859.998120775446
,2025 NF202,000000IPCdO2,22.474,,Lg,224.6187712,-41.0824526,2025-07-04 00:03:23.565000+00:00,60860.00235607661
,2025 NF202,000000IPCdO2,22.335,,Lg,224.618719,-41.0823928,2025-07-04 00:04:03.263000+00:00,60860.00281554414
,2025 NF202,000000IPCdO2,22.596,,Lg,224.6187951,-41.0822779,2025-07-04 00:06:03.351000+00:00,60860.00420545135
,2025 NF202,000000IPCdO2,22.397,,Lg,224.6188058,-41.0821548,2025-07-04 00:08:25.314000+00:00,60860.005848541856
,2025 NF202,000000IPCdO2,22.554,,Lg,224.6188132,-41.0817962,2025-07-04 00:13:16.761000+00:00,60860.0092217708
,2025 NF202,000000IPCdO2,22.044,,Lr,224.6195284,-41.0777415,2025-07-04 01:20:14.256000+00:00,60860.055720555596
,2025 NF202,000000IPCdO2,21.925,,Lr,224.6195079,-41.077717,2025-07-04 01:20:53.419000+00:00,60860.056173831224
,2025 NF202,000000IPCdO2,21.981,,Lr,224.6195214,-41.0776559,2025-07-04 01:21:34.816000+00:00,60860.05665296316
,2025 NF202,000000IPCdO2,21.966,,Lr,224.6195481,-41.0774094,2025-07-04 01:25:15.646000+00:00,60860.05920886574
,2025 NF202,000000IPCdO2,22.117,,Lr,224.620088,-41.0743643,2025-07-04 02:14:30.626000+00:00,60860.09341002302
,2025 NF202,000000IPCdO2,21.881,,Lr,224.6201191,-41.0743004,2025-07-04 02:15:58.982000+00:00,60860.09443266224
,2025 NF202,000000IPCdO2,22.193,,Lr,224.6201187,-41.0742327,2025-07-04 02:16:43.101000+00:00,60860.09494329849
,2025 NF202,000000IPCdO2,22.188,,Lr,224.6202088,-41.0739275,2025-07-04 02:21:32.437000+00:00,60860.09829209512
