permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
,2025 NG202,000000IPCe61,21.384,,Li,226.9888007,-39.6319981,2025-07-01 23:41:57.305000+00:00,60857.98746880796
,2025 NG202,000000IPCe61,21.452,,Li,226.9888057,-39.6318943,2025-07-01 23:43:14.592000+00:00,60857.98836333351
,2025 NG202,000000IPCe61,21.435,,Li,226.9888149,-39.6317362,2025-07-01 23:45:08.817000+00:00,60857.98968538176
,2025 NG202,000000IPCe61,21.401,,Li,226.9887832,-39.6316628,2025-07-01 23:45:48.060000+00:00,60857.990139583126
,2025 NG202,000000IPCe61,21.429,,Li,226.9887923,-39.6315715,2025-07-01 23:47:04.748000+00:00,60857.991027175914
,2025 NG202,000000IPCe61,21.461,,Li,226.9887793,-39.6314357,2025-07-01 23:48:24.419000+00:00,60857.99194929376
,2025 NG202,000000IPCe61,21.406,,Li,226.9887729,-39.631386,2025-07-01 23:49:03.558000+00:00,60857.99240229186
,2025 NG202,000000IPCe61,21.411,,Li,226.988763,-39.6312252,2025-07-01 23:51:00.502000+00:00,60857.99375580996
,2025 NG202,000000IPCe61,21.364,,Li,226.9887724,-39.6310539,2025-07-01 23:52:59.227000+00:00,60857.99512994196
,2025 NG202,000000IPCe61,21.336,,Li,226.9887668,-39.6310077,2025-07-01 23:53:39.112000+00:00,60857.99559157388
,2025 NG202,000000IPCe61,21.325,,Li,226.9887557,-39.6309383,2025-07-01 23:54:17.002000+00:00,60857.99603011552
,2025 NG202,000000IPCe61,21.384,,Li,226.988755,-39.6308855,2025-07-01 23:54:54.527000+00:00,60857.99646443268
,2025 NG202,000000IPCe61,21.384,,Li,226.9887456,-39.6308415,2025-07-01 23:55:38.096000+00:00,60857.99696870381
,2025 NG202,000000IPCe61,21.415,,Li,226.9887723,-39.630787,2025-07-01 23:56:17.307000+00:00,60857.99742253451
,2025 NG202,000000IPCe61,21.405,,Li,226.98877,-39.6307174,2025-07-01 23:56:56.524000+00:00,60857.99787643505
,2025 NG202,000000IPCe61,21.364,,Li,226.9887363,-39.6306065,2025-07-01 23:58:14.388000+00:00,60857.99877763912
,2025 NG202,000000IPCe61,21.324,,Li,226.9887431,-39.6305498,2025-07-01 23:58:53.515000+00:00,60857.99923049752
,2025 NG202,000000IPCe61,22.147,,Lg,226.9887192,-39.6301549,2025-07-02 00:03:24.153000+00:00,60858.00236288179
,2025 NG202,000000IPCe61,22.174,,Lg,226.9887069,-39.6299918,2025-07-02 00:05:26.244000+00:00,60858.00377597241
,2025 NG202,000000IPCe61,22.211,,Lg,226.9887311,-39.6298696,2025-07-02 00:06:47.803000+00:00,60858.00471994234
,2025 NG202,000000IPCe61,22.23,,Lg,226.9886849,-39.6298298,2025-07-02 00:07:25.312000+00:00,60858.00515407417
,2025 NG202,000000IPCe61,22.098,,Lg,226.9887288,-39.6297654,2025-07-02 00:08:02.931000+00:00,60858.005589479115
,2025 NG202,000000IPCe61,22.215,,Lg,226.9887061,-39.6297156,2025-07-02 00:08:45.269000+00:00,60858.006079502404
,2025 NG202,000000IPCe61,22.186,,Lg,226.9887183,-39.6296527,2025-07-02 00:09:23.251000+00:00,60858.00651910901
,2025 NG202,000000IPCe61,22.182,,Lg,226.9887449,-39.6294881,2025-07-02 00:11:17.603000+00:00,60858.007842627354
,2025 NG202,000000IPCe61,22.112,,Lg,226.988689,-39.6293937,2025-07-02 00:12:36.499000+00:00,60858.008755775634
,2025 NG202,000000IPCe61,22.146,,Lg,226.9886965,-39.6293009,2025-07-02 00:13:16.004000+00:00,60858.00921300938
,2025 NG202,000000IPCe61,22.156,,Lg,226.9886871,-39.6292223,2025-07-02 00:14:31.321000+00:00,60858.01008473383
,2025 NG202,000000IPCe62,21.495,,Li,227.0002611,-39.5089511,2025-07-02 23:17:09.566000+00:00,60858.9702496063
