permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
,2025 NH202,000000IPCea1,22.517,,Lg,226.4377621,-38.3779012,2025-07-01 05:13:15.417000+00:00,60857.21753954841
,2025 NH202,000000IPCea1,22.547,,Lg,226.4377818,-38.377838,2025-07-01 05:13:52.926000+00:00,60857.2179736807
,2025 NH202,000000IPCea1,22.569,,Lg,226.4377887,-38.3777598,2025-07-01 05:14:30.437000+00:00,60857.21840783581
,2025 NH202,000000IPCea1,22.556,,Lg,226.4377832,-38.3774169,2025-07-01 05:18:19.386000+00:00,60857.221057708375
,2025 NH202,000000IPCea1,22.611,,Lg,226.4377158,-38.3770525,2025-07-01 05:22:06.007000+00:00,60857.22368063638
,2025 NH202,000000IPCea1,22.628,,Lg,226.437694,-38.376985,2025-07-01 05:22:43.521000+00:00,60857.224114826415
,2025 NH202,000000IPCea1,22.636,,Lg,226.4377079,-38.3769253,2025-07-01 05:23:21.133000+00:00,60857.224550150335
,2025 NH202,000000IPCea1,22.671,,Lg,226.4377251,-38.3768461,2025-07-01 05:23:58.741000+00:00,60857.224985428154
,2025 NH202,000000IPCea1,22.498,,Lg,226.4377132,-38.3766649,2025-07-01 05:25:54.153000+00:00,60857.226321215276
,2025 NH202,000000IPCea1,22.539,,Lg,226.4376804,-38.3766067,2025-07-01 05:26:33.134000+00:00,60857.22677238425
,2025 NH202,000000IPCea1,22.544,,Lg,226.4376814,-38.3765448,2025-07-01 05:27:11.972000+00:00,60857.22722189827
,2025 NH202,000000IPCea1,22.655,,Lg,226.4376971,-38.376484,2025-07-01 05:27:49.579000+00:00,60857.22765716445
,2025 NH202,000000IPCea1,22.595,,Lg,226.4376952,-38.376394,2025-07-01 05:29:05.469000+00:00,60857.228535520844
,2025 NH202,000000IPCea1,22.485,,Lg,226.4376476,-38.3762462,2025-07-01 05:30:22.174000+00:00,60857.22942331014
,2025 NH202,000000IPCea1,22.126,,Lr,226.4376571,-38.3757972,2025-07-01 05:34:51.630000+00:00,60857.23254201375
,2025 NH202,000000IPCea1,22.106,,Lr,226.43768,-38.3756705,2025-07-01 05:36:06.936000+00:00,60857.23341361107
,2025 NH202,000000IPCea1,22.145,,Lr,226.4376706,-38.3756313,2025-07-01 05:36:44.451000+00:00,60857.233847812284
,2025 NH202,000000IPCea1,22.193,,Lr,226.437622,-38.3755636,2025-07-01 05:37:22.076000+00:00,60857.23428328708
,2025 NH202,000000IPCea1,22.137,,Lr,226.4376563,-38.375541,2025-07-01 05:37:59.687000+00:00,60857.23471859936
,2025 NH202,000000IPCea2,21.724,,Li,226.4396772,-38.2743217,2025-07-01 23:41:57.305000+00:00,60857.98746880796
,2025 NH202,000000IPCea2,21.806,,Li,226.4396986,-38.2741995,2025-07-01 23:43:14.592000+00:00,60857.98836333351
,2025 NH202,000000IPCea2,21.781,,Li,226.4396714,-38.2741398,2025-07-01 23:43:52.096000+00:00,60857.9887974076
,2025 NH202,000000IPCea2,21.785,,Li,226.4396857,-38.2740984,2025-07-01 23:44:31.023000+00:00,60857.98924795119
,2025 NH202,000000IPCea2,21.696,,Li,226.4396696,-38.2740264,2025-07-01 23:45:08.817000+00:00,60857.98968538176
,2025 NH202,000000IPCea2,21.717,,Li,226.439678,-38.2736726,2025-07-01 23:49:03.558000+00:00,60857.99240229186
,2025 NH202,000000IPCea2,21.662,,Li,226.4396403,-38.2736126,2025-07-01 23:49:41.403000+00:00,60857.99284031242
,2025 NH202,000000IPCea2,21.757,,Li,226.4396456,-38.273551,2025-07-01 23:50:18.922000+00:00,60857.9932745602
,2025 NH202,000000IPCea2,21.621,,Li,226.4396366,-38.2733131,2025-07-01 23:52:59.227000+00:00,60857.99512994196
,2025 NH202,000000IPCea2,21.706,,Li,226.4396578,-38.2732356,2025-07-01 23:53:39.112000+00:00,60857.99559157388
,2025 NH202,000000IPCea2,21.725,,Li,226.4396583,-38.2731831,2025-07-01 23:54:17.002000+00:00,60857.99603011552
,2025 NH202,000000IPCea2,21.774,,Li,226.4396404,-38.2731387,2025-07-01 23:54:54.527000+00:00,60857.99646443268
,2025 NH202,000000IPCea2,21.673,,Li,226.4396378,-38.2729861,2025-07-01 23:56:17.307000+00:00,60857.99742253451
,2025 NH202,000000IPCea2,21.581,,Li,226.4396464,-38.2728744,2025-07-01 23:57:35.171000+00:00,60857.998323738575
,2025 NH202,000000IPCea2,21.763,,Li,226.4396083,-38.2727859,2025-07-01 23:58:53.515000+00:00,60857.99923049752
,2025 NH202,000000IPCea2,22.343,,Lg,226.439614,-38.2722804,2025-07-02 00:04:03.556000+00:00,60858.002818935085
,2025 NH202,000000IPCea2,22.264,,Lg,226.4396135,-38.2721675,2025-07-02 00:05:26.244000+00:00,60858.00377597241
,2025 NH202,000000IPCea2,22.287,,Lg,226.4396122,-38.2720186,2025-07-02 00:06:47.803000+00:00,60858.00471994234
,2025 NH202,000000IPCea2,22.267,,Lg,226.4395948,-38.2719718,2025-07-02 00:07:25.312000+00:00,60858.00515407417
,2025 NH202,000000IPCea2,22.35,,Lg,226.4395949,-38.2718975,2025-07-02 00:08:02.931000+00:00,60858.005589479115
,2025 NH202,000000IPCea2,22.276,,Lg,226.4395732,-38.2717764,2025-07-02 00:09:23.251000+00:00,60858.00651910901
,2025 NH202,000000IPCea2,22.248,,Lg,226.4395884,-38.2715645,2025-07-02 00:11:58.899000+00:00,60858.00832059048
