permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
,2019 VZ17,000000IPKjo1,22.727,,Lr,225.4551559,-39.5812005,2025-07-16 00:07:50.498000+00:00,60872.0054455786
,2019 VZ17,000000IPKjo1,22.731,,Lr,225.4552695,-39.5811166,2025-07-16 00:08:29.913000+00:00,60872.005901770666
,2019 VZ17,000000IPKjo1,22.812,,Lr,225.455292,-39.5809614,2025-07-16 00:09:55.079000+00:00,60872.00688748853
,2019 VZ17,000000IPKjo1,22.957,,Lr,225.4554192,-39.580351,2025-07-16 00:13:21.939000+00:00,60872.00928170141
,2019 VZ17,000000IPKjo1,22.48,,Lr,225.4555429,-39.5801715,2025-07-16 00:14:50.993000+00:00,60872.01031241892
,2019 VZ17,000000IPKjo1,22.735,,Lr,225.4556062,-39.5800957,2025-07-16 00:15:28.786000+00:00,60872.01074983785
,2019 VZ17,000000IPKjo2,22.877,,Lr,225.5421194,-39.3700962,2025-07-16 23:21:18.788000+00:00,60872.97313412046
,2019 VZ17,000000IPKjo2,22.808,,Lr,225.5421233,-39.3700176,2025-07-16 23:21:58.401000+00:00,60872.973592604045
,2019 VZ17,000000IPKjo2,22.805,,Lr,225.5421571,-39.3699092,2025-07-16 23:22:38.032000+00:00,60872.974051296245
,2019 VZ17,000000IPKjo2,22.822,,Lr,225.5422711,-39.3698308,2025-07-16 23:23:17.646000+00:00,60872.97450979147
,2019 VZ17,000000IPKjo2,22.756,,Lr,225.5422549,-39.3697137,2025-07-16 23:23:57.335000+00:00,60872.974969155155
,2019 VZ17,000000IPKjo2,22.783,,Lr,225.5423513,-39.3695256,2025-07-16 23:25:17.092000+00:00,60872.97589226859
,2019 VZ17,000000IPKjo2,22.892,,Lr,225.5423816,-39.3694099,2025-07-16 23:25:56.841000+00:00,60872.97635232657
,2019 VZ17,000000IPKjo2,22.935,,Lr,225.5424212,-39.3693425,2025-07-16 23:26:36.092000+00:00,60872.976806620136
,2019 VZ17,000000IPKjo2,22.793,,Lr,225.5424559,-39.3692169,2025-07-16 23:27:19.857000+00:00,60872.9773131595
,2019 VZ17,000000IPKjo2,22.85,,Lr,225.5424981,-39.3690887,2025-07-16 23:27:59.550000+00:00,60872.977772569284
