permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
,2025 OM393,000000IPKjn1,22.888,,Lr,224.5405573,-39.8340265,2025-07-16 00:08:29.913000+00:00,60872.005901770666
,2025 OM393,000000IPKjn1,22.521,,Lr,224.5405947,-39.8340393,2025-07-16 00:09:08.951000+00:00,60872.006353599485
,2025 OM393,000000IPKjn1,22.575,,Lr,224.5409164,-39.8337424,2025-07-16 00:13:21.939000+00:00,60872.00928170141
,2025 OM393,000000IPKjn1,22.737,,Lr,224.5409782,-39.8336745,2025-07-16 00:14:01.557000+00:00,60872.0097402432
,2025 OM393,000000IPKjn1,22.63,,Lr,224.5410012,-39.8335922,2025-07-16 00:15:28.786000+00:00,60872.01074983785
,2025 OM393,000000IPKjn2,22.713,,Lr,224.6425442,-39.7407768,2025-07-16 23:21:58.401000+00:00,60872.973592604045
,2025 OM393,000000IPKjn2,22.727,,Lr,224.6430566,-39.7402523,2025-07-16 23:29:18.298000+00:00,60872.978684004396
,2025 OM393,000000IPKjn2,22.814,,Lr,224.6432633,-39.7400636,2025-07-16 23:32:00.884000+00:00,60872.98056578683
,2025 OM393,000000IPKjn2,22.659,,Lr,224.6432905,-39.7400362,2025-07-16 23:32:41.235000+00:00,60872.9810328125
,2025 OM393,000000IPKjn2,22.575,,Lr,224.6433294,-39.7400317,2025-07-16 23:33:21.533000+00:00,60872.981499224436
,2025 OM393,000000IPKjn2,22.704,,Lr,224.6434686,-39.7398783,2025-07-16 23:34:44.080000+00:00,60872.982454629615
,2025 OM393,000000IPKjn2,22.706,,Lr,224.6435287,-39.7398802,2025-07-16 23:35:24.260000+00:00,60872.982919675764
,2025 OM393,000000IPKjn2,22.7,,Lr,224.6435756,-39.7397632,2025-07-16 23:36:44.628000+00:00,60872.98384986119
,2025 OM393,000000IPKjn2,22.668,,Lr,224.6436234,-39.7397232,2025-07-16 23:37:27.240000+00:00,60872.984343055636
,2025 OM393,000000IPKjn2,22.686,,Lr,224.6436912,-39.7396681,2025-07-16 23:38:10.722000+00:00,60872.98484631954
,2025 OM393,000000IPKjn2,22.743,,Lr,224.6437362,-39.7396324,2025-07-16 23:38:55.159000+00:00,60872.985360636376
,2025 OM393,000000IPKjn2,22.753,,Lr,224.6437819,-39.7395664,2025-07-16 23:39:36.185000+00:00,60872.98583547445
,2025 OM393,000000IPKjn2,22.824,,Lr,224.6438397,-39.7395322,2025-07-16 23:40:15.612000+00:00,60872.98629180575
,2025 OM393,000000IPKjn2,22.575,,Lr,224.6438641,-39.7394788,2025-07-16 23:40:57.472000+00:00,60872.986776296515
,2025 OM393,000000IPKjn2,23.268,,Lg,224.6440687,-39.7393098,2025-07-16 23:43:45.845000+00:00,60872.9887250578
,2025 OM393,000000IPKjn2,23.342,,Lg,224.6440745,-39.7392713,2025-07-16 23:44:25.064000+00:00,60872.98917898163
,2025 OM393,000000IPKjn2,23.472,,Lg,224.644167,-39.7392421,2025-07-16 23:45:05.137000+00:00,60872.98964278912
,2025 OM393,000000IPKjn2,23.423,,Lg,224.6442013,-39.7391888,2025-07-16 23:45:47.202000+00:00,60872.9901296529
,2025 OM393,000000IPKjn2,23.468,,Lg,224.6443099,-39.7390798,2025-07-16 23:47:14.075000+00:00,60872.99113512738
,2025 OM393,000000IPKjn2,23.198,,Lg,224.6443849,-39.7390339,2025-07-16 23:48:02.091000+00:00,60872.991690868046
,2025 OM393,000000IPKjn2,23.362,,Lg,224.6444092,-39.7389865,2025-07-16 23:48:44.926000+00:00,60872.99218664365
,2025 OM393,000000IPKjn2,23.441,,Lg,224.6444301,-39.7389734,2025-07-16 23:49:24.350000+00:00,60872.99264294002
,2025 OM393,000000IPKjn2,23.418,,Lg,224.6444906,-39.7389056,2025-07-16 23:50:03.872000+00:00,60872.99310037028
,2025 OM393,000000IPKjn2,23.435,,Lg,224.6445737,-39.738793,2025-07-16 23:51:22.569000+00:00,60872.9940112154
,2025 OM393,000000IPKjn2,23.411,,Lg,224.6446272,-39.7387551,2025-07-16 23:52:02.637000+00:00,60872.99447496515
,2025 OM393,000000IPKjn2,23.335,,Lg,224.6446984,-39.7387273,2025-07-16 23:52:46.790000+00:00,60872.99498599535
,2025 OM393,000000IPKjn2,23.416,,Lg,224.6447414,-39.7386689,2025-07-16 23:53:28.093000+00:00,60872.9954640395
,2025 OM393,000000IPKjn2,23.401,,Lg,224.6447958,-39.7386152,2025-07-16 23:54:10.244000+00:00,60872.99595189793
,2025 OM393,000000IPKjn2,23.569,,Lg,224.6449041,-39.7385232,2025-07-16 23:55:36.068000+00:00,60872.99694523169
,2025 OM393,000000IPKjn2,23.487,,Lg,224.644948,-39.7384703,2025-07-16 23:56:17.368000+00:00,60872.997423240915
,2025 OM393,000000IPKjn2,23.374,,Lg,224.6449872,-39.7384539,2025-07-16 23:56:55.383000+00:00,60872.997863229364
,2025 OM393,000000IPKjn2,23.508,,Lg,224.6450283,-39.7383864,2025-07-16 23:57:36.154000+00:00,60872.99833511561
,2025 OM393,000000IPKjn2,23.381,,Lg,224.6450761,-39.7383362,2025-07-16 23:58:15.931000+00:00,60872.9987954977
,2025 OM393,000000IPKjn2,23.489,,Lg,224.6452853,-39.7381595,2025-07-17 00:00:55.795000+00:00,60873.00064577535
,2025 OM393,000000IPKjn2,23.489,,Lg,224.6453403,-39.7380948,2025-07-17 00:01:59.030000+00:00,60873.00137766218
,2025 OM393,000000IPKjn2,23.538,,Lg,224.645412,-39.7380159,2025-07-17 00:03:27.052000+00:00,60873.00239643501
,2025 OM393,000000IPKjn2,23.323,,Lg,224.6454867,-39.7379668,2025-07-17 00:04:07.592000+00:00,60873.00286564836
,2025 OM393,000000IPKjn2,22.334,,Li,224.6457139,-39.737746,2025-07-17 00:07:21.259000+00:00,60873.00510716438
,2025 OM393,000000IPKjn2,22.473,,Li,224.6465705,-39.7369013,2025-07-17 00:20:04.548000+00:00,60873.01394152781
,2025 OM393,000000IPKjn2,22.453,,Li,224.6593865,-39.7246651,2025-07-17 03:20:44.410000+00:00,60873.13940289337
,2025 OM393,000000IPKjn2,22.346,,Li,224.659409,-39.7246161,2025-07-17 03:21:24.027000+00:00,60873.13986142352
,2025 OM393,000000IPKjn2,22.333,,Li,224.6594623,-39.7246069,2025-07-17 03:22:03.636000+00:00,60873.140319861006
,2025 OM393,000000IPKjn2,22.451,,Li,224.6595236,-39.7245285,2025-07-17 03:22:43.255000+00:00,60873.14077841444
,2025 OM393,000000IPKjn2,22.602,,Li,224.6596435,-39.724486,2025-07-17 03:24:02.483000+00:00,60873.14169540489
,2025 OM393,000000IPKjn2,22.204,,Li,224.6596491,-39.7243699,2025-07-17 03:24:42.006000+00:00,60873.14215284726
,2025 OM393,000000IPKjn2,22.321,,Li,224.6597846,-39.7243016,2025-07-17 03:26:01.248000+00:00,60873.143070000224
,2025 OM393,000000IPKjn2,22.216,,Li,224.6598732,-39.7242058,2025-07-17 03:27:20.265000+00:00,60873.14398454875
,2025 OM393,000000IPKjn2,22.325,,Li,224.65991,-39.7241632,2025-07-17 03:27:59.782000+00:00,60873.144441921264
,2025 OM393,000000IPKjn2,22.382,,Li,224.6600092,-39.7241034,2025-07-17 03:28:39.378000+00:00,60873.14490020834
,2025 OM393,000000IPKjn2,22.426,,Li,224.660047,-39.7240752,2025-07-17 03:29:18.891000+00:00,60873.145357534755
