permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
,2025 OW493,000000IPMB61,23.205,,Lr,223.4116369,-39.8654232,2025-07-16 00:07:50.498000+00:00,60872.0054455786
,2025 OW493,000000IPMB61,22.897,,Lr,223.4117169,-39.8653371,2025-07-16 00:08:29.913000+00:00,60872.005901770666
,2025 OW493,000000IPMB61,22.959,,Lr,223.412084,-39.864837,2025-07-16 00:14:01.557000+00:00,60872.0097402432
,2025 OW493,000000IPMB62,23.081,,Lr,223.5137189,-39.7408622,2025-07-16 23:23:17.646000+00:00,60872.97450979147
,2025 OW493,000000IPMB62,23.048,,Lr,223.5139168,-39.740641,2025-07-16 23:25:56.841000+00:00,60872.97635232657
,2025 OW493,000000IPMB62,23.109,,Lr,223.5140094,-39.740571,2025-07-16 23:27:19.857000+00:00,60872.9773131595
,2025 OW493,000000IPMB62,22.972,,Lr,223.5141031,-39.7404355,2025-07-16 23:28:38.984000+00:00,60872.97822898161
,2025 OW493,000000IPMB62,23.012,,Lr,223.5141529,-39.7403758,2025-07-16 23:29:18.298000+00:00,60872.978684004396
,2025 OW493,000000IPMB62,23.172,,Lr,223.5147317,-39.7396674,2025-07-16 23:37:27.240000+00:00,60872.984343055636
,2025 OW493,000000IPMB62,23.116,,Lr,223.514849,-39.7395095,2025-07-16 23:38:55.159000+00:00,60872.985360636376
,2025 OW493,000000IPMB62,23.011,,Lr,223.5148648,-39.739445,2025-07-16 23:39:36.185000+00:00,60872.98583547445
,2025 OW493,000000IPMB62,23.153,,Lr,223.5149406,-39.7393794,2025-07-16 23:40:15.612000+00:00,60872.98629180575
,2025 OW493,000000IPMB62,23.877,,Lg,223.5151861,-39.739053,2025-07-16 23:44:25.064000+00:00,60872.98917898163
,2025 OW493,000000IPMB62,23.705,,Lg,223.5152717,-39.7390127,2025-07-16 23:45:05.137000+00:00,60872.98964278912
,2025 OW493,000000IPMB62,23.57,,Lg,223.5157051,-39.738399,2025-07-16 23:51:22.569000+00:00,60872.9940112154
,2025 OW493,000000IPMB62,23.586,,Lg,223.515774,-39.7383042,2025-07-16 23:52:46.790000+00:00,60872.99498599535
,2025 OW493,000000IPMB62,23.502,,Lg,223.5159218,-39.7382814,2025-07-16 23:53:28.093000+00:00,60872.9954640395
,2025 OW493,000000IPMB62,23.714,,Lg,223.5159856,-39.7380075,2025-07-16 23:56:17.368000+00:00,60872.997423240915
,2025 OW493,000000IPMB62,23.676,,Lg,223.516066,-39.7378658,2025-07-16 23:57:36.154000+00:00,60872.99833511561
,2025 OW493,000000IPMB62,23.817,,Lg,223.5163433,-39.7375603,2025-07-17 00:00:55.795000+00:00,60873.00064577535
,2025 OW493,000000IPMB62,23.671,,Lg,223.5164443,-39.7374639,2025-07-17 00:01:59.030000+00:00,60873.00137766218
,2025 OW493,000000IPMB62,23.874,,Lg,223.5164795,-39.7373769,2025-07-17 00:03:27.052000+00:00,60873.00239643501
,2025 OW493,000000IPMB62,22.863,,Li,223.5175822,-39.7358244,2025-07-17 00:20:04.548000+00:00,60873.01394152781
,2025 OW493,000000IPMB62,23.097,,Li,223.5307736,-39.7192868,2025-07-17 03:24:42.006000+00:00,60873.14215284726
,2025 OW493,000000IPMB62,23.152,,Li,223.5307799,-39.7192776,2025-07-17 03:25:21.510000+00:00,60873.142610069364
,2025 OW493,000000IPMB62,22.942,,Li,223.5309134,-39.7190323,2025-07-17 03:27:20.265000+00:00,60873.14398454875
,2025 OW493,000000IPMB62,23.648,,Lg,223.5321659,-39.7174386,2025-07-17 03:44:07.094000+00:00,60873.15563766193
,2025 OW493,000000IPMB62,23.79,,Lg,223.532337,-39.7172817,2025-07-17 03:46:05.871000+00:00,60873.15701239603
,2025 OW493,000000IPMB62,23.72,,Lg,223.5324165,-39.7171446,2025-07-17 03:47:25.072000+00:00,60873.15792907402
,2025 OW493,000000IPMB62,23.758,,Lg,223.5327854,-39.7166491,2025-07-17 03:52:40.926000+00:00,60873.16158479173
,2025 OW493,000000IPMB62,23.304,,Lg,223.5331414,-39.7164362,2025-07-17 03:55:58.192000+00:00,60873.16386796301
,2025 OW493,000000IPMB62,23.367,,Lg,223.5333383,-39.7161956,2025-07-17 03:59:15.578000+00:00,60873.166152523365
,2025 OW493,000000IPMB62,23.646,,Lg,223.5334084,-39.7161524,2025-07-17 03:59:54.897000+00:00,60873.16660760436
,2025 OW493,000000IPMB62,23.493,,Lg,223.5334323,-39.7160286,2025-07-17 04:01:13.933000+00:00,60873.16752237268
,2025 OW493,000000IPMB62,23.749,,Lg,223.5334917,-39.7159076,2025-07-17 04:01:53.593000+00:00,60873.16798140062
,2025 OW493,000000IPMB62,22.986,,Lr,223.5337746,-39.7155403,2025-07-17 04:05:40.903000+00:00,60873.170612303074
,2025 OW493,000000IPMB62,23.284,,Lr,223.5338147,-39.715395,2025-07-17 04:07:00.194000+00:00,60873.17153002322
,2025 OW493,000000IPMB62,23.188,,Lr,223.5339009,-39.7153107,2025-07-17 04:08:19.387000+00:00,60873.17244660901
,2025 OW493,000000IPMB62,22.957,,Lr,223.5339784,-39.7152318,2025-07-17 04:08:59.100000+00:00,60873.17290625023
,2025 OW493,000000IPMB62,23.36,,Lr,223.5340811,-39.715145,2025-07-17 04:09:38.598000+00:00,60873.17336340295
,2025 OW493,000000IPMB62,23.16,,Lr,223.534067,-39.7150463,2025-07-17 04:10:58.400000+00:00,60873.17428703699
,2025 OW493,000000IPMB62,22.75,,Lr,223.5343324,-39.7147339,2025-07-17 04:14:16.114000+00:00,60873.176575393416
,2025 OW493,000000IPMB62,22.921,,Lr,223.5347587,-39.7142871,2025-07-17 04:19:33.131000+00:00,60873.18024457153
,2025 OW493,000000IPMB62,22.511,,Lz,223.5377818,-39.7105457,2025-07-17 04:59:39.534000+00:00,60873.20809645811
,2025 OW493,000000IPMB63,24.044,,Lg,224.4773741,-38.8886722,2025-07-24 00:28:15.356000+00:00,60880.019622175954
,2025 OW493,000000IPMB63,23.515,,Lg,224.4773963,-38.8886146,2025-07-24 00:28:54.332000+00:00,60880.02007328719
,2025 OW493,000000IPMB63,23.755,,Lg,224.4774535,-38.8886494,2025-07-24 00:29:34.590000+00:00,60880.020539236255
,2025 OW493,000000IPMB63,23.68,,Lg,224.4775873,-38.8884824,2025-07-24 00:30:57.600000+00:00,60880.0214999998
,2025 OW493,000000IPMB63,23.893,,Lg,224.4776428,-38.8883903,2025-07-24 00:31:38.538000+00:00,60880.02197381947
,2025 OW493,000000IPMB63,23.793,,Lg,224.477771,-38.8883661,2025-07-24 00:32:19.641000+00:00,60880.02244954882
,2025 OW493,000000IPMB63,23.624,,Lg,224.4778992,-38.8883072,2025-07-24 00:32:59.158000+00:00,60880.02290692134
,2025 OW493,000000IPMB63,24.124,,Lg,224.4779823,-38.8882612,2025-07-24 00:33:39.411000+00:00,60880.02337281266
,2025 OW493,000000IPMB63,23.795,,Lg,224.4779456,-38.8882395,2025-07-24 00:34:19.011000+00:00,60880.02383114584
,2025 OW493,000000IPMB63,23.601,,Lg,224.4780459,-38.8881536,2025-07-24 00:34:58.703000+00:00,60880.02429054398
,2025 OW493,000000IPMB63,23.748,,Lg,224.4781989,-38.8881265,2025-07-24 00:35:36.414000+00:00,60880.02472701389
,2025 OW493,000000IPMB63,23.758,,Lg,224.4781749,-38.8880527,2025-07-24 00:36:17.259000+00:00,60880.02519975696
,2025 OW493,000000IPMB63,23.502,,Lg,224.4783912,-38.8879571,2025-07-24 00:37:37.797000+00:00,60880.026131909806
,2025 OW493,000000IPMB63,23.875,,Lg,224.47838,-38.8878948,2025-07-24 00:38:18.253000+00:00,60880.02660015039
,2025 OW493,000000IPMB63,23.51,,Lg,224.4784648,-38.8877981,2025-07-24 00:39:02.101000+00:00,60880.027107650414
,2025 OW493,000000IPMB63,23.655,,Lg,224.4786892,-38.8877094,2025-07-24 00:40:28.879000+00:00,60880.028112025466
,2025 OW493,000000IPMB63,23.348,,Lg,224.4787712,-38.8876483,2025-07-24 00:41:48.359000+00:00,60880.02903193282
,2025 OW493,000000IPMB63,23.442,,Lg,224.478977,-38.8875378,2025-07-24 00:42:28.531000+00:00,60880.02949688677
,2025 OW493,000000IPMB63,23.795,,Lg,224.4789138,-38.8875099,2025-07-24 00:43:08.593000+00:00,60880.02996056713
,2025 OW493,000000IPMB63,23.547,,Lg,224.4789755,-38.8874183,2025-07-24 00:43:48.378000+00:00,60880.03042104188
,2025 OW493,000000IPMB63,23.554,,Lg,224.4790426,-38.8873144,2025-07-24 00:44:32.506000+00:00,60880.03093178244
,2025 OW493,000000IPMB63,23.377,,Lg,224.4790744,-38.8873214,2025-07-24 00:45:12.475000+00:00,60880.031394386664
,2025 OW493,000000IPMB63,23.526,,Lg,224.4791141,-38.8872546,2025-07-24 00:45:51.903000+00:00,60880.03185072914
,2025 OW493,000000IPMB63,23.676,,Lg,224.4791972,-38.887266,2025-07-24 00:46:32.659000+00:00,60880.03232244216
,2025 OW493,000000IPMB63,23.76,,Lg,224.4792711,-38.8871727,2025-07-24 00:47:12.174000+00:00,60880.03277979186
,2025 OW493,000000IPMB63,23.389,,Lr,224.4812352,-38.8858569,2025-07-24 01:04:08.685000+00:00,60880.044544965494
,2025 OW493,000000IPMB63,23.181,,Lr,224.4812984,-38.8857787,2025-07-24 01:04:49.138000+00:00,60880.045013171155
,2025 OW493,000000IPMB63,23.112,,Lr,224.4813696,-38.8856748,2025-07-24 01:05:29.124000+00:00,60880.04547597235
,2025 OW493,000000IPMB63,23.175,,Lr,224.4813862,-38.8856726,2025-07-24 01:06:07.413000+00:00,60880.04591913195
,2025 OW493,000000IPMB63,23.175,,Lr,224.4815193,-38.8855903,2025-07-24 01:06:48.348000+00:00,60880.0463929167
,2025 OW493,000000IPMB63,23.149,,Lr,224.48158,-38.885572,2025-07-24 01:07:26.618000+00:00,60880.04683585651
,2025 OW493,000000IPMB63,23.275,,Lr,224.481627,-38.885489,2025-07-24 01:08:06.310000+00:00,60880.047295254655
,2025 OW493,000000IPMB63,22.839,,Lr,224.4817449,-38.8854593,2025-07-24 01:08:49.223000+00:00,60880.04779193271
,2025 OW493,000000IPMB63,23.25,,Lr,224.4817355,-38.8853551,2025-07-24 01:09:28.912000+00:00,60880.04825129639
,2025 OW493,000000IPMB63,23.29,,Lr,224.4818819,-38.8853765,2025-07-24 01:10:08.604000+00:00,60880.04871069454
,2025 OW493,000000IPMB63,23.197,,Lr,224.4820081,-38.885218,2025-07-24 01:11:29.123000+00:00,60880.04964262713
,2025 OW493,000000IPMB63,23.113,,Lr,224.4820635,-38.8851365,2025-07-24 01:12:11.191000+00:00,60880.05012952536
,2025 OW493,000000IPMB63,23.078,,Lr,224.4822048,-38.8850932,2025-07-24 01:12:50.821000+00:00,60880.05058820592
,2025 OW493,000000IPMB63,23.337,,Lr,224.4827735,-38.8846895,2025-07-24 01:18:17.945000+00:00,60880.05437436327
,2025 OW493,000000IPMB63,23.152,,Lr,224.4827708,-38.8846327,2025-07-24 01:19:01.418000+00:00,60880.05487752333
,2025 OW493,000000IPMB63,23.431,,Lr,224.4829278,-38.8845696,2025-07-24 01:20:06.640000+00:00,60880.05563240731
,2025 OW493,000000IPMB63,23.118,,Lr,224.4831997,-38.8843725,2025-07-24 01:22:15.680000+00:00,60880.05712592602
,2025 OW493,000000IPMB63,23.152,,Lr,224.4836983,-38.8839824,2025-07-24 01:27:07.179000+00:00,60880.06049975706
