permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
,2016 AZ161,000000IPfN11,23.054,,Lu,269.3973623,-22.5297806,2025-05-02 05:32:39.310000+00:00,60797.23101053247
,2016 AZ161,000000IPfN11,21.911,,Lg,269.396823,-22.5232522,2025-05-02 06:43:39.281000+00:00,60797.28031575214
,2016 AZ161,000000IPfN11,21.899,,Lg,269.3968183,-22.5230624,2025-05-02 06:45:45.280000+00:00,60797.28177407384
,2016 AZ161,000000IPfN11,21.912,,Lg,269.3967935,-22.5229215,2025-05-02 06:47:11.588000+00:00,60797.282773009036
,2016 AZ161,000000IPfN11,21.909,,Lg,269.3967702,-22.5227288,2025-05-02 06:49:20.370000+00:00,60797.284263541456
,2016 AZ161,000000IPfN11,21.912,,Lg,269.3967735,-22.522593,2025-05-02 06:50:47.777000+00:00,60797.28527519666
,2016 AZ161,000000IPfN11,21.899,,Lg,269.3967395,-22.5224013,2025-05-02 06:52:56.476000+00:00,60797.28676476842
,2016 AZ161,000000IPfN11,21.902,,Lg,269.3967293,-22.5222601,2025-05-02 06:54:23.667000+00:00,60797.28777392348
,2016 AZ161,000000IPfN11,21.963,,Lg,269.396708,-22.5220599,2025-05-02 06:56:32.799000+00:00,60797.28926850716
,2016 AZ161,000000IPfN11,21.904,,Lg,269.396696,-22.5219256,2025-05-02 06:58:02.322000+00:00,60797.29030465288
,2016 AZ161,000000IPfN11,21.93,,Lg,269.3966664,-22.5215836,2025-05-02 07:01:41.520000+00:00,60797.292841666844
,2016 AZ161,000000IPfN11,21.903,,Lg,269.3966534,-22.5213747,2025-05-02 07:03:53.066000+00:00,60797.29436418973
,2016 AZ161,000000IPfN11,21.926,,Lg,269.3966352,-22.5212145,2025-05-02 07:05:27.233000+00:00,60797.295454085805
,2016 AZ161,000000IPfN11,21.895,,Lg,269.3966152,-22.5210324,2025-05-02 07:07:35.779000+00:00,60797.296941886656
,2016 AZ161,000000IPfN11,21.916,,Lg,269.3966032,-22.5208698,2025-05-02 07:09:05.233000+00:00,60797.29797723377
,2016 AZ161,000000IPfN11,21.892,,Lg,269.3965933,-22.5206927,2025-05-02 07:11:13.828000+00:00,60797.2994656018
,2016 AZ161,000000IPfN11,21.862,,Lg,269.396573,-22.5205512,2025-05-02 07:12:45.477000+00:00,60797.300526353996
,2016 AZ161,000000IPfN11,21.961,,Lg,269.3965598,-22.5203503,2025-05-02 07:14:58.339000+00:00,60797.30206410866
,2016 AZ161,000000IPfN11,21.913,,Lg,269.3965451,-22.5202183,2025-05-02 07:16:30.079000+00:00,60797.303125914186
,2016 AZ161,000000IPfN11,21.917,,Lg,269.396518,-22.5199943,2025-05-02 07:18:42.340000+00:00,60797.304656712804
,2016 AZ161,000000IPfN11,21.908,,Lg,269.3965086,-22.5198548,2025-05-02 07:20:18.934000+00:00,60797.305774698965
,2016 AZ161,000000IPfN11,21.928,,Lg,269.3964937,-22.5196484,2025-05-02 07:22:33.322000+00:00,60797.3073301157
,2016 AZ161,000000IPfN11,21.903,,Lg,269.3964681,-22.5195007,2025-05-02 07:24:07.240000+00:00,60797.308417129796
,2016 AZ161,000000IPfN11,21.901,,Lg,269.3964632,-22.5192988,2025-05-02 07:26:20.944000+00:00,60797.30996462982
,2016 AZ161,000000IPfN12,21.223,,Lr,269.3926418,-22.3993956,2025-05-03 04:42:07.554000+00:00,60798.195920764
,2016 AZ161,000000IPfN12,21.202,,Lr,269.3926167,-22.399211,2025-05-03 04:44:19.613000+00:00,60798.197449224535
,2016 AZ161,000000IPfN12,21.114,,Lr,269.392602,-22.3990519,2025-05-03 04:45:49.247000+00:00,60798.19848665502
,2016 AZ161,000000IPfN12,21.276,,Lr,269.3925806,-22.3988636,2025-05-03 04:47:56.300000+00:00,60798.19995717611
,2016 AZ161,000000IPfN12,21.177,,Lr,269.3925597,-22.3987199,2025-05-03 04:49:26.452000+00:00,60798.201000601985
,2016 AZ161,000000IPfN12,21.255,,Lr,269.3925302,-22.3985282,2025-05-03 04:51:36.643000+00:00,60798.20250744233
,2016 AZ161,000000IPfN12,21.187,,Lr,269.3925175,-22.3983859,2025-05-03 04:53:03.489000+00:00,60798.20351260435
,2016 AZ161,000000IPfN12,21.205,,Lr,269.392473,-22.3980479,2025-05-03 04:56:43.833000+00:00,60798.20606288174
,2016 AZ161,000000IPfN12,21.228,,Lr,269.3924453,-22.3978399,2025-05-03 04:58:59.402000+00:00,60798.207631967496
,2016 AZ161,000000IPfN12,21.181,,Lr,269.3924235,-22.3977099,2025-05-03 05:00:28.933000+00:00,60798.20866820589
,2016 AZ161,000000IPfN12,21.174,,Lr,269.3924011,-22.3975028,2025-05-03 05:02:37.717000+00:00,60798.21015876159
,2016 AZ161,000000IPfN12,21.182,,Lr,269.3923723,-22.3973557,2025-05-03 05:04:14.520000+00:00,60798.21127916686
,2016 AZ161,000000IPfN12,21.204,,Lr,269.3923556,-22.3971598,2025-05-03 05:06:23.892000+00:00,60798.21277652774
