permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
,2020 GJ35,000000IPfNE1,23.587,,Lg,149.3326428,2.5255718,2025-05-24 00:39:02.266000+00:00,60819.02710956009
,2020 GJ35,000000IPfNE1,23.716,,Lg,149.3327531,2.5256147,2025-05-24 00:39:47.645000+00:00,60819.02763477992
,2020 GJ35,000000IPfNE1,23.583,,Lg,149.3328279,2.5256015,2025-05-24 00:40:32.849000+00:00,60819.02815797459
,2020 GJ35,000000IPfNE1,23.506,,Lg,149.333034,2.5256232,2025-05-24 00:42:03.159000+00:00,60819.02920322912
,2020 GJ35,000000IPfNE1,23.702,,Lg,149.3331047,2.5256259,2025-05-24 00:42:48.544000+00:00,60819.02972851833
,2020 GJ35,000000IPfNE1,23.58,,Lg,149.3332234,2.5256435,2025-05-24 00:43:33.849000+00:00,60819.030252881814
,2020 GJ35,000000IPfNE1,23.635,,Lg,149.3333082,2.5256941,2025-05-24 00:44:19.151000+00:00,60819.030777210835
,2020 GJ35,000000IPfNE1,23.708,,Lg,149.3334223,2.5256886,2025-05-24 00:45:04.239000+00:00,60819.03129906254
,2020 GJ35,000000IPfNE1,23.569,,Lg,149.333526,2.5257053,2025-05-24 00:45:49.587000+00:00,60819.03182392381
,2020 GJ35,000000IPfNE1,23.6,,Lg,149.3336138,2.5257272,2025-05-24 00:46:34.969000+00:00,60819.0323491781
,2020 GJ35,000000IPfNE1,23.726,,Lg,149.3336984,2.5257616,2025-05-24 00:47:20.071000+00:00,60819.03287119232
,2020 GJ35,000000IPfNE1,23.646,,Lg,149.333805,2.5257662,2025-05-24 00:48:05.263000+00:00,60819.03339424776
,2020 GJ35,000000IPfNE1,23.736,,Lg,149.3340214,2.5258008,2025-05-24 00:49:35.470000+00:00,60819.03443831019
,2020 GJ35,000000IPfNE1,23.642,,Lg,149.3340959,2.525827,2025-05-24 00:50:20.770000+00:00,60819.03496261593
,2020 GJ35,000000IPfNE1,23.774,,Lg,149.3342333,2.5258055,2025-05-24 00:51:06.063000+00:00,60819.03548684018
,2020 GJ35,000000IPfNE1,23.647,,Lg,149.3343022,2.5258274,2025-05-24 00:51:51.748000+00:00,60819.03601560183
,2020 GJ35,000000IPfNE1,23.691,,Lg,149.3344143,2.525847,2025-05-24 00:52:36.950000+00:00,60819.036538773216
,2020 GJ35,000000IPfNE1,23.604,,Lg,149.3344928,2.5258861,2025-05-24 00:53:22.182000+00:00,60819.03706229152
,2020 GJ35,000000IPfNE1,23.588,,Lg,149.3345648,2.5259165,2025-05-24 00:54:07.406000+00:00,60819.037585717626
,2020 GJ35,000000IPfNE1,23.509,,Lg,149.3346959,2.5259692,2025-05-24 00:54:52.798000+00:00,60819.038111087866
,2020 GJ35,000000IPfNE1,23.545,,Lg,149.3348276,2.5259577,2025-05-24 00:55:38.098000+00:00,60819.038635393605
,2020 GJ35,000000IPfNE1,23.725,,Lg,149.3348856,2.5259682,2025-05-24 00:56:23.400000+00:00,60819.03915972216
,2020 GJ35,000000IPfNE1,23.978,,Lg,149.335024,2.5259475,2025-05-24 00:57:08.616000+00:00,60819.0396830556
,2020 GJ35,000000IPfNE1,23.7,,Lg,149.3351173,2.5259822,2025-05-24 00:57:54.272000+00:00,60819.04021148151
,2020 GJ35,000000IPfNE1,23.687,,Lg,149.3352074,2.5260039,2025-05-24 00:58:39.483000+00:00,60819.04073475674
,2020 GJ35,000000IPfNE1,23.641,,Lg,149.3353045,2.5260221,2025-05-24 00:59:24.965000+00:00,60819.04126116913
,2020 GJ35,000000IPfNE1,23.588,,Lg,149.3354129,2.5260157,2025-05-24 01:00:10.343000+00:00,60819.04178637732
,2020 GJ35,000000IPfNE1,23.555,,Lg,149.3355092,2.5260572,2025-05-24 01:00:55.666000+00:00,60819.04231094895
,2020 GJ35,000000IPfNE1,23.412,,Lg,149.3356614,2.5260531,2025-05-24 01:02:01.624000+00:00,60819.043074351735
,2020 GJ35,000000IPfNE1,23.111,,Lr,149.3363142,2.5261979,2025-05-24 01:06:51.951000+00:00,60819.04643461807
,2020 GJ35,000000IPfNE1,23.129,,Lr,149.3363879,2.5261835,2025-05-24 01:07:37.062000+00:00,60819.04695673613
,2020 GJ35,000000IPfNE1,23.145,,Lr,149.336493,2.526216,2025-05-24 01:08:22.324000+00:00,60819.04748060182
,2020 GJ35,000000IPfNE1,23.097,,Lr,149.3366109,2.5262478,2025-05-24 01:09:07.628000+00:00,60819.048004953656
,2020 GJ35,000000IPfNE1,23.022,,Lr,149.3366871,2.526267,2025-05-24 01:09:52.932000+00:00,60819.048529305495
,2020 GJ35,000000IPfNE1,22.995,,Lr,149.3367784,2.5262691,2025-05-24 01:10:38.393000+00:00,60819.049055474345
,2020 GJ35,000000IPfNE1,23.046,,Lr,149.3369425,2.5263018,2025-05-24 01:12:09.154000+00:00,60819.05010594893
,2020 GJ35,000000IPfNE1,23.239,,Lr,149.3370769,2.5263133,2025-05-24 01:12:54.554000+00:00,60819.05063141184
,2020 GJ35,000000IPfNE1,23.065,,Lr,149.3371736,2.52633,2025-05-24 01:13:39.837000+00:00,60819.0511555206
,2020 GJ35,000000IPfNE1,23.081,,Lr,149.3372994,2.5263266,2025-05-24 01:14:25.126000+00:00,60819.051679699216
,2020 GJ35,000000IPfNE1,23.048,,Lr,149.3373711,2.5263688,2025-05-24 01:15:10.426000+00:00,60819.05220400449
,2020 GJ35,000000IPfNE1,23.096,,Lr,149.3374769,2.5263887,2025-05-24 01:15:55.757000+00:00,60819.05272866879
,2020 GJ35,000000IPfNE1,23.079,,Lr,149.3376889,2.526442,2025-05-24 01:17:26.428000+00:00,60819.05377810169
,2020 GJ35,000000IPfNE1,23.12,,Lr,149.3377902,2.5264309,2025-05-24 01:18:11.659000+00:00,60819.05430160882
,2020 GJ35,000000IPfNE1,22.989,,Lr,149.3378856,2.5264633,2025-05-24 01:18:56.955000+00:00,60819.05482586799
,2020 GJ35,000000IPfNE1,23.133,,Lr,149.3380641,2.5264783,2025-05-24 01:20:27.237000+00:00,60819.05587079842
,2020 GJ35,000000IPfNE1,23.141,,Lr,149.3381795,2.5265175,2025-05-24 01:21:12.636000+00:00,60819.05639625015
,2020 GJ35,000000IPfNE1,23.083,,Lr,149.338276,2.5265071,2025-05-24 01:21:57.639000+00:00,60819.05691711791
,2020 GJ35,000000IPfNE1,22.895,,Li,149.3389218,2.5266243,2025-05-24 01:27:01.178000+00:00,60819.06043030089
,2020 GJ35,000000IPfNE1,22.71,,Li,149.3390435,2.5266473,2025-05-24 01:27:46.641000+00:00,60819.06095649302
,2020 GJ35,000000IPfNE1,22.881,,Li,149.3391273,2.5266491,2025-05-24 01:28:31.923000+00:00,60819.06148059014
