permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
,2020 HO72,000000IPfN51,23.671,,Lg,150.54719,1.8127764,2025-05-20 23:55:18.762000+00:00,60815.996744930744
,2020 HO72,000000IPfN51,23.561,,Lg,150.5472675,1.8127562,2025-05-20 23:56:09.639000+00:00,60815.99733378459
,2020 HO72,000000IPfN51,23.257,,Lg,150.547475,1.8127864,2025-05-20 23:57:15.858000+00:00,60815.99810020812
,2020 HO72,000000IPfN51,23.549,,Lg,150.5475275,1.8127318,2025-05-20 23:57:56.988000+00:00,60815.99857624993
,2020 HO72,000000IPfN51,23.673,,Lg,150.5476672,1.8127262,2025-05-20 23:58:43.039000+00:00,60815.9991092477
,2020 HO72,000000IPfN51,23.575,,Lg,150.5477976,1.8127382,2025-05-20 23:59:49.097000+00:00,60815.999873807654
,2020 HO72,000000IPfN51,23.613,,Lg,150.5480397,1.8127248,2025-05-21 00:01:35.967000+00:00,60816.001110729296
,2020 HO72,000000IPfN51,23.556,,Lg,150.5481869,1.8127013,2025-05-21 00:02:22.012000+00:00,60816.00164365722
,2020 HO72,000000IPfN51,23.593,,Lg,150.5482769,1.8126886,2025-05-21 00:03:08.142000+00:00,60816.00217756955
,2020 HO72,000000IPfN51,23.487,,Lg,150.5485706,1.8126761,2025-05-21 00:04:50.561000+00:00,60816.00336297462
,2020 HO72,000000IPfN51,23.603,,Lg,150.5486651,1.8126903,2025-05-21 00:05:32.042000+00:00,60816.003843078855
,2020 HO72,000000IPfN51,23.607,,Lg,150.5488818,1.812705,2025-05-21 00:06:54.505000+00:00,60816.004797511734
,2020 HO72,000000IPfN51,23.533,,Lg,150.5492143,1.812645,2025-05-21 00:09:11.843000+00:00,60816.006387071684
,2020 HO72,000000IPfN51,23.658,,Lg,150.5495701,1.8126492,2025-05-21 00:11:35.217000+00:00,60816.008046492934
,2020 HO72,000000IPfN51,23.611,,Lg,150.5496929,1.812617,2025-05-21 00:12:26.275000+00:00,60816.00863744225
,2020 HO72,000000IPfN51,23.45,,Lg,150.5498194,1.812607,2025-05-21 00:13:07.337000+00:00,60816.00911269663
,2020 HO72,000000IPfN51,23.556,,Lg,150.5500425,1.8125941,2025-05-21 00:14:49.442000+00:00,60816.01029446768
,2020 HO72,000000IPfN51,23.338,,Lg,150.5501767,1.812588,2025-05-21 00:15:35.565000+00:00,60816.01082829852
,2020 HO72,000000IPfN51,23.358,,Lg,150.550362,1.8125607,2025-05-21 00:16:57.245000+00:00,60816.01177366916
,2020 HO72,000000IPfN51,23.468,,Lg,150.5505216,1.8125589,2025-05-21 00:17:47.841000+00:00,60816.012359270826
,2020 HO72,000000IPfN51,23.622,,Lg,150.5506009,1.81252,2025-05-21 00:18:38.907000+00:00,60816.012950312346
,2020 HO72,000000IPfN51,23.626,,Lg,150.5507365,1.8125546,2025-05-21 00:19:19.777000+00:00,60816.01342334505
,2020 HO72,000000IPfN51,23.567,,Lg,150.5508226,1.8125005,2025-05-21 00:20:14.133000+00:00,60816.01405246509
,2020 HO72,000000IPfN51,23.73,,Lg,150.5509838,1.8125362,2025-05-21 00:20:55.345000+00:00,60816.01452945592
,2020 HO72,000000IPfN51,23.099,,Lr,150.5613689,1.8117477,2025-05-21 01:30:43.647000+00:00,60816.06300517358
,2020 HO72,000000IPfN51,22.807,,Lr,150.5614447,1.8117283,2025-05-21 01:31:24.889000+00:00,60816.06348251179
,2020 HO72,000000IPfN51,23.089,,Lr,150.5615308,1.8117481,2025-05-21 01:32:05.928000+00:00,60816.063957499806
,2020 HO72,000000IPfN51,22.987,,Lr,150.5627832,1.8116752,2025-05-21 01:40:09.105000+00:00,60816.06954982644
,2020 HO72,000000IPfN51,23.217,,Lr,150.5630099,1.8115775,2025-05-21 01:41:34.336000+00:00,60816.07053629635
,2020 HO72,000000IPfN51,23.008,,Lr,150.563118,1.8116054,2025-05-21 01:42:18.409000+00:00,60816.07104640035
,2020 HO72,000000IPfN51,23.097,,Lr,150.5642484,1.8115226,2025-05-21 01:49:46.790000+00:00,60816.07623599516
,2020 HO72,000000IPfN52,23.485,,Lg,151.2283775,1.7566141,2025-05-24 00:39:02.266000+00:00,60819.02710956009
,2020 HO72,000000IPfN52,23.424,,Lg,151.2284751,1.7566396,2025-05-24 00:39:47.645000+00:00,60819.02763477992
,2020 HO72,000000IPfN52,23.405,,Lg,151.2286031,1.7566005,2025-05-24 00:40:32.849000+00:00,60819.02815797459
,2020 HO72,000000IPfN52,23.38,,Lg,151.2288126,1.7565954,2025-05-24 00:42:03.159000+00:00,60819.02920322912
,2020 HO72,000000IPfN52,23.515,,Lg,151.2289554,1.7565801,2025-05-24 00:42:48.544000+00:00,60819.02972851833
,2020 HO72,000000IPfN52,23.402,,Lg,151.2290598,1.7565645,2025-05-24 00:43:33.849000+00:00,60819.030252881814
,2020 HO72,000000IPfN52,23.446,,Lg,151.2291892,1.756556,2025-05-24 00:44:19.151000+00:00,60819.030777210835
,2020 HO72,000000IPfN52,23.382,,Lg,151.2294237,1.7565383,2025-05-24 00:45:49.587000+00:00,60819.03182392381
,2020 HO72,000000IPfN52,23.456,,Lg,151.2295452,1.756533,2025-05-24 00:46:34.969000+00:00,60819.0323491781
,2020 HO72,000000IPfN52,23.538,,Lg,151.2296684,1.7565134,2025-05-24 00:47:20.071000+00:00,60819.03287119232
,2020 HO72,000000IPfN52,23.413,,Lg,151.2297843,1.756513,2025-05-24 00:48:05.263000+00:00,60819.03339424776
,2020 HO72,000000IPfN52,23.474,,Lg,151.2299076,1.7564891,2025-05-24 00:48:50.262000+00:00,60819.03391506942
,2020 HO72,000000IPfN52,23.418,,Lg,151.2300247,1.7564892,2025-05-24 00:49:35.470000+00:00,60819.03443831019
,2020 HO72,000000IPfN52,23.365,,Lg,151.2301558,1.7564543,2025-05-24 00:50:20.770000+00:00,60819.03496261593
,2020 HO72,000000IPfN52,23.396,,Lg,151.2302628,1.7564474,2025-05-24 00:51:06.063000+00:00,60819.03548684018
,2020 HO72,000000IPfN52,23.386,,Lg,151.2303722,1.7564283,2025-05-24 00:51:51.748000+00:00,60819.03601560183
,2020 HO72,000000IPfN52,23.425,,Lg,151.2304875,1.7564336,2025-05-24 00:52:36.950000+00:00,60819.036538773216
,2020 HO72,000000IPfN52,23.429,,Lg,151.2306108,1.7564303,2025-05-24 00:53:22.182000+00:00,60819.03706229152
,2020 HO72,000000IPfN52,23.472,,Lg,151.2307099,1.7563809,2025-05-24 00:54:07.406000+00:00,60819.037585717626
,2020 HO72,000000IPfN52,23.343,,Lg,151.2308607,1.7564181,2025-05-24 00:54:52.798000+00:00,60819.038111087866
,2020 HO72,000000IPfN52,23.175,,Lg,151.2309701,1.756379,2025-05-24 00:55:38.098000+00:00,60819.038635393605
,2020 HO72,000000IPfN52,23.48,,Lg,151.23108,1.7563881,2025-05-24 00:56:23.400000+00:00,60819.03915972216
,2020 HO72,000000IPfN52,23.521,,Lg,151.2313498,1.7563476,2025-05-24 00:57:54.272000+00:00,60819.04021148151
,2020 HO72,000000IPfN52,23.274,,Lg,151.2314643,1.7563419,2025-05-24 00:58:39.483000+00:00,60819.04073475674
,2020 HO72,000000IPfN52,23.194,,Lg,151.2315776,1.7563299,2025-05-24 00:59:24.965000+00:00,60819.04126116913
,2020 HO72,000000IPfN52,23.467,,Lg,151.2316597,1.756308,2025-05-24 01:00:10.343000+00:00,60819.04178637732
,2020 HO72,000000IPfN52,23.353,,Lg,151.2318155,1.7563215,2025-05-24 01:00:55.666000+00:00,60819.04231094895
,2020 HO72,000000IPfN52,23.426,,Lg,151.2320034,1.7562579,2025-05-24 01:02:01.624000+00:00,60819.043074351735
,2020 HO72,000000IPfN52,22.959,,Lr,151.232711,1.7561942,2025-05-24 01:06:51.951000+00:00,60819.04643461807
,2020 HO72,000000IPfN52,23.066,,Lr,151.2328439,1.7561965,2025-05-24 01:07:37.062000+00:00,60819.04695673613
,2020 HO72,000000IPfN52,22.818,,Lr,151.2329669,1.7562235,2025-05-24 01:08:22.324000+00:00,60819.04748060182
,2020 HO72,000000IPfN52,22.967,,Lr,151.2330925,1.7561873,2025-05-24 01:09:07.628000+00:00,60819.048004953656
,2020 HO72,000000IPfN52,23.004,,Lr,151.2332023,1.7561696,2025-05-24 01:09:52.932000+00:00,60819.048529305495
,2020 HO72,000000IPfN52,22.933,,Lr,151.2333252,1.7561532,2025-05-24 01:10:38.393000+00:00,60819.049055474345
,2020 HO72,000000IPfN52,22.979,,Lr,151.233464,1.7561488,2025-05-24 01:11:23.583000+00:00,60819.049578506965
,2020 HO72,000000IPfN52,22.936,,Lr,151.2335564,1.7561739,2025-05-24 01:12:09.154000+00:00,60819.05010594893
,2020 HO72,000000IPfN52,23.039,,Lr,151.2339174,1.7560943,2025-05-24 01:14:25.126000+00:00,60819.051679699216
,2020 HO72,000000IPfN52,23.252,,Lr,151.2340322,1.7560797,2025-05-24 01:15:10.426000+00:00,60819.05220400449
,2020 HO72,000000IPfN52,23.008,,Lr,151.2341653,1.7560865,2025-05-24 01:15:55.757000+00:00,60819.05272866879
,2020 HO72,000000IPfN52,23.126,,Lr,151.2342729,1.7560764,2025-05-24 01:16:41.037000+00:00,60819.05325274309
,2020 HO72,000000IPfN52,23.057,,Lr,151.2343932,1.756051,2025-05-24 01:17:26.428000+00:00,60819.05377810169
,2020 HO72,000000IPfN52,23.067,,Lr,151.2345296,1.7560466,2025-05-24 01:18:11.659000+00:00,60819.05430160882
,2020 HO72,000000IPfN52,23.087,,Lr,151.2346402,1.7560246,2025-05-24 01:18:56.955000+00:00,60819.05482586799
,2020 HO72,000000IPfN52,23.283,,Lr,151.2347562,1.7560406,2025-05-24 01:19:41.878000+00:00,60819.05534581002
,2020 HO72,000000IPfN52,23.112,,Lr,151.2348675,1.7560219,2025-05-24 01:20:27.237000+00:00,60819.05587079842
,2020 HO72,000000IPfN52,23.075,,Lr,151.2349952,1.7560026,2025-05-24 01:21:12.636000+00:00,60819.05639625015
,2020 HO72,000000IPfN52,23.028,,Lr,151.2351229,1.7559947,2025-05-24 01:21:57.639000+00:00,60819.05691711791
,2020 HO72,000000IPfN52,22.778,,Li,151.2358292,1.7558959,2025-05-24 01:26:15.976000+00:00,60819.0599071295
,2020 HO72,000000IPfN52,22.79,,Li,151.236137,1.7558675,2025-05-24 01:28:31.923000+00:00,60819.06148059014
,2020 HO72,000000IPfN52,22.807,,Li,151.2362722,1.7558827,2025-05-24 01:29:17.234000+00:00,60819.062005023006
,2020 HO72,000000IPfN52,22.807,,Li,151.2363827,1.7558744,2025-05-24 01:30:02.811000+00:00,60819.06253253482
,2020 HO72,000000IPfN52,22.809,,Li,151.23651,1.755857,2025-05-24 01:30:48.409000+00:00,60819.06306028925
,2020 HO72,000000IPfN52,22.645,,Li,151.2366202,1.7558501,2025-05-24 01:31:33.981000+00:00,60819.06358774286
,2020 HO72,000000IPfN52,22.788,,Li,151.2367389,1.7558165,2025-05-24 01:32:19.553000+00:00,60819.06411519693
,2020 HO72,000000IPfN52,22.857,,Li,151.2368685,1.7558231,2025-05-24 01:33:04.925000+00:00,60819.06464033574
,2020 HO72,000000IPfN52,22.906,,Li,151.2369725,1.7557946,2025-05-24 01:33:50.420000+00:00,60819.06516689807
