permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
,2022 QE46,000000IPfNx1,23.893,,Lg,149.7930948,2.6897385,2025-05-24 00:39:02.266000+00:00,60819.02710956009
,2022 QE46,000000IPfNx1,23.819,,Lg,149.7932328,2.6897213,2025-05-24 00:39:47.645000+00:00,60819.02763477992
,2022 QE46,000000IPfNx1,23.659,,Lg,149.7932991,2.6897053,2025-05-24 00:40:32.849000+00:00,60819.02815797459
,2022 QE46,000000IPfNx1,23.733,,Lg,149.7934739,2.6896691,2025-05-24 00:42:03.159000+00:00,60819.02920322912
,2022 QE46,000000IPfNx1,23.868,,Lg,149.793694,2.6896257,2025-05-24 00:43:33.849000+00:00,60819.030252881814
,2022 QE46,000000IPfNx1,23.87,,Lg,149.7937789,2.6895733,2025-05-24 00:44:19.151000+00:00,60819.030777210835
,2022 QE46,000000IPfNx1,23.752,,Lg,149.7938877,2.6895822,2025-05-24 00:45:04.239000+00:00,60819.03129906254
,2022 QE46,000000IPfNx1,23.85,,Lg,149.794008,2.6895644,2025-05-24 00:45:49.587000+00:00,60819.03182392381
,2022 QE46,000000IPfNx1,24.111,,Lg,149.7940826,2.689561,2025-05-24 00:46:34.969000+00:00,60819.0323491781
,2022 QE46,000000IPfNx1,23.997,,Lg,149.7941978,2.6895502,2025-05-24 00:47:20.071000+00:00,60819.03287119232
,2022 QE46,000000IPfNx1,23.766,,Lg,149.7942894,2.6895044,2025-05-24 00:48:05.263000+00:00,60819.03339424776
,2022 QE46,000000IPfNx1,23.9,,Lg,149.79445,2.6894569,2025-05-24 00:49:35.470000+00:00,60819.03443831019
,2022 QE46,000000IPfNx1,24.256,,Lg,149.7945815,2.6894418,2025-05-24 00:50:20.770000+00:00,60819.03496261593
,2022 QE46,000000IPfNx1,24.089,,Lg,149.7946769,2.6894193,2025-05-24 00:51:06.063000+00:00,60819.03548684018
,2022 QE46,000000IPfNx1,23.817,,Lg,149.7947831,2.6893854,2025-05-24 00:51:51.748000+00:00,60819.03601560183
,2022 QE46,000000IPfNx1,24.232,,Lg,149.7948877,2.68935,2025-05-24 00:52:36.950000+00:00,60819.036538773216
,2022 QE46,000000IPfNx1,23.931,,Lg,149.7950091,2.6893853,2025-05-24 00:53:22.182000+00:00,60819.03706229152
,2022 QE46,000000IPfNx1,23.825,,Lg,149.7950833,2.6893581,2025-05-24 00:54:07.406000+00:00,60819.037585717626
,2022 QE46,000000IPfNx1,23.73,,Lg,149.7951756,2.6892948,2025-05-24 00:54:52.798000+00:00,60819.038111087866
,2022 QE46,000000IPfNx1,23.64,,Lg,149.7952943,2.6892656,2025-05-24 00:55:38.098000+00:00,60819.038635393605
,2022 QE46,000000IPfNx1,23.935,,Lg,149.7953779,2.6892573,2025-05-24 00:56:23.400000+00:00,60819.03915972216
,2022 QE46,000000IPfNx1,23.833,,Lg,149.7954496,2.6892681,2025-05-24 00:57:08.616000+00:00,60819.0396830556
,2022 QE46,000000IPfNx1,23.762,,Lg,149.795583,2.6892202,2025-05-24 00:57:54.272000+00:00,60819.04021148151
,2022 QE46,000000IPfNx1,24.096,,Lg,149.7956497,2.6892174,2025-05-24 00:58:39.483000+00:00,60819.04073475674
,2022 QE46,000000IPfNx1,24.342,,Lg,149.7957456,2.6892021,2025-05-24 00:59:24.965000+00:00,60819.04126116913
,2022 QE46,000000IPfNx1,23.848,,Lg,149.7958773,2.6891822,2025-05-24 01:00:10.343000+00:00,60819.04178637732
,2022 QE46,000000IPfNx1,23.57,,Lg,149.7959637,2.6891947,2025-05-24 01:00:55.666000+00:00,60819.04231094895
,2022 QE46,000000IPfNx1,23.781,,Lg,149.7961184,2.6891173,2025-05-24 01:02:01.624000+00:00,60819.043074351735
,2022 QE46,000000IPfNx1,23.326,,Lr,149.7967394,2.6889937,2025-05-24 01:06:51.951000+00:00,60819.04643461807
,2022 QE46,000000IPfNx1,23.182,,Lr,149.7968364,2.6889788,2025-05-24 01:07:37.062000+00:00,60819.04695673613
,2022 QE46,000000IPfNx1,23.378,,Lr,149.7969493,2.6889473,2025-05-24 01:08:22.324000+00:00,60819.04748060182
,2022 QE46,000000IPfNx1,23.126,,Lr,149.7970488,2.6889565,2025-05-24 01:09:07.628000+00:00,60819.048004953656
,2022 QE46,000000IPfNx1,23.392,,Lr,149.7972466,2.6889052,2025-05-24 01:10:38.393000+00:00,60819.049055474345
,2022 QE46,000000IPfNx1,23.273,,Lr,149.797335,2.6888745,2025-05-24 01:11:23.583000+00:00,60819.049578506965
,2022 QE46,000000IPfNx1,23.266,,Lr,149.7974457,2.6888595,2025-05-24 01:12:09.154000+00:00,60819.05010594893
