permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
,2025 KG40,000000IPfNS1,23.428,,Lg,150.184361,3.0988222,2025-05-20 23:57:56.988000+00:00,60815.99857624993
,2025 KG40,000000IPfNS1,23.428,,Lg,150.1845001,3.0986602,2025-05-20 23:58:43.039000+00:00,60815.9991092477
,2025 KG40,000000IPfNS1,23.515,,Lg,150.184716,3.0984274,2025-05-20 23:59:49.097000+00:00,60815.999873807654
,2025 KG40,000000IPfNS1,23.668,,Lg,150.1849467,3.0983047,2025-05-21 00:00:35.154000+00:00,60816.00040687481
,2025 KG40,000000IPfNS1,23.452,,Lg,150.1850491,3.0981379,2025-05-21 00:01:35.967000+00:00,60816.001110729296
,2025 KG40,000000IPfNS1,23.555,,Lg,150.1852427,3.0980908,2025-05-21 00:02:22.012000+00:00,60816.00164365722
,2025 KG40,000000IPfNS1,23.491,,Lg,150.1853234,3.0978574,2025-05-21 00:03:08.142000+00:00,60816.00217756955
,2025 KG40,000000IPfNS1,23.541,,Lg,150.185513,3.0977288,2025-05-21 00:04:04.332000+00:00,60816.00282791676
,2025 KG40,000000IPfNS1,23.467,,Lg,150.1856787,3.0975847,2025-05-21 00:04:50.561000+00:00,60816.00336297462
,2025 KG40,000000IPfNS1,23.47,,Lg,150.1857779,3.0974237,2025-05-21 00:05:32.042000+00:00,60816.003843078855
,2025 KG40,000000IPfNS1,23.731,,Lg,150.1860397,3.0972173,2025-05-21 00:06:54.505000+00:00,60816.004797511734
,2025 KG40,000000IPfNS1,23.518,,Lg,150.1862693,3.0969757,2025-05-21 00:08:10.606000+00:00,60816.00567831006
,2025 KG40,000000IPfNS1,23.502,,Lg,150.1864805,3.0967799,2025-05-21 00:09:11.843000+00:00,60816.006387071684
,2025 KG40,000000IPfNS1,23.584,,Lg,150.1865841,3.09663,2025-05-21 00:09:57.882000+00:00,60816.00691993069
,2025 KG40,000000IPfNS1,23.404,,Lg,150.187392,3.095896,2025-05-21 00:13:58.390000+00:00,60816.00970358774
,2025 KG40,000000IPfNS1,23.52,,Lg,150.187698,3.0956358,2025-05-21 00:15:35.565000+00:00,60816.01082829852
,2025 KG40,000000IPfNS1,23.59,,Lg,150.1886878,3.0947025,2025-05-21 00:20:55.345000+00:00,60816.01452945592
,2025 KG40,000000IPfNS1,23.064,,Lr,150.2018093,3.0821991,2025-05-21 01:30:43.647000+00:00,60816.06300517358
,2025 KG40,000000IPfNS1,22.954,,Lr,150.2018919,3.0820683,2025-05-21 01:31:24.889000+00:00,60816.06348251179
,2025 KG40,000000IPfNS1,23.0,,Lr,150.2020601,3.0819351,2025-05-21 01:32:05.928000+00:00,60816.063957499806
,2025 KG40,000000IPfNS1,23.026,,Lr,150.20336,3.0806704,2025-05-21 01:39:24.550000+00:00,60816.06903414335
,2025 KG40,000000IPfNS1,23.0,,Lr,150.2036126,3.0804953,2025-05-21 01:40:09.105000+00:00,60816.06954982644
,2025 KG40,000000IPfNS2,24.14,,Lg,151.0455342,2.3220108,2025-05-24 00:39:02.266000+00:00,60819.02710956009
,2025 KG40,000000IPfNS2,23.682,,Lg,151.0457049,2.3218222,2025-05-24 00:39:47.645000+00:00,60819.02763477992
,2025 KG40,000000IPfNS2,23.724,,Lg,151.0459884,2.3215195,2025-05-24 00:41:18.062000+00:00,60819.02868127311
,2025 KG40,000000IPfNS2,23.599,,Lg,151.0463021,2.3212665,2025-05-24 00:42:48.544000+00:00,60819.02972851833
,2025 KG40,000000IPfNS2,23.661,,Lg,151.046436,2.3211501,2025-05-24 00:43:33.849000+00:00,60819.030252881814
,2025 KG40,000000IPfNS2,23.835,,Lg,151.0465896,2.3209517,2025-05-24 00:44:19.151000+00:00,60819.030777210835
,2025 KG40,000000IPfNS2,23.696,,Lg,151.0467614,2.3208664,2025-05-24 00:45:04.239000+00:00,60819.03129906254
,2025 KG40,000000IPfNS2,23.783,,Lg,151.0468552,2.3207373,2025-05-24 00:45:49.587000+00:00,60819.03182392381
,2025 KG40,000000IPfNS2,23.613,,Lg,151.0470219,2.3206037,2025-05-24 00:46:34.969000+00:00,60819.0323491781
,2025 KG40,000000IPfNS2,23.577,,Lg,151.0473155,2.3203352,2025-05-24 00:48:05.263000+00:00,60819.03339424776
,2025 KG40,000000IPfNS2,23.547,,Lg,151.0474623,2.320182,2025-05-24 00:48:50.262000+00:00,60819.03391506942
,2025 KG40,000000IPfNS2,23.67,,Lg,151.047638,2.3200637,2025-05-24 00:49:35.470000+00:00,60819.03443831019
,2025 KG40,000000IPfNS2,23.686,,Lg,151.0477635,2.3199451,2025-05-24 00:50:20.770000+00:00,60819.03496261593
,2025 KG40,000000IPfNS2,23.77,,Lg,151.0480886,2.3196482,2025-05-24 00:51:51.748000+00:00,60819.03601560183
,2025 KG40,000000IPfNS2,23.632,,Lg,151.0482257,2.3195447,2025-05-24 00:52:36.950000+00:00,60819.036538773216
,2025 KG40,000000IPfNS2,23.524,,Lg,151.0483719,2.3193895,2025-05-24 00:53:22.182000+00:00,60819.03706229152
,2025 KG40,000000IPfNS2,23.87,,Lg,151.0484895,2.3192935,2025-05-24 00:54:07.406000+00:00,60819.037585717626
,2025 KG40,000000IPfNS2,23.945,,Lg,151.0486852,2.3190955,2025-05-24 00:54:52.798000+00:00,60819.038111087866
,2025 KG40,000000IPfNS2,23.435,,Lg,151.048807,2.3190054,2025-05-24 00:55:38.098000+00:00,60819.038635393605
,2025 KG40,000000IPfNS2,23.538,,Lg,151.0489627,2.3188719,2025-05-24 00:56:23.400000+00:00,60819.03915972216
,2025 KG40,000000IPfNS2,23.73,,Lg,151.0491043,2.3187154,2025-05-24 00:57:08.616000+00:00,60819.0396830556
,2025 KG40,000000IPfNS2,23.559,,Lg,151.0492435,2.318614,2025-05-24 00:57:54.272000+00:00,60819.04021148151
,2025 KG40,000000IPfNS2,23.576,,Lg,151.0494395,2.3184422,2025-05-24 00:58:39.483000+00:00,60819.04073475674
,2025 KG40,000000IPfNS2,23.618,,Lg,151.0495898,2.3183371,2025-05-24 00:59:24.965000+00:00,60819.04126116913
,2025 KG40,000000IPfNS2,23.713,,Lg,151.049729,2.3182078,2025-05-24 01:00:10.343000+00:00,60819.04178637732
,2025 KG40,000000IPfNS2,23.544,,Lg,151.0498399,2.3180698,2025-05-24 01:00:55.666000+00:00,60819.04231094895
,2025 KG40,000000IPfNS2,23.695,,Lg,151.0500836,2.3178626,2025-05-24 01:02:01.624000+00:00,60819.043074351735
