permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
,2025 KH40,000000IPfNY1,23.749,,Lg,149.2691894,2.9164216,2025-05-24 00:39:02.266000+00:00,60819.02710956009
,2025 KH40,000000IPfNY1,23.566,,Lg,149.2693301,2.9164281,2025-05-24 00:39:47.645000+00:00,60819.02763477992
,2025 KH40,000000IPfNY1,23.68,,Lg,149.269397,2.9163706,2025-05-24 00:40:32.849000+00:00,60819.02815797459
,2025 KH40,000000IPfNY1,23.929,,Lg,149.2695008,2.916334,2025-05-24 00:41:18.062000+00:00,60819.02868127311
,2025 KH40,000000IPfNY1,23.609,,Lg,149.2695963,2.9163609,2025-05-24 00:42:03.159000+00:00,60819.02920322912
,2025 KH40,000000IPfNY1,23.877,,Lg,149.2698315,2.9162867,2025-05-24 00:43:33.849000+00:00,60819.030252881814
,2025 KH40,000000IPfNY1,23.724,,Lg,149.269899,2.9162813,2025-05-24 00:44:19.151000+00:00,60819.030777210835
,2025 KH40,000000IPfNY1,23.827,,Lg,149.2700258,2.9162613,2025-05-24 00:45:04.239000+00:00,60819.03129906254
,2025 KH40,000000IPfNY1,23.732,,Lg,149.2701225,2.9162467,2025-05-24 00:45:49.587000+00:00,60819.03182392381
,2025 KH40,000000IPfNY1,23.683,,Lg,149.270209,2.916222,2025-05-24 00:46:34.969000+00:00,60819.0323491781
,2025 KH40,000000IPfNY1,23.749,,Lg,149.2703053,2.9162377,2025-05-24 00:47:20.071000+00:00,60819.03287119232
,2025 KH40,000000IPfNY1,23.809,,Lg,149.2704166,2.9161982,2025-05-24 00:48:05.263000+00:00,60819.03339424776
,2025 KH40,000000IPfNY1,23.705,,Lg,149.2704943,2.9161806,2025-05-24 00:48:50.262000+00:00,60819.03391506942
,2025 KH40,000000IPfNY1,23.551,,Lg,149.2706129,2.9161683,2025-05-24 00:49:35.470000+00:00,60819.03443831019
,2025 KH40,000000IPfNY1,23.596,,Lg,149.270735,2.9161787,2025-05-24 00:50:20.770000+00:00,60819.03496261593
,2025 KH40,000000IPfNY1,23.539,,Lg,149.2707834,2.9161472,2025-05-24 00:51:06.063000+00:00,60819.03548684018
,2025 KH40,000000IPfNY1,23.74,,Lg,149.270898,2.9161389,2025-05-24 00:51:51.748000+00:00,60819.03601560183
,2025 KH40,000000IPfNY1,23.608,,Lg,149.2710083,2.916103,2025-05-24 00:52:36.950000+00:00,60819.036538773216
,2025 KH40,000000IPfNY1,23.962,,Lg,149.2711202,2.9160858,2025-05-24 00:53:22.182000+00:00,60819.03706229152
