permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
,2025 KO40,000000IPfOS1,23.943,,Lg,149.4293479,1.207965,2025-05-24 00:39:02.266000+00:00,60819.02710956009
,2025 KO40,000000IPfOS1,23.762,,Lg,149.4294459,1.2079349,2025-05-24 00:39:47.645000+00:00,60819.02763477992
,2025 KO40,000000IPfOS1,23.9,,Lg,149.4295937,1.2078541,2025-05-24 00:40:32.849000+00:00,60819.02815797459
,2025 KO40,000000IPfOS1,23.687,,Lg,149.429795,1.2078076,2025-05-24 00:42:03.159000+00:00,60819.02920322912
,2025 KO40,000000IPfOS1,23.865,,Lg,149.4298977,1.2077592,2025-05-24 00:42:48.544000+00:00,60819.02972851833
,2025 KO40,000000IPfOS1,23.619,,Lg,149.4300003,1.2077312,2025-05-24 00:43:33.849000+00:00,60819.030252881814
,2025 KO40,000000IPfOS1,23.87,,Lg,149.4301092,1.2077311,2025-05-24 00:44:19.151000+00:00,60819.030777210835
,2025 KO40,000000IPfOS1,23.841,,Lg,149.4301893,1.2076628,2025-05-24 00:45:04.239000+00:00,60819.03129906254
,2025 KO40,000000IPfOS1,23.596,,Lg,149.4303062,1.2076504,2025-05-24 00:45:49.587000+00:00,60819.03182392381
,2025 KO40,000000IPfOS1,23.886,,Lg,149.4304619,1.2076076,2025-05-24 00:46:34.969000+00:00,60819.0323491781
,2025 KO40,000000IPfOS1,23.992,,Lg,149.4305528,1.2076388,2025-05-24 00:47:20.071000+00:00,60819.03287119232
,2025 KO40,000000IPfOS1,23.893,,Lg,149.4306447,1.2075607,2025-05-24 00:48:05.263000+00:00,60819.03339424776
,2025 KO40,000000IPfOS1,24.011,,Lg,149.4307865,1.2075253,2025-05-24 00:48:50.262000+00:00,60819.03391506942
,2025 KO40,000000IPfOS1,23.748,,Lg,149.4308756,1.2074648,2025-05-24 00:49:35.470000+00:00,60819.03443831019
,2025 KO40,000000IPfOS1,23.745,,Lg,149.4311985,1.207421,2025-05-24 00:51:51.748000+00:00,60819.03601560183
,2025 KO40,000000IPfOS1,23.758,,Lg,149.4313203,1.2073776,2025-05-24 00:52:36.950000+00:00,60819.036538773216
,2025 KO40,000000IPfOS1,23.919,,Lg,149.431423,1.2073334,2025-05-24 00:53:22.182000+00:00,60819.03706229152
,2025 KO40,000000IPfOS1,23.754,,Lg,149.4315551,1.2073172,2025-05-24 00:54:07.406000+00:00,60819.037585717626
,2025 KO40,000000IPfOS1,23.71,,Lg,149.4316498,1.2072835,2025-05-24 00:54:52.798000+00:00,60819.038111087866
,2025 KO40,000000IPfOS1,23.594,,Lg,149.4317416,1.2072262,2025-05-24 00:55:38.098000+00:00,60819.038635393605
,2025 KO40,000000IPfOS1,23.905,,Lg,149.4318418,1.207222,2025-05-24 00:56:23.400000+00:00,60819.03915972216
,2025 KO40,000000IPfOS1,23.716,,Lg,149.431918,1.2071705,2025-05-24 00:57:08.616000+00:00,60819.0396830556
,2025 KO40,000000IPfOS1,23.865,,Lg,149.4321251,1.2071358,2025-05-24 00:58:39.483000+00:00,60819.04073475674
,2025 KO40,000000IPfOS1,23.664,,Lg,149.4323906,1.2070697,2025-05-24 01:00:10.343000+00:00,60819.04178637732
,2025 KO40,000000IPfOS1,23.651,,Lg,149.432483,1.2070255,2025-05-24 01:00:55.666000+00:00,60819.04231094895
,2025 KO40,000000IPfOS1,23.766,,Lg,149.4326712,1.2069826,2025-05-24 01:02:01.624000+00:00,60819.043074351735
,2025 KO40,000000IPfOS1,23.045,,Lr,149.4333833,1.2067921,2025-05-24 01:06:51.951000+00:00,60819.04643461807
,2025 KO40,000000IPfOS1,23.294,,Lr,149.4334522,1.2067595,2025-05-24 01:07:37.062000+00:00,60819.04695673613
,2025 KO40,000000IPfOS1,23.095,,Lr,149.4335683,1.2067169,2025-05-24 01:08:22.324000+00:00,60819.04748060182
,2025 KO40,000000IPfOS1,23.284,,Lr,149.433684,1.2066782,2025-05-24 01:09:07.628000+00:00,60819.048004953656
,2025 KO40,000000IPfOS1,23.287,,Lr,149.433788,1.2066632,2025-05-24 01:09:52.932000+00:00,60819.048529305495
,2025 KO40,000000IPfOS1,23.081,,Lr,149.4338842,1.2066237,2025-05-24 01:10:38.393000+00:00,60819.049055474345
,2025 KO40,000000IPfOS1,23.302,,Lr,149.434009,1.2066074,2025-05-24 01:11:23.583000+00:00,60819.049578506965
,2025 KO40,000000IPfOS1,23.296,,Lr,149.4341225,1.2065586,2025-05-24 01:12:09.154000+00:00,60819.05010594893
,2025 KO40,000000IPfOS1,23.439,,Lr,149.4342029,1.2065364,2025-05-24 01:12:54.554000+00:00,60819.05063141184
,2025 KO40,000000IPfOS1,23.31,,Lr,149.4343104,1.2064642,2025-05-24 01:13:39.837000+00:00,60819.0511555206
,2025 KO40,000000IPfOS1,23.422,,Lr,149.4344201,1.2064696,2025-05-24 01:14:25.126000+00:00,60819.051679699216
,2025 KO40,000000IPfOS1,23.265,,Lr,149.4345481,1.2064309,2025-05-24 01:15:10.426000+00:00,60819.05220400449
,2025 KO40,000000IPfOS1,23.182,,Lr,149.4346436,1.2064007,2025-05-24 01:15:55.757000+00:00,60819.05272866879
,2025 KO40,000000IPfOS1,23.342,,Lr,149.4347665,1.2064014,2025-05-24 01:16:41.037000+00:00,60819.05325274309
,2025 KO40,000000IPfOS1,23.299,,Lr,149.4348623,1.2063163,2025-05-24 01:17:26.428000+00:00,60819.05377810169
,2025 KO40,000000IPfOS1,23.265,,Lr,149.4350974,1.2062351,2025-05-24 01:18:56.955000+00:00,60819.05482586799
,2025 KO40,000000IPfOS1,23.338,,Lr,149.4353867,1.2062091,2025-05-24 01:20:27.237000+00:00,60819.05587079842
,2025 KO40,000000IPfOS1,23.289,,Lr,149.4354109,1.2061692,2025-05-24 01:21:12.636000+00:00,60819.05639625015
,2025 KO40,000000IPfOS1,23.231,,Lr,149.4355417,1.2061087,2025-05-24 01:21:57.639000+00:00,60819.05691711791
,2025 KO40,000000IPfOS1,23.088,,Li,149.4361476,1.2059549,2025-05-24 01:26:15.976000+00:00,60819.0599071295
,2025 KO40,000000IPfOS1,23.064,,Li,149.4364005,1.2059171,2025-05-24 01:27:46.641000+00:00,60819.06095649302
,2025 KO40,000000IPfOS1,23.129,,Li,149.4364507,1.2058609,2025-05-24 01:28:31.923000+00:00,60819.06148059014
,2025 KO40,000000IPfOS1,23.107,,Li,149.4365686,1.2058419,2025-05-24 01:29:17.234000+00:00,60819.062005023006
,2025 KO40,000000IPfOS1,23.073,,Li,149.4367054,1.2058121,2025-05-24 01:30:02.811000+00:00,60819.06253253482
,2025 KO40,000000IPfOS1,23.314,,Li,149.4368389,1.2057491,2025-05-24 01:30:48.409000+00:00,60819.06306028925
,2025 KO40,000000IPfOS1,22.959,,Li,149.4369174,1.2057529,2025-05-24 01:31:33.981000+00:00,60819.06358774286
,2025 KO40,000000IPfOS1,22.955,,Li,149.4371106,1.2056743,2025-05-24 01:33:04.925000+00:00,60819.06464033574
,2025 KO40,000000IPfOS1,22.962,,Li,149.4372528,1.2056506,2025-05-24 01:33:50.420000+00:00,60819.06516689807
,2025 KO40,000000IPfOS1,23.082,,Li,149.437338,1.205613,2025-05-24 01:34:35.717000+00:00,60819.065691168886
,2025 KO40,000000IPfOS1,23.079,,Li,149.4374532,1.2056036,2025-05-24 01:35:21.112000+00:00,60819.06621657405
,2025 KO40,000000IPfOS1,23.281,,Li,149.4377858,1.2054795,2025-05-24 01:37:36.549000+00:00,60819.06778413197
,2025 KO40,000000IPfOS1,23.173,,Li,149.4379294,1.2054702,2025-05-24 01:38:21.962000+00:00,60819.068309745286
,2025 KO40,000000IPfOS2,23.137,,Li,149.6325654,1.1495871,2025-05-24 23:31:42.675000+00:00,60819.98035503458
,2025 KO40,000000IPfOS2,23.15,,Li,149.6327877,1.1495375,2025-05-24 23:33:13.082000+00:00,60819.98140141182
,2025 KO40,000000IPfOS2,23.042,,Li,149.6329038,1.1495034,2025-05-24 23:33:58.307000+00:00,60819.98192484956
,2025 KO40,000000IPfOS2,23.351,,Li,149.6330883,1.1494226,2025-05-24 23:35:28.921000+00:00,60819.982973622624
,2025 KO40,000000IPfOS2,23.228,,Li,149.6343064,1.1491003,2025-05-24 23:43:42.395000+00:00,60819.98868512735
,2025 KO40,000000IPfOS2,23.387,,Li,149.6344342,1.1490324,2025-05-24 23:44:27.891000+00:00,60819.98921170132
,2025 KO40,000000IPfOS2,23.087,,Li,149.6345584,1.1490328,2025-05-24 23:45:12.995000+00:00,60819.98973373836
,2025 KO40,000000IPfOS2,23.06,,Li,149.6346307,1.1489706,2025-05-24 23:45:58.219000+00:00,60819.99025716446
,2025 KO40,000000IPfOS2,23.399,,Li,149.6347574,1.1489508,2025-05-24 23:46:43.396000+00:00,60819.99078004621
,2025 KO40,000000IPfOS2,23.101,,Li,149.6349949,1.1488872,2025-05-24 23:48:13.863000+00:00,60819.99182711821
,2025 KO40,000000IPfOS2,23.2,,Li,149.6351751,1.1488375,2025-05-24 23:49:43.966000+00:00,60819.99286997691
,2025 KO40,000000IPfOS2,23.255,,Li,149.6353347,1.1487949,2025-05-24 23:50:29.209000+00:00,60819.993393622804
,2025 KO40,000000IPfOS2,23.264,,Li,149.6355288,1.1487127,2025-05-24 23:51:59.054000+00:00,60819.994433495216
,2025 KO40,000000IPfOS2,22.968,,Li,149.6356569,1.1487036,2025-05-24 23:52:44.145000+00:00,60819.994955381844
,2025 KO40,000000IPfOS2,23.169,,Li,149.6357268,1.1486506,2025-05-24 23:53:29.260000+00:00,60819.99547754647
,2025 KO40,000000IPfOS2,22.916,,Li,149.6358478,1.1486153,2025-05-24 23:54:14.383000+00:00,60819.9959998033
,2025 KO40,000000IPfOS2,23.155,,Li,149.6359432,1.1486008,2025-05-24 23:54:59.207000+00:00,60819.996518599335
,2025 KO40,000000IPfOS2,23.144,,Li,149.6360716,1.1485469,2025-05-24 23:55:44.399000+00:00,60819.99704165524
,2025 KO40,000000IPfOS2,22.963,,Li,149.6361803,1.1485429,2025-05-24 23:56:29.207000+00:00,60819.997560266405
,2025 KO40,000000IPfOS2,22.895,,Lz,149.6402964,1.1472894,2025-05-25 00:24:53.881000+00:00,60820.017290289514
,2025 KO40,000000IPfOS2,22.847,,Lz,149.6406619,1.1472543,2025-05-25 00:27:09.863000+00:00,60820.01886415528
,2025 KO40,000000IPfOS2,22.948,,Lz,149.6407703,1.1472316,2025-05-25 00:27:55.271000+00:00,60820.019389710855
,2025 KO40,000000IPfOS2,23.065,,Lr,149.6414977,1.1469808,2025-05-25 00:32:55.133000+00:00,60820.02286033565
,2025 KO40,000000IPfOS2,23.321,,Lr,149.6416998,1.1469151,2025-05-25 00:34:25.336000+00:00,60820.02390435198
,2025 KO40,000000IPfOS2,23.077,,Lr,149.641799,1.1468947,2025-05-25 00:35:10.534000+00:00,60820.024427476805
,2025 KO40,000000IPfOS2,23.23,,Lr,149.6419449,1.1468681,2025-05-25 00:35:55.457000+00:00,60820.02494741883
,2025 KO40,000000IPfOS2,23.007,,Lr,149.6423323,1.1467128,2025-05-25 00:38:11.115000+00:00,60820.02651753463
,2025 KO40,000000IPfOS2,23.201,,Lr,149.6424444,1.1466733,2025-05-25 00:39:41.508000+00:00,60820.02756374981
,2025 KO40,000000IPfOS2,23.201,,Lr,149.6425873,1.146645,2025-05-25 00:40:26.566000+00:00,60820.0280852546
,2025 KO40,000000IPfOS2,23.317,,Lr,149.6427031,1.1465978,2025-05-25 00:41:11.942000+00:00,60820.02861043997
,2025 KO40,000000IPfOS2,23.157,,Lr,149.6428344,1.1465849,2025-05-25 00:41:57.406000+00:00,60820.029136643745
