permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
,2024 QS23,000000IPiPp1,22.224,,Lr,151.2210323,3.1192234,2026-02-17 05:04:38.017000+00:00,61088.21155112283
,2024 QS23,000000IPiPp1,21.988,,Lz,151.2204306,3.1196298,2026-02-17 05:08:35.589000+00:00,61088.21430079872
,2024 QS23,000000IPiPp1,22.103,,Lz,151.2201936,3.1197973,2026-02-17 05:10:16.373000+00:00,61088.21546728024
,2024 QS23,000000IPiPp1,22.02,,Lz,151.220125,3.1198599,2026-02-17 05:10:50.763000+00:00,61088.21586531261
,2024 QS23,000000IPiPp1,22.074,,Lz,151.2197557,3.1200727,2026-02-17 05:13:06.058000+00:00,61088.217431226745
,2024 QS23,000000IPiPp2,22.115,,Li,150.8016343,3.4093615,2026-02-19 04:22:07.864000+00:00,61090.18203546293
,2024 QS23,000000IPiPp2,22.231,,Li,150.8012336,3.4096304,2026-02-19 04:24:48.936000+00:00,61090.18389972206
,2024 QS23,000000IPiPp2,22.197,,Li,150.8011123,3.4097219,2026-02-19 04:25:29.139000+00:00,61090.18436503457
,2024 QS23,000000IPiPp2,22.101,,Li,150.8009011,3.409866,2026-02-19 04:26:49.860000+00:00,61090.18529930571
,2024 QS23,000000IPiPp2,22.097,,Li,150.8008048,3.4099284,2026-02-19 04:27:30.290000+00:00,61090.18576724548
,2024 QS23,000000IPiPp2,22.2,,Li,150.8007066,3.4099896,2026-02-19 04:28:10.547000+00:00,61090.1862331829
,2024 QS23,000000IPiPp2,22.949,,Lg,150.8000641,3.4104221,2026-02-19 04:32:24.797000+00:00,61090.189175891224
,2024 QS23,000000IPiPp2,22.951,,Lg,150.7999359,3.4104751,2026-02-19 04:33:04.726000+00:00,61090.18963803258
,2024 QS23,000000IPiPp2,22.894,,Lg,150.7997657,3.4106261,2026-02-19 04:34:24.791000+00:00,61090.19056471065
,2024 QS23,000000IPiPp2,22.947,,Lg,150.7995498,3.4107792,2026-02-19 04:35:45.250000+00:00,61090.19149594894
,2024 QS23,000000IPiPp2,23.014,,Lg,150.7994201,3.4108289,2026-02-19 04:36:25.229000+00:00,61090.19195866911
,2024 QS23,000000IPiPp2,22.96,,Lg,150.7991241,3.411043,2026-02-19 04:38:26.227000+00:00,61090.19335910864
,2024 QS23,000000IPiPp2,22.969,,Lg,150.7988122,3.4112729,2026-02-19 04:40:27.052000+00:00,61090.1947575463
,2024 QS23,000000IPiPp2,22.253,,Lz,150.7984119,3.4114812,2026-02-19 04:43:05.523000+00:00,61090.19659170136
,2024 QS23,000000IPiPp2,22.365,,Lz,150.7982514,3.4116569,2026-02-19 04:44:05.873000+00:00,61090.19729019655
,2024 QS23,000000IPiPp2,22.053,,Lz,150.7981631,3.4117017,2026-02-19 04:44:46.352000+00:00,61090.19775870349
,2024 QS23,000000IPiPp2,22.074,,Lz,150.7979696,3.4118867,2026-02-19 04:46:06.716000+00:00,61090.19868884282
