permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
,2026 DG52,000000IPiO01,21.777,,Li,149.7019629,2.0338791,2026-02-19 04:26:49.860000+00:00,61090.18529930571
,2026 DG52,000000IPiO01,21.794,,Li,149.7018351,2.033863,2026-02-19 04:27:30.290000+00:00,61090.18576724548
,2026 DG52,000000IPiO01,21.79,,Li,149.7016949,2.0338456,2026-02-19 04:28:10.547000+00:00,61090.1862331829
,2026 DG52,000000IPiO01,22.511,,Lg,149.7010236,2.0337945,2026-02-19 04:31:44.403000+00:00,61090.18870836822
,2026 DG52,000000IPiO01,22.529,,Lg,149.7009086,2.0337892,2026-02-19 04:32:24.797000+00:00,61090.189175891224
,2026 DG52,000000IPiO01,22.632,,Lg,149.7006606,2.0337873,2026-02-19 04:33:44.655000+00:00,61090.190100173466
,2026 DG52,000000IPiO01,22.561,,Lg,149.6998622,2.0337123,2026-02-19 04:37:45.897000+00:00,61090.19289232651
,2026 DG52,000000IPiO01,22.574,,Lg,149.6997366,2.0337092,2026-02-19 04:38:26.227000+00:00,61090.19335910864
,2026 DG52,000000IPiO01,22.561,,Lg,149.6996135,2.0337015,2026-02-19 04:39:06.122000+00:00,61090.19382085651
,2026 DG52,000000IPiO01,22.606,,Lg,149.6993518,2.033671,2026-02-19 04:40:27.052000+00:00,61090.1947575463
,2026 DG52,000000IPiO01,22.056,,Lz,149.6988752,2.033621,2026-02-19 04:43:05.523000+00:00,61090.19659170136
,2026 DG52,000000IPiO01,21.869,,Lz,149.6984998,2.0336106,2026-02-19 04:44:46.352000+00:00,61090.19775870349
,2026 DG52,000000IPiO01,21.848,,Lz,149.6983418,2.0335799,2026-02-19 04:45:26.546000+00:00,61090.19822391216
,2026 DG52,000000IPiO01,22.203,,Lz,149.6969823,2.0334952,2026-02-19 04:52:48.968000+00:00,61090.203344536945
,2026 DG52,000000IPiO01,22.299,,Lr,149.6961909,2.0334405,2026-02-19 04:56:58.137000+00:00,61090.20622843737
,2026 DG52,000000IPiO01,22.231,,Lr,149.696068,2.033412,2026-02-19 04:57:38.177000+00:00,61090.20669186348
,2026 DG52,000000IPiO01,22.285,,Lr,149.695425,2.0333703,2026-02-19 05:00:58.918000+00:00,61090.20901525486
,2026 DG52,000000IPiO01,22.224,,Lr,149.6953086,2.0333437,2026-02-19 05:01:39.326000+00:00,61090.209482939914
,2026 DG52,000000IPiO01,22.275,,Lr,149.6950421,2.033331,2026-02-19 05:03:00.019000+00:00,61090.21041688649
,2026 DG52,000000IPiO01,22.198,,Li,149.6940038,2.0332471,2026-02-19 05:08:32.093000+00:00,61090.214260335546
,2026 DG52,000000IPiO01,22.293,,Li,149.6937392,2.0332454,2026-02-19 05:09:52.364000+00:00,61090.21518939827
