permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
,2026 DN53,000000IPiOk1,22.694,,Li,149.3367077,2.2181539,2026-02-19 04:20:47.241000+00:00,61090.181102326605
,2026 DN53,000000IPiOk1,22.764,,Li,149.3366077,2.2181777,2026-02-19 04:21:27.526000+00:00,61090.18156858813
,2026 DN53,000000IPiOk1,22.78,,Li,149.3364388,2.2182894,2026-02-19 04:22:48.017000+00:00,61090.18250019662
,2026 DN53,000000IPiOk1,22.835,,Li,149.3362751,2.2184267,2026-02-19 04:24:08.380000+00:00,61090.18343032431
,2026 DN53,000000IPiOk1,22.719,,Li,149.3360374,2.2184749,2026-02-19 04:25:29.139000+00:00,61090.18436503457
,2026 DN53,000000IPiOk1,22.88,,Li,149.3359087,2.218601,2026-02-19 04:26:49.860000+00:00,61090.18529930571
,2026 DN53,000000IPiOk1,22.834,,Li,149.3357656,2.218744,2026-02-19 04:28:10.547000+00:00,61090.1862331829
,2026 DN53,000000IPiOk1,23.432,,Lg,149.3352871,2.2190447,2026-02-19 04:31:44.403000+00:00,61090.18870836822
,2026 DN53,000000IPiOk1,23.468,,Lg,149.335124,2.2191692,2026-02-19 04:33:04.726000+00:00,61090.18963803258
,2026 DN53,000000IPiOk1,23.379,,Lg,149.3350095,2.2192295,2026-02-19 04:33:44.655000+00:00,61090.190100173466
,2026 DN53,000000IPiOk1,23.247,,Lg,149.3348376,2.2192865,2026-02-19 04:35:05.014000+00:00,61090.19103025459
,2026 DN53,000000IPiOk1,22.795,,Lz,149.333367,2.2203204,2026-02-19 04:47:27.171000+00:00,61090.199620034546
,2026 DN53,000000IPiOk1,22.425,,Lz,149.3326955,2.2207927,2026-02-19 04:52:48.968000+00:00,61090.203344536945
,2026 DN53,000000IPiOk1,23.043,,Lr,149.3321938,2.2211981,2026-02-19 04:56:58.137000+00:00,61090.20622843737
,2026 DN53,000000IPiOk1,22.933,,Lr,149.3321038,2.221136,2026-02-19 04:57:38.177000+00:00,61090.20669186348
,2026 DN53,000000IPiOk1,22.965,,Lr,149.3319008,2.2213405,2026-02-19 04:58:58.583000+00:00,61090.207622488495
,2026 DN53,000000IPiOk1,22.815,,Lr,149.3318264,2.2213632,2026-02-19 04:59:38.828000+00:00,61090.20808828715
,2026 DN53,000000IPiOk1,23.04,,Lr,149.3315776,2.221504,2026-02-19 05:01:39.326000+00:00,61090.209482939914
,2026 DN53,000000IPiOk1,23.007,,Lr,149.3314138,2.2216033,2026-02-19 05:03:00.019000+00:00,61090.21041688649
,2026 DN53,000000IPiOk1,22.957,,Lr,149.3312399,2.221725,2026-02-19 05:04:20.278000+00:00,61090.21134580998
,2026 DN53,000000IPiOk1,22.626,,Li,149.3308247,2.2219902,2026-02-19 05:07:43.469000+00:00,61090.2136975578
,2026 DN53,000000IPiOk1,22.88,,Li,149.3304393,2.2222471,2026-02-19 05:10:32.625000+00:00,61090.21565538179
,2026 DN53,000000IPiOk1,22.647,,Li,149.3303867,2.222299,2026-02-19 05:11:12.786000+00:00,61090.21612020815
,2026 DN53,000000IPiOk1,22.845,,Li,149.3302802,2.2223529,2026-02-19 05:11:53.093000+00:00,61090.21658672439
,2026 DN53,000000IPiOk1,22.829,,Li,149.3301999,2.222408,2026-02-19 05:12:33.326000+00:00,61090.21705238428
,2026 DN53,000000IPiOk1,22.712,,Li,149.3301355,2.2224639,2026-02-19 05:13:13.238000+00:00,61090.21751432866
,2026 DN53,000000IPiOk1,23.104,,Li,149.3298556,2.2226265,2026-02-19 05:15:14.186000+00:00,61090.21891418984
,2026 DN53,000000IPiOk1,22.83,,Li,149.3297097,2.2227347,2026-02-19 05:16:34.736000+00:00,61090.21984648146
,2026 DN53,000000IPiOk1,22.87,,Li,149.3295665,2.2227835,2026-02-19 05:17:15.176000+00:00,61090.220314537175
,2026 DN53,000000IPiOk1,23.289,,Lg,149.3291963,2.2230713,2026-02-19 05:20:35.246000+00:00,61090.22263016226
,2026 DN53,000000IPiOk1,23.477,,Lg,149.3290112,2.2231313,2026-02-19 05:21:55.910000+00:00,61090.22356377309
,2026 DN53,000000IPiOk1,23.708,,Lg,149.3288649,2.2232811,2026-02-19 05:23:16.817000+00:00,61090.224500196986
,2026 DN53,000000IPiOk1,23.429,,Lg,149.3286972,2.2233825,2026-02-19 05:24:37.485000+00:00,61090.225433854386
,2026 DN53,000000IPiOk1,23.583,,Lg,149.328442,2.2235463,2026-02-19 05:26:38.112000+00:00,61090.22683000006
,2026 DN53,000000IPiOk1,23.601,,Lg,149.3282637,2.2236814,2026-02-19 05:27:58.637000+00:00,61090.2277620025
,2026 DN53,000000IPiOk1,23.542,,Lg,149.3281265,2.2237492,2026-02-19 05:29:19.223000+00:00,61090.22869471088
,2026 DN53,000000IPiOk1,22.705,,Lz,149.3277003,2.2240686,2026-02-19 05:32:37.606000+00:00,61090.23099081032
,2026 DN53,000000IPiOk1,22.265,,Lz,149.3273206,2.2242772,2026-02-19 05:35:18.735000+00:00,61090.23285572929
,2026 DN53,000000IPiOk1,23.166,,Lr,149.3263025,2.2249852,2026-02-19 05:44:01.312000+00:00,61090.2389040743
,2026 DN53,000000IPiOk1,22.944,,Lr,149.3261957,2.2250747,2026-02-19 05:44:45.221000+00:00,61090.239412280265
,2026 DN53,000000IPiOk1,23.106,,Lr,149.3260262,2.2251667,2026-02-19 05:46:05.912000+00:00,61090.24034620356
,2026 DN53,000000IPiOk1,22.88,,Lr,149.3255834,2.2254099,2026-02-19 05:49:27.424000+00:00,61090.24267851841
,2026 DN53,000000IPiOk1,22.966,,Lr,149.3254246,2.2255378,2026-02-19 05:50:48.141000+00:00,61090.24361274298
,2026 DN53,000000IPiOk1,23.04,,Lr,149.3253556,2.2256097,2026-02-19 05:51:28.309000+00:00,61090.244077650364
,2026 DN53,000000IPiOk1,23.05,,Lr,149.3252811,2.2256606,2026-02-19 05:52:08.529000+00:00,61090.244543159846
,2026 DN53,000000IPiOk1,22.993,,Lr,149.3251944,2.2256992,2026-02-19 05:52:48.729000+00:00,61090.24500843743
,2026 DN53,000000IPiOk2,22.909,,Li,149.1651501,2.3348238,2026-02-20 03:54:13.158000+00:00,61091.16265229182
,2026 DN53,000000IPiOk2,22.884,,Li,149.1650479,2.3348843,2026-02-20 03:54:53.611000+00:00,61091.163120497484
,2026 DN53,000000IPiOk2,22.669,,Li,149.1649658,2.3349601,2026-02-20 03:55:33.842000+00:00,61091.16358613409
,2026 DN53,000000IPiOk2,22.808,,Li,149.1646349,2.3351809,2026-02-20 03:58:19.854000+00:00,61091.16550756944
,2026 DN53,000000IPiOk2,22.778,,Li,149.1640342,2.3355347,2026-02-20 04:03:01.275000+00:00,61091.16876475699
,2026 DN53,000000IPiOk2,23.532,,Lg,149.1636676,2.3357967,2026-02-20 04:05:51.604000+00:00,61091.170736157335
,2026 DN53,000000IPiOk2,23.504,,Lg,149.1635106,2.3359368,2026-02-20 04:07:12.208000+00:00,61091.17166907387
,2026 DN53,000000IPiOk2,23.455,,Lg,149.1634389,2.3359695,2026-02-20 04:07:52.288000+00:00,61091.17213296285
,2026 DN53,000000IPiOk2,23.693,,Lg,149.1632434,2.336096,2026-02-20 04:09:19.249000+00:00,61091.173139456194
,2026 DN53,000000IPiOk2,23.494,,Lg,149.1632026,2.336159,2026-02-20 04:09:59.136000+00:00,61091.17360111093
,2026 DN53,000000IPiOk2,23.544,,Lg,149.1628952,2.3363083,2026-02-20 04:12:00.057000+00:00,61091.175000659656
,2026 DN53,000000IPiOk2,23.477,,Lg,149.1628313,2.336378,2026-02-20 04:12:40.669000+00:00,61091.175470706075
,2026 DN53,000000IPiOk2,23.587,,Lg,149.1625779,2.3365312,2026-02-20 04:14:41.293000+00:00,61091.17686681729
,2026 DN53,000000IPiOk2,23.448,,Lg,149.1624916,2.3365622,2026-02-20 04:15:21.395000+00:00,61091.17733096052
,2026 DN53,000000IPiOk2,22.632,,Lz,149.1621053,2.3368831,2026-02-20 04:18:48.471000+00:00,61091.17972767353
,2026 DN53,000000IPiOk2,22.597,,Lz,149.1618868,2.3369438,2026-02-20 04:20:09.359000+00:00,61091.18066387717
,2026 DN53,000000IPiOk2,22.623,,Lz,149.1617808,2.3370663,2026-02-20 04:21:26.973000+00:00,61091.181562187616
,2026 DN53,000000IPiOk2,22.78,,Lz,149.161084,2.3375146,2026-02-20 04:26:50.019000+00:00,61091.185301146004
,2026 DN53,000000IPiOk2,23.072,,Lr,149.1603874,2.337989,2026-02-20 04:32:16.938000+00:00,61091.189084930345
