permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
,2026 DR59,000000IPiRB1,22.411,,Lz,150.8129227,3.2060859,2026-02-17 05:10:16.373000+00:00,61088.21546728024
,2026 DR59,000000IPiRB1,22.389,,Lz,150.8128983,3.2061093,2026-02-17 05:10:50.763000+00:00,61088.21586531261
,2026 DR59,000000IPiRB1,22.759,,Lz,150.8124881,3.2062601,2026-02-17 05:13:06.058000+00:00,61088.217431226745
,2026 DR59,000000IPiRB2,22.427,,Li,150.3860474,3.4077897,2026-02-19 04:24:48.936000+00:00,61090.18389972206
,2026 DR59,000000IPiRB2,22.691,,Li,150.3856,3.4080167,2026-02-19 04:27:30.290000+00:00,61090.18576724548
,2026 DR59,000000IPiRB2,23.273,,Lg,150.3850789,3.4082559,2026-02-19 04:30:50.424000+00:00,61090.18808361096
,2026 DR59,000000IPiRB2,23.331,,Lg,150.3847123,3.408452,2026-02-19 04:33:04.726000+00:00,61090.18963803258
,2026 DR59,000000IPiRB2,23.179,,Lg,150.3846014,3.4084419,2026-02-19 04:33:44.655000+00:00,61090.190100173466
,2026 DR59,000000IPiRB2,23.325,,Lg,150.3844949,3.4084746,2026-02-19 04:34:24.791000+00:00,61090.19056471065
,2026 DR59,000000IPiRB2,23.027,,Lg,150.3843748,3.4085634,2026-02-19 04:35:05.014000+00:00,61090.19103025459
,2026 DR59,000000IPiRB2,23.109,,Lg,150.3841783,3.4087101,2026-02-19 04:36:25.229000+00:00,61090.19195866911
,2026 DR59,000000IPiRB2,23.11,,Lg,150.3840767,3.4087471,2026-02-19 04:37:05.536000+00:00,61090.19242518535
,2026 DR59,000000IPiRB2,22.359,,Lz,150.3831498,3.40911,2026-02-19 04:43:05.523000+00:00,61090.19659170136
,2026 DR59,000000IPiRB2,22.7,,Lz,150.3829914,3.4092155,2026-02-19 04:44:05.873000+00:00,61090.19729019655
,2026 DR59,000000IPiRB2,22.479,,Lz,150.3829089,3.4092514,2026-02-19 04:44:46.352000+00:00,61090.19775870349
,2026 DR59,000000IPiRB2,22.837,,Lz,150.3827401,3.4092336,2026-02-19 04:45:26.546000+00:00,61090.19822391216
,2026 DR59,000000IPiRB2,22.4,,Lz,150.3825016,3.4093988,2026-02-19 04:47:27.171000+00:00,61090.199620034546
,2026 DR59,000000IPiRB2,22.171,,Lz,150.3823685,3.4095805,2026-02-19 04:48:07.630000+00:00,61090.200088310055
,2026 DR59,000000IPiRB2,22.488,,Lz,150.3820384,3.4097008,2026-02-19 04:50:08.193000+00:00,61090.201483715326
,2026 DR59,000000IPiRB2,22.756,,Lz,150.3816436,3.4098129,2026-02-19 04:52:48.968000+00:00,61090.203344536945
