permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
,2026 DZ51,000000IPiNV1,23.247,,Li,151.3341755,1.3914751,2026-02-24 02:20:29.574000+00:00,61095.097564513795
,2026 DZ51,000000IPiNV1,22.874,,Li,151.3338673,1.3915703,2026-02-24 02:23:10.865000+00:00,61095.09943130799
,2026 DZ51,000000IPiNV1,22.868,,Li,151.3335837,1.3916736,2026-02-24 02:25:12.130000+00:00,61095.100834838115
,2026 DZ51,000000IPiNV1,22.999,,Li,151.3334767,1.3917078,2026-02-24 02:25:53.066000+00:00,61095.10130863404
,2026 DZ51,000000IPiNV1,22.987,,Li,151.3328549,1.3918881,2026-02-24 02:30:03.668000+00:00,61095.104209120385
,2026 DZ51,000000IPiNV1,23.916,,Lg,151.3325964,1.3919899,2026-02-24 02:32:49.105000+00:00,61095.10612390051
,2026 DZ51,000000IPiNV1,23.94,,Lg,151.3323988,1.3920205,2026-02-24 02:33:29.574000+00:00,61095.1065922915
,2026 DZ51,000000IPiNV1,23.657,,Lg,151.3323011,1.3920341,2026-02-24 02:34:10.106000+00:00,61095.107061412185
,2026 DZ51,000000IPiNV1,23.816,,Lg,151.332205,1.3920407,2026-02-24 02:34:50.587000+00:00,61095.107529941946
,2026 DZ51,000000IPiNV1,23.87,,Lg,151.3319781,1.3921616,2026-02-24 02:36:51.800000+00:00,61095.10893287044
,2026 DZ51,000000IPiNV1,23.852,,Lg,151.3318968,1.3922388,2026-02-24 02:37:32.171000+00:00,61095.10940012708
,2026 DZ51,000000IPiNV1,24.124,,Lg,151.3317557,1.39221,2026-02-24 02:38:12.482000+00:00,61095.10986668989
,2026 DZ51,000000IPiNV1,24.0,,Lg,151.3315776,1.3922725,2026-02-24 02:39:33.456000+00:00,61095.11080388911
,2026 DZ51,000000IPiNV1,22.77,,Lz,151.330482,1.3926207,2026-02-24 02:47:38.097000+00:00,61095.11641315976
,2026 DZ51,000000IPiNV1,23.032,,Lz,151.330358,1.3926331,2026-02-24 02:48:18.625000+00:00,61095.11688223388
,2026 DZ51,000000IPiNV1,23.07,,Lz,151.3301687,1.3926631,2026-02-24 02:49:39.469000+00:00,61095.11781792808
,2026 DZ51,000000IPiNV1,23.06,,Lz,151.3300478,1.3927061,2026-02-24 02:50:19.860000+00:00,61095.118285416625
,2026 DZ51,000000IPiNV1,22.919,,Lz,151.3295489,1.3928873,2026-02-24 02:54:21.474000+00:00,61095.12108187517
,2026 DZ51,000000IPiNV1,23.11,,Lr,151.3291602,1.3929993,2026-02-24 02:57:03.885000+00:00,61095.122961631976
,2026 DZ51,000000IPiNV1,23.345,,Lr,151.3287843,1.3931086,2026-02-24 02:59:44.903000+00:00,61095.12482526619
,2026 DZ51,000000IPiNV1,23.154,,Lr,151.3286978,1.3931381,2026-02-24 03:00:25.429000+00:00,61095.125294317026
,2026 DZ51,000000IPiNV1,23.172,,Lr,151.3284904,1.3931826,2026-02-24 03:01:46.460000+00:00,61095.12623217609
,2026 DZ51,000000IPiNV1,23.118,,Lr,151.3283097,1.3932663,2026-02-24 03:03:07.304000+00:00,61095.12716787029
,2026 DZ51,000000IPiNV1,23.278,,Lr,151.3282047,1.3932645,2026-02-24 03:03:47.657000+00:00,61095.12763491878
,2026 DZ51,000000IPiNV1,23.3,,Lr,151.3278016,1.3934056,2026-02-24 03:06:43.579000+00:00,61095.12967105303
,2026 DZ51,000000IPiNV1,23.176,,Li,151.327245,1.3935531,2026-02-24 03:10:40.457000+00:00,61095.13241269672
,2026 DZ51,000000IPiNV1,23.072,,Li,151.3269787,1.3936648,2026-02-24 03:12:41.194000+00:00,61095.13381011551
,2026 DZ51,000000IPiNV1,23.182,,Li,151.3265738,1.3937281,2026-02-24 03:15:22.566000+00:00,61095.13567784708
,2026 DZ51,000000IPiNV1,23.093,,Li,151.3265084,1.3937956,2026-02-24 03:16:02.689000+00:00,61095.13614223385
,2026 DZ51,000000IPiNV1,23.76,,Lg,151.3257581,1.3940215,2026-02-24 03:21:34.277000+00:00,61095.13998005772
,2026 DZ51,000000IPiNV1,24.077,,Lg,151.3256503,1.3940413,2026-02-24 03:22:14.541000+00:00,61095.14044607617
,2026 DZ51,000000IPiNV1,23.883,,Lg,151.3255552,1.3940801,2026-02-24 03:22:54.747000+00:00,61095.1409114236
,2026 DZ51,000000IPiNV1,23.671,,Lg,151.3254756,1.3941117,2026-02-24 03:23:34.963000+00:00,61095.14137688652
,2026 DZ51,000000IPiNV1,23.974,,Lg,151.3252891,1.394156,2026-02-24 03:24:55.483000+00:00,61095.142308831215
,2026 DZ51,000000IPiNV1,23.837,,Lg,151.3251976,1.3941754,2026-02-24 03:25:35.702000+00:00,61095.14277432859
,2026 DZ51,000000IPiNV1,23.98,,Lg,151.3250978,1.3941942,2026-02-24 03:26:16.128000+00:00,61095.14324222226
,2026 DZ51,000000IPiNV1,23.751,,Lg,151.3249955,1.3942407,2026-02-24 03:26:56.603000+00:00,61095.1437106831
,2026 DZ51,000000IPiNV1,22.896,,Lz,151.3239989,1.3945233,2026-02-24 03:34:23.464000+00:00,61095.14888268523
,2026 DZ51,000000IPiNV1,23.438,,Lz,151.3238663,1.3945716,2026-02-24 03:35:03.684000+00:00,61095.149348194245
,2026 DZ51,000000IPiNV1,23.025,,Lz,151.3232966,1.3947317,2026-02-24 03:39:05.136000+00:00,61095.15214277757
,2026 DZ51,000000IPiNV1,23.387,,Lz,151.3226852,1.39492,2026-02-24 03:43:22.525000+00:00,61095.15512181725
,2026 DZ51,000000IPiNV1,23.242,,Lr,151.3210053,1.3954303,2026-02-24 03:55:42.192000+00:00,61095.1636827779
,2026 DZ51,000000IPiNV2,23.132,,Li,151.1350076,1.4528912,2026-02-25 02:58:49.363000+00:00,61096.1241824422
,2026 DZ51,000000IPiNV2,23.146,,Li,151.1349312,1.4529059,2026-02-25 02:59:29.398000+00:00,61096.12464581011
,2026 DZ51,000000IPiNV2,23.17,,Li,151.1348425,1.4529631,2026-02-25 03:00:09.858000+00:00,61096.12511409726
,2026 DZ51,000000IPiNV2,23.233,,Li,151.1346301,1.4530398,2026-02-25 03:01:30.415000+00:00,61096.1260464699
,2026 DZ51,000000IPiNV2,23.127,,Li,151.1344556,1.453086,2026-02-25 03:02:51.369000+00:00,61096.12698343769
,2026 DZ51,000000IPiNV2,23.245,,Li,151.1341753,1.4531781,2026-02-25 03:04:52.132000+00:00,61096.128381157294
