permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
,2016 EC26,000000ISf1u1,24.115,,Lg,148.8281294,2.2038132,2025-05-24 00:42:03.159000+00:00,60819.02920322912
,2016 EC26,000000ISf1u1,24.127,,Lg,148.8282638,2.2037664,2025-05-24 00:42:48.544000+00:00,60819.02972851833
,2016 EC26,000000ISf1u1,24.288,,Lg,148.8283901,2.2037685,2025-05-24 00:43:33.849000+00:00,60819.030252881814
,2016 EC26,000000ISf1u1,24.348,,Lg,148.8285345,2.2037168,2025-05-24 00:44:19.151000+00:00,60819.030777210835
,2016 EC26,000000ISf1u1,24.098,,Lg,148.8286498,2.2036531,2025-05-24 00:45:04.239000+00:00,60819.03129906254
,2016 EC26,000000ISf1u1,23.952,,Lg,148.8287985,2.2036183,2025-05-24 00:45:49.587000+00:00,60819.03182392381
,2016 EC26,000000ISf1u1,24.295,,Lg,148.8290401,2.2035258,2025-05-24 00:47:20.071000+00:00,60819.03287119232
,2016 EC26,000000ISf1u1,24.222,,Lg,148.8292622,2.2034863,2025-05-24 00:48:50.262000+00:00,60819.03391506942
,2016 EC26,000000ISf1u1,24.257,,Lg,148.829417,2.2034099,2025-05-24 00:49:35.470000+00:00,60819.03443831019
,2016 EC26,000000ISf1u1,23.996,,Lg,148.8295524,2.2034057,2025-05-24 00:50:20.770000+00:00,60819.03496261593
,2016 EC26,000000ISf1u1,24.041,,Lg,148.8296828,2.203426,2025-05-24 00:51:06.063000+00:00,60819.03548684018
,2016 EC26,000000ISf1u1,24.053,,Lg,148.8297572,2.2033858,2025-05-24 00:51:51.748000+00:00,60819.03601560183
,2016 EC26,000000ISf1u1,24.227,,Lg,148.8300319,2.2032582,2025-05-24 00:53:22.182000+00:00,60819.03706229152
,2016 EC26,000000ISf1u1,24.015,,Lg,148.8302516,2.2032681,2025-05-24 00:54:07.406000+00:00,60819.037585717626
,2016 EC26,000000ISf1u1,24.022,,Lg,148.830428,2.203222,2025-05-24 00:55:38.098000+00:00,60819.038635393605
,2016 EC26,000000ISf1u1,23.972,,Lg,148.830627,2.2031844,2025-05-24 00:56:23.400000+00:00,60819.03915972216
,2016 EC26,000000ISf1u1,24.343,,Lg,148.8307269,2.2031649,2025-05-24 00:57:08.616000+00:00,60819.0396830556
,2016 EC26,000000ISf1u1,24.11,,Lg,148.8308685,2.2031204,2025-05-24 00:57:54.272000+00:00,60819.04021148151
,2016 EC26,000000ISf1u1,24.118,,Lg,148.8309942,2.2030505,2025-05-24 00:58:39.483000+00:00,60819.04073475674
,2016 EC26,000000ISf1u1,24.103,,Lg,148.8311171,2.2030328,2025-05-24 00:59:24.965000+00:00,60819.04126116913
,2016 EC26,000000ISf1u1,23.983,,Lg,148.8313359,2.2029694,2025-05-24 01:00:55.666000+00:00,60819.04231094895
,2016 EC26,000000ISf1u1,23.389,,Lr,148.8323826,2.2027353,2025-05-24 01:06:51.951000+00:00,60819.04643461807
,2016 EC26,000000ISf1u1,23.532,,Lr,148.8325166,2.2026662,2025-05-24 01:07:37.062000+00:00,60819.04695673613
,2016 EC26,000000ISf1u1,23.535,,Lr,148.8326667,2.2026694,2025-05-24 01:08:22.324000+00:00,60819.04748060182
,2016 EC26,000000ISf1u1,23.495,,Lr,148.8327819,2.2026233,2025-05-24 01:09:07.628000+00:00,60819.048004953656
,2016 EC26,000000ISf1u1,23.455,,Lr,148.8330312,2.2025656,2025-05-24 01:10:38.393000+00:00,60819.049055474345
,2016 EC26,000000ISf1u1,23.498,,Lr,148.8332007,2.2025657,2025-05-24 01:11:23.583000+00:00,60819.049578506965
,2016 EC26,000000ISf1u1,23.297,,Lr,148.8332942,2.2025139,2025-05-24 01:12:09.154000+00:00,60819.05010594893
,2016 EC26,000000ISf1u1,23.305,,Lr,148.8334352,2.2024533,2025-05-24 01:12:54.554000+00:00,60819.05063141184
,2016 EC26,000000ISf1u1,23.678,,Lr,148.8335655,2.2024101,2025-05-24 01:13:39.837000+00:00,60819.0511555206
,2016 EC26,000000ISf1u1,23.507,,Lr,148.8336947,2.2023721,2025-05-24 01:14:25.126000+00:00,60819.051679699216
,2016 EC26,000000ISf1u1,23.244,,Lr,148.8338561,2.2023797,2025-05-24 01:15:10.426000+00:00,60819.05220400449
,2016 EC26,000000ISf1u1,23.402,,Lr,148.8340911,2.2023113,2025-05-24 01:16:41.037000+00:00,60819.05325274309
,2016 EC26,000000ISf1u1,23.621,,Lr,148.83425,2.2022189,2025-05-24 01:17:26.428000+00:00,60819.05377810169
