permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
,2021 MX20,000000ISf2Q1,24.176,,Lg,149.7897728,3.3090175,2025-05-24 00:39:02.266000+00:00,60819.02710956009
,2021 MX20,000000ISf2Q1,24.071,,Lg,149.7900369,3.3090509,2025-05-24 00:40:32.849000+00:00,60819.02815797459
,2021 MX20,000000ISf2Q1,24.329,,Lg,149.7902099,3.3090328,2025-05-24 00:42:03.159000+00:00,60819.02920322912
,2021 MX20,000000ISf2Q1,24.24,,Lg,149.7902838,3.3089871,2025-05-24 00:42:48.544000+00:00,60819.02972851833
,2021 MX20,000000ISf2Q1,24.355,,Lg,149.7903999,3.3090038,2025-05-24 00:43:33.849000+00:00,60819.030252881814
,2021 MX20,000000ISf2Q1,24.159,,Lg,149.7904922,3.3089457,2025-05-24 00:44:19.151000+00:00,60819.030777210835
,2021 MX20,000000ISf2Q1,24.113,,Lg,149.7905614,3.3089906,2025-05-24 00:45:04.239000+00:00,60819.03129906254
,2021 MX20,000000ISf2Q1,24.067,,Lg,149.7906743,3.3089208,2025-05-24 00:45:49.587000+00:00,60819.03182392381
,2021 MX20,000000ISf2Q1,24.331,,Lg,149.7907668,3.3089594,2025-05-24 00:46:34.969000+00:00,60819.0323491781
,2021 MX20,000000ISf2Q1,24.032,,Lg,149.7908429,3.3089572,2025-05-24 00:47:20.071000+00:00,60819.03287119232
,2021 MX20,000000ISf2Q1,24.08,,Lg,149.7909102,3.308971,2025-05-24 00:48:05.263000+00:00,60819.03339424776
,2021 MX20,000000ISf2Q1,24.038,,Lg,149.7910328,3.3089454,2025-05-24 00:48:50.262000+00:00,60819.03391506942
,2021 MX20,000000ISf2Q1,23.923,,Lg,149.7911099,3.3089151,2025-05-24 00:49:35.470000+00:00,60819.03443831019
,2021 MX20,000000ISf2Q1,24.095,,Lg,149.7913004,3.3089247,2025-05-24 00:51:06.063000+00:00,60819.03548684018
,2021 MX20,000000ISf2Q1,24.138,,Lg,149.7914104,3.3088797,2025-05-24 00:51:51.748000+00:00,60819.03601560183
,2021 MX20,000000ISf2Q1,24.339,,Lg,149.7915054,3.3089333,2025-05-24 00:52:36.950000+00:00,60819.036538773216
,2021 MX20,000000ISf2Q1,23.828,,Lg,149.7918056,3.3089344,2025-05-24 00:54:52.798000+00:00,60819.038111087866
