permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
,2021 NC61,000000ISeAg1,23.445,,Lg,224.8384534,-37.9765996,2025-05-22 05:20:25.337000+00:00,60817.22251547454
,2021 NC61,000000ISeAg1,23.246,,Lg,224.838293,-37.9765267,2025-05-22 05:21:42.085000+00:00,60817.22340376163
,2021 NC61,000000ISeAg1,23.483,,Lg,224.8379223,-37.976403,2025-05-22 05:24:17.666000+00:00,60817.22520446777
,2021 NC61,000000ISeAg1,23.297,,Lg,224.8374588,-37.9762409,2025-05-22 05:26:11.343000+00:00,60817.22652017372
,2021 NC61,000000ISeAg1,23.35,,Lg,224.8372597,-37.9762089,2025-05-22 05:27:23.382000+00:00,60817.22735395841
,2021 NC61,000000ISeAg1,23.234,,Lg,224.8369645,-37.976098,2025-05-22 05:28:56.420000+00:00,60817.2284307871
,2021 NC61,000000ISeAg1,23.474,,Lg,224.8364635,-37.9758917,2025-05-22 05:32:04.564000+00:00,60817.23060837947
,2021 NC61,000000ISeAg1,23.496,,Lg,224.8362958,-37.9758763,2025-05-22 05:33:01.673000+00:00,60817.231269363314
,2021 NC61,000000ISeAg1,23.305,,Lg,224.8361877,-37.9758768,2025-05-22 05:33:54.608000+00:00,60817.23188203713
,2021 NC61,000000ISeAg1,23.411,,Lg,224.8360435,-37.9757948,2025-05-22 05:34:35.647000+00:00,60817.23235702561
,2021 NC61,000000ISeAg1,23.393,,Lg,224.8357674,-37.9756663,2025-05-22 05:36:18.448000+00:00,60817.23354685167
,2021 NC61,000000ISeAg1,23.364,,Lg,224.8355651,-37.97566,2025-05-22 05:37:10.069000+00:00,60817.234144316986
,2021 NC61,000000ISeAg1,23.345,,Lg,224.8354507,-37.9755806,2025-05-22 05:38:11.340000+00:00,60817.234853472095
,2021 NC61,000000ISeAg1,22.753,,Lr,224.8321278,-37.9745206,2025-05-22 05:56:57.790000+00:00,60817.247891088016
,2021 NC61,000000ISeAg1,22.719,,Lr,224.8319607,-37.9744233,2025-05-22 05:57:44.701000+00:00,60817.2484340393
,2021 NC61,000000ISeAg1,22.797,,Lr,224.8319511,-37.9744668,2025-05-22 05:58:26.674000+00:00,60817.24891983811
,2021 NC61,000000ISeAg1,22.77,,Lr,224.8315979,-37.974341,2025-05-22 06:00:15.327000+00:00,60817.250177395996
,2021 NC61,000000ISeAg1,22.713,,Lr,224.8313578,-37.9742611,2025-05-22 06:01:39.830000+00:00,60817.251155439764
,2021 NC61,000000ISeAg1,22.779,,Lr,224.8311316,-37.9741587,2025-05-22 06:02:56.967000+00:00,60817.25204822933
,2021 NC61,000000ISeAg1,22.564,,Lr,224.83077,-37.9740616,2025-05-22 06:05:00.845000+00:00,60817.2534820023
,2021 NC61,000000ISeAg1,22.755,,Lr,224.8306585,-37.9740247,2025-05-22 06:05:47.757000+00:00,60817.25402496522
,2021 NC61,000000ISeAg1,22.655,,Lr,224.8302086,-37.9738611,2025-05-22 06:08:29.720000+00:00,60817.25589953689
,2021 NC61,000000ISeAg1,22.687,,Lr,224.82994,-37.9737936,2025-05-22 06:09:54.456000+00:00,60817.25688027777
,2021 NC61,000000ISeAg1,22.799,,Lr,224.8298111,-37.9736753,2025-05-22 06:10:46.468000+00:00,60817.25748226838
,2021 NC61,000000ISeAg1,22.648,,Lr,224.8295953,-37.9736346,2025-05-22 06:12:14.634000+00:00,60817.25850270828
,2021 NC61,000000ISeAg1,22.871,,Lr,224.8292666,-37.9735589,2025-05-22 06:13:48.161000+00:00,60817.25958519662
,2021 NC61,000000ISeAg1,22.657,,Lr,224.8289267,-37.9734636,2025-05-22 06:15:55.500000+00:00,60817.26105902763
,2021 NC61,000000ISeAg1,22.691,,Lr,224.8286673,-37.973382,2025-05-22 06:17:19.217000+00:00,60817.262027974706
,2021 NC61,000000ISeAg1,22.804,,Li,224.8274319,-37.9729243,2025-05-22 06:24:27.631000+00:00,60817.26698646974
,2021 NC61,000000ISeAg1,22.54,,Li,224.8273588,-37.9728865,2025-05-22 06:25:14.359000+00:00,60817.26752730319
,2021 NC61,000000ISeAg1,22.472,,Li,224.8272461,-37.9728345,2025-05-22 06:25:56.764000+00:00,60817.26801810181
,2021 NC61,000000ISeAg1,22.522,,Li,224.8269379,-37.9727953,2025-05-22 06:27:25.956000+00:00,60817.26905041654
,2021 NC61,000000ISeAg1,22.549,,Li,224.8267468,-37.9727452,2025-05-22 06:28:50.397000+00:00,60817.27002774319
,2021 NC61,000000ISeAg1,22.468,,Li,224.8265988,-37.9726768,2025-05-22 06:29:32.371000+00:00,60817.27051355317
,2021 NC61,000000ISeAg1,22.459,,Li,224.8263183,-37.9725253,2025-05-22 06:31:07.411000+00:00,60817.27161355317
,2021 NC61,000000ISeAg1,22.523,,Li,224.8261863,-37.9725461,2025-05-22 06:31:54.697000+00:00,60817.27216084488
,2021 NC61,000000ISeAg1,22.717,,Li,224.8258664,-37.9723586,2025-05-22 06:34:11.948000+00:00,60817.27374939807
,2021 NC61,000000ISeAg1,22.44,,Li,224.8256305,-37.9723207,2025-05-22 06:34:55.098000+00:00,60817.27424881933
,2021 NC61,000000ISeAg1,22.385,,Li,224.8255612,-37.9722478,2025-05-22 06:35:38.295000+00:00,60817.27474878449
,2021 NC61,000000ISeAg1,22.641,,Li,224.8254,-37.9722449,2025-05-22 06:36:20.012000+00:00,60817.2752316203
,2021 NC61,000000ISeAg1,22.665,,Li,224.8251999,-37.9721747,2025-05-22 06:37:45.040000+00:00,60817.276215740945
,2021 NC61,000000ISeAg1,22.676,,Li,224.8246055,-37.9720342,2025-05-22 06:40:49.711000+00:00,60817.2783531365
,2021 NC61,000000ISeAg1,22.271,,Lz,224.8226418,-37.9713516,2025-05-22 06:52:48.397000+00:00,60817.28667126177
,2021 NC61,000000ISeAg1,22.301,,Lz,224.8217626,-37.9709844,2025-05-22 06:57:34.390000+00:00,60817.28998136567
,2021 NC61,000000ISeAg1,22.384,,Lz,224.8215082,-37.9709112,2025-05-22 06:59:08.387000+00:00,60817.29106929386
,2021 NC61,000000ISeAg1,22.557,,Lz,224.8210067,-37.9707293,2025-05-22 07:02:03.339000+00:00,60817.29309420148
,2021 NC61,000000ISeAg1,22.129,,Lz,224.8200591,-37.9704699,2025-05-22 07:08:07.796000+00:00,60817.297312453855
,2021 NC61,000000ISeAg2,23.04,,Li,224.3960785,-37.8230677,2025-05-24 01:54:17.226000+00:00,60819.07936604181
,2021 NC61,000000ISeAg2,23.173,,Li,224.3953293,-37.8227979,2025-05-24 01:58:31.366000+00:00,60819.082307477016
,2021 NC61,000000ISeAg2,23.281,,Li,224.3952467,-37.8227841,2025-05-24 01:59:13.726000+00:00,60819.082797754556
,2021 NC61,000000ISeAg2,23.117,,Li,224.3949091,-37.8226347,2025-05-24 02:01:20.621000+00:00,60819.08426644653
,2021 NC61,000000ISeAg2,23.367,,Li,224.3943836,-37.8224926,2025-05-24 02:04:10.821000+00:00,60819.08623635396
,2021 NC61,000000ISeAg2,23.336,,Li,224.3942651,-37.8224776,2025-05-24 02:04:53.177000+00:00,60819.08672658587
,2021 NC61,000000ISeAg2,23.343,,Li,224.394167,-37.8224189,2025-05-24 02:05:35.423000+00:00,60819.08721554419
,2021 NC61,000000ISeAg2,23.446,,Li,224.3939251,-37.8223424,2025-05-24 02:06:59.621000+00:00,60819.08819005778
,2021 NC61,000000ISeAg2,23.301,,Li,224.3937809,-37.822266,2025-05-24 02:07:42.277000+00:00,60819.088683761656
,2021 NC61,000000ISeAg2,23.281,,Li,224.3934589,-37.8221422,2025-05-24 02:09:49.650000+00:00,60819.09015798615
,2021 NC61,000000ISeAg2,23.265,,Li,224.393312,-37.8221264,2025-05-24 02:10:31.542000+00:00,60819.09064284712
,2021 NC61,000000ISeAg2,23.131,,Li,224.3930438,-37.8220349,2025-05-24 02:11:55.406000+00:00,60819.09161349526
,2021 NC61,000000ISeAg2,23.147,,Li,224.392835,-37.8219658,2025-05-24 02:13:19.651000+00:00,60819.092588553205
,2021 NC61,000000ISeAg2,23.35,,Lr,224.3871885,-37.8200312,2025-05-24 02:46:38.071000+00:00,60819.11571841454
,2021 NC61,000000ISeAg2,23.601,,Lr,224.3836879,-37.8187925,2025-05-24 03:07:32.266000+00:00,60819.13023456
,2021 NC61,000000ISeAg2,23.5,,Lr,224.3835421,-37.8187424,2025-05-24 03:08:14.905000+00:00,60819.1307280669
,2021 NC61,000000ISeAg2,23.429,,Lr,224.3831846,-37.8186176,2025-05-24 03:10:24.294000+00:00,60819.13222562522
,2021 NC61,000000ISeAg2,23.72,,Lr,224.3830673,-37.8185643,2025-05-24 03:11:06.380000+00:00,60819.1327127316
,2021 NC61,000000ISeAg2,23.628,,Lr,224.3829114,-37.818506,2025-05-24 03:11:57.725000+00:00,60819.133307002485
,2021 NC61,000000ISeAg2,23.641,,Lr,224.3826645,-37.8184705,2025-05-24 03:13:24.436000+00:00,60819.134310601745
,2021 NC61,000000ISeAg2,23.722,,Lr,224.382576,-37.8183956,2025-05-24 03:14:08.017000+00:00,60819.13481501164
,2021 NC61,000000ISeAg2,23.31,,Lr,224.3823089,-37.818321,2025-05-24 03:15:37.055000+00:00,60819.13584554382
,2021 NC61,000000ISeAg2,23.472,,Lr,224.3820684,-37.8182534,2025-05-24 03:17:04.387000+00:00,60819.136856331024
,2021 NC61,000000ISeAg2,23.465,,Lr,224.381618,-37.8180672,2025-05-24 03:19:47.932000+00:00,60819.13874921296
,2021 NC61,000000ISeAg2,23.814,,Lg,224.3808926,-37.8178172,2025-05-24 03:23:59.568000+00:00,60819.1416616668
,2021 NC61,000000ISeAg2,23.877,,Lg,224.3804294,-37.8176855,2025-05-24 03:26:53.076000+00:00,60819.1436698609
,2021 NC61,000000ISeAg2,23.733,,Lg,224.3801326,-37.817573,2025-05-24 03:28:26.608000+00:00,60819.14475240745
,2021 NC61,000000ISeAg2,23.688,,Lg,224.3800301,-37.8175152,2025-05-24 03:29:09.540000+00:00,60819.14524930576
,2021 NC61,000000ISeAg2,23.641,,Lg,224.3797701,-37.8174177,2025-05-24 03:30:38.023000+00:00,60819.14627341414
,2021 NC61,000000ISeAg2,23.671,,Lg,224.378927,-37.8171109,2025-05-24 03:35:40.621000+00:00,60819.14977570623
,2021 NC61,000000ISeAg2,23.405,,Lg,224.3786668,-37.8170201,2025-05-24 03:37:13.089000+00:00,60819.15084593743
,2021 NC61,000000ISeAg2,23.548,,Lg,224.3785613,-37.8169886,2025-05-24 03:37:55.364000+00:00,60819.151335231494
,2021 NC61,000000ISeAg2,23.507,,Lg,224.3781409,-37.8168574,2025-05-24 03:40:15.036000+00:00,60819.15295180539
,2021 NC61,000000ISeAg2,23.718,,Lg,224.3780414,-37.8167971,2025-05-24 03:40:58.337000+00:00,60819.153452974744
,2021 NC61,000000ISeAg2,23.574,,Lg,224.3777716,-37.8167488,2025-05-24 03:42:25.789000+00:00,60819.154465150554
,2021 NC61,000000ISeAg3,23.178,,Lg,223.8813588,-37.6294943,2025-05-26 06:54:53.348000+00:00,60821.28811745392
,2021 NC61,000000ISeAg3,23.166,,Lg,223.8809676,-37.6294046,2025-05-26 06:56:59.996000+00:00,60821.2895832872
,2021 NC61,000000ISeAg3,23.22,,Lg,223.8805559,-37.6292299,2025-05-26 06:59:49.359000+00:00,60821.29154350702
,2021 NC61,000000ISeAg3,23.317,,Lg,223.880435,-37.6291521,2025-05-26 07:00:31.232000+00:00,60821.29202814819
,2021 NC61,000000ISeAg3,23.288,,Lg,223.8802735,-37.6291333,2025-05-26 07:01:14.426000+00:00,60821.29252807889
,2021 NC61,000000ISeAg3,23.172,,Lg,223.880082,-37.6290424,2025-05-26 07:02:39.058000+00:00,60821.29350761557
,2021 NC61,000000ISeAg3,23.263,,Lg,223.8799731,-37.6289962,2025-05-26 07:03:21.535000+00:00,60821.29399924772
,2021 NC61,000000ISeAg3,23.338,,Lg,223.8793005,-37.6287012,2025-05-26 07:07:34.736000+00:00,60821.29692981485
,2021 NC61,000000ISeAg4,22.965,,Li,223.4571282,-37.4558924,2025-05-28 04:15:23.160000+00:00,60823.17735138908
,2021 NC61,000000ISeAg4,22.983,,Li,223.4569943,-37.4558444,2025-05-28 04:16:09.659000+00:00,60823.17788957199
,2021 NC61,000000ISeAg4,22.759,,Li,223.4557191,-37.4552517,2025-05-28 04:24:07.648000+00:00,60823.18342185207
,2021 NC61,000000ISeAg4,22.735,,Li,223.4556095,-37.4552409,2025-05-28 04:24:49.922000+00:00,60823.18391113449
