permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
,2022 QC269,000000ISf1t1,23.788,,Lg,150.2374075,3.0042834,2025-05-24 00:39:02.266000+00:00,60819.02710956009
,2022 QC269,000000ISf1t1,23.871,,Lg,150.2378571,3.0041851,2025-05-24 00:42:48.544000+00:00,60819.02972851833
,2022 QC269,000000ISf1t1,24.198,,Lg,150.2381338,3.0041168,2025-05-24 00:45:04.239000+00:00,60819.03129906254
,2022 QC269,000000ISf1t1,23.792,,Lg,150.2382012,3.0041452,2025-05-24 00:45:49.587000+00:00,60819.03182392381
,2022 QC269,000000ISf1t1,24.012,,Lg,150.2383946,3.0040999,2025-05-24 00:47:20.071000+00:00,60819.03287119232
,2022 QC269,000000ISf1t1,24.198,,Lg,150.238462,3.0041193,2025-05-24 00:48:05.263000+00:00,60819.03339424776
,2022 QC269,000000ISf1t1,24.385,,Lg,150.2385455,3.004062,2025-05-24 00:48:50.262000+00:00,60819.03391506942
,2022 QC269,000000ISf1t1,24.126,,Lg,150.2386605,3.0040661,2025-05-24 00:49:35.470000+00:00,60819.03443831019
,2022 QC269,000000ISf1t1,24.184,,Lg,150.2387686,3.0039955,2025-05-24 00:50:20.770000+00:00,60819.03496261593
,2022 QC269,000000ISf1t1,23.894,,Lg,150.2388208,3.0040068,2025-05-24 00:51:06.063000+00:00,60819.03548684018
,2022 QC269,000000ISf1t1,23.997,,Lg,150.2388977,3.0040027,2025-05-24 00:51:51.748000+00:00,60819.03601560183
,2022 QC269,000000ISf1t1,24.142,,Lg,150.2389955,3.0039959,2025-05-24 00:52:36.950000+00:00,60819.036538773216
,2022 QC269,000000ISf1t1,24.081,,Lg,150.2393516,3.0039648,2025-05-24 00:55:38.098000+00:00,60819.038635393605
,2022 QC269,000000ISf1t1,23.988,,Lg,150.2394226,3.0039096,2025-05-24 00:56:23.400000+00:00,60819.03915972216
,2022 QC269,000000ISf1t1,24.128,,Lg,150.2395061,3.0039104,2025-05-24 00:57:08.616000+00:00,60819.0396830556
,2022 QC269,000000ISf1t1,24.032,,Lg,150.2395981,3.0038743,2025-05-24 00:57:54.272000+00:00,60819.04021148151
,2022 QC269,000000ISf1t1,24.017,,Lg,150.2396521,3.003909,2025-05-24 00:58:39.483000+00:00,60819.04073475674
,2022 QC269,000000ISf1t1,23.99,,Lg,150.2397906,3.0038612,2025-05-24 00:59:24.965000+00:00,60819.04126116913
,2022 QC269,000000ISf1t1,24.181,,Lg,150.2398963,3.003815,2025-05-24 01:00:10.343000+00:00,60819.04178637732
,2022 QC269,000000ISf1t1,23.956,,Lg,150.2401172,3.0037749,2025-05-24 01:02:01.624000+00:00,60819.043074351735
,2022 QC269,000000ISf1t1,23.779,,Lr,150.2406407,3.0037092,2025-05-24 01:06:51.951000+00:00,60819.04643461807
,2022 QC269,000000ISf1t1,23.693,,Lr,150.2409099,3.0036927,2025-05-24 01:09:07.628000+00:00,60819.048004953656
,2022 QC269,000000ISf1t1,23.884,,Lr,150.2410692,3.0036722,2025-05-24 01:09:52.932000+00:00,60819.048529305495
,2022 QC269,000000ISf1t1,23.588,,Lr,150.2411217,3.0036209,2025-05-24 01:10:38.393000+00:00,60819.049055474345
,2022 QC269,000000ISf1t1,23.617,,Lr,150.2411424,3.0035957,2025-05-24 01:11:23.583000+00:00,60819.049578506965
,2022 QC269,000000ISf1t1,23.606,,Lr,150.2412796,3.0036078,2025-05-24 01:12:09.154000+00:00,60819.05010594893
,2022 QC269,000000ISf1t1,23.524,,Lr,150.2413778,3.0035364,2025-05-24 01:12:54.554000+00:00,60819.05063141184
,2022 QC269,000000ISf1t1,23.647,,Lr,150.2414313,3.0035851,2025-05-24 01:13:39.837000+00:00,60819.0511555206
,2022 QC269,000000ISf1t1,23.683,,Lr,150.2415067,3.0035607,2025-05-24 01:14:25.126000+00:00,60819.051679699216
,2022 QC269,000000ISf1t1,23.909,,Lr,150.2416291,3.0034991,2025-05-24 01:15:10.426000+00:00,60819.05220400449
,2022 QC269,000000ISf1t1,23.968,,Lr,150.2417137,3.0034985,2025-05-24 01:15:55.757000+00:00,60819.05272866879
,2022 QC269,000000ISf1t1,23.566,,Lr,150.2418068,3.0034918,2025-05-24 01:16:41.037000+00:00,60819.05325274309
,2022 QC269,000000ISf1t1,23.566,,Lr,150.2418734,3.0035109,2025-05-24 01:17:26.428000+00:00,60819.05377810169
,2022 QC269,000000ISf1t1,23.613,,Lr,150.2419541,3.0034874,2025-05-24 01:18:11.659000+00:00,60819.05430160882
,2022 QC269,000000ISf1t1,23.53,,Lr,150.2420242,3.0034823,2025-05-24 01:18:56.955000+00:00,60819.05482586799
,2022 QC269,000000ISf1t1,23.712,,Lr,150.2421838,3.0034395,2025-05-24 01:19:41.878000+00:00,60819.05534581002
,2022 QC269,000000ISf1t1,23.779,,Lr,150.2424435,3.0034125,2025-05-24 01:21:57.639000+00:00,60819.05691711791
,2022 QC269,000000ISf1t1,23.607,,Li,150.2430786,3.0033026,2025-05-24 01:27:46.641000+00:00,60819.06095649302
,2022 QC269,000000ISf1t1,23.429,,Li,150.2431862,3.0032799,2025-05-24 01:28:31.923000+00:00,60819.06148059014
,2022 QC269,000000ISf1t1,23.709,,Li,150.2435873,3.0031641,2025-05-24 01:32:19.553000+00:00,60819.06411519693
,2022 QC269,000000ISf1t1,23.493,,Li,150.2438243,3.0031573,2025-05-24 01:33:50.420000+00:00,60819.06516689807
,2022 QC269,000000ISf1t1,23.691,,Li,150.2440654,3.0031282,2025-05-24 01:36:06.140000+00:00,60819.06673773145
,2022 QC269,000000ISf1t1,23.728,,Li,150.244141,3.0031002,2025-05-24 01:36:51.342000+00:00,60819.06726090284
,2022 QC269,000000ISf1t1,23.566,,Li,150.2442255,3.0030728,2025-05-24 01:37:36.549000+00:00,60819.06778413197
,2022 QC269,000000ISf1t1,23.613,,Li,150.2443433,3.0030407,2025-05-24 01:38:21.962000+00:00,60819.068309745286
,2022 QC269,000000ISf1t2,23.314,,Li,150.4012737,2.9760806,2025-05-24 23:30:57.576000+00:00,60819.97983305575
,2022 QC269,000000ISf1t2,23.074,,Li,150.401376,2.9760407,2025-05-24 23:31:42.675000+00:00,60819.98035503458
,2022 QC269,000000ISf1t2,23.27,,Li,150.4014515,2.9760427,2025-05-24 23:32:27.875000+00:00,60819.98087818269
,2022 QC269,000000ISf1t2,23.301,,Li,150.4015562,2.9760207,2025-05-24 23:33:13.082000+00:00,60819.98140141182
,2022 QC269,000000ISf1t2,23.214,,Li,150.4016535,2.9760142,2025-05-24 23:33:58.307000+00:00,60819.98192484956
,2022 QC269,000000ISf1t2,23.11,,Li,150.4017318,2.9759907,2025-05-24 23:34:43.503000+00:00,60819.98244795157
,2022 QC269,000000ISf1t2,23.43,,Li,150.4018344,2.9759615,2025-05-24 23:35:28.921000+00:00,60819.982973622624
,2022 QC269,000000ISf1t2,23.138,,Li,150.4019153,2.9759473,2025-05-24 23:36:13.938000+00:00,60819.9834946529
,2022 QC269,000000ISf1t2,23.017,,Li,150.4027034,2.9758243,2025-05-24 23:42:57.101000+00:00,60819.98816089099
,2022 QC269,000000ISf1t2,23.167,,Li,150.4027772,2.9757993,2025-05-24 23:43:42.395000+00:00,60819.98868512735
,2022 QC269,000000ISf1t2,23.261,,Li,150.4028788,2.9757907,2025-05-24 23:44:27.891000+00:00,60819.98921170132
,2022 QC269,000000ISf1t2,23.141,,Li,150.4030605,2.9757505,2025-05-24 23:45:58.219000+00:00,60819.99025716446
,2022 QC269,000000ISf1t2,23.364,,Li,150.403221,2.9758145,2025-05-24 23:47:28.478000+00:00,60819.99130182853
,2022 QC269,000000ISf1t2,23.331,,Li,150.4033043,2.975707,2025-05-24 23:48:13.863000+00:00,60819.99182711821
,2022 QC269,000000ISf1t2,23.323,,Li,150.4034242,2.9756901,2025-05-24 23:48:59.153000+00:00,60819.992351308
,2022 QC269,000000ISf1t2,23.111,,Li,150.4035054,2.975679,2025-05-24 23:49:43.966000+00:00,60819.99286997691
,2022 QC269,000000ISf1t2,23.162,,Li,150.4035794,2.9756701,2025-05-24 23:50:29.209000+00:00,60819.993393622804
,2022 QC269,000000ISf1t2,23.4,,Li,150.4036789,2.9756405,2025-05-24 23:51:14.231000+00:00,60819.99391471082
,2022 QC269,000000ISf1t2,23.226,,Li,150.4037919,2.9756674,2025-05-24 23:51:59.054000+00:00,60819.994433495216
,2022 QC269,000000ISf1t2,23.196,,Li,150.4039204,2.9755965,2025-05-24 23:52:44.145000+00:00,60819.994955381844
,2022 QC269,000000ISf1t2,23.134,,Li,150.4039525,2.9755836,2025-05-24 23:53:29.260000+00:00,60819.99547754647
,2022 QC269,000000ISf1t2,23.236,,Li,150.4040274,2.975572,2025-05-24 23:54:14.383000+00:00,60819.9959998033
,2022 QC269,000000ISf1t2,23.228,,Li,150.4041243,2.9755494,2025-05-24 23:54:59.207000+00:00,60819.996518599335
,2022 QC269,000000ISf1t2,23.228,,Li,150.4041925,2.9755736,2025-05-24 23:55:44.399000+00:00,60819.99704165524
,2022 QC269,000000ISf1t2,23.269,,Li,150.4043012,2.9755023,2025-05-24 23:56:29.207000+00:00,60819.997560266405
,2022 QC269,000000ISf1t2,23.226,,Li,150.4043728,2.9755519,2025-05-24 23:57:14.497000+00:00,60819.998084456194
,2022 QC269,000000ISf1t2,22.688,,Lz,150.4049286,2.9754665,2025-05-25 00:02:43.672000+00:00,60820.001894352026
,2022 QC269,000000ISf1t2,22.805,,Lz,150.405242,2.975323,2025-05-25 00:04:13.806000+00:00,60820.00293756928
,2022 QC269,000000ISf1t2,23.472,,Lr,150.408599,2.9747678,2025-05-25 00:32:55.133000+00:00,60820.02286033565
,2022 QC269,000000ISf1t2,23.374,,Lr,150.4087098,2.9747291,2025-05-25 00:33:40.437000+00:00,60820.02338468749
,2022 QC269,000000ISf1t2,23.339,,Lr,150.4087541,2.9746852,2025-05-25 00:34:25.336000+00:00,60820.02390435198
,2022 QC269,000000ISf1t2,23.513,,Lr,150.4088209,2.9746765,2025-05-25 00:35:10.534000+00:00,60820.024427476805
,2022 QC269,000000ISf1t2,23.664,,Lr,150.4089385,2.9746586,2025-05-25 00:35:55.457000+00:00,60820.02494741883
,2022 QC269,000000ISf1t2,23.422,,Lr,150.4091073,2.9746362,2025-05-25 00:37:25.934000+00:00,60820.025994606316
,2022 QC269,000000ISf1t2,23.504,,Lr,150.4093756,2.9745831,2025-05-25 00:39:41.508000+00:00,60820.02756374981
,2022 QC269,000000ISf1t2,23.321,,Lr,150.4094823,2.9745675,2025-05-25 00:40:26.566000+00:00,60820.0280852546
,2022 QC269,000000ISf1t2,23.575,,Lr,150.4095971,2.9746222,2025-05-25 00:41:11.942000+00:00,60820.02861043997
,2022 QC269,000000ISf1t2,23.472,,Lr,150.4096829,2.9745563,2025-05-25 00:41:57.406000+00:00,60820.029136643745
,2022 QC269,000000ISf1t2,23.643,,Lr,150.4097674,2.9745533,2025-05-25 00:42:42.631000+00:00,60820.029660081025
,2022 QC269,000000ISf1t2,23.568,,Lr,150.409846,2.9745152,2025-05-25 00:43:28.030000+00:00,60820.03018553229
,2022 QC269,000000ISf1t2,23.682,,Lr,150.4099033,2.9745088,2025-05-25 00:44:13.049000+00:00,60820.03070658585
,2022 QC269,000000ISf1t3,23.4,,Lr,151.3151928,2.8031917,2025-05-30 00:40:13.299000+00:00,60825.02793170139
,2022 QC269,000000ISf1t3,23.393,,Lr,151.3153098,2.8031445,2025-05-30 00:40:58.681000+00:00,60825.02845695615
,2022 QC269,000000ISf1t3,23.283,,Lr,151.31539,2.8031415,2025-05-30 00:41:44.055000+00:00,60825.02898211824
,2022 QC269,000000ISf1t3,23.443,,Lr,151.3154909,2.8031488,2025-05-30 00:42:29.436000+00:00,60825.02950736089
,2022 QC269,000000ISf1t3,23.14,,Lr,151.3158624,2.8030076,2025-05-30 00:45:30.496000+00:00,60825.031602962874
