permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
,2022 RR64,000000ISe7I1,22.516,,Li,225.5784107,-38.2088999,2025-05-21 06:33:40.069000+00:00,60816.27338042809
,2022 RR64,000000ISe7I1,22.479,,Li,225.5782719,-38.2088535,2025-05-21 06:34:26.956000+00:00,60816.273923101835
,2022 RR64,000000ISe7I1,22.518,,Li,225.578089,-38.2087987,2025-05-21 06:35:24.958000+00:00,60816.2745944215
,2022 RR64,000000ISe7I1,22.577,,Li,225.5776607,-38.2086175,2025-05-21 06:37:36.414000+00:00,60816.2761159027
,2022 RR64,000000ISe7I1,22.495,,Li,225.5775568,-38.2085894,2025-05-21 06:38:18.502000+00:00,60816.27660303237
,2022 RR64,000000ISe7I1,22.788,,Li,225.5773924,-38.2085747,2025-05-21 06:39:01.549000+00:00,60816.27710126154
,2022 RR64,000000ISe7I1,22.45,,Li,225.5770813,-38.208429,2025-05-21 06:40:37.761000+00:00,60816.27821482625
,2022 RR64,000000ISe7I1,22.537,,Li,225.5769827,-38.2083836,2025-05-21 06:41:19.820000+00:00,60816.27870162018
,2022 RR64,000000ISe7I1,22.507,,Li,225.576531,-38.2081899,2025-05-21 06:43:32.671000+00:00,60816.28023924772
,2022 RR64,000000ISe7I1,22.517,,Li,225.5764313,-38.2081566,2025-05-21 06:44:14.732000+00:00,60816.28072606493
,2022 RR64,000000ISe7I1,22.564,,Li,225.5762664,-38.208135,2025-05-21 06:45:02.476000+00:00,60816.28127865726
,2022 RR64,000000ISe7I1,22.341,,Li,225.5758547,-38.2079432,2025-05-21 06:47:15.376000+00:00,60816.28281685198
,2022 RR64,000000ISe7I1,22.766,,Li,225.575315,-38.2077503,2025-05-21 06:50:08.403000+00:00,60816.2848194791
,2022 RR64,000000ISe7I1,22.434,,Li,225.5751646,-38.2077227,2025-05-21 06:50:51.548000+00:00,60816.28531884262
,2022 RR64,000000ISe7I1,22.63,,Li,225.5750308,-38.2076637,2025-05-21 06:51:34.477000+00:00,60816.28581570601
,2022 RR64,000000ISe7I1,22.598,,Lr,225.5732252,-38.2070008,2025-05-21 07:01:05.650000+00:00,60816.29242650466
,2022 RR64,000000ISe7I1,22.747,,Lr,225.5727046,-38.2067893,2025-05-21 07:04:04.530000+00:00,60816.29449687479
,2022 RR64,000000ISe7I1,22.578,,Lr,225.5715874,-38.2063824,2025-05-21 07:09:43.658000+00:00,60816.298421967775
,2022 RR64,000000ISe7I1,22.61,,Lr,225.5713669,-38.2063541,2025-05-21 07:11:08.802000+00:00,60816.29940743046
,2022 RR64,000000ISe7I1,22.508,,Lr,225.5708206,-38.2060682,2025-05-21 07:14:00.332000+00:00,60816.30139273126
,2022 RR64,000000ISe7I1,21.884,,Lz,225.5686677,-38.2053315,2025-05-21 07:24:51.903000+00:00,60816.30893406272
,2022 RR64,000000ISe7I1,22.667,,Lz,225.5666091,-38.204563,2025-05-21 07:36:06.562000+00:00,60816.316742615774
,2022 RR64,000000ISe7I1,22.055,,Lz,225.5657633,-38.2042122,2025-05-21 07:41:12.433000+00:00,60816.32028278941
,2022 RR64,000000ISe7I1,22.075,,Lz,225.5656895,-38.204161,2025-05-21 07:41:55.159000+00:00,60816.32077730307
,2022 RR64,000000ISe7I1,22.387,,Lz,225.565393,-38.2040743,2025-05-21 07:42:36.616000+00:00,60816.32125712978
,2022 RR64,000000ISe7I2,23.077,,Lg,225.3286999,-38.11524,2025-05-22 05:20:25.337000+00:00,60817.22251547454
,2022 RR64,000000ISe7I2,23.172,,Lg,225.3283995,-38.1150873,2025-05-22 05:22:23.784000+00:00,60817.22388638882
,2022 RR64,000000ISe7I2,23.104,,Lg,225.3280296,-38.114964,2025-05-22 05:24:17.666000+00:00,60817.22520446777
,2022 RR64,000000ISe7I2,23.126,,Lg,225.3279127,-38.1149286,2025-05-22 05:24:59.750000+00:00,60817.22569155088
,2022 RR64,000000ISe7I2,22.981,,Lg,225.3276364,-38.114875,2025-05-22 05:26:11.343000+00:00,60817.22652017372
,2022 RR64,000000ISe7I2,23.235,,Lg,225.327047,-38.1145566,2025-05-22 05:29:43.402000+00:00,60817.228974560276
,2022 RR64,000000ISe7I2,23.079,,Lg,225.3260901,-38.1142538,2025-05-22 05:34:35.647000+00:00,60817.23235702561
,2022 RR64,000000ISe7I2,22.664,,Lr,225.3219109,-38.1126641,2025-05-22 05:56:57.790000+00:00,60817.247891088016
,2022 RR64,000000ISe7I2,22.701,,Lr,225.3217777,-38.1125868,2025-05-22 05:57:44.701000+00:00,60817.2484340393
,2022 RR64,000000ISe7I2,22.725,,Lr,225.3215888,-38.1125772,2025-05-22 05:58:26.674000+00:00,60817.24891983811
,2022 RR64,000000ISe7I2,22.562,,Li,225.3165548,-38.1106336,2025-05-22 06:25:14.359000+00:00,60817.26752730319
,2022 RR64,000000ISe7I2,22.65,,Li,225.316513,-38.110613,2025-05-22 06:25:56.764000+00:00,60817.26801810181
,2022 RR64,000000ISe7I2,22.618,,Li,225.3162059,-38.1104658,2025-05-22 06:27:25.956000+00:00,60817.26905041654
,2022 RR64,000000ISe7I2,22.37,,Li,225.3160192,-38.1104005,2025-05-22 06:28:08.133000+00:00,60817.26953857625
,2022 RR64,000000ISe7I2,22.738,,Li,225.3158356,-38.1102988,2025-05-22 06:29:32.371000+00:00,60817.27051355317
,2022 RR64,000000ISe7I2,22.432,,Li,225.3145553,-38.1098173,2025-05-22 06:36:20.012000+00:00,60817.2752316203
,2022 RR64,000000ISe7I2,22.633,,Li,225.3143067,-38.1096821,2025-05-22 06:37:45.040000+00:00,60817.276215740945
,2022 RR64,000000ISe7I2,22.873,,Li,225.3137378,-38.1094609,2025-05-22 06:40:49.711000+00:00,60817.2783531365
,2022 RR64,000000ISe7I3,22.813,,Li,224.8492496,-37.9238953,2025-05-24 01:54:17.226000+00:00,60819.07936604181
,2022 RR64,000000ISe7I3,22.548,,Li,224.849138,-37.923804,2025-05-24 01:54:59.144000+00:00,60819.0798512036
,2022 RR64,000000ISe7I3,22.821,,Li,224.849017,-37.923758,2025-05-24 01:55:41.899000+00:00,60819.080346053466
,2022 RR64,000000ISe7I3,22.808,,Li,224.8487562,-37.9236615,2025-05-24 01:57:06.636000+00:00,60819.08132680552
,2022 RR64,000000ISe7I3,22.643,,Li,224.8484793,-37.9235499,2025-05-24 01:58:31.366000+00:00,60819.082307477016
,2022 RR64,000000ISe7I3,22.71,,Li,224.8483746,-37.9235087,2025-05-24 01:59:13.726000+00:00,60819.082797754556
,2022 RR64,000000ISe7I3,22.715,,Li,224.8481086,-37.9234057,2025-05-24 02:00:38.627000+00:00,60819.08378040511
,2022 RR64,000000ISe7I3,22.669,,Li,224.8479908,-37.9233614,2025-05-24 02:01:20.621000+00:00,60819.08426644653
,2022 RR64,000000ISe7I3,22.72,,Li,224.8475778,-37.9232121,2025-05-24 02:03:28.548000+00:00,60819.08574708318
,2022 RR64,000000ISe7I3,22.862,,Li,224.8474346,-37.9231387,2025-05-24 02:04:10.821000+00:00,60819.08623635396
,2022 RR64,000000ISe7I3,22.702,,Li,224.8472984,-37.9231204,2025-05-24 02:04:53.177000+00:00,60819.08672658587
,2022 RR64,000000ISe7I3,22.696,,Li,224.8471922,-37.9230402,2025-05-24 02:05:35.423000+00:00,60819.08721554419
,2022 RR64,000000ISe7I3,22.634,,Li,224.8469317,-37.9229561,2025-05-24 02:06:59.621000+00:00,60819.08819005778
,2022 RR64,000000ISe7I3,22.933,,Li,224.8466614,-37.9228557,2025-05-24 02:08:24.842000+00:00,60819.089176412206
,2022 RR64,000000ISe7I3,22.757,,Li,224.8464291,-37.9227569,2025-05-24 02:09:49.650000+00:00,60819.09015798615
,2022 RR64,000000ISe7I3,22.797,,Li,224.8462912,-37.9226936,2025-05-24 02:10:31.542000+00:00,60819.09064284712
,2022 RR64,000000ISe7I3,22.89,,Li,224.84603,-37.9225743,2025-05-24 02:11:55.406000+00:00,60819.09161349526
,2022 RR64,000000ISe7I3,22.647,,Li,224.8457467,-37.9224897,2025-05-24 02:13:19.651000+00:00,60819.092588553205
,2022 RR64,000000ISe7I3,22.677,,Lz,224.8439447,-37.9217645,2025-05-24 02:23:16.917000+00:00,60819.099501354154
,2022 RR64,000000ISe7I3,22.852,,Lz,224.8437962,-37.9217007,2025-05-24 02:23:59.296000+00:00,60819.09999185195
,2022 RR64,000000ISe7I3,22.675,,Lz,224.8436856,-37.9217055,2025-05-24 02:24:41.282000+00:00,60819.100477800705
,2022 RR64,000000ISe7I3,22.988,,Lz,224.8434016,-37.9215317,2025-05-24 02:26:05.838000+00:00,60819.101456458215
,2022 RR64,000000ISe7I3,22.968,,Lz,224.8430341,-37.9214213,2025-05-24 02:28:11.605000+00:00,60819.10291209491
,2022 RR64,000000ISe7I3,22.726,,Lz,224.8427931,-37.9213225,2025-05-24 02:29:36.389000+00:00,60819.10389339132
,2022 RR64,000000ISe7I3,22.724,,Lz,224.8426475,-37.9212787,2025-05-24 02:30:18.646000+00:00,60819.10438247677
,2022 RR64,000000ISe7I3,22.745,,Lz,224.8406369,-37.920456,2025-05-24 02:41:13.079000+00:00,60819.11195693305
,2022 RR64,000000ISe7I3,22.748,,Lr,224.8396923,-37.9200894,2025-05-24 02:46:38.071000+00:00,60819.11571841454
,2022 RR64,000000ISe7I3,22.828,,Lr,224.8391271,-37.9198584,2025-05-24 02:49:27.365000+00:00,60819.11767783575
,2022 RR64,000000ISe7I3,22.73,,Lr,224.8363509,-37.918767,2025-05-24 03:04:35.084000+00:00,60819.12818384264
,2022 RR64,000000ISe7I3,22.767,,Lr,224.8359577,-37.9186176,2025-05-24 03:06:49.958000+00:00,60819.12974488409
,2022 RR64,000000ISe7I3,22.867,,Lr,224.8358173,-37.9185584,2025-05-24 03:07:32.266000+00:00,60819.13023456
,2022 RR64,000000ISe7I3,22.874,,Lr,224.8356859,-37.9184976,2025-05-24 03:08:14.905000+00:00,60819.1307280669
,2022 RR64,000000ISe7I3,22.967,,Lr,224.835538,-37.9184368,2025-05-24 03:08:57.573000+00:00,60819.13122190954
,2022 RR64,000000ISe7I3,22.68,,Lr,224.8352817,-37.9183457,2025-05-24 03:10:24.294000+00:00,60819.13222562522
,2022 RR64,000000ISe7I3,22.712,,Lr,224.8351403,-37.918281,2025-05-24 03:11:06.380000+00:00,60819.1327127316
,2022 RR64,000000ISe7I3,22.688,,Lr,224.8350026,-37.9182319,2025-05-24 03:11:57.725000+00:00,60819.133307002485
,2022 RR64,000000ISe7I3,22.695,,Lr,224.8347368,-37.9181097,2025-05-24 03:13:24.436000+00:00,60819.134310601745
,2022 RR64,000000ISe7I3,22.619,,Lr,224.8345949,-37.9180495,2025-05-24 03:14:08.017000+00:00,60819.13481501164
,2022 RR64,000000ISe7I3,22.687,,Lr,224.8344568,-37.9180026,2025-05-24 03:14:54.093000+00:00,60819.13534829859
,2022 RR64,000000ISe7I3,22.712,,Lr,224.8343361,-37.9179457,2025-05-24 03:15:37.055000+00:00,60819.13584554382
,2022 RR64,000000ISe7I3,22.704,,Lr,224.8340664,-37.9178444,2025-05-24 03:17:04.387000+00:00,60819.136856331024
