permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
,2025 CX10,000000ISf1E1,23.632,,Lg,150.4417208,3.1391183,2025-05-24 00:39:02.266000+00:00,60819.02710956009
,2025 CX10,000000ISf1E1,23.664,,Lg,150.441932,3.1391268,2025-05-24 00:39:47.645000+00:00,60819.02763477992
,2025 CX10,000000ISf1E1,23.557,,Lg,150.4421465,3.1390739,2025-05-24 00:40:32.849000+00:00,60819.02815797459
,2025 CX10,000000ISf1E1,23.557,,Lg,150.4423449,3.1390603,2025-05-24 00:41:18.062000+00:00,60819.02868127311
,2025 CX10,000000ISf1E1,23.615,,Lg,150.442597,3.1389649,2025-05-24 00:42:03.159000+00:00,60819.02920322912
,2025 CX10,000000ISf1E1,23.858,,Lg,150.4427846,3.1389675,2025-05-24 00:42:48.544000+00:00,60819.02972851833
,2025 CX10,000000ISf1E1,23.699,,Lg,150.4431702,3.1388851,2025-05-24 00:44:19.151000+00:00,60819.030777210835
,2025 CX10,000000ISf1E1,23.638,,Lg,150.4433941,3.1388747,2025-05-24 00:45:04.239000+00:00,60819.03129906254
,2025 CX10,000000ISf1E1,23.725,,Lg,150.4435956,3.1388489,2025-05-24 00:45:49.587000+00:00,60819.03182392381
,2025 CX10,000000ISf1E1,23.728,,Lg,150.4438345,3.1388004,2025-05-24 00:46:34.969000+00:00,60819.0323491781
,2025 CX10,000000ISf1E1,23.813,,Lg,150.4440373,3.1387448,2025-05-24 00:47:20.071000+00:00,60819.03287119232
,2025 CX10,000000ISf1E1,23.742,,Lg,150.4442462,3.1387225,2025-05-24 00:48:05.263000+00:00,60819.03339424776
,2025 CX10,000000ISf1E1,23.873,,Lg,150.4444348,3.1386843,2025-05-24 00:48:50.262000+00:00,60819.03391506942
,2025 CX10,000000ISf1E1,23.695,,Lg,150.4446179,3.138653,2025-05-24 00:49:35.470000+00:00,60819.03443831019
,2025 CX10,000000ISf1E1,23.556,,Lg,150.444869,3.1386092,2025-05-24 00:50:20.770000+00:00,60819.03496261593
,2025 CX10,000000ISf1E1,23.806,,Lg,150.4450227,3.1386042,2025-05-24 00:51:06.063000+00:00,60819.03548684018
,2025 CX10,000000ISf1E1,23.906,,Lg,150.4453436,3.1385696,2025-05-24 00:51:51.748000+00:00,60819.03601560183
,2025 CX10,000000ISf1E1,23.68,,Lg,150.4454928,3.1384866,2025-05-24 00:52:36.950000+00:00,60819.036538773216
,2025 CX10,000000ISf1E1,23.911,,Lg,150.4457052,3.138478,2025-05-24 00:53:22.182000+00:00,60819.03706229152
,2025 CX10,000000ISf1E1,23.679,,Lg,150.4463187,3.1383444,2025-05-24 00:55:38.098000+00:00,60819.038635393605
,2025 CX10,000000ISf1E1,24.063,,Lg,150.4465286,3.1382857,2025-05-24 00:56:23.400000+00:00,60819.03915972216
,2025 CX10,000000ISf1E1,23.74,,Lg,150.4469533,3.138234,2025-05-24 00:57:54.272000+00:00,60819.04021148151
,2025 CX10,000000ISf1E1,23.758,,Lg,150.4471459,3.1382049,2025-05-24 00:58:39.483000+00:00,60819.04073475674
,2025 CX10,000000ISf1E1,23.849,,Lg,150.4473682,3.1381959,2025-05-24 00:59:24.965000+00:00,60819.04126116913
