permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
,2025 KC47,000000ISe7d1,23.906,,Lg,150.7384792,2.2391483,2025-05-24 00:39:47.645000+00:00,60819.02763477992
,2025 KC47,000000ISe7d1,24.29,,Lg,150.7385461,2.2391427,2025-05-24 00:40:32.849000+00:00,60819.02815797459
,2025 KC47,000000ISe7d1,24.203,,Lg,150.7386288,2.2390677,2025-05-24 00:41:18.062000+00:00,60819.02868127311
,2025 KC47,000000ISe7d1,24.339,,Lg,150.7387652,2.239054,2025-05-24 00:42:03.159000+00:00,60819.02920322912
,2025 KC47,000000ISe7d1,24.261,,Lg,150.738851,2.2389641,2025-05-24 00:42:48.544000+00:00,60819.02972851833
,2025 KC47,000000ISe7d1,24.222,,Lg,150.7389192,2.2390018,2025-05-24 00:43:33.849000+00:00,60819.030252881814
,2025 KC47,000000ISe7d1,24.22,,Lg,150.7390266,2.2389731,2025-05-24 00:44:19.151000+00:00,60819.030777210835
,2025 KC47,000000ISe7d1,24.012,,Lg,150.739153,2.2388917,2025-05-24 00:45:49.587000+00:00,60819.03182392381
,2025 KC47,000000ISe7d1,24.094,,Lg,150.7392562,2.2388066,2025-05-24 00:46:34.969000+00:00,60819.0323491781
,2025 KC47,000000ISe7d1,24.395,,Lg,150.7393362,2.2387835,2025-05-24 00:47:20.071000+00:00,60819.03287119232
,2025 KC47,000000ISe7d1,24.275,,Lg,150.7394958,2.2387025,2025-05-24 00:48:50.262000+00:00,60819.03391506942
,2025 KC47,000000ISe7d1,24.36,,Lg,150.7396985,2.238677,2025-05-24 00:50:20.770000+00:00,60819.03496261593
,2025 KC47,000000ISe7d1,24.06,,Lg,150.7397351,2.2386106,2025-05-24 00:51:06.063000+00:00,60819.03548684018
,2025 KC47,000000ISe7d1,24.403,,Lg,150.7397826,2.2386015,2025-05-24 00:51:51.748000+00:00,60819.03601560183
,2025 KC47,000000ISe7d1,24.227,,Lg,150.740003,2.2385266,2025-05-24 00:53:22.182000+00:00,60819.03706229152
,2025 KC47,000000ISe7d1,24.174,,Lg,150.74004,2.2384533,2025-05-24 00:54:07.406000+00:00,60819.037585717626
,2025 KC47,000000ISe7d1,24.165,,Lg,150.7401587,2.2384062,2025-05-24 00:54:52.798000+00:00,60819.038111087866
,2025 KC47,000000ISe7d1,24.001,,Lg,150.7402537,2.2384289,2025-05-24 00:55:38.098000+00:00,60819.038635393605
,2025 KC47,000000ISe7d1,24.083,,Lg,150.740297,2.2383338,2025-05-24 00:56:23.400000+00:00,60819.03915972216
,2025 KC47,000000ISe7d1,24.197,,Lg,150.7404468,2.2382773,2025-05-24 00:57:08.616000+00:00,60819.0396830556
,2025 KC47,000000ISe7d1,24.33,,Lg,150.740462,2.2382502,2025-05-24 00:57:54.272000+00:00,60819.04021148151
,2025 KC47,000000ISe7d1,24.061,,Lg,150.740562,2.2382309,2025-05-24 00:58:39.483000+00:00,60819.04073475674
,2025 KC47,000000ISe7d1,24.281,,Lg,150.7407633,2.2381545,2025-05-24 01:00:10.343000+00:00,60819.04178637732
,2025 KC47,000000ISe7d1,24.191,,Lg,150.7408335,2.2380903,2025-05-24 01:00:55.666000+00:00,60819.04231094895
,2025 KC47,000000ISe7d1,23.869,,Lg,150.7409349,2.2380231,2025-05-24 01:02:01.624000+00:00,60819.043074351735
,2025 KC47,000000ISe7d1,23.337,,Lr,150.7414833,2.2378356,2025-05-24 01:06:51.951000+00:00,60819.04643461807
,2025 KC47,000000ISe7d1,23.274,,Lr,150.7415696,2.2377858,2025-05-24 01:07:37.062000+00:00,60819.04695673613
,2025 KC47,000000ISe7d1,23.654,,Lr,150.7416643,2.237772,2025-05-24 01:08:22.324000+00:00,60819.04748060182
,2025 KC47,000000ISe7d1,23.67,,Lr,150.7418412,2.2376637,2025-05-24 01:09:52.932000+00:00,60819.048529305495
,2025 KC47,000000ISe7d1,23.576,,Lr,150.7419387,2.237621,2025-05-24 01:10:38.393000+00:00,60819.049055474345
,2025 KC47,000000ISe7d1,23.542,,Lr,150.7420083,2.2376255,2025-05-24 01:11:23.583000+00:00,60819.049578506965
,2025 KC47,000000ISe7d1,23.511,,Lr,150.7422683,2.2374668,2025-05-24 01:13:39.837000+00:00,60819.0511555206
,2025 KC47,000000ISe7d1,23.628,,Lr,150.7423661,2.2374482,2025-05-24 01:14:25.126000+00:00,60819.051679699216
