permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
,2025 KF47,000000ISe7h1,24.06,,Lg,149.564566,2.8244619,2025-05-24 00:39:02.266000+00:00,60819.02710956009
,2025 KF47,000000ISe7h1,23.924,,Lg,149.5656245,2.8242538,2025-05-24 00:45:04.239000+00:00,60819.03129906254
,2025 KF47,000000ISe7h1,23.762,,Lg,149.5657426,2.824224,2025-05-24 00:45:49.587000+00:00,60819.03182392381
,2025 KF47,000000ISe7h1,23.939,,Lg,149.5659789,2.8241687,2025-05-24 00:47:20.071000+00:00,60819.03287119232
,2025 KF47,000000ISe7h1,23.923,,Lg,149.5661135,2.824156,2025-05-24 00:48:05.263000+00:00,60819.03339424776
,2025 KF47,000000ISe7h1,24.014,,Lg,149.5663158,2.8240799,2025-05-24 00:48:50.262000+00:00,60819.03391506942
,2025 KF47,000000ISe7h1,23.828,,Lg,149.5664972,2.8240441,2025-05-24 00:50:20.770000+00:00,60819.03496261593
,2025 KF47,000000ISe7h1,23.832,,Lg,149.5666459,2.8240498,2025-05-24 00:51:06.063000+00:00,60819.03548684018
,2025 KF47,000000ISe7h1,23.791,,Lg,149.5667248,2.8240306,2025-05-24 00:51:51.748000+00:00,60819.03601560183
,2025 KF47,000000ISe7h1,23.801,,Lg,149.5668898,2.8240085,2025-05-24 00:52:36.950000+00:00,60819.036538773216
,2025 KF47,000000ISe7h1,23.964,,Lg,149.5670044,2.8239424,2025-05-24 00:53:22.182000+00:00,60819.03706229152
,2025 KF47,000000ISe7h1,23.731,,Lg,149.5671243,2.8239238,2025-05-24 00:54:07.406000+00:00,60819.037585717626
,2025 KF47,000000ISe7h1,23.744,,Lg,149.567232,2.8238756,2025-05-24 00:54:52.798000+00:00,60819.038111087866
,2025 KF47,000000ISe7h1,23.939,,Lg,149.5673435,2.8238688,2025-05-24 00:55:38.098000+00:00,60819.038635393605
,2025 KF47,000000ISe7h1,23.865,,Lg,149.5675371,2.8238294,2025-05-24 00:56:23.400000+00:00,60819.03915972216
,2025 KF47,000000ISe7h1,24.011,,Lg,149.5676424,2.8238191,2025-05-24 00:57:08.616000+00:00,60819.0396830556
,2025 KF47,000000ISe7h1,23.923,,Lg,149.5677465,2.8237744,2025-05-24 00:57:54.272000+00:00,60819.04021148151
,2025 KF47,000000ISe7h1,23.965,,Lg,149.5679112,2.8237389,2025-05-24 00:58:39.483000+00:00,60819.04073475674
,2025 KF47,000000ISe7h1,23.859,,Lg,149.5681662,2.8236948,2025-05-24 01:00:10.343000+00:00,60819.04178637732
,2025 KF47,000000ISe7h1,23.82,,Lg,149.5682456,2.8236835,2025-05-24 01:00:55.666000+00:00,60819.04231094895
,2025 KF47,000000ISe7h1,23.515,,Lr,149.5693063,2.8234459,2025-05-24 01:06:51.951000+00:00,60819.04643461807
