permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
,2025 KK47,000000ISe7r1,23.053,,Li,225.4371122,-39.7316993,2025-05-21 06:33:40.069000+00:00,60816.27338042809
,2025 KK47,000000ISe7r1,23.181,,Li,225.4369071,-39.7317125,2025-05-21 06:34:26.956000+00:00,60816.273923101835
,2025 KK47,000000ISe7r1,22.869,,Li,225.4366835,-39.7316929,2025-05-21 06:35:24.958000+00:00,60816.2745944215
,2025 KK47,000000ISe7r1,23.216,,Li,225.4365293,-39.7317243,2025-05-21 06:36:12.031000+00:00,60816.27513924753
,2025 KK47,000000ISe7r1,23.206,,Li,225.4361843,-39.7317334,2025-05-21 06:37:36.414000+00:00,60816.2761159027
,2025 KK47,000000ISe7r1,22.943,,Li,225.4360812,-39.7317769,2025-05-21 06:38:18.502000+00:00,60816.27660303237
,2025 KK47,000000ISe7r1,23.247,,Li,225.4355922,-39.7317892,2025-05-21 06:40:37.761000+00:00,60816.27821482625
,2025 KK47,000000ISe7r1,23.139,,Li,225.4353815,-39.7318429,2025-05-21 06:41:19.820000+00:00,60816.27870162018
,2025 KK47,000000ISe7r1,22.969,,Li,225.4352869,-39.7318022,2025-05-21 06:42:02.933000+00:00,60816.2792006135
,2025 KK47,000000ISe7r1,23.308,,Lr,225.4309085,-39.7320406,2025-05-21 07:02:29.901000+00:00,60816.29340163199
,2025 KK47,000000ISe7r1,23.475,,Lr,225.4307729,-39.7319996,2025-05-21 07:03:17.544000+00:00,60816.293953055516
,2025 KK47,000000ISe7r1,23.102,,Lr,225.4305838,-39.7320003,2025-05-21 07:04:04.530000+00:00,60816.29449687479
,2025 KK47,000000ISe7r1,23.244,,Lr,225.4304052,-39.7320039,2025-05-21 07:04:46.591000+00:00,60816.294983692
,2025 KK47,000000ISe7r1,23.247,,Lr,225.4302936,-39.7319878,2025-05-21 07:05:28.472000+00:00,60816.295468425844
,2025 KK47,000000ISe7r1,23.434,,Lr,225.4301603,-39.7320826,2025-05-21 07:06:11.674000+00:00,60816.29596844921
