permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
,2025 KN46,000000ISe6c1,22.894,,Li,224.7287191,-39.1393162,2025-05-21 06:33:40.069000+00:00,60816.27338042809
,2025 KN46,000000ISe6c1,22.818,,Li,224.728559,-39.139249,2025-05-21 06:34:26.956000+00:00,60816.273923101835
,2025 KN46,000000ISe6c1,22.639,,Li,224.7283942,-39.1391809,2025-05-21 06:35:24.958000+00:00,60816.2745944215
,2025 KN46,000000ISe6c1,22.682,,Li,224.7281348,-39.1391077,2025-05-21 06:36:54.211000+00:00,60816.27562744217
,2025 KN46,000000ISe6c1,22.785,,Li,224.7280753,-39.1390288,2025-05-21 06:37:36.414000+00:00,60816.2761159027
,2025 KN46,000000ISe6c1,22.648,,Li,224.727925,-39.1389696,2025-05-21 06:38:18.502000+00:00,60816.27660303237
,2025 KN46,000000ISe6c1,22.621,,Li,224.7277901,-39.1389457,2025-05-21 06:39:01.549000+00:00,60816.27710126154
,2025 KN46,000000ISe6c1,22.922,,Li,224.727502,-39.1387673,2025-05-21 06:40:37.761000+00:00,60816.27821482625
,2025 KN46,000000ISe6c1,22.848,,Li,224.7274077,-39.1387739,2025-05-21 06:41:19.820000+00:00,60816.27870162018
,2025 KN46,000000ISe6c1,23.046,,Lr,224.7225966,-39.1366285,2025-05-21 07:09:43.658000+00:00,60816.298421967775
,2025 KN46,000000ISe6c1,22.971,,Lr,224.722488,-39.1365873,2025-05-21 07:10:25.781000+00:00,60816.298909502104
,2025 KN46,000000ISe6c1,22.541,,Lz,224.7180774,-39.1346128,2025-05-21 07:36:53.537000+00:00,60816.31728630792
,2025 KN46,000000ISe6c1,22.504,,Lz,224.716794,-39.1340466,2025-05-21 07:44:00.466000+00:00,60816.32222761586
,2025 KN46,000000ISe6c2,23.603,,Lg,224.5059234,-39.0396302,2025-05-22 05:21:42.085000+00:00,60817.22340376163
,2025 KN46,000000ISe6c2,23.284,,Lg,224.5054555,-39.0394344,2025-05-22 05:24:17.666000+00:00,60817.22520446777
,2025 KN46,000000ISe6c2,23.345,,Lg,224.5051642,-39.0393158,2025-05-22 05:26:11.343000+00:00,60817.22652017372
,2025 KN46,000000ISe6c2,23.356,,Lg,224.5048003,-39.0391256,2025-05-22 05:28:14.990000+00:00,60817.22795127332
,2025 KN46,000000ISe6c2,23.316,,Lg,224.5045882,-39.0390412,2025-05-22 05:29:43.402000+00:00,60817.228974560276
,2025 KN46,000000ISe6c2,23.541,,Lg,224.504443,-39.0389787,2025-05-22 05:30:35.160000+00:00,60817.22957361117
,2025 KN46,000000ISe6c2,23.38,,Lg,224.5043057,-39.0389187,2025-05-22 05:31:22.186000+00:00,60817.23011789331
,2025 KN46,000000ISe6c2,23.616,,Lg,224.5038656,-39.0387564,2025-05-22 05:33:01.673000+00:00,60817.231269363314
,2025 KN46,000000ISe6c2,23.474,,Lg,224.5038012,-39.0387058,2025-05-22 05:33:54.608000+00:00,60817.23188203713
,2025 KN46,000000ISe6c2,23.442,,Lg,224.5037712,-39.0386356,2025-05-22 05:34:35.647000+00:00,60817.23235702561
,2025 KN46,000000ISe6c2,23.393,,Lg,224.5035524,-39.0385524,2025-05-22 05:36:18.448000+00:00,60817.23354685167
,2025 KN46,000000ISe6c2,22.984,,Lr,224.4999619,-39.0369473,2025-05-22 05:56:57.790000+00:00,60817.247891088016
,2025 KN46,000000ISe6c2,22.941,,Lr,224.4999394,-39.0369265,2025-05-22 05:57:44.701000+00:00,60817.2484340393
,2025 KN46,000000ISe6c2,22.828,,Lr,224.4996801,-39.0368527,2025-05-22 05:58:26.674000+00:00,60817.24891983811
,2025 KN46,000000ISe6c2,23.082,,Lr,224.4994792,-39.0367439,2025-05-22 06:00:15.327000+00:00,60817.250177395996
,2025 KN46,000000ISe6c2,23.052,,Lr,224.4992036,-39.0365836,2025-05-22 06:01:39.830000+00:00,60817.251155439764
,2025 KN46,000000ISe6c2,23.003,,Lr,224.498949,-39.0365589,2025-05-22 06:02:56.967000+00:00,60817.25204822933
,2025 KN46,000000ISe6c2,22.854,,Lr,224.4988518,-39.0364268,2025-05-22 06:03:53.987000+00:00,60817.25270818267
,2025 KN46,000000ISe6c2,22.869,,Lr,224.498526,-39.0363465,2025-05-22 06:05:00.845000+00:00,60817.2534820023
,2025 KN46,000000ISe6c2,22.957,,Lr,224.4985287,-39.0363817,2025-05-22 06:05:47.757000+00:00,60817.25402496522
,2025 KN46,000000ISe6c2,23.047,,Lr,224.4982944,-39.0362769,2025-05-22 06:06:34.744000+00:00,60817.25456879614
,2025 KN46,000000ISe6c2,22.96,,Lr,224.4981844,-39.0361765,2025-05-22 06:07:41.777000+00:00,60817.255344641395
,2025 KN46,000000ISe6c2,22.913,,Lr,224.4978504,-39.0360558,2025-05-22 06:09:54.456000+00:00,60817.25688027777
,2025 KN46,000000ISe6c2,23.01,,Lr,224.4976223,-39.0359404,2025-05-22 06:10:46.468000+00:00,60817.25748226838
,2025 KN46,000000ISe6c2,23.032,,Lr,224.4975549,-39.0358761,2025-05-22 06:11:32.749000+00:00,60817.25801792834
,2025 KN46,000000ISe6c2,23.118,,Lr,224.4972821,-39.0357441,2025-05-22 06:13:06.847000+00:00,60817.25910702534
,2025 KN46,000000ISe6c2,22.767,,Lr,224.4971402,-39.0356727,2025-05-22 06:13:48.161000+00:00,60817.25958519662
,2025 KN46,000000ISe6c2,22.843,,Lr,224.4970065,-39.0356562,2025-05-22 06:14:30.623000+00:00,60817.260076655075
,2025 KN46,000000ISe6c2,22.814,,Lr,224.4967755,-39.0355417,2025-05-22 06:15:55.500000+00:00,60817.26105902763
,2025 KN46,000000ISe6c2,23.052,,Lr,224.4967021,-39.0354487,2025-05-22 06:16:37.597000+00:00,60817.26154626161
,2025 KN46,000000ISe6c2,22.97,,Lr,224.496623,-39.0354845,2025-05-22 06:17:19.217000+00:00,60817.262027974706
,2025 KN46,000000ISe6c2,22.528,,Li,224.4952699,-39.034913,2025-05-22 06:24:27.631000+00:00,60817.26698646974
,2025 KN46,000000ISe6c2,22.641,,Li,224.4950456,-39.0347597,2025-05-22 06:25:56.764000+00:00,60817.26801810181
,2025 KN46,000000ISe6c2,22.889,,Li,224.4941553,-39.0342498,2025-05-22 06:31:54.697000+00:00,60817.27216084488
,2025 KN46,000000ISe6c2,22.829,,Li,224.4940412,-39.0342619,2025-05-22 06:32:36.890000+00:00,60817.27264918992
,2025 KN46,000000ISe6c2,22.89,,Li,224.493887,-39.0342769,2025-05-22 06:33:19.959000+00:00,60817.27314767381
,2025 KN46,000000ISe6c2,22.649,,Li,224.493712,-39.0341615,2025-05-22 06:34:11.948000+00:00,60817.27374939807
,2025 KN46,000000ISe6c2,22.673,,Li,224.4935775,-39.0340328,2025-05-22 06:34:55.098000+00:00,60817.27424881933
,2025 KN46,000000ISe6c2,23.023,,Li,224.4935352,-39.0339948,2025-05-22 06:35:38.295000+00:00,60817.27474878449
,2025 KN46,000000ISe6c2,22.545,,Li,224.4934307,-39.0339124,2025-05-22 06:36:20.012000+00:00,60817.2752316203
,2025 KN46,000000ISe6c2,22.885,,Li,224.4932648,-39.0339447,2025-05-22 06:37:03.509000+00:00,60817.27573505789
,2025 KN46,000000ISe6c2,22.833,,Li,224.4928943,-39.0338084,2025-05-22 06:39:14.417000+00:00,60817.277250196785
,2025 KN46,000000ISe6c2,22.991,,Li,224.4926397,-39.0336312,2025-05-22 06:40:49.711000+00:00,60817.2783531365
,2025 KN46,000000ISe6c2,22.598,,Lz,224.4899308,-39.0323888,2025-05-22 06:57:34.390000+00:00,60817.28998136567
,2025 KN46,000000ISe6c2,22.149,,Lz,224.4891272,-39.0320337,2025-05-22 07:01:16.134000+00:00,60817.292547847144
,2025 KN46,000000ISe6c3,22.784,,Li,224.0799233,-38.8361419,2025-05-24 01:57:06.636000+00:00,60819.08132680552
,2025 KN46,000000ISe6c3,22.868,,Li,224.0795676,-38.8359855,2025-05-24 01:59:13.726000+00:00,60819.082797754556
,2025 KN46,000000ISe6c3,23.03,,Li,224.0793103,-38.8358655,2025-05-24 02:00:38.627000+00:00,60819.08378040511
,2025 KN46,000000ISe6c3,22.825,,Li,224.0790812,-38.8357583,2025-05-24 02:02:02.873000+00:00,60819.0847554747
,2025 KN46,000000ISe6c3,22.823,,Li,224.078996,-38.8357081,2025-05-24 02:02:45.038000+00:00,60819.08524349518
,2025 KN46,000000ISe6c3,22.744,,Li,224.0785194,-38.8354865,2025-05-24 02:05:35.423000+00:00,60819.08721554419
,2025 KN46,000000ISe6c3,22.837,,Li,224.0783181,-38.835378,2025-05-24 02:06:59.621000+00:00,60819.08819005778
,2025 KN46,000000ISe6c3,22.864,,Li,224.0778401,-38.8351609,2025-05-24 02:09:49.650000+00:00,60819.09015798615
,2025 KN46,000000ISe6c3,22.835,,Li,224.0776146,-38.834999,2025-05-24 02:11:13.809000+00:00,60819.09113204852
,2025 KN46,000000ISe6c3,23.046,,Li,224.0774169,-38.835007,2025-05-24 02:11:55.406000+00:00,60819.09161349526
,2025 KN46,000000ISe6c3,22.877,,Li,224.077357,-38.8349453,2025-05-24 02:12:37.758000+00:00,60819.092103680596
,2025 KN46,000000ISe6c3,22.896,,Li,224.0771425,-38.8348476,2025-05-24 02:14:01.928000+00:00,60819.09307787055
,2025 KN46,000000ISe6c3,22.895,,Lz,224.0738353,-38.8333373,2025-05-24 02:34:01.966000+00:00,60819.10696719913
,2025 KN46,000000ISe6c3,23.039,,Lz,224.0737326,-38.833259,2025-05-24 02:34:44.315000+00:00,60819.10745734954
,2025 KN46,000000ISe6c3,22.863,,Lz,224.0735817,-38.8331554,2025-05-24 02:36:10.263000+00:00,60819.108452118
,2025 KN46,000000ISe6c3,22.776,,Lz,224.0733291,-38.833076,2025-05-24 02:36:52.911000+00:00,60819.10894572921
,2025 KN46,000000ISe6c3,22.827,,Lz,224.0730157,-38.8328783,2025-05-24 02:39:03.635000+00:00,60819.110458738636
,2025 KN46,000000ISe6c3,22.739,,Lz,224.0727937,-38.8328112,2025-05-24 02:40:30.147000+00:00,60819.111460034736
,2025 KN46,000000ISe6c3,22.647,,Lz,224.0725607,-38.8326557,2025-05-24 02:41:56.664000+00:00,60819.11246138904
,2025 KN46,000000ISe6c3,22.889,,Lr,224.0718016,-38.8323095,2025-05-24 02:46:38.071000+00:00,60819.11571841454
,2025 KN46,000000ISe6c3,22.952,,Lr,224.0716591,-38.8322966,2025-05-24 02:47:20.372000+00:00,60819.11620800942
,2025 KN46,000000ISe6c3,22.911,,Lr,224.0715581,-38.8322519,2025-05-24 02:48:02.738000+00:00,60819.116698356345
