permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
,2025 KP46,000000ISe6f1,22.911,,Li,224.9126506,-39.8312242,2025-05-21 06:33:40.069000+00:00,60816.27338042809
,2025 KP46,000000ISe6f1,23.102,,Li,224.9125051,-39.8312212,2025-05-21 06:34:26.956000+00:00,60816.273923101835
,2025 KP46,000000ISe6f1,23.026,,Li,224.9122903,-39.8310916,2025-05-21 06:35:24.958000+00:00,60816.2745944215
,2025 KP46,000000ISe6f1,22.912,,Li,224.9120003,-39.8310636,2025-05-21 06:36:54.211000+00:00,60816.27562744217
,2025 KP46,000000ISe6f1,23.18,,Li,224.9112894,-39.8308538,2025-05-21 06:40:37.761000+00:00,60816.27821482625
,2025 KP46,000000ISe6f1,22.825,,Li,224.9110002,-39.8307428,2025-05-21 06:42:02.933000+00:00,60816.2792006135
,2025 KP46,000000ISe6f1,22.792,,Li,224.9103295,-39.8304887,2025-05-21 06:45:46.050000+00:00,60816.28178298613
,2025 KP46,000000ISe6f1,23.271,,Li,224.9095692,-39.830346,2025-05-21 06:49:25.563000+00:00,60816.284323645756
,2025 KP46,000000ISe6f1,22.559,,Li,224.9091397,-39.830205,2025-05-21 06:51:34.477000+00:00,60816.28581570601
,2025 KP46,000000ISe6f1,22.91,,Lr,224.9072662,-39.8296206,2025-05-21 07:01:05.650000+00:00,60816.29242650466
,2025 KP46,000000ISe6f1,23.209,,Lr,224.9070819,-39.8295867,2025-05-21 07:02:29.901000+00:00,60816.29340163199
,2025 KP46,000000ISe6f1,23.165,,Lr,224.9068616,-39.8295257,2025-05-21 07:03:17.544000+00:00,60816.293953055516
,2025 KP46,000000ISe6f1,22.919,,Lr,224.9067334,-39.8294412,2025-05-21 07:04:04.530000+00:00,60816.29449687479
,2025 KP46,000000ISe6f1,22.935,,Lr,224.9065891,-39.829401,2025-05-21 07:04:46.591000+00:00,60816.294983692
,2025 KP46,000000ISe6f1,22.988,,Lr,224.9064753,-39.8294112,2025-05-21 07:05:28.472000+00:00,60816.295468425844
,2025 KP46,000000ISe6f1,23.183,,Lr,224.9061943,-39.8293007,2025-05-21 07:06:54.686000+00:00,60816.296466273256
,2025 KP46,000000ISe6f1,23.174,,Lr,224.9058469,-39.8292207,2025-05-21 07:08:21.047000+00:00,60816.29746582173
